% hyscan_SZA_33_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 55.7, -1.3, 17.9, -1.3, 17.9 
7.0, 56.3, -0.7, 12.7, 0.7, -5.2 
5.0, 56.7, -0.3, 9.1, 0.3, -3.6 
3.5, 56.8, -0.2, 6.4, 0.2, -2.7 
3.0, 56.9, -0.1, -5.5, 0.0, -11.9 
3.5, 56.8, -0.2, -6.4, -0.0, -0.9 
4.0, 56.8, -0.2, -7.3, -0.1, -0.9 
5.0, 56.7, -0.3, -9.1, -0.1, -1.8 
6.0, 56.5, -0.5, -10.9, -0.1, -1.8 
7.0, 56.3, -0.7, -12.7, -0.2, -1.8 
8.0, 56.2, -0.8, -14.5, -0.2, -1.8 
10.0, 55.7, -1.3, -17.9, -0.5, -3.5 
12.0, 55.1, -1.9, -21.3, -0.6, -3.4 
14.0, 54.5, -2.5, -24.6, -0.7, -3.3 
16.0, 53.7, -3.3, -27.8, -0.7, -3.2 
18.0, 52.9, -4.1, -30.8, -0.8, -3.1 
20.0, 52.0, -5.0, -33.8, -0.9, -2.9 
25.0, 49.5, -7.5, -40.6, -2.5, -6.8 
30.0, 46.6, -10.4, -46.7, -2.9, -6.1 
35.0, 43.4, -13.6, -52.1, -3.2, -5.5 
40.0, 40.0, -17.0, -57.0, -3.4, -4.9 
45.0, 36.4, -20.6, -61.4, -3.6, -4.4 
50.0, 32.6, -24.4, -65.4, -3.8, -4.0 
60.0, 24.8, -32.2, -72.5, -7.8, -7.1 
70.0, 16.7, -40.3, -78.8, -8.1, -6.2 
80.0, 8.4, -48.6, -84.5, -8.3, -5.7 
90.0, 8.4, -48.6, -103.0, 0.0, -18.5 
100.0, 8.4, -48.6, -123.3, 0.0, -20.3 
114.6, 8.4, -48.6, -180.0, 0.0, -56.7 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
