% hyscan_SZA_41p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 47.5, -1.0, 14.9, -1.0, 14.9 
7.0, 48.0, -0.5, 10.5, 0.5, -4.4 
5.0, 48.3, -0.2, 7.5, 0.2, -3.0 
3.5, 48.4, -0.1, 5.3, 0.1, -2.2 
3.0, 48.4, -0.1, -4.5, 0.0, -9.8 
3.5, 48.4, -0.1, -5.3, -0.0, -0.8 
4.0, 48.3, -0.2, -6.0, -0.0, -0.8 
5.0, 48.3, -0.2, -7.5, -0.1, -1.5 
6.0, 48.1, -0.4, -9.0, -0.1, -1.5 
7.0, 48.0, -0.5, -10.5, -0.1, -1.5 
8.0, 47.9, -0.6, -12.0, -0.1, -1.5 
10.0, 47.5, -1.0, -14.9, -0.3, -2.9 
12.0, 47.1, -1.4, -17.8, -0.4, -2.9 
14.0, 46.6, -1.9, -20.6, -0.5, -2.8 
16.0, 46.0, -2.5, -23.4, -0.6, -2.8 
18.0, 45.4, -3.1, -26.1, -0.6, -2.7 
20.0, 44.7, -3.8, -28.8, -0.7, -2.7 
25.0, 42.7, -5.8, -35.1, -2.0, -6.4 
30.0, 40.4, -8.1, -41.1, -2.3, -5.9 
35.0, 37.8, -10.7, -46.6, -2.6, -5.5 
40.0, 35.0, -13.5, -51.7, -2.8, -5.1 
45.0, 32.0, -16.5, -56.5, -3.0, -4.8 
50.0, 28.8, -19.7, -60.9, -3.2, -4.5 
60.0, 22.0, -26.5, -69.1, -6.8, -8.1 
70.0, 14.8, -33.7, -76.4, -7.1, -7.4 
80.0, 14.8, -33.7, -91.7, 0.0, -15.3 
90.0, 14.8, -33.7, -107.4, 0.0, -15.8 
99.9, 14.8, -33.7, -124.7, 0.0, -17.3 
116.7, 14.8, -33.7, -180.0, 0.0, -55.3 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
