AATS-14 940-nm 022205...added 9-13 033107...includes all 6 atmo models...these are coeff for slant H2O in atm-cm
zkm     a        b       c
  0  0.00525  0.6439  1.00000
  1  0.00545  0.6331  1.00000
  2  0.00557  0.6238  1.00000
  3  0.00550  0.6186  1.00000
  4  0.00585  0.6052  1.00540
  5  0.00617  0.5929  1.00926
  6  0.00622  0.5859  1.01006
  7  0.00583  0.5892  1.00856
  8  0.00506  0.6059  1.00614
  9  0.00418  0.6355  1.00393
 10  0.00317  0.6897  1.00195
 11  0.00239  0.7601  1.00077
 12  0.00209  0.7952  1.00040
 13  0.00201  0.7979  1.00032
