% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20151104starsun.mat and recorded on 2015-11-06 22:44:20.
% Adjusted for non-linearity, but not for FORJ or temperature. Data outside 3.0x the STD of 500 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 2.98472694e+00 -1.00000000e+00 
510 949.79 2.86564184e+00 -1.00000000e+00 
509 951.68 3.19526776e+00 -1.00000000e+00 
508 953.57 3.30309928e+00 -1.00000000e+00 
507 955.46 3.73058508e+00 -1.00000000e+00 
506 957.34 3.89633509e+00 -1.00000000e+00 
505 959.22 4.44737243e+00 -1.00000000e+00 
504 961.10 4.70675112e+00 -1.00000000e+00 
503 962.98 5.34572477e+00 -1.00000000e+00 
502 964.85 5.65223318e+00 -1.00000000e+00 
501 966.72 6.47816796e+00 -1.00000000e+00 
500 968.59 6.86131711e+00 -1.00000000e+00 
499 970.45 7.36679745e+00 -1.00000000e+00 
498 972.32 7.23746548e+00 -1.00000000e+00 
497 974.18 7.50247287e+00 -1.00000000e+00 
496 976.04 7.49305747e+00 -1.00000000e+00 
495 977.89 8.02160652e+00 -1.00000000e+00 
494 979.74 8.18108835e+00 -1.00000000e+00 
493 981.59 8.69346112e+00 -1.00000000e+00 
492 983.44 8.79715421e+00 -1.00000000e+00 
491 985.29 9.21591444e+00 -1.00000000e+00 
490 987.13 9.14880864e+00 -1.00000000e+00 
489 988.97 9.46427659e+00 -1.00000000e+00 
488 990.81 9.30669377e+00 -1.00000000e+00 
487 992.65 9.51091987e+00 -1.00000000e+00 
486 994.48 9.33445587e+00 -1.00000000e+00 
485 996.31 9.52728358e+00 -1.00000000e+00 
484 998.14 9.27375136e+00 -1.00000000e+00 
483 999.97 9.42356961e+00 -1.00000000e+00 
482 1001.79 9.14816011e+00 -1.00000000e+00 
481 1003.62 9.23185028e+00 -1.00000000e+00 
480 1005.44 9.03023766e+00 -1.00000000e+00 
479 1007.25 9.29140237e+00 -1.00000000e+00 
478 1009.07 9.07690305e+00 -1.00000000e+00 
477 1010.88 9.23479902e+00 -1.00000000e+00 
