% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20120722Langleystarsun.mat and recorded on 2013-03-22 11:06:06.
% Uncertainty was given by combining 0.8% FORJ impact and difference/2 between Feb 12 and 14 2013 air Langley results. Data outside 2x the STD of 501 nm Langley residuals were screened out before the averaging. The Langley results were lowered by 0.8% in order to represent the middle FORJ sensitivity.
Pix Wavelength C0 C0err
511 949.79 6.50798604e+000 7.36885182e-002 
510 949.79 6.65920231e+000 5.32745919e-002 
509 951.68 7.10282643e+000 5.68517662e-002 
508 953.57 7.16432046e+000 5.77676720e-002 
507 955.46 7.70820958e+000 6.33309599e-002 
506 957.34 7.82843165e+000 7.13829959e-002 
505 959.22 8.36168785e+000 7.65344941e-002 
504 961.10 8.43883918e+000 7.77328880e-002 
503 962.98 8.92020413e+000 8.39856193e-002 
502 964.85 8.89163871e+000 9.26054057e-002 
501 966.72 9.43518218e+000 9.95182749e-002 
500 968.59 9.44948662e+000 9.98847641e-002 
499 970.45 9.89087178e+000 9.99876285e-002 
498 972.32 9.85443140e+000 9.68616528e-002 
497 974.18 1.02409423e+001 1.00619993e-001 
496 976.04 1.01528640e+001 9.83113232e-002 
495 977.89 1.05318406e+001 1.07672639e-001 
494 979.74 1.03983137e+001 1.06938310e-001 
493 981.59 1.06928553e+001 9.87201218e-002 
492 983.44 1.05381846e+001 1.06598798e-001 
491 985.29 1.07981585e+001 1.06082679e-001 
490 987.13 1.05599861e+001 1.07007411e-001 
489 988.97 1.08273732e+001 1.17906382e-001 
488 990.81 1.05969849e+001 1.16266271e-001 
487 992.65 1.07962954e+001 1.18262753e-001 
486 994.48 1.05786752e+001 1.08916655e-001 
485 996.31 1.07284248e+001 1.17867521e-001 
484 998.14 1.04511646e+001 1.11542887e-001 
483 999.97 1.05898975e+001 1.13828246e-001 
482 1001.79 1.02544576e+001 1.11834242e-001 
481 1003.62 1.03276992e+001 1.05673550e-001 
480 1005.44 1.00897700e+001 1.02794573e-001 
479 1007.25 1.03617361e+001 1.03827594e-001 
478 1009.07 1.01363846e+001 9.85167424e-002 
477 1010.88 1.03002356e+001 9.84534297e-002 
476 1012.69 1.00045829e+001 8.98240472e-002 
475 1014.50 1.01171497e+001 1.00626100e-001 
474 1016.31 9.86640035e+000 9.08622838e-002 
473 1018.11 1.00294542e+001 9.45246240e-002 
472 1019.91 9.75651636e+000 9.49211930e-002 
471 1021.71 9.90995537e+000 9.69422697e-002 
470 1023.51 9.66228882e+000 8.92342454e-002 
