% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20120722Langleystarsun.mat and recorded on 2013-03-22 11:06:06.
% Uncertainty was given by combining 0.8% FORJ impact and difference/2 between Feb 12 and 14 2013 air Langley results. Data outside 2x the STD of 501 nm Langley residuals were screened out before the averaging. The Langley results were lowered by 0.8% in order to represent the middle FORJ sensitivity.
Pix Wavelength C0 C0err
0 171.85 -9.92000000e-001 -5.28604376e+006 
1 172.67 1.68568700e+004 3.56226959e+011 
2 173.48 6.28910050e+004 3.14495273e+004 
3 174.29 5.44502533e+004 2.72286112e+004 
4 175.10 3.13877388e+006 1.56958781e+006 
5 175.91 2.74621814e+006 1.37328481e+006 
6 176.72 2.35426880e+006 1.17728506e+006 
7 177.54 1.90044009e+006 9.50341660e+005 
8 178.35 1.59653351e+006 7.98368920e+005 
9 179.16 1.34181396e+006 6.70992845e+005 
10 179.97 1.11136362e+006 5.55752928e+005 
11 180.78 9.06416244e+005 4.53266125e+005 
12 181.59 7.82993781e+005 3.91546996e+005 
13 182.41 6.28580949e+005 3.14330700e+005 
14 183.22 5.23582488e+005 2.61824750e+005 
15 184.03 4.38702366e+005 2.19379258e+005 
16 184.84 4.08113480e+005 2.04082857e+005 
17 185.65 3.80059157e+005 1.90053901e+005 
18 186.46 4.49880370e+005 2.24968975e+005 
19 187.28 5.10068324e+005 2.55066804e+005 
20 188.09 4.22824785e+005 2.11439452e+005 
21 188.90 3.48387827e+005 1.74216209e+005 
22 189.71 2.90083851e+005 1.45060490e+005 
23 190.52 2.31776046e+005 1.15902856e+005 
24 191.33 1.93372841e+005 9.66987956e+004 
25 192.14 1.62198682e+005 8.11097211e+004 
26 192.96 1.30479701e+005 6.52482007e+004 
27 193.77 1.06970202e+005 5.34919467e+004 
28 194.58 2.97056192e+005 1.48547106e+005 
29 195.39 2.80474877e+008 1.40255388e+008 
30 196.20 1.97778530e+009 9.89019220e+008 
31 197.01 1.35411726e+009 6.77145288e+008 
32 197.83 9.42199462e+008 4.71160028e+008 
33 198.64 6.43395991e+008 3.21739170e+008 
34 199.45 4.50121908e+008 2.25089760e+008 
35 200.26 3.04048000e+008 1.52043458e+008 
36 201.07 2.12538000e+008 1.06282602e+008 
37 201.88 1.48918629e+008 7.44688447e+007 
38 202.69 1.00636757e+008 5.03248188e+007 
39 203.51 7.06542503e+007 3.53316467e+007 
40 204.32 4.93390933e+007 2.46727041e+007 
41 205.13 3.38668058e+007 1.69355702e+007 
42 205.94 2.36411298e+007 1.18220778e+007 
43 206.75 1.64209542e+007 8.21152797e+006 
44 207.56 2.61607070e+007 1.30820277e+007 
45 208.37 2.97741024e+011 1.48889566e+011 
46 209.18 8.53769717e+012 4.26939496e+012 
