% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20130212starsunPCA.mat and recorded on 2013-02-25 12:51:49.
% reconstruction made with PC-VIS (#) =24 and with PC-NIR (#) =21 calculations are based on covariance matrix SVD
Pix Wavelength C0 C0err
511 949.79 4.71075154e+000 -1.00000000e+000 
510 949.79 4.80208512e+000 -1.00000000e+000 
509 951.68 5.14100632e+000 -1.00000000e+000 
508 953.57 5.16234636e+000 -1.00000000e+000 
507 955.46 5.55807651e+000 -1.00000000e+000 
506 957.34 5.62307973e+000 -1.00000000e+000 
505 959.22 6.00679275e+000 -1.00000000e+000 
504 961.10 6.04458893e+000 -1.00000000e+000 
503 962.98 6.37733327e+000 -1.00000000e+000 
502 964.85 6.34187983e+000 -1.00000000e+000 
501 966.72 6.75590200e+000 -1.00000000e+000 
500 968.59 6.72705061e+000 -1.00000000e+000 
499 970.45 7.06460179e+000 -1.00000000e+000 
498 972.32 7.01231763e+000 -1.00000000e+000 
497 974.18 7.30362113e+000 -1.00000000e+000 
496 976.04 7.21638366e+000 -1.00000000e+000 
495 977.89 7.47457766e+000 -1.00000000e+000 
494 979.74 7.35731297e+000 -1.00000000e+000 
493 981.59 7.55521428e+000 -1.00000000e+000 
492 983.44 7.44354997e+000 -1.00000000e+000 
491 985.29 7.64984908e+000 -1.00000000e+000 
490 987.13 7.46039456e+000 -1.00000000e+000 
489 988.97 7.67511627e+000 -1.00000000e+000 
488 990.81 7.49082247e+000 -1.00000000e+000 
487 992.65 7.66501233e+000 -1.00000000e+000 
486 994.48 7.48744734e+000 -1.00000000e+000 
485 996.31 7.62693714e+000 -1.00000000e+000 
484 998.14 7.41792791e+000 -1.00000000e+000 
483 999.97 7.55409909e+000 -1.00000000e+000 
482 1001.79 7.30692938e+000 -1.00000000e+000 
481 1003.62 7.36785334e+000 -1.00000000e+000 
480 1005.44 7.19039932e+000 -1.00000000e+000 
479 1007.25 7.39747526e+000 -1.00000000e+000 
478 1009.07 7.20380325e+000 -1.00000000e+000 
477 1010.88 7.36533869e+000 -1.00000000e+000 
476 1012.69 7.12889530e+000 -1.00000000e+000 
475 1014.50 7.26279631e+000 -1.00000000e+000 
474 1016.31 7.07589634e+000 -1.00000000e+000 
473 1018.11 7.21648398e+000 -1.00000000e+000 
472 1019.91 7.00451140e+000 -1.00000000e+000 
471 1021.71 7.14734240e+000 -1.00000000e+000 
470 1023.51 6.94223293e+000 -1.00000000e+000 
469 1025.30 7.08628192e+000 -1.00000000e+000 
468 1027.09 7.00192539e+000 -1.00000000e+000 
467 1028.88 7.15215356e+000 -1.00000000e+000 
466 1030.67 6.99278553e+000 -1.00000000e+000 
465 1032.46 7.14540502e+000 -1.00000000e+000 
464 1034.24 7.02298350e+000 -1.00000000e+000 
463 1036.02 7.18271187e+000 -1.00000000e+000 
462 1037.80 7.06733616e+000 -1.00000000e+000 
461 1039.58 7.27665578e+000 -1.00000000e+000 
460 1041.35 7.14896723e+000 -1.00000000e+000 
459 1043.12 7.28857655e+000 -1.00000000e+000 
458 1044.89 7.23387233e+000 -1.00000000e+000 
457 1046.66 7.44462836e+000 -1.00000000e+000 
456 1048.43 7.40914024e+000 -1.00000000e+000 
455 1050.19 7.60770278e+000 -1.00000000e+000 
454 1051.95 7.46430341e+000 -1.00000000e+000 
453 1053.71 7.69798544e+000 -1.00000000e+000 
452 1055.47 7.54227022e+000 -1.00000000e+000 
451 1057.23 7.67094801e+000 -1.00000000e+000 
450 1058.98 7.54672703e+000 -1.00000000e+000 
449 1060.73 7.70139139e+000 -1.00000000e+000 
448 1062.48 7.55126684e+000 -1.00000000e+000 
447 1064.23 7.68253085e+000 -1.00000000e+000 
446 1065.97 7.41055707e+000 -1.00000000e+000 
445 1067.71 7.43750823e+000 -1.00000000e+000 
444 1069.46 7.25829514e+000 -1.00000000e+000 
443 1071.19 7.35999655e+000 -1.00000000e+000 
442 1072.93 7.20295148e+000 -1.00000000e+000 
441 1074.67 7.27382080e+000 -1.00000000e+000 
440 1076.40 7.11292564e+000 -1.00000000e+000 
439 1078.13 7.18029043e+000 -1.00000000e+000 
438 1079.86 6.98218022e+000 -1.00000000e+000 
437 1081.58 7.05568337e+000 -1.00000000e+000 
436 1083.31 6.94684934e+000 -1.00000000e+000 
435 1085.03 7.12551563e+000 -1.00000000e+000 
434 1086.75 7.08915657e+000 -1.00000000e+000 
433 1088.47 7.24734109e+000 -1.00000000e+000 
432 1090.19 7.15858878e+000 -1.00000000e+000 
431 1091.90 7.29882090e+000 -1.00000000e+000 
430 1093.61 7.18528664e+000 -1.00000000e+000 
429 1095.33 7.36505242e+000 -1.00000000e+000 
428 1097.03 7.41871513e+000 -1.00000000e+000 
427 1098.74 7.64990309e+000 -1.00000000e+000 
426 1100.45 7.66869187e+000 -1.00000000e+000 
425 1102.15 7.91292533e+000 -1.00000000e+000 
424 1103.85 7.92151740e+000 -1.00000000e+000 
423 1105.55 8.14643158e+000 -1.00000000e+000 
422 1107.25 8.11621831e+000 -1.00000000e+000 
421 1108.94 8.31742140e+000 -1.00000000e+000 
420 1110.64 8.20934830e+000 -1.00000000e+000 
419 1112.33 8.36402495e+000 -1.00000000e+000 
418 1114.02 8.18298488e+000 -1.00000000e+000 
417 1115.70 8.24674113e+000 -1.00000000e+000 
416 1117.39 8.09526869e+000 -1.00000000e+000 
415 1119.07 8.13534126e+000 -1.00000000e+000 
414 1120.76 8.00912525e+000 -1.00000000e+000 
413 1122.44 8.12790717e+000 -1.00000000e+000 
412 1124.12 8.04436224e+000 -1.00000000e+000 
411 1125.79 8.20346079e+000 -1.00000000e+000 
410 1127.47 8.21221159e+000 -1.00000000e+000 
409 1129.14 8.38614631e+000 -1.00000000e+000 
408 1130.81 8.19136327e+000 -1.00000000e+000 
407 1132.48 8.19158482e+000 -1.00000000e+000 
406 1134.15 8.08049804e+000 -1.00000000e+000 
405 1135.81 8.20578324e+000 -1.00000000e+000 
404 1137.48 8.31308985e+000 -1.00000000e+000 
403 1139.14 8.45901432e+000 -1.00000000e+000 
402 1140.80 8.28655745e+000 -1.00000000e+000 
401 1142.46 8.34764003e+000 -1.00000000e+000 
400 1144.12 8.18936372e+000 -1.00000000e+000 
399 1145.77 8.25159577e+000 -1.00000000e+000 
398 1147.43 8.19491036e+000 -1.00000000e+000 
397 1149.08 8.28395543e+000 -1.00000000e+000 
396 1150.73 8.23947971e+000 -1.00000000e+000 
395 1152.38 8.38761346e+000 -1.00000000e+000 
394 1154.02 8.27937106e+000 -1.00000000e+000 
393 1155.67 8.41677652e+000 -1.00000000e+000 
392 1157.31 8.23889538e+000 -1.00000000e+000 
391 1158.95 8.27889735e+000 -1.00000000e+000 
390 1160.59 8.14202263e+000 -1.00000000e+000 
389 1162.23 8.21990944e+000 -1.00000000e+000 
388 1163.87 8.10408712e+000 -1.00000000e+000 
387 1165.50 8.16987844e+000 -1.00000000e+000 
386 1167.13 8.06623122e+000 -1.00000000e+000 
385 1168.76 8.12257586e+000 -1.00000000e+000 
384 1170.39 8.00641000e+000 -1.00000000e+000 
383 1172.02 7.98911591e+000 -1.00000000e+000 
382 1173.65 7.81385857e+000 -1.00000000e+000 
381 1175.27 7.81191919e+000 -1.00000000e+000 
380 1176.90 7.71581002e+000 -1.00000000e+000 
379 1178.52 7.71299821e+000 -1.00000000e+000 
378 1180.14 7.52605511e+000 -1.00000000e+000 
377 1181.75 7.50757291e+000 -1.00000000e+000 
376 1183.37 7.31574534e+000 -1.00000000e+000 
375 1184.99 7.34626347e+000 -1.00000000e+000 
374 1186.60 7.20499272e+000 -1.00000000e+000 
373 1188.21 7.17187813e+000 -1.00000000e+000 
372 1189.82 7.06276796e+000 -1.00000000e+000 
371 1191.43 7.21149552e+000 -1.00000000e+000 
370 1193.04 7.08005248e+000 -1.00000000e+000 
369 1194.64 7.06869613e+000 -1.00000000e+000 
368 1196.24 6.92126341e+000 -1.00000000e+000 
367 1197.85 6.96342059e+000 -1.00000000e+000 
366 1199.45 6.85894818e+000 -1.00000000e+000 
365 1201.05 6.94830359e+000 -1.00000000e+000 
364 1202.64 6.88450384e+000 -1.00000000e+000 
363 1204.24 6.90872528e+000 -1.00000000e+000 
362 1205.83 6.82872677e+000 -1.00000000e+000 
361 1207.43 6.85216948e+000 -1.00000000e+000 
360 1209.02 6.80862484e+000 -1.00000000e+000 
359 1210.61 6.89384542e+000 -1.00000000e+000 
358 1212.19 6.86837310e+000 -1.00000000e+000 
357 1213.78 7.00821653e+000 -1.00000000e+000 
356 1215.37 6.92560468e+000 -1.00000000e+000 
355 1216.95 6.95191551e+000 -1.00000000e+000 
354 1218.53 6.88824811e+000 -1.00000000e+000 
353 1220.11 6.97977564e+000 -1.00000000e+000 
352 1221.69 6.96488322e+000 -1.00000000e+000 
351 1223.27 6.99639408e+000 -1.00000000e+000 
350 1224.84 6.96103207e+000 -1.00000000e+000 
349 1226.42 7.02148800e+000 -1.00000000e+000 
348 1227.99 7.04141584e+000 -1.00000000e+000 
347 1229.56 7.16819531e+000 -1.00000000e+000 
346 1231.13 7.07163915e+000 -1.00000000e+000 
345 1232.70 7.11483922e+000 -1.00000000e+000 
344 1234.27 7.09676225e+000 -1.00000000e+000 
343 1235.84 7.14028030e+000 -1.00000000e+000 
342 1237.40 7.09480025e+000 -1.00000000e+000 
341 1238.96 7.08653630e+000 -1.00000000e+000 
340 1240.52 6.97194944e+000 -1.00000000e+000 
339 1242.08 7.08026592e+000 -1.00000000e+000 
338 1243.64 7.04544171e+000 -1.00000000e+000 
337 1245.20 7.07746521e+000 -1.00000000e+000 
336 1246.75 7.06792766e+000 -1.00000000e+000 
335 1248.31 7.14709734e+000 -1.00000000e+000 
334 1249.86 7.07589744e+000 -1.00000000e+000 
333 1251.41 7.10992696e+000 -1.00000000e+000 
332 1252.96 7.03477775e+000 -1.00000000e+000 
331 1254.51 7.05400611e+000 -1.00000000e+000 
330 1256.06 6.99141996e+000 -1.00000000e+000 
329 1257.61 6.95459741e+000 -1.00000000e+000 
328 1259.15 6.84418054e+000 -1.00000000e+000 
327 1260.69 6.78161504e+000 -1.00000000e+000 
326 1262.23 6.68746133e+000 -1.00000000e+000 
325 1263.77 6.65928024e+000 -1.00000000e+000 
324 1265.31 6.46944405e+000 -1.00000000e+000 
323 1266.85 6.49593847e+000 -1.00000000e+000 
322 1268.39 6.52239643e+000 -1.00000000e+000 
321 1269.92 6.64554927e+000 -1.00000000e+000 
320 1271.46 6.79131612e+000 -1.00000000e+000 
319 1272.99 6.82003885e+000 -1.00000000e+000 
318 1274.52 6.80224072e+000 -1.00000000e+000 
317 1276.05 6.87008142e+000 -1.00000000e+000 
316 1277.58 6.77668291e+000 -1.00000000e+000 
315 1279.10 6.68478788e+000 -1.00000000e+000 
314 1280.63 6.64771260e+000 -1.00000000e+000 
313 1282.15 6.63045671e+000 -1.00000000e+000 
312 1283.68 6.69972934e+000 -1.00000000e+000 
311 1285.20 6.86719578e+000 -1.00000000e+000 
310 1286.72 6.81444238e+000 -1.00000000e+000 
309 1288.24 6.86129367e+000 -1.00000000e+000 
308 1289.75 6.77999713e+000 -1.00000000e+000 
307 1291.27 6.77047815e+000 -1.00000000e+000 
306 1292.78 6.77216137e+000 -1.00000000e+000 
305 1294.30 6.77258095e+000 -1.00000000e+000 
304 1295.81 6.68494121e+000 -1.00000000e+000 
303 1297.32 6.69041500e+000 -1.00000000e+000 
302 1298.83 6.63447984e+000 -1.00000000e+000 
301 1300.34 6.60088916e+000 -1.00000000e+000 
300 1301.85 6.54873002e+000 -1.00000000e+000 
299 1303.35 6.52602897e+000 -1.00000000e+000 
298 1304.86 6.49440350e+000 -1.00000000e+000 
297 1306.36 6.49618433e+000 -1.00000000e+000 
296 1307.86 6.46415764e+000 -1.00000000e+000 
295 1309.36 6.40679583e+000 -1.00000000e+000 
294 1310.86 6.37210731e+000 -1.00000000e+000 
293 1312.36 6.31323259e+000 -1.00000000e+000 
292 1313.86 6.26249389e+000 -1.00000000e+000 
291 1315.36 6.24064339e+000 -1.00000000e+000 
290 1316.85 6.21484151e+000 -1.00000000e+000 
289 1318.34 6.21837910e+000 -1.00000000e+000 
288 1319.84 6.22066198e+000 -1.00000000e+000 
287 1321.33 6.26087864e+000 -1.00000000e+000 
286 1322.82 6.21408257e+000 -1.00000000e+000 
285 1324.30 6.19974233e+000 -1.00000000e+000 
284 1325.79 6.09563057e+000 -1.00000000e+000 
283 1327.28 6.05556530e+000 -1.00000000e+000 
282 1328.76 5.98328212e+000 -1.00000000e+000 
281 1330.25 5.97477202e+000 -1.00000000e+000 
280 1331.73 5.93941321e+000 -1.00000000e+000 
279 1333.21 5.93518191e+000 -1.00000000e+000 
278 1334.69 5.88785066e+000 -1.00000000e+000 
277 1336.17 5.82445633e+000 -1.00000000e+000 
276 1337.65 5.80887399e+000 -1.00000000e+000 
275 1339.12 5.75423422e+000 -1.00000000e+000 
274 1340.60 5.71888814e+000 -1.00000000e+000 
273 1342.07 5.70460340e+000 -1.00000000e+000 
272 1343.55 5.60311501e+000 -1.00000000e+000 
271 1345.02 5.41727931e+000 -1.00000000e+000 
270 1346.49 5.28278756e+000 -1.00000000e+000 
269 1347.96 5.17749613e+000 -1.00000000e+000 
268 1349.43 5.00059833e+000 -1.00000000e+000 
267 1350.89 4.84235123e+000 -1.00000000e+000 
266 1352.36 4.59093336e+000 -1.00000000e+000 
265 1353.82 4.39869754e+000 -1.00000000e+000 
264 1355.29 4.24778410e+000 -1.00000000e+000 
263 1356.75 4.12646122e+000 -1.00000000e+000 
262 1358.21 3.82677957e+000 -1.00000000e+000 
261 1359.67 3.61531490e+000 -1.00000000e+000 
260 1361.13 3.47594596e+000 -1.00000000e+000 
259 1362.59 3.39543403e+000 -1.00000000e+000 
258 1364.04 3.42741509e+000 -1.00000000e+000 
257 1365.50 3.43849375e+000 -1.00000000e+000 
256 1366.95 3.48137179e+000 -1.00000000e+000 
255 1368.41 3.47146729e+000 -1.00000000e+000 
254 1369.86 3.44675647e+000 -1.00000000e+000 
253 1371.31 3.50482618e+000 -1.00000000e+000 
252 1372.76 3.43931436e+000 -1.00000000e+000 
251 1374.21 3.39789709e+000 -1.00000000e+000 
250 1375.65 3.24740135e+000 -1.00000000e+000 
