% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE ORIGINAL FILES FOR SOURCES) and recorded on 2013-02-20 15:33:39.
% Average of the 20130212 and 20130214 Langley C0, refined_Langley_on_G1_firstL_flight_screened_2x_withOMIozone and refined_Langley_on_G1_secondL_flight_screened_2x_withOMIozone.
Pix Wavelength C0 C0err
511 949.79 4.51752706e+000 -1.00000000e+000 
510 949.79 4.64034449e+000 -1.00000000e+000 
509 951.68 4.96758029e+000 -1.00000000e+000 
508 953.57 4.98181044e+000 -1.00000000e+000 
507 955.46 5.36332492e+000 -1.00000000e+000 
506 957.34 5.41044092e+000 -1.00000000e+000 
505 959.22 5.78294291e+000 -1.00000000e+000 
504 961.10 5.81895056e+000 -1.00000000e+000 
503 962.98 6.14108746e+000 -1.00000000e+000 
502 964.85 6.09681413e+000 -1.00000000e+000 
501 966.72 6.49575422e+000 -1.00000000e+000 
500 968.59 6.46844897e+000 -1.00000000e+000 
499 970.45 6.79762699e+000 -1.00000000e+000 
498 972.32 6.75070900e+000 -1.00000000e+000 
497 974.18 7.03063757e+000 -1.00000000e+000 
496 976.04 6.95182970e+000 -1.00000000e+000 
495 977.89 7.19234584e+000 -1.00000000e+000 
494 979.74 7.07898828e+000 -1.00000000e+000 
493 981.59 7.28719095e+000 -1.00000000e+000 
492 983.44 7.16576286e+000 -1.00000000e+000 
491 985.29 7.37261802e+000 -1.00000000e+000 
490 987.13 7.18359714e+000 -1.00000000e+000 
489 988.97 7.38639368e+000 -1.00000000e+000 
488 990.81 7.20787257e+000 -1.00000000e+000 
487 992.65 7.37144841e+000 -1.00000000e+000 
486 994.48 7.20992203e+000 -1.00000000e+000 
485 996.31 7.33565797e+000 -1.00000000e+000 
484 998.14 7.13731480e+000 -1.00000000e+000 
483 999.97 7.27606311e+000 -1.00000000e+000 
482 1001.79 7.03568651e+000 -1.00000000e+000 
481 1003.62 7.09982555e+000 -1.00000000e+000 
480 1005.44 6.92793342e+000 -1.00000000e+000 
479 1007.25 7.12777948e+000 -1.00000000e+000 
478 1009.07 6.94313981e+000 -1.00000000e+000 
477 1010.88 7.10661025e+000 -1.00000000e+000 
476 1012.69 6.87918609e+000 -1.00000000e+000 
475 1014.50 6.99927523e+000 -1.00000000e+000 
474 1016.31 6.82178414e+000 -1.00000000e+000 
473 1018.11 6.95675920e+000 -1.00000000e+000 
472 1019.91 6.75014108e+000 -1.00000000e+000 
471 1021.71 6.88965267e+000 -1.00000000e+000 
470 1023.51 6.69941801e+000 -1.00000000e+000 
469 1025.30 6.83387640e+000 -1.00000000e+000 
468 1027.09 6.74853541e+000 -1.00000000e+000 
467 1028.88 6.88843638e+000 -1.00000000e+000 
466 1030.67 6.74506583e+000 -1.00000000e+000 
465 1032.46 6.88962605e+000 -1.00000000e+000 
464 1034.24 6.77243133e+000 -1.00000000e+000 
463 1036.02 6.93184702e+000 -1.00000000e+000 
462 1037.80 6.82161031e+000 -1.00000000e+000 
461 1039.58 7.02164081e+000 -1.00000000e+000 
460 1041.35 6.89905320e+000 -1.00000000e+000 
459 1043.12 7.03128148e+000 -1.00000000e+000 
458 1044.89 6.97217525e+000 -1.00000000e+000 
457 1046.66 7.17773971e+000 -1.00000000e+000 
456 1048.43 7.13708951e+000 -1.00000000e+000 
455 1050.19 7.32707835e+000 -1.00000000e+000 
454 1051.95 7.18022312e+000 -1.00000000e+000 
453 1053.71 7.40976528e+000 -1.00000000e+000 
452 1055.47 7.25901628e+000 -1.00000000e+000 
451 1057.23 7.39547165e+000 -1.00000000e+000 
450 1058.98 7.27078298e+000 -1.00000000e+000 
449 1060.73 7.42570193e+000 -1.00000000e+000 
448 1062.48 7.27721102e+000 -1.00000000e+000 
447 1064.23 7.40500273e+000 -1.00000000e+000 
446 1065.97 7.14677508e+000 -1.00000000e+000 
445 1067.71 7.17035986e+000 -1.00000000e+000 
444 1069.46 7.00042444e+000 -1.00000000e+000 
443 1071.19 7.09156912e+000 -1.00000000e+000 
442 1072.93 6.94358485e+000 -1.00000000e+000 
441 1074.67 7.01732100e+000 -1.00000000e+000 
440 1076.40 6.85905419e+000 -1.00000000e+000 
439 1078.13 6.92066807e+000 -1.00000000e+000 
438 1079.86 6.72952979e+000 -1.00000000e+000 
437 1081.58 6.80505373e+000 -1.00000000e+000 
436 1083.31 6.69856357e+000 -1.00000000e+000 
435 1085.03 6.86608078e+000 -1.00000000e+000 
434 1086.75 6.81870189e+000 -1.00000000e+000 
433 1088.47 6.97320729e+000 -1.00000000e+000 
432 1090.19 6.88923405e+000 -1.00000000e+000 
431 1091.90 7.01257625e+000 -1.00000000e+000 
430 1093.61 6.90482382e+000 -1.00000000e+000 
429 1095.33 7.07217131e+000 -1.00000000e+000 
428 1097.03 7.11254125e+000 -1.00000000e+000 
427 1098.74 7.34559298e+000 -1.00000000e+000 
426 1100.45 7.35952682e+000 -1.00000000e+000 
425 1102.15 7.60458378e+000 -1.00000000e+000 
424 1103.85 7.60636712e+000 -1.00000000e+000 
423 1105.55 7.82305925e+000 -1.00000000e+000 
422 1107.25 7.80444626e+000 -1.00000000e+000 
421 1108.94 8.00936688e+000 -1.00000000e+000 
420 1110.64 7.90003300e+000 -1.00000000e+000 
