% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE ORIGINAL FILES FOR SOURCES) and recorded on 2013-02-20 15:33:39.
% Average of the 20130212 and 20130214 Langley C0, refined_Langley_on_G1_firstL_flight_screened_2x_withOMIozone and refined_Langley_on_G1_secondL_flight_screened_2x_withOMIozone.
Pix Wavelength C0 C0err
0 171.85 -5.32867415e+006 -1.00000000e+000 
1 172.67 2.11324488e+007 -1.00000000e+000 
2 173.48 -5.83949510e+107 -1.00000000e+000 
3 174.29 -5.89433370e+030 -1.00000000e+000 
4 175.10 1.54064428e+016 -1.00000000e+000 
5 175.91 7.21589406e+015 -1.00000000e+000 
6 176.72 4.23619916e+015 -1.00000000e+000 
7 177.54 4.86028841e+015 -1.00000000e+000 
8 178.35 5.78194274e+015 -1.00000000e+000 
9 179.16 8.55108222e+015 -1.00000000e+000 
10 179.97 1.33177614e+016 -1.00000000e+000 
11 180.78 1.79125159e+016 -1.00000000e+000 
12 181.59 2.82825694e+016 -1.00000000e+000 
13 182.41 7.48720538e+016 -1.00000000e+000 
14 183.22 1.31416104e+017 -1.00000000e+000 
15 184.03 2.98032271e+017 -1.00000000e+000 
16 184.84 5.18455685e+017 -1.00000000e+000 
17 185.65 8.76046010e+017 -1.00000000e+000 
18 186.46 1.36376852e+018 -1.00000000e+000 
19 187.28 2.15491212e+018 -1.00000000e+000 
20 188.09 3.48312947e+018 -1.00000000e+000 
21 188.90 4.82704798e+018 -1.00000000e+000 
22 189.71 6.06676170e+018 -1.00000000e+000 
23 190.52 1.08502610e+019 -1.00000000e+000 
24 191.33 1.98380340e+019 -1.00000000e+000 
25 192.14 3.38129839e+019 -1.00000000e+000 
26 192.96 2.18678036e+019 -1.00000000e+000 
27 193.77 3.03764523e+019 -1.00000000e+000 
28 194.58 4.30141660e+019 -1.00000000e+000 
29 195.39 3.56727653e+019 -1.00000000e+000 
30 196.20 8.17673575e+019 -1.00000000e+000 
31 197.01 1.67650511e+020 -1.00000000e+000 
32 197.83 3.60480041e+020 -1.00000000e+000 
33 198.64 7.77340355e+020 -1.00000000e+000 
34 199.45 1.34869883e+021 -1.00000000e+000 
35 200.26 2.39105395e+021 -1.00000000e+000 
36 201.07 4.44547687e+021 -1.00000000e+000 
37 201.88 5.89368050e+021 -1.00000000e+000 
38 202.69 4.73440944e+021 -1.00000000e+000 
39 203.51 5.97721450e+021 -1.00000000e+000 
40 204.32 2.47468390e+022 -1.00000000e+000 
41 205.13 6.53655495e+022 -1.00000000e+000 
42 205.94 2.39675829e+023 -1.00000000e+000 
43 206.75 7.59294465e+023 -1.00000000e+000 
44 207.56 2.08910781e+024 -1.00000000e+000 
45 208.37 5.90473000e+024 -1.00000000e+000 
46 209.18 7.80758095e+024 -1.00000000e+000 
47 210.00 1.61509388e+025 -1.00000000e+000 
48 210.81 7.64592595e+025 -1.00000000e+000 
49 211.62 1.21881357e+026 -1.00000000e+000 
50 212.43 5.78643725e+027 -1.00000000e+000 
51 213.24 1.20152015e+029 -1.00000000e+000 
52 214.05 1.18644463e+030 -1.00000000e+000 
53 214.86 4.10664155e+029 -1.00000000e+000 
54 215.68 6.09332570e+028 -1.00000000e+000 
55 216.49 8.86844485e+027 -1.00000000e+000 
56 217.30 1.35594359e+027 -1.00000000e+000 
57 218.11 2.00485878e+026 -1.00000000e+000 
58 218.92 2.96087934e+025 -1.00000000e+000 
59 219.73 4.34845517e+024 -1.00000000e+000 
60 220.54 6.28875396e+023 -1.00000000e+000 
61 221.35 9.59121583e+022 -1.00000000e+000 
62 222.17 1.40414588e+022 -1.00000000e+000 
63 222.98 2.05259183e+021 -1.00000000e+000 
64 223.79 3.22134821e+020 -1.00000000e+000 
65 224.60 4.59109730e+019 -1.00000000e+000 
66 225.41 6.87137826e+018 -1.00000000e+000 
67 226.22 1.04086545e+018 -1.00000000e+000 
68 227.03 1.59993660e+017 -1.00000000e+000 
69 227.84 2.87508856e+016 -1.00000000e+000 
70 228.65 7.09816327e+015 -1.00000000e+000 
71 229.47 3.19654379e+015 -1.00000000e+000 
72 230.28 3.14409286e+015 -1.00000000e+000 
73 231.09 7.19478254e+015 -1.00000000e+000 
74 231.90 3.52958098e+016 -1.00000000e+000 
75 232.71 2.47094688e+017 -1.00000000e+000 
76 233.52 2.14292122e+018 -1.00000000e+000 
77 234.33 2.04250017e+019 -1.00000000e+000 
78 235.14 1.94970054e+020 -1.00000000e+000 
79 235.95 1.90069745e+021 -1.00000000e+000 
80 236.77 1.91796548e+022 -1.00000000e+000 
81 237.58 1.86856103e+023 -1.00000000e+000 
82 238.39 1.91437927e+024 -1.00000000e+000 
83 239.20 1.95465853e+025 -1.00000000e+000 
84 240.01 1.95256488e+026 -1.00000000e+000 
85 240.82 1.82445745e+027 -1.00000000e+000 
86 241.63 1.58079718e+028 -1.00000000e+000 
87 242.44 1.23677205e+029 -1.00000000e+000 
88 243.25 9.04516965e+029 -1.00000000e+000 
89 244.06 2.04545861e+030 -1.00000000e+000 
90 244.88 2.36823473e+029 -1.00000000e+000 
91 245.69 1.56385334e+028 -1.00000000e+000 
92 246.50 5.30488915e+026 -1.00000000e+000 
93 247.31 9.62927330e+025 -1.00000000e+000 
94 248.12 6.78600715e+025 -1.00000000e+000 
95 248.93 2.36323640e+025 -1.00000000e+000 
96 249.74 7.01047035e+024 -1.00000000e+000 
97 250.55 1.09749126e+025 -1.00000000e+000 
98 251.36 1.67202361e+025 -1.00000000e+000 
99 252.17 1.76642878e+025 -1.00000000e+000 
100 252.98 1.49126707e+025 -1.00000000e+000 
101 253.79 1.26706715e+025 -1.00000000e+000 
102 254.61 1.21424838e+025 -1.00000000e+000 
103 255.42 1.19227736e+025 -1.00000000e+000 
104 256.23 1.54941523e+025 -1.00000000e+000 
105 257.04 1.85910714e+025 -1.00000000e+000 
106 257.85 1.72912090e+025 -1.00000000e+000 
107 258.66 1.20003428e+025 -1.00000000e+000 
108 259.47 1.18602714e+025 -1.00000000e+000 
109 260.28 1.96750625e+025 -1.00000000e+000 
110 261.09 1.68305957e+026 -1.00000000e+000 
111 261.90 1.02759259e+026 -1.00000000e+000 
112 262.71 2.95532306e+027 -1.00000000e+000 
113 263.52 7.37963000e+028 -1.00000000e+000 
114 264.33 8.58614115e+029 -1.00000000e+000 
115 265.14 3.36184508e+030 -1.00000000e+000 
116 265.95 4.57442675e+029 -1.00000000e+000 
117 266.76 5.20329130e+028 -1.00000000e+000 
118 267.58 5.10380605e+027 -1.00000000e+000 
