% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20130214starsunPCA.mat and recorded on 2013-02-24 12:19:58.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.54173422e+000 -1.00000000e+000 
510 949.79 4.76431768e+000 -1.00000000e+000 
509 951.68 5.10098309e+000 -1.00000000e+000 
508 953.57 5.10849410e+000 -1.00000000e+000 
507 955.46 5.49842306e+000 -1.00000000e+000 
506 957.34 5.52683117e+000 -1.00000000e+000 
505 959.22 5.91093846e+000 -1.00000000e+000 
504 961.10 5.94857116e+000 -1.00000000e+000 
503 962.98 6.26888253e+000 -1.00000000e+000 
502 964.85 6.20534758e+000 -1.00000000e+000 
501 966.72 6.61635604e+000 -1.00000000e+000 
500 968.59 6.58361615e+000 -1.00000000e+000 
499 970.45 6.92671549e+000 -1.00000000e+000 
498 972.32 6.88769396e+000 -1.00000000e+000 
497 974.18 7.17332745e+000 -1.00000000e+000 
496 976.04 7.09281081e+000 -1.00000000e+000 
495 977.89 7.32341920e+000 -1.00000000e+000 
494 979.74 7.20348320e+000 -1.00000000e+000 
493 981.59 7.43748922e+000 -1.00000000e+000 
492 983.44 7.29610343e+000 -1.00000000e+000 
491 985.29 7.51992597e+000 -1.00000000e+000 
490 987.13 7.31194163e+000 -1.00000000e+000 
489 988.97 7.50734832e+000 -1.00000000e+000 
488 990.81 7.32715436e+000 -1.00000000e+000 
487 992.65 7.49196748e+000 -1.00000000e+000 
486 994.48 7.34316067e+000 -1.00000000e+000 
485 996.31 7.45626612e+000 -1.00000000e+000 
484 998.14 7.26025245e+000 -1.00000000e+000 
483 999.97 7.40171290e+000 -1.00000000e+000 
482 1001.79 7.15934745e+000 -1.00000000e+000 
481 1003.62 7.23403673e+000 -1.00000000e+000 
480 1005.44 7.05831454e+000 -1.00000000e+000 
479 1007.25 7.26302950e+000 -1.00000000e+000 
478 1009.07 7.07012004e+000 -1.00000000e+000 
477 1010.88 7.24466384e+000 -1.00000000e+000 
476 1012.69 7.02100016e+000 -1.00000000e+000 
475 1014.50 7.13165560e+000 -1.00000000e+000 
474 1016.31 6.96074297e+000 -1.00000000e+000 
473 1018.11 7.10021503e+000 -1.00000000e+000 
472 1019.91 6.87823989e+000 -1.00000000e+000 
471 1021.71 7.01679370e+000 -1.00000000e+000 
470 1023.51 6.83907652e+000 -1.00000000e+000 
469 1025.30 6.95796836e+000 -1.00000000e+000 
468 1027.09 6.88227605e+000 -1.00000000e+000 
467 1028.88 7.00686134e+000 -1.00000000e+000 
466 1030.67 6.88188330e+000 -1.00000000e+000 
465 1032.46 7.02505146e+000 -1.00000000e+000 
464 1034.24 6.90604820e+000 -1.00000000e+000 
463 1036.02 7.07146508e+000 -1.00000000e+000 
462 1037.80 6.96258782e+000 -1.00000000e+000 
461 1039.58 7.16053209e+000 -1.00000000e+000 
460 1041.35 7.03643748e+000 -1.00000000e+000 
459 1043.12 7.16712982e+000 -1.00000000e+000 
458 1044.89 7.10311884e+000 -1.00000000e+000 
457 1046.66 7.31240575e+000 -1.00000000e+000 
456 1048.43 7.27475258e+000 -1.00000000e+000 
455 1050.19 7.45880886e+000 -1.00000000e+000 
454 1051.95 7.29077751e+000 -1.00000000e+000 
453 1053.71 7.54403834e+000 -1.00000000e+000 
452 1055.47 7.37828973e+000 -1.00000000e+000 
451 1057.23 7.52512624e+000 -1.00000000e+000 
450 1058.98 7.40261842e+000 -1.00000000e+000 
