% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE ORIGINAL FILES FOR SOURCES) and recorded on 2014-07-17 17:53:13.
% Average of the 20130708, 20130709, 20130710, 20130711, 20130712 Langley C0, refined_Langley_at_MLO_screened_3.0x.
Pix Wavelength C0 C0err
511 949.79 5.10918083e+000 1.16607556e-001 
510 949.79 5.25301732e+000 1.12698202e-001 
509 951.68 5.65128028e+000 1.15062305e-001 
508 953.57 5.72449385e+000 1.13744252e-001 
507 955.46 6.20626183e+000 1.22813876e-001 
506 957.34 6.33059007e+000 1.21824361e-001 
505 959.22 6.83971091e+000 1.25608741e-001 
504 961.10 6.95682554e+000 1.18069044e-001 
503 962.98 7.42606323e+000 1.15155890e-001 
502 964.85 7.44561968e+000 1.13955894e-001 
501 966.72 7.99274915e+000 1.18047393e-001 
500 968.59 8.04175497e+000 1.15349991e-001 
499 970.45 8.46934510e+000 1.19429970e-001 
498 972.32 8.40279065e+000 1.20596669e-001 
497 974.18 8.75223492e+000 1.21245413e-001 
496 976.04 8.66082789e+000 1.19493753e-001 
495 977.89 9.01031797e+000 1.23081347e-001 
494 979.74 8.92695721e+000 1.28233017e-001 
493 981.59 9.23791992e+000 1.29334838e-001 
492 983.44 9.11513200e+000 1.27466480e-001 
491 985.29 9.37262308e+000 1.33082937e-001 
490 987.13 9.15225481e+000 1.24628026e-001 
489 988.97 9.40442273e+000 1.21163252e-001 
488 990.81 9.20365124e+000 1.28273924e-001 
487 992.65 9.37460399e+000 1.25833854e-001 
486 994.48 9.16641103e+000 1.21168438e-001 
485 996.31 9.31038528e+000 1.31009816e-001 
484 998.14 9.06681008e+000 1.23446766e-001 
483 999.97 9.22595933e+000 1.34416480e-001 
482 1001.79 8.92463782e+000 1.28418568e-001 
481 1003.62 9.00908781e+000 1.29726749e-001 
480 1005.44 8.78469723e+000 1.22419150e-001 
479 1007.25 9.03752913e+000 1.27557088e-001 
478 1009.07 8.84045328e+000 1.32941843e-001 
477 1010.88 9.01146165e+000 1.35515064e-001 
476 1012.69 8.75640528e+000 1.32363252e-001 
475 1014.50 8.87006355e+000 1.35329524e-001 
474 1016.31 8.63844482e+000 1.29670135e-001 
473 1018.11 8.80159994e+000 1.40100441e-001 
472 1019.91 8.55844652e+000 1.28006358e-001 
471 1021.71 8.71126993e+000 1.28800244e-001 
470 1023.51 8.47275272e+000 1.20275597e-001 
469 1025.30 8.65626773e+000 1.22774073e-001 
468 1027.09 8.53650461e+000 1.21347672e-001 
467 1028.88 8.68566674e+000 1.24832251e-001 
466 1030.67 8.52454986e+000 1.22211954e-001 
