% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (See the original C0 files noted in the next line.) and recorded on 2014-10-13 11:39:20.
% Data outside 3.0x the STD of 500 nm Langley residuals were screened out. Multiplied by 0.99 to be closer to AATS on the ground, while keeping AOD positive for many (not all) data points.
Pix Wavelength C0 C0err
511 949.79 4.95590541e+000 1.48677162e-001 
510 949.79 5.09542680e+000 1.52862804e-001 
509 951.68 5.48174187e+000 1.64452256e-001 
508 953.57 5.55275903e+000 1.66582771e-001 
507 955.46 6.02007398e+000 1.80602219e-001 
506 957.34 6.14067237e+000 1.84220171e-001 
505 959.22 6.63451958e+000 1.99035588e-001 
504 961.10 6.74812077e+000 2.02443623e-001 
503 962.98 7.20328133e+000 2.16098440e-001 
502 964.85 7.22225109e+000 2.16667533e-001 
501 966.72 7.75296668e+000 2.32589000e-001 
500 968.59 7.80050232e+000 2.34015070e-001 
499 970.45 8.21526475e+000 2.46457942e-001 
498 972.32 8.15070693e+000 2.44521208e-001 
497 974.18 8.48966788e+000 2.54690036e-001 
496 976.04 8.40100306e+000 2.52030092e-001 
495 977.89 8.74000843e+000 2.62200253e-001 
494 979.74 8.65914850e+000 2.59774455e-001 
493 981.59 8.96078232e+000 2.68823470e-001 
492 983.44 8.84167804e+000 2.65250341e-001 
491 985.29 9.09144439e+000 2.72743332e-001 
490 987.13 8.87768717e+000 2.66330615e-001 
489 988.97 9.12229005e+000 2.73668701e-001 
488 990.81 8.92754170e+000 2.67826251e-001 
487 992.65 9.09336587e+000 2.72800976e-001 
486 994.48 8.89141870e+000 2.66742561e-001 
485 996.31 9.03107372e+000 2.70932212e-001 
484 998.14 8.79480577e+000 2.63844173e-001 
483 999.97 8.94918055e+000 2.68475417e-001 
482 1001.79 8.65689869e+000 2.59706961e-001 
481 1003.62 8.73881518e+000 2.62164455e-001 
480 1005.44 8.52115631e+000 2.55634689e-001 
479 1007.25 8.76640326e+000 2.62992098e-001 
478 1009.07 8.57523969e+000 2.57257191e-001 
477 1010.88 8.74111780e+000 2.62233534e-001 
476 1012.69 8.49371312e+000 2.54811394e-001 
475 1014.50 8.60396164e+000 2.58118849e-001 
474 1016.31 8.37929147e+000 2.51378744e-001 
473 1018.11 8.53755195e+000 2.56126558e-001 
472 1019.91 8.30169312e+000 2.49050794e-001 
471 1021.71 8.44993183e+000 2.53497955e-001 
470 1023.51 8.21857014e+000 2.46557104e-001 
469 1025.30 8.39657970e+000 2.51897391e-001 
468 1027.09 8.28040947e+000 2.48412284e-001 
467 1028.88 8.42509674e+000 2.52752902e-001 
466 1030.67 8.26881336e+000 2.48064401e-001 
465 1032.46 8.43927189e+000 2.53178157e-001 
464 1034.24 8.28195698e+000 2.48458710e-001 
463 1036.02 8.47748693e+000 2.54324608e-001 
462 1037.80 8.36073487e+000 2.50822046e-001 
461 1039.58 8.57748708e+000 2.57324612e-001 
460 1041.35 8.43974662e+000 2.53192399e-001 
459 1043.12 8.59984213e+000 2.57995264e-001 
458 1044.89 8.51714799e+000 2.55514440e-001 
457 1046.66 8.75099835e+000 2.62529951e-001 
456 1048.43 8.69565739e+000 2.60869722e-001 
455 1050.19 8.93313835e+000 2.67994151e-001 
454 1051.95 8.79034021e+000 2.63710206e-001 
453 1053.71 9.04907243e+000 2.71472173e-001 
452 1055.47 8.89242576e+000 2.66772773e-001 
451 1057.23 9.03860935e+000 2.71158281e-001 
450 1058.98 8.88584931e+000 2.66575479e-001 
449 1060.73 9.06674454e+000 2.72002336e-001 
448 1062.48 8.87133757e+000 2.66140127e-001 
447 1064.23 9.00088508e+000 2.70026553e-001 
446 1065.97 8.70404601e+000 2.61121380e-001 
445 1067.71 8.73745096e+000 2.62123529e-001 
444 1069.46 8.53474367e+000 2.56042310e-001 
443 1071.19 8.64798412e+000 2.59439524e-001 
