% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20130708-20130711 and recorded on 2014-11-18 15:13:17.
% Modified Langley processed for 0.8823-0.9945 micron region
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+000 0.00000000e+000 
1 173.97 2.02860928e+006 0.00000000e+000 
2 174.77 -1.86948151e+006 0.00000000e+000 
3 175.56 2.69932835e+006 0.00000000e+000 
4 176.36 6.28683592e+008 0.00000000e+000 
5 177.15 7.84639767e+008 0.00000000e+000 
6 177.94 9.95124112e+008 0.00000000e+000 
7 178.74 1.28542881e+009 0.00000000e+000 
8 179.53 1.58593695e+009 0.00000000e+000 
9 180.33 2.02098281e+009 0.00000000e+000 
10 181.12 2.45872509e+009 0.00000000e+000 
11 181.92 3.17792544e+009 0.00000000e+000 
12 182.71 3.99847487e+009 0.00000000e+000 
13 183.51 5.34397378e+009 0.00000000e+000 
14 184.30 6.71765061e+009 0.00000000e+000 
15 185.10 8.98245885e+009 0.00000000e+000 
16 185.89 1.26451429e+010 0.00000000e+000 
17 186.69 1.66224926e+010 0.00000000e+000 
18 187.49 2.23143605e+010 0.00000000e+000 
19 188.28 3.10294651e+010 0.00000000e+000 
20 189.08 4.27541884e+010 0.00000000e+000 
21 189.88 5.92842268e+010 0.00000000e+000 
22 190.67 8.23119779e+010 0.00000000e+000 
23 191.47 1.18950792e+011 0.00000000e+000 
24 192.27 1.68692359e+011 0.00000000e+000 
25 193.07 2.51458716e+011 0.00000000e+000 
26 193.86 3.80549593e+011 0.00000000e+000 
27 194.66 5.81763732e+011 0.00000000e+000 
28 195.46 8.74867705e+011 0.00000000e+000 
29 196.26 1.37804960e+012 0.00000000e+000 
30 197.05 2.21982557e+012 0.00000000e+000 
31 197.85 3.64924351e+012 0.00000000e+000 
32 198.65 5.44898814e+012 0.00000000e+000 
33 199.45 9.18113963e+012 0.00000000e+000 
34 200.25 1.65474602e+013 0.00000000e+000 
35 201.05 3.05600234e+013 0.00000000e+000 
36 201.85 5.79612047e+013 0.00000000e+000 
37 202.64 1.11718368e+014 0.00000000e+000 
38 203.44 2.18205708e+014 0.00000000e+000 
39 204.24 3.91718864e+014 0.00000000e+000 
40 205.04 8.70431420e+014 0.00000000e+000 
41 205.84 2.07424878e+015 0.00000000e+000 
42 206.64 5.08933333e+015 0.00000000e+000 
43 207.44 1.36237884e+016 0.00000000e+000 
44 208.24 3.82191981e+016 0.00000000e+000 
45 209.04 1.14844611e+017 0.00000000e+000 
46 209.84 3.53630826e+017 0.00000000e+000 
47 210.64 1.32814863e+018 0.00000000e+000 
48 211.44 4.97537262e+018 0.00000000e+000 
49 212.24 2.18883503e+019 0.00000000e+000 
50 213.05 1.14542563e+020 0.00000000e+000 
51 213.85 5.19541351e+020 0.00000000e+000 
52 214.65 2.11761004e+020 4.01324399e+004 
53 215.45 9.22768873e+019 0.00000000e+000 
54 216.25 4.77363321e+019 0.00000000e+000 
55 217.05 1.23530033e+019 0.00000000e+000 
56 217.85 3.23362398e+018 0.00000000e+000 
57 218.65 8.64282677e+017 0.00000000e+000 
58 219.46 2.23421533e+017 0.00000000e+000 
59 220.26 5.70246791e+016 0.00000000e+000 
60 221.06 1.49229654e+016 0.00000000e+000 
61 221.86 4.00814347e+015 0.00000000e+000 
62 222.66 1.05787691e+015 0.00000000e+000 
