% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20141002starsun.mat and recorded on 2015-02-03 15:23:51.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 2.03993341e+000 3.05990011e-002 
510 949.79 4.32362288e+000 6.48543433e-002 
509 951.68 4.94741778e+000 7.42112667e-002 
508 953.57 4.97939297e+000 7.46908945e-002 
507 955.46 5.46011905e+000 8.19017857e-002 
506 957.34 5.36780936e+000 8.05171404e-002 
505 959.22 5.93532999e+000 8.90299498e-002 
504 961.10 5.97670907e+000 8.96506360e-002 
503 962.98 6.34598125e+000 9.51897188e-002 
502 964.85 6.05779671e+000 9.08669507e-002 
501 966.72 6.67334802e+000 1.00100220e-001 
500 968.59 6.50243026e+000 9.75364539e-002 
499 970.45 6.96020540e+000 1.04403081e-001 
498 972.32 6.98887817e+000 1.04833173e-001 
497 974.18 7.26142200e+000 1.08921330e-001 
496 976.04 7.17264015e+000 1.07589602e-001 
495 977.89 7.26660617e+000 1.08999093e-001 
494 979.74 7.02788727e+000 1.05418309e-001 
493 981.59 7.55007521e+000 1.13251128e-001 
492 983.44 7.23282512e+000 1.08492377e-001 
491 985.29 7.59123693e+000 1.13868554e-001 
490 987.13 7.26263541e+000 1.08939531e-001 
489 988.97 7.45446598e+000 1.11816990e-001 
488 990.81 7.24815284e+000 1.08722293e-001 
487 992.65 7.39814973e+000 1.10972246e-001 
486 994.48 7.38885959e+000 1.10832894e-001 
485 996.31 7.29454726e+000 1.09418209e-001 
484 998.14 7.09763387e+000 1.06464508e-001 
483 999.97 7.36522819e+000 1.10478423e-001 
482 1001.79 7.22215630e+000 1.08332344e-001 
481 1003.62 7.28162779e+000 1.09224417e-001 
480 1005.44 7.11401933e+000 1.06710290e-001 
479 1007.25 7.31350213e+000 1.09702532e-001 
478 1009.07 6.83812636e+000 1.02571895e-001 
477 1010.88 7.30230995e+000 1.09534649e-001 
476 1012.69 7.07444134e+000 1.06116620e-001 
475 1014.50 7.16885343e+000 1.07532801e-001 
474 1016.31 7.00183260e+000 1.05027489e-001 
