% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20141002starsun_R2.mat and recorded on 2015-10-20 17:03:43.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.54859616e+00 6.82289424e-02 
510 949.79 4.68431823e+00 7.02647734e-02 
509 951.68 5.02241984e+00 7.53362976e-02 
508 953.57 5.06319372e+00 7.59479058e-02 
507 955.46 5.46143480e+00 8.19215219e-02 
506 957.34 5.54134425e+00 8.31201637e-02 
505 959.22 5.93633670e+00 8.90450505e-02 
504 961.10 5.98198468e+00 8.97297702e-02 
503 962.98 6.35044345e+00 9.52566518e-02 
502 964.85 6.30837768e+00 9.46256652e-02 
501 966.72 6.72082312e+00 1.00812347e-01 
500 968.59 6.71407578e+00 1.00711137e-01 
499 970.45 7.04239844e+00 1.05635977e-01 
498 972.32 6.99338106e+00 1.04900716e-01 
497 974.18 7.26714902e+00 1.09007235e-01 
496 976.04 7.17661114e+00 1.07649167e-01 
495 977.89 7.45109439e+00 1.11766416e-01 
494 979.74 7.32187608e+00 1.09828141e-01 
493 981.59 7.55507589e+00 1.13326138e-01 
492 983.44 7.40427928e+00 1.11064189e-01 
491 985.29 7.60219020e+00 1.14032853e-01 
490 987.13 7.41611594e+00 1.11241739e-01 
489 988.97 7.62093658e+00 1.14314049e-01 
488 990.81 7.44094040e+00 1.11614106e-01 
487 992.65 7.57996987e+00 1.13699548e-01 
486 994.48 7.39632267e+00 1.10944840e-01 
485 996.31 7.53597914e+00 1.13039687e-01 
484 998.14 7.31857909e+00 1.09778686e-01 
483 999.97 7.46446942e+00 1.11967041e-01 
482 1001.79 7.22796099e+00 1.08419415e-01 
481 1003.62 7.28783836e+00 1.09317575e-01 
480 1005.44 7.11979058e+00 1.06796859e-01 
479 1007.25 7.32073577e+00 1.09811037e-01 
478 1009.07 7.14978722e+00 1.07246808e-01 
477 1010.88 7.30842022e+00 1.09626303e-01 
476 1012.69 7.08180073e+00 1.06227011e-01 
475 1014.50 7.19083522e+00 1.07862528e-01 
474 1016.31 7.00742017e+00 1.05111303e-01 
473 1018.11 7.13143471e+00 1.06971521e-01 
472 1019.91 6.91989162e+00 1.03798374e-01 
471 1021.71 7.04502540e+00 1.05675381e-01 
470 1023.51 6.84830755e+00 1.02724613e-01 
469 1025.30 6.99379899e+00 1.04906985e-01 
468 1027.09 6.89321004e+00 1.03398151e-01 
467 1028.88 7.01657290e+00 1.05248594e-01 
466 1030.67 6.88343545e+00 1.03251532e-01 
465 1032.46 7.03697348e+00 1.05554602e-01 
464 1034.24 6.89000695e+00 1.03350104e-01 
463 1036.02 7.04912634e+00 1.05736895e-01 
462 1037.80 6.95012368e+00 1.04251855e-01 
461 1039.58 7.14106401e+00 1.07115960e-01 
460 1041.35 7.01867052e+00 1.05280058e-01 
459 1043.12 7.17759093e+00 1.07663864e-01 
458 1044.89 7.11371100e+00 1.06705665e-01 
457 1046.66 7.30039733e+00 1.09505960e-01 
456 1048.43 7.24671680e+00 1.08700752e-01 
455 1050.19 7.44223724e+00 1.11633559e-01 
454 1051.95 7.30796796e+00 1.09619519e-01 
453 1053.71 7.52751690e+00 1.12912754e-01 
452 1055.47 7.38760728e+00 1.10814109e-01 
451 1057.23 7.52659447e+00 1.12898917e-01 
450 1058.98 7.40256123e+00 1.11038418e-01 
449 1060.73 7.56796139e+00 1.13519421e-01 
448 1062.48 7.41871671e+00 1.11280751e-01 
447 1064.23 7.51421887e+00 1.12713283e-01 
446 1065.97 7.26414725e+00 1.08962209e-01 
445 1067.71 7.31370057e+00 1.09705509e-01 
444 1069.46 7.11898137e+00 1.06784721e-01 
443 1071.19 7.21313578e+00 1.08197037e-01 
442 1072.93 7.07611326e+00 1.06141699e-01 
441 1074.67 7.15053161e+00 1.07257974e-01 
440 1076.40 6.98480489e+00 1.04772073e-01 
439 1078.13 7.01047263e+00 1.05157089e-01 
438 1079.86 6.80932047e+00 1.02139807e-01 
437 1081.58 6.88775788e+00 1.03316368e-01 
436 1083.31 6.77735745e+00 1.01660362e-01 
435 1085.03 6.94109674e+00 1.04116451e-01 
434 1086.75 6.87038621e+00 1.03055793e-01 
433 1088.47 7.00148253e+00 1.05022238e-01 
432 1090.19 6.91593151e+00 1.03738973e-01 
431 1091.90 7.02640955e+00 1.05396143e-01 
430 1093.61 6.90852210e+00 1.03627832e-01 
429 1095.33 7.10770504e+00 1.06615576e-01 
428 1097.03 7.14353284e+00 1.07152993e-01 
427 1098.74 7.37905978e+00 1.10685897e-01 
426 1100.45 7.40567028e+00 1.11085054e-01 
425 1102.15 7.64815724e+00 1.14722359e-01 
424 1103.85 7.63322406e+00 1.14498361e-01 
423 1105.55 7.86488645e+00 1.17973297e-01 
422 1107.25 7.81851372e+00 1.17277706e-01 
421 1108.94 7.96420159e+00 1.19463024e-01 
420 1110.64 7.81048141e+00 1.17157221e-01 
419 1112.33 7.89922359e+00 1.18488354e-01 
418 1114.02 7.63716412e+00 1.14557462e-01 
417 1115.70 7.63568115e+00 1.14535217e-01 
416 1117.39 7.43348617e+00 1.11502293e-01 
415 1119.07 7.42668885e+00 1.11400333e-01 
414 1120.76 7.28620909e+00 1.09293136e-01 
413 1122.44 7.37183120e+00 1.10577468e-01 
412 1124.12 7.30085651e+00 1.09512848e-01 
411 1125.79 7.46322390e+00 1.11948358e-01 
410 1127.47 7.56220590e+00 1.13433088e-01 
409 1129.14 7.78423250e+00 1.16763487e-01 
408 1130.81 7.48238468e+00 1.12235770e-01 
407 1132.48 7.40272514e+00 1.11040877e-01 
406 1134.15 7.27453450e+00 1.09118018e-01 
405 1135.81 7.49871888e+00 1.12480783e-01 
