% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20141002starsun_R2.mat and recorded on 2015-10-20 17:03:43.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 6.15299322e+12 9.22948982e+10 
2 174.77 -4.03946238e+12 -6.05919357e+10 
3 175.56 3.18398459e+11 4.77597688e+09 
4 176.36 8.73884495e+14 1.31082674e+13 
5 177.15 6.20675090e+14 9.31012635e+12 
6 177.94 3.20243498e+14 4.80365246e+12 
7 178.74 8.74613238e+13 1.31191986e+12 
8 179.53 2.40153702e+13 3.60230552e+11 
9 180.33 1.42920705e+13 2.14381057e+11 
10 181.12 9.25481377e+12 1.38822207e+11 
11 181.92 5.78924640e+12 8.68386960e+10 
12 182.71 4.49634159e+12 6.74451238e+10 
13 183.51 3.24371319e+12 4.86556979e+10 
14 184.30 2.14766025e+12 3.22149037e+10 
15 185.10 1.55662444e+12 2.33493666e+10 
16 185.89 1.04939809e+12 1.57409714e+10 
17 186.69 6.58378202e+11 9.87567302e+09 
18 187.49 4.76660035e+11 7.14990052e+09 
19 188.28 3.06505999e+11 4.59758998e+09 
20 189.08 2.15294311e+11 3.22941467e+09 
21 189.88 1.44562969e+11 2.16844454e+09 
22 190.67 9.33714188e+10 1.40057128e+09 
23 191.47 6.50103295e+10 9.75154942e+08 
24 192.27 4.06636798e+10 6.09955197e+08 
25 193.07 2.74521924e+10 4.11782886e+08 
26 193.86 1.85552755e+10 2.78329133e+08 
27 194.66 1.19126640e+10 1.78689960e+08 
28 195.46 9.18392443e+09 1.37758866e+08 
29 196.26 5.79720443e+09 8.69580665e+07 
30 197.05 2.23431384e+10 3.35147076e+08 
31 197.85 3.38182982e+14 5.07274472e+12 
32 198.65 2.58568383e+14 3.87852574e+12 
33 199.45 1.45391813e+14 2.18087719e+12 
34 200.25 8.21020461e+13 1.23153069e+12 
35 201.05 4.35438278e+13 6.53157416e+11 
36 201.85 2.33322148e+13 3.49983223e+11 
37 202.64 1.35508530e+13 2.03262796e+11 
38 203.44 7.25510618e+12 1.08826593e+11 
39 204.24 3.82648013e+12 5.73972019e+10 
40 205.04 2.22261952e+12 3.33392929e+10 
41 205.84 1.20912539e+12 1.81368809e+10 
42 206.64 6.89606185e+11 1.03440928e+10 
43 207.44 3.70403951e+11 5.55605926e+09 
44 208.24 1.97812921e+11 2.96719381e+09 
45 209.04 1.39955525e+14 2.09933287e+12 
46 209.84 6.34947346e+17 9.52421019e+15 
47 210.64 7.35398550e+18 1.10309782e+17 
48 211.44 1.99822691e+19 2.99734037e+17 
49 212.24 8.06637417e+18 1.20995613e+17 
50 213.05 9.97992949e+18 1.49698942e+17 
51 213.85 3.65096450e+19 5.47644675e+17 
52 214.65 6.38431622e+19 9.57647433e+17 
53 215.45 4.10095316e+20 6.15142974e+18 
54 216.25 5.19163308e+20 7.78744961e+18 
55 217.05 1.72539603e+20 2.58809405e+18 
56 217.85 2.34033661e+20 3.51050492e+18 
57 218.65 6.47502181e+19 9.71253271e+17 
58 219.46 1.54574334e+19 2.31861502e+17 
59 220.26 3.77626250e+18 5.66439375e+16 
60 221.06 8.52004564e+17 1.27800685e+16 
61 221.86 2.07092034e+17 3.10638051e+15 
62 222.66 4.94890689e+16 7.42336033e+14 
63 223.47 1.16174148e+16 1.74261222e+14 
64 224.27 2.86515624e+15 4.29773435e+13 
65 225.07 6.65114413e+14 9.97671620e+12 
66 225.87 1.59032707e+14 2.38549060e+12 
67 226.68 3.77763600e+13 5.66645399e+11 
68 227.48 9.52060856e+12 1.42809128e+11 
69 228.28 2.58167766e+12 3.87251649e+10 
70 229.09 8.72350285e+11 1.30852543e+10 
71 229.89 4.83082074e+11 7.24623111e+09 
72 230.69 4.71324860e+11 7.06987291e+09 
73 231.49 8.97198983e+11 1.34579847e+10 
74 232.30 2.90713132e+12 4.36069698e+10 
75 233.10 1.29444408e+13 1.94166611e+11 
76 233.91 6.54992467e+13 9.82488700e+11 
77 234.71 3.38690366e+14 5.08035549e+12 
78 235.51 1.96883029e+15 2.95324543e+13 
79 236.32 1.06684790e+16 1.60027185e+14 
80 237.12 6.04815926e+16 9.07223888e+14 
81 237.92 3.47658524e+17 5.21487785e+15 
82 238.73 2.08049152e+18 3.12073729e+16 
83 239.53 1.20709314e+19 1.81063971e+17 
84 240.34 6.72195604e+19 1.00829341e+18 
85 241.14 3.48064171e+20 5.22096256e+18 
86 241.94 2.54426214e+20 3.81639321e+18 
87 242.75 7.82492562e+20 1.17373884e+19 
88 243.55 5.38366404e+20 8.07549606e+18 
89 244.36 8.80466163e+19 1.32069924e+18 
90 245.16 5.97759607e+19 8.96639410e+17 
91 245.97 1.83137657e+19 2.74706485e+17 
92 246.77 1.11494194e+19 1.67241291e+17 
93 247.58 1.90452534e+19 2.85678800e+17 
94 248.38 2.93533953e+19 4.40300929e+17 
95 249.19 1.24311413e+19 1.86467119e+17 
96 249.99 5.51296289e+18 8.26944433e+16 
97 250.80 1.61842461e+18 2.42763692e+16 
98 251.60 6.29505443e+17 9.44258164e+15 
99 252.41 8.63576206e+16 1.29536431e+15 
100 253.21 2.11078039e+16 3.16617059e+14 
101 254.02 4.07104834e+15 6.10657250e+13 
102 254.83 5.25775178e+14 7.88662766e+12 
103 255.63 7.21454522e+14 1.08218178e+13 
104 256.44 1.32573668e+16 1.98860502e+14 
105 257.24 1.27978637e+17 1.91967955e+15 
106 258.05 6.00569582e+17 9.00854373e+15 
107 258.85 1.36786334e+18 2.05179502e+16 
108 259.66 6.95106732e+18 1.04266010e+17 
109 260.46 1.78634433e+19 2.67951649e+17 
110 261.27 3.81506137e+19 5.72259205e+17 
111 262.08 1.80310492e+19 2.70465739e+17 
112 262.88 1.14846132e+19 1.72269198e+17 
113 263.69 4.84230979e+19 7.26346469e+17 
114 264.50 5.86714457e+19 8.80071685e+17 
115 265.30 2.79013400e+20 4.18520101e+18 
116 266.11 1.25969037e+21 1.88953556e+19 
117 266.91 5.17752583e+20 7.76628874e+18 
118 267.72 3.33657576e+20 5.00486364e+18 
119 268.53 1.25304946e+20 1.87957419e+18 
120 269.33 2.06640513e+19 3.09960769e+17 
121 270.14 3.87044365e+18 5.80566548e+16 
122 270.95 6.96993409e+17 1.04549011e+16 
123 271.75 1.14062244e+17 1.71093366e+15 
124 272.56 1.78621217e+16 2.67931825e+14 
125 273.37 2.59291229e+15 3.88936843e+13 
126 274.17 3.64417645e+14 5.46626468e+12 
127 274.98 5.78245426e+13 8.67368140e+11 
128 275.79 1.00615231e+13 1.50922846e+11 
129 276.59 1.81157560e+12 2.71736340e+10 
130 277.40 3.52089875e+11 5.28134813e+09 
131 278.21 6.33761678e+10 9.50642517e+08 
132 279.01 1.23880863e+10 1.85821295e+08 
133 279.82 2.41204185e+09 3.61806278e+07 
134 280.63 4.98997223e+08 7.48495834e+06 
135 281.44 1.02945557e+08 1.54418336e+06 
136 282.24 2.45625725e+07 3.68438588e+05 
137 283.05 6.28113234e+06 9.42169852e+04 
138 283.86 1.89520638e+06 2.84280957e+04 
139 284.66 5.58931067e+05 8.38396601e+03 
140 285.47 1.67874673e+05 2.51812009e+03 
141 286.28 6.24335629e+04 9.36503443e+02 
142 287.09 2.31889224e+04 3.47833836e+02 
143 287.89 8.60118940e+03 1.29017841e+02 
144 288.70 3.63347377e+03 5.45021066e+01 
145 289.51 1.59702415e+03 2.39553622e+01 
146 290.32 7.49909906e+02 1.12486486e+01 
147 291.12 3.76839073e+02 5.65258609e+00 
148 291.93 1.92672666e+02 2.89008999e+00 
149 292.74 1.05963289e+02 1.58944934e+00 
150 293.55 6.50725781e+01 9.76088671e-01 
151 294.35 3.84459177e+01 5.76688766e-01 
152 295.16 2.40153396e+01 3.60230094e-01 
153 295.97 1.58724644e+01 2.38086965e-01 
154 296.78 1.09432483e+01 1.64148725e-01 
155 297.58 7.68837375e+00 1.15325606e-01 
156 298.39 5.49591422e+00 8.24387133e-02 
157 299.20 4.27650482e+00 6.41475723e-02 
158 300.01 3.18508846e+00 4.77763269e-02 
159 300.81 2.67998050e+00 4.01997075e-02 
160 301.62 2.20968482e+00 3.31452722e-02 
161 302.43 1.81540626e+00 2.72310939e-02 
162 303.24 1.59702526e+00 2.39553790e-02 
163 304.05 1.38756183e+00 2.08134274e-02 
164 304.85 1.20969041e+00 1.81453561e-02 
165 305.66 1.06643594e+00 1.59965391e-02 
166 306.47 9.53691483e-01 1.43053723e-02 
167 307.28 8.69725658e-01 1.30458849e-02 
168 308.08 8.13376986e-01 1.22006548e-02 
169 308.89 7.88491308e-01 1.18273696e-02 
170 309.70 7.17380895e-01 1.07607134e-02 
171 310.51 6.61166823e-01 9.91750234e-03 
172 311.32 6.50397380e-01 9.75596070e-03 
173 312.12 6.16206444e-01 9.24309666e-03 
174 312.93 5.90307469e-01 8.85461203e-03 
175 313.74 5.75747116e-01 8.63620675e-03 
176 314.55 5.73452902e-01 8.60179353e-03 
177 315.36 5.47203986e-01 8.20805979e-03 
178 316.16 5.49618459e-01 8.24427689e-03 
179 316.97 5.61683543e-01 8.42525315e-03 
180 317.78 5.39170261e-01 8.08755391e-03 
181 318.59 5.52573461e-01 8.28860191e-03 
182 319.39 5.50146546e-01 8.25219819e-03 
183 320.20 5.50939324e-01 8.26408986e-03 
184 321.01 5.58439316e-01 8.37658973e-03 
185 321.82 5.71151011e-01 8.56726517e-03 
186 322.63 5.95424941e-01 8.93137412e-03 
187 323.43 5.78818749e-01 8.68228123e-03 
188 324.24 5.91230540e-01 8.86845810e-03 
189 325.05 6.09810519e-01 9.14715778e-03 
190 325.86 6.19116068e-01 9.28674102e-03 
191 326.67 6.38158313e-01 9.57237469e-03 
192 327.48 6.60357166e-01 9.90535750e-03 
193 328.28 6.64876658e-01 9.97314987e-03 
194 329.09 7.19093993e-01 1.07864099e-02 
195 329.90 7.41916200e-01 1.11287430e-02 
196 330.71 7.63176043e-01 1.14476406e-02 
197 331.51 8.27979270e-01 1.24196890e-02 
198 332.32 9.13766735e-01 1.37065010e-02 
199 333.13 1.09863159e+00 1.64794739e-02 
200 333.94 1.44923581e+00 2.17385372e-02 
201 334.75 2.05359061e+00 3.08038591e-02 
202 335.56 2.97593084e+00 4.46389627e-02 
203 336.36 4.29289801e+00 6.43934702e-02 
204 337.17 6.59103018e+00 9.88654526e-02 
205 337.98 9.64970374e+00 1.44745556e-01 
206 338.79 1.35232535e+01 2.02848802e-01 
207 339.59 1.78448535e+01 2.67672802e-01 
208 340.40 2.14420071e+01 3.21630107e-01 
209 341.21 2.47174407e+01 3.70761611e-01 
210 342.02 2.85245927e+01 4.27868891e-01 
211 342.83 3.15249807e+01 4.72874710e-01 
212 343.64 3.21162013e+01 4.81743020e-01 
213 344.44 3.36486396e+01 5.04729594e-01 
214 345.25 3.75980745e+01 5.63971117e-01 
215 346.06 4.10541675e+01 6.15812512e-01 
216 346.87 4.32921202e+01 6.49381803e-01 
217 347.67 4.47939159e+01 6.71908739e-01 
218 348.48 4.63853807e+01 6.95780711e-01 
219 349.29 4.94724852e+01 7.42087278e-01 
220 350.10 5.43320882e+01 8.14981322e-01 
221 350.91 5.73196737e+01 8.59795106e-01 
222 351.71 5.73194001e+01 8.59791001e-01 
