% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20150916starsun.mat and recorded on 2015-09-24 09:32:37.
% Tentative C0, to be replaced once Langley plot is made; see 20150916ground.ppt
Pix Wavelength C0 C0err
0 173.18 0.00000000e+000 0.00000000e+000 
1 173.97 -1.00000000e+000 -1.00000000e+000 
2 174.77 -1.00000000e+000 -1.00000000e+000 
3 175.56 -1.00000000e+000 -1.00000000e+000 
4 176.36 -1.00000000e+000 -1.00000000e+000 
5 177.15 -1.00000000e+000 -1.00000000e+000 
6 177.94 -1.00000000e+000 -1.00000000e+000 
7 178.74 -1.00000000e+000 -1.00000000e+000 
8 179.53 -1.00000000e+000 -1.00000000e+000 
9 180.33 -1.00000000e+000 -1.00000000e+000 
10 181.12 -1.00000000e+000 -1.00000000e+000 
11 181.92 -1.00000000e+000 -1.00000000e+000 
12 182.71 -1.00000000e+000 -1.00000000e+000 
13 183.51 -1.00000000e+000 -1.00000000e+000 
14 184.30 -1.00000000e+000 -1.00000000e+000 
15 185.10 -1.00000000e+000 -1.00000000e+000 
16 185.89 -1.00000000e+000 -1.00000000e+000 
17 186.69 -1.00000000e+000 -1.00000000e+000 
18 187.49 -1.00000000e+000 -1.00000000e+000 
19 188.28 -1.00000000e+000 -1.00000000e+000 
20 189.08 -1.00000000e+000 -1.00000000e+000 
21 189.88 -1.00000000e+000 -1.00000000e+000 
22 190.67 -1.00000000e+000 -1.00000000e+000 
23 191.47 -1.00000000e+000 -1.00000000e+000 
24 192.27 -1.00000000e+000 -1.00000000e+000 
25 193.07 -1.00000000e+000 -1.00000000e+000 
26 193.86 -1.00000000e+000 -1.00000000e+000 
27 194.66 -1.00000000e+000 -1.00000000e+000 
28 195.46 -1.00000000e+000 -1.00000000e+000 
29 196.26 -1.00000000e+000 -1.00000000e+000 
30 197.05 -1.00000000e+000 -1.00000000e+000 
31 197.85 -1.00000000e+000 -1.00000000e+000 
32 198.65 -1.00000000e+000 -1.00000000e+000 
33 199.45 -1.00000000e+000 -1.00000000e+000 
34 200.25 -1.00000000e+000 -1.00000000e+000 
35 201.05 -1.00000000e+000 -1.00000000e+000 
36 201.85 -1.00000000e+000 -1.00000000e+000 
37 202.64 -1.00000000e+000 -1.00000000e+000 
38 203.44 -1.00000000e+000 -1.00000000e+000 
39 204.24 -1.00000000e+000 -1.00000000e+000 
40 205.04 -1.00000000e+000 -1.00000000e+000 
41 205.84 -1.00000000e+000 -1.00000000e+000 
42 206.64 -1.00000000e+000 -1.00000000e+000 
43 207.44 -1.00000000e+000 -1.00000000e+000 
44 208.24 -1.00000000e+000 -1.00000000e+000 
45 209.04 -1.00000000e+000 -1.00000000e+000 
46 209.84 -1.00000000e+000 -1.00000000e+000 
47 210.64 -1.00000000e+000 -1.00000000e+000 
48 211.44 -1.00000000e+000 -1.00000000e+000 
49 212.24 -1.00000000e+000 -1.00000000e+000 
50 213.05 -1.00000000e+000 -1.00000000e+000 
51 213.85 2.96599444e+303 2.96599444e+302 
52 214.65 5.51301056e+295 5.51301056e+294 
53 215.45 7.95314844e+287 7.95314844e+286 
54 216.25 1.07893411e+280 1.07893411e+279 
55 217.05 2.09517849e+272 2.09517849e+271 
56 217.85 3.27572633e+264 3.27572633e+263 
57 218.65 6.56737102e+256 6.56737102e+255 
58 219.46 1.18310510e+249 1.18310510e+248 
59 220.26 2.36791320e+241 2.36791320e+240 
60 221.06 4.05536020e+233 4.05536020e+232 
61 221.86 9.16270828e+225 9.16270828e+224 
62 222.66 1.46913247e+218 1.46913247e+217 
63 223.47 4.59213201e+210 4.59213201e+209 
64 224.27 1.07741979e+203 1.07741979e+202 
65 225.07 6.00224121e+195 6.00224121e+194 
66 225.87 4.71521666e+188 4.71521666e+187 
67 226.68 1.23656951e+182 1.23656951e+181 
68 227.48 1.27128423e+176 1.27128423e+175 
69 228.28 1.07073770e+171 1.07073770e+170 
70 229.09 2.45053642e+167 2.45053642e+166 
71 229.89 2.16906403e+165 2.16906403e+164 
72 230.69 1.50369092e+165 1.50369092e+164 
73 231.49 7.44944910e+166 7.44944910e+165 
74 232.30 3.78087201e+170 3.78087201e+169 
75 233.10 6.43857512e+175 6.43857512e+174 
76 233.91 2.54728743e+182 2.54728743e+181 
77 234.71 7.62025167e+189 7.62025167e+188 
78 235.51 8.59398507e+197 8.59398507e+196 
79 236.32 2.61177758e+206 2.61177758e+205 
80 237.12 1.52773516e+215 1.52773516e+214 
81 237.92 6.57165703e+223 6.57165703e+222 
82 238.73 2.39141777e+232 2.39141777e+231 
83 239.53 1.10689204e+241 1.10689204e+240 
84 240.34 4.25877134e+249 4.25877134e+248 
85 241.14 9.44398911e+257 9.44398911e+256 
86 241.94 1.29893814e+266 1.29893814e+265 
87 242.75 7.89778273e+273 7.89778273e+272 
88 243.55 3.71196030e+281 3.71196030e+280 
89 244.36 6.28328369e+288 6.28328369e+287 
90 245.16 5.54852647e+295 5.54852647e+294 
91 245.97 1.46661751e+302 1.46661751e+301 
92 246.77 -1.00000000e+000 -1.00000000e+000 
93 247.58 -1.00000000e+000 -1.00000000e+000 
94 248.38 -1.00000000e+000 -1.00000000e+000 
95 249.19 -1.00000000e+000 -1.00000000e+000 
96 249.99 -1.00000000e+000 -1.00000000e+000 
97 250.80 -1.00000000e+000 -1.00000000e+000 
98 251.60 -1.00000000e+000 -1.00000000e+000 
99 252.41 -1.00000000e+000 -1.00000000e+000 
100 253.21 -1.00000000e+000 -1.00000000e+000 
101 254.02 -1.00000000e+000 -1.00000000e+000 
102 254.83 -1.00000000e+000 -1.00000000e+000 
103 255.63 -1.00000000e+000 -1.00000000e+000 
104 256.44 -1.00000000e+000 -1.00000000e+000 
105 257.24 -1.00000000e+000 -1.00000000e+000 
106 258.05 -1.00000000e+000 -1.00000000e+000 
107 258.85 -1.00000000e+000 -1.00000000e+000 
108 259.66 -1.00000000e+000 -1.00000000e+000 
109 260.46 -1.00000000e+000 -1.00000000e+000 
110 261.27 -1.00000000e+000 -1.00000000e+000 
111 262.08 -1.00000000e+000 -1.00000000e+000 
112 262.88 1.73380018e+304 1.73380018e+303 
113 263.69 3.84984421e+297 3.84984421e+296 
114 264.50 5.20480586e+290 5.20480586e+289 
115 265.30 2.11027257e+283 2.11027257e+282 
116 266.11 2.23117931e+275 2.23117931e+274 
117 266.91 8.52593138e+266 8.52593138e+265 
118 267.72 5.35624565e+257 5.35624565e+256 
119 268.53 3.64118647e+248 3.64118647e+247 
120 269.33 2.02405288e+239 2.02405288e+238 
121 270.14 1.84943061e+230 1.84943061e+229 
122 270.95 1.09283422e+221 1.09283422e+220 
123 271.75 5.03383116e+211 5.03383116e+210 
124 272.56 8.76349370e+201 8.76349370e+200 
125 273.37 1.27346788e+192 1.27346788e+191 
126 274.17 1.70267742e+182 1.70267742e+181 
127 274.98 3.86056076e+172 3.86056076e+171 
128 275.79 1.88255841e+163 1.88255841e+162 
129 276.59 2.45639474e+154 2.45639474e+153 
130 277.40 4.65424609e+145 4.65424609e+144 
131 278.21 7.55010021e+136 7.55010021e+135 
132 279.01 2.54210050e+128 2.54210050e+127 
133 279.82 9.25143235e+119 9.25143235e+118 
134 280.63 4.47535943e+111 4.47535943e+110 
135 281.44 4.56826959e+103 4.56826959e+102 
136 282.24 1.29483711e+096 1.29483711e+095 
137 283.05 1.61109481e+089 1.61109481e+088 
138 283.86 3.28327090e+082 3.28327090e+081 
139 284.66 1.92548288e+076 1.92548288e+075 
140 285.47 1.85309380e+070 1.85309380e+069 
141 286.28 6.11816823e+064 6.11816823e+063 
142 287.09 4.58528564e+059 4.58528564e+058 
143 287.89 4.55220642e+054 4.55220642e+053 
144 288.70 9.72477346e+049 9.72477346e+048 
145 289.51 5.53201386e+045 5.53201386e+044 
146 290.32 7.17539830e+041 7.17539830e+040 
147 291.12 1.57695914e+038 1.57695914e+037 
148 291.93 7.21858280e+034 7.21858280e+033 
149 292.74 5.20086246e+031 5.20086246e+030 
150 293.55 7.07896434e+028 7.07896434e+027 
151 294.35 1.66001499e+026 1.66001499e+025 
152 295.16 7.21728331e+023 7.21728331e+022 
153 295.97 4.38754602e+021 4.38754602e+020 
154 296.78 5.07335853e+019 5.07335853e+018 
155 297.58 7.37447722e+017 7.37447722e+016 
156 298.39 1.48096686e+016 1.48096686e+015 
157 299.20 4.96787245e+014 4.96787245e+013 
158 300.01 2.60744479e+013 2.60744479e+012 
159 300.81 1.80263385e+012 1.80263385e+011 
160 301.62 1.38993685e+011 1.38993685e+010 
161 302.43 1.91398921e+010 1.91398921e+009 
162 303.24 2.22851367e+009 2.22851367e+008 
163 304.05 3.99866709e+008 3.99866709e+007 
164 304.85 8.75475555e+007 8.75475555e+006 
165 305.66 2.29312715e+007 2.29312715e+006 
166 306.47 5.03680150e+006 5.03680150e+005 
167 307.28 1.93346796e+006 1.93346796e+005 
168 308.08 5.70186386e+005 5.70186386e+004 
169 308.89 2.46847727e+005 2.46847727e+004 
170 309.70 1.02941044e+005 1.02941044e+004 
171 310.51 4.99880447e+004 4.99880447e+003 
172 311.32 2.32943328e+004 2.32943328e+003 
173 312.12 1.20392080e+004 1.20392080e+003 
174 312.93 6.82145631e+003 6.82145631e+002 
175 313.74 3.46434010e+003 3.46434010e+002 
176 314.55 2.48480990e+003 2.48480990e+002 
177 315.36 1.55458114e+003 1.55458114e+002 
178 316.16 1.03353639e+003 1.03353639e+002 
179 316.97 8.06204813e+002 8.06204813e+001 
180 317.78 5.60293555e+002 5.60293555e+001 
181 318.59 4.14282014e+002 4.14282014e+001 
182 319.39 2.85326263e+002 2.85326263e+001 
183 320.20 2.65037078e+002 2.65037078e+001 
184 321.01 1.83272472e+002 1.83272472e+001 
185 321.82 1.56649615e+002 1.56649615e+001 
186 322.63 1.31881800e+002 1.31881800e+001 
187 323.43 1.01577039e+002 1.01577039e+001 
188 324.24 8.98814733e+001 8.98814733e+000 
189 325.05 7.69602189e+001 7.69602189e+000 
190 325.86 6.41321595e+001 6.41321595e+000 
191 326.67 5.03551830e+001 5.03551830e+000 
192 327.48 4.94669505e+001 4.94669505e+000 
193 328.28 4.29627142e+001 4.29627142e+000 
194 329.09 3.86387643e+001 3.86387643e+000 
195 329.90 3.37602477e+001 3.37602477e+000 
196 330.71 3.31187294e+001 3.31187294e+000 
197 331.51 3.04209333e+001 3.04209333e+000 
198 332.32 2.57362475e+001 2.57362475e+000 
199 333.13 2.63943033e+001 2.63943033e+000 
200 333.94 2.41914551e+001 2.41914551e+000 
201 334.75 2.40901179e+001 2.40901179e+000 
202 335.56 2.24985850e+001 2.24985850e+000 
203 336.36 2.32911837e+001 2.32911837e+000 
204 337.17 2.49583216e+001 2.49583216e+000 
205 337.98 2.82494214e+001 2.82494214e+000 
206 338.79 3.09087740e+001 3.09087740e+000 
207 339.59 3.47458785e+001 3.47458785e+000 
208 340.40 3.90216712e+001 3.90216712e+000 
209 341.21 4.14025511e+001 4.14025511e+000 
210 342.02 4.58891434e+001 4.58891434e+000 
211 342.83 4.92369398e+001 4.92369398e+000 
212 343.64 4.93952897e+001 4.93952897e+000 
213 344.44 5.01542128e+001 5.01542128e+000 
214 345.25 5.46369229e+001 5.46369229e+000 
215 346.06 5.78536693e+001 5.78536693e+000 
216 346.87 6.02292711e+001 6.02292711e+000 
217 347.67 6.20430013e+001 6.20430013e+000 
218 348.48 6.32542507e+001 6.32542507e+000 
219 349.29 6.62678026e+001 6.62678026e+000 
220 350.10 7.19418608e+001 7.19418608e+000 
221 350.91 7.52828112e+001 7.52828112e+000 
222 351.71 7.52276709e+001 7.52276709e+000 
223 352.52 7.64940902e+001 7.64940902e+000 
224 353.33 8.25771515e+001 8.25771515e+000 
