% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20151104starsun.mat and recorded on 2016-04-07 22:41:30.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 2.36928407e+14 7.10785221e+12 
2 174.77 1.19354317e+14 3.58062952e+12 
3 175.56 3.16207339e+14 9.48622016e+12 
4 176.36 2.36007666e+16 7.08022998e+14 
5 177.15 3.47521426e+16 1.04256428e+15 
6 177.94 4.77092118e+16 1.43127635e+15 
7 178.74 7.82539158e+16 2.34761748e+15 
8 179.53 1.36541467e+17 4.09624401e+15 
9 180.33 2.05033511e+17 6.15100533e+15 
10 181.12 3.64281768e+17 1.09284531e+16 
11 181.92 5.20281161e+17 1.56084348e+16 
12 182.71 8.64338509e+17 2.59301553e+16 
13 183.51 1.49826337e+18 4.49479011e+16 
14 184.30 2.36881803e+18 7.10645410e+16 
15 185.10 4.19476359e+18 1.25842908e+17 
16 185.89 6.65055175e+18 1.99516553e+17 
17 186.69 1.21031978e+19 3.63095933e+17 
18 187.49 8.52776719e+18 2.55833016e+17 
19 188.28 4.88158613e+18 1.46447584e+17 
20 189.08 1.04508146e+19 3.13524439e+17 
21 189.88 5.26236685e+18 1.57871006e+17 
22 190.67 1.87454087e+19 5.62362262e+17 
23 191.47 5.94390245e+19 1.78317073e+18 
24 192.27 1.76998274e+20 5.30994822e+18 
25 193.07 5.03905133e+20 1.51171540e+19 
26 193.86 1.35255797e+21 4.05767392e+19 
27 194.66 3.52909243e+21 1.05872773e+20 
28 195.46 8.84495376e+21 2.65348613e+20 
29 196.26 2.29159750e+22 6.87479250e+20 
30 197.05 5.67544082e+22 1.70263225e+21 
31 197.85 1.13626219e+23 3.40878657e+21 
32 198.65 2.97283196e+23 8.91849587e+21 
33 199.45 7.96020271e+23 2.38806081e+22 
34 200.25 2.27968839e+24 6.83906518e+22 
35 201.05 5.87528864e+24 1.76258659e+23 
36 201.85 1.81080966e+25 5.43242897e+23 
37 202.64 5.37544938e+25 1.61263481e+24 
38 203.44 1.51470529e+26 4.54411588e+24 
39 204.24 4.14318866e+26 1.24295660e+25 
40 205.04 7.53558366e+26 2.26067510e+25 
41 205.84 2.49402548e+27 7.48207645e+25 
42 206.64 1.41631753e+28 4.24895259e+26 
43 207.44 8.73594333e+28 2.62078300e+27 
44 208.24 5.72216350e+29 1.71664905e+28 
45 209.04 3.77774359e+30 1.13332308e+29 
46 209.84 3.02561927e+31 9.07685782e+29 
47 210.64 2.78268739e+32 8.34806218e+30 
48 211.44 3.28198117e+33 9.84594351e+31 
49 212.24 2.63170766e+34 7.89512299e+32 
50 213.05 4.40989858e+35 1.32296957e+34 
51 213.85 1.01457821e+37 3.04373464e+35 
52 214.65 3.37937390e+38 1.01381217e+37 
53 215.45 1.71465826e+40 5.14397479e+38 
54 216.25 8.71638732e+41 2.61491620e+40 
55 217.05 3.49797273e+43 1.04939182e+42 
56 217.85 4.58178878e+42 1.37453663e+41 
57 218.65 2.47796157e+41 7.43388470e+39 
