% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20160109-20160113 and recorded on 2016-01-28 15:28:16.
% Refined Langley processed excluding "bump" region at ~2.5 airmass for each of the days (20160109-20160113)
Pix Wavelength C0 C0err
511 949.79 4.99944340e+00 1.51971524e-01 
510 949.79 5.17628133e+00 1.45876295e-01 
509 951.68 5.56092922e+00 1.43574953e-01 
508 953.57 5.62757068e+00 1.40625020e-01 
507 955.46 6.10604538e+00 1.40462806e-01 
506 957.34 6.22344108e+00 1.33756666e-01 
505 959.22 6.72153147e+00 1.29439564e-01 
504 961.10 6.82548998e+00 1.20029101e-01 
503 962.98 7.28781226e+00 1.05582227e-01 
502 964.85 7.30685739e+00 9.40078624e-02 
501 966.72 7.84492503e+00 8.00780677e-02 
500 968.59 7.89632465e+00 6.94025756e-02 
499 970.45 8.30923889e+00 6.54935540e-02 
498 972.32 8.25990451e+00 6.65410458e-02 
497 974.18 8.60099529e+00 7.13146684e-02 
496 976.04 8.51948799e+00 6.61074922e-02 
495 977.89 8.87150070e+00 5.83485441e-02 
494 979.74 8.79332103e+00 5.09793017e-02 
493 981.59 9.07854954e+00 4.59932928e-02 
492 983.44 8.97729234e+00 3.11124098e-02 
491 985.29 9.22397830e+00 2.85395957e-02 
490 987.13 9.01969293e+00 2.43340652e-02 
489 988.97 9.26272767e+00 2.76702800e-02 
488 990.81 9.06122839e+00 2.32276348e-02 
487 992.65 9.23231082e+00 2.40876318e-02 
486 994.48 9.04653947e+00 2.30746457e-02 
485 996.31 9.19021719e+00 1.93052894e-02 
484 998.14 8.94988700e+00 2.14450434e-02 
483 999.97 9.08927590e+00 1.16246476e-02 
482 1001.79 8.81047224e+00 1.12460529e-02 
481 1003.62 8.88861029e+00 1.80383659e-02 
480 1005.44 8.68091710e+00 1.58177365e-02 
479 1007.25 8.92768331e+00 2.95288088e-02 
478 1009.07 8.75349140e+00 2.50438635e-02 
477 1010.88 8.91153276e+00 2.46923636e-02 
476 1012.69 8.66551637e+00 2.37094272e-02 
475 1014.50 8.77462275e+00 2.60459810e-02 
474 1016.31 8.57513119e+00 3.11406071e-02 
473 1018.11 8.70489487e+00 3.64009996e-02 
472 1019.91 8.47138233e+00 2.81632759e-02 
471 1021.71 8.61676319e+00 3.17971148e-02 
470 1023.51 8.38845021e+00 2.49233421e-02 
469 1025.30 8.54837858e+00 2.10430291e-02 
468 1027.09 8.44234660e+00 1.56448061e-02 
467 1028.88 8.59465562e+00 1.88040460e-02 
466 1030.67 8.44746903e+00 1.95154198e-02 
465 1032.46 8.60976986e+00 2.27576319e-02 
464 1034.24 8.47622667e+00 2.55734090e-02 
463 1036.02 8.64795456e+00 2.16626947e-02 
462 1037.80 8.53453135e+00 1.41995093e-02 
461 1039.58 8.73186654e+00 1.18868744e-02 
