% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20160109starsun.mat and recorded on 2016-01-09 20:56:04.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.87102339e+00 1.46130702e-01 
510 949.79 5.04402896e+00 1.51320869e-01 
509 951.68 5.43242695e+00 1.62972809e-01 
508 953.57 5.49835144e+00 1.64950543e-01 
507 955.46 5.97798322e+00 1.79339497e-01 
506 957.34 6.09350567e+00 1.82805170e-01 
505 959.22 6.60235078e+00 1.98070523e-01 
504 961.10 6.71637357e+00 2.01491207e-01 
503 962.98 7.19318344e+00 2.15795503e-01 
502 964.85 7.23577813e+00 2.17073344e-01 
501 966.72 7.80160293e+00 2.34048088e-01 
500 968.59 7.87427557e+00 2.36228267e-01 
499 970.45 8.28754371e+00 2.48626311e-01 
498 972.32 8.23695867e+00 2.47108760e-01 
497 974.18 8.57616005e+00 2.57284802e-01 
496 976.04 8.50294329e+00 2.55088299e-01 
495 977.89 8.86588626e+00 2.65976588e-01 
494 979.74 8.79893956e+00 2.63968187e-01 
493 981.59 9.09033710e+00 2.72710113e-01 
492 983.44 8.99086989e+00 2.69726097e-01 
491 985.29 9.25056187e+00 2.77516856e-01 
490 987.13 9.05851644e+00 2.71755493e-01 
489 988.97 9.30120538e+00 2.79036161e-01 
488 990.81 9.09795932e+00 2.72938780e-01 
487 992.65 9.26194833e+00 2.77858450e-01 
486 994.48 9.07571395e+00 2.72271419e-01 
485 996.31 9.22815876e+00 2.76844763e-01 
484 998.14 8.98678376e+00 2.69603513e-01 
483 999.97 9.14937452e+00 2.74481235e-01 
482 1001.79 8.87705631e+00 2.66311689e-01 
481 1003.62 8.95330778e+00 2.68599233e-01 
480 1005.44 8.74833698e+00 2.62450109e-01 
479 1007.25 9.00615671e+00 2.70184701e-01 
478 1009.07 8.82373842e+00 2.64712153e-01 
477 1010.88 8.98797458e+00 2.69639237e-01 
476 1012.69 8.72611699e+00 2.61783510e-01 
475 1014.50 8.84554613e+00 2.65366384e-01 
474 1016.31 8.62298363e+00 2.58689509e-01 
473 1018.11 8.75943995e+00 2.62783198e-01 
472 1019.91 8.51520077e+00 2.55456023e-01 
471 1021.71 8.65570931e+00 2.59671279e-01 
470 1023.51 8.42645385e+00 2.52793615e-01 
469 1025.30 8.59472115e+00 2.57841635e-01 
468 1027.09 8.48310583e+00 2.54493175e-01 
467 1028.88 8.63590365e+00 2.59077109e-01 
466 1030.67 8.47327906e+00 2.54198372e-01 
465 1032.46 8.63822454e+00 2.59146736e-01 
464 1034.24 8.50519162e+00 2.55155749e-01 
463 1036.02 8.68627151e+00 2.60588145e-01 
462 1037.80 8.57631365e+00 2.57289410e-01 
461 1039.58 8.78781008e+00 2.63634302e-01 
460 1041.35 8.65001429e+00 2.59500429e-01 
459 1043.12 8.81217227e+00 2.64365168e-01 
458 1044.89 8.73262316e+00 2.61978695e-01 
457 1046.66 8.95274428e+00 2.68582329e-01 
456 1048.43 8.89476656e+00 2.66842997e-01 
455 1050.19 9.12676396e+00 2.73802919e-01 
454 1051.95 8.98905855e+00 2.69671756e-01 
453 1053.71 9.24935130e+00 2.77480539e-01 
452 1055.47 9.09545418e+00 2.72863625e-01 
451 1057.23 9.23709664e+00 2.77112899e-01 
450 1058.98 9.09762643e+00 2.72928793e-01 
449 1060.73 9.28786462e+00 2.78635939e-01 
448 1062.48 9.09943058e+00 2.72982917e-01 
447 1064.23 9.25368354e+00 2.77610506e-01 
446 1065.97 8.97699026e+00 2.69309708e-01 
445 1067.71 9.03187387e+00 2.70956216e-01 
444 1069.46 8.79382726e+00 2.63814818e-01 
443 1071.19 8.89165878e+00 2.66749763e-01 
442 1072.93 8.71196335e+00 2.61358900e-01 
441 1074.67 8.77991417e+00 2.63397425e-01 
440 1076.40 8.58105149e+00 2.57431545e-01 
439 1078.13 8.63652566e+00 2.59095770e-01 
438 1079.86 8.38517809e+00 2.51555343e-01 
437 1081.58 8.46871466e+00 2.54061440e-01 
436 1083.31 8.36056456e+00 2.50816937e-01 
435 1085.03 8.54780250e+00 2.56434075e-01 
434 1086.75 8.48266218e+00 2.54479865e-01 
433 1088.47 8.62127687e+00 2.58638306e-01 
432 1090.19 8.50189771e+00 2.55056931e-01 
431 1091.90 8.59312659e+00 2.57793798e-01 
430 1093.61 8.44581684e+00 2.53374505e-01 
429 1095.33 8.65785407e+00 2.59735622e-01 
428 1097.03 8.69467879e+00 2.60840364e-01 
427 1098.74 8.93202519e+00 2.67960756e-01 
426 1100.45 8.94408667e+00 2.68322600e-01 
425 1102.15 9.23295229e+00 2.76988569e-01 
424 1103.85 9.21257947e+00 2.76377384e-01 
423 1105.55 9.43325743e+00 2.82997723e-01 
422 1107.25 9.32293868e+00 2.79688160e-01 
421 1108.94 9.40552138e+00 2.82165641e-01 
420 1110.64 9.11033422e+00 2.73310027e-01 
419 1112.33 8.93737078e+00 2.68121123e-01 
418 1114.02 8.37785020e+00 2.51335506e-01 
417 1115.70 8.20897093e+00 2.46269128e-01 
416 1117.39 7.87228665e+00 2.36168599e-01 
415 1119.07 7.75358165e+00 2.32607450e-01 
414 1120.76 7.51583809e+00 2.25475143e-01 
413 1122.44 7.46612569e+00 2.23983771e-01 
412 1124.12 7.40899287e+00 2.22269786e-01 
411 1125.79 7.68393576e+00 2.30518073e-01 
410 1127.47 7.94064048e+00 2.38219214e-01 
409 1129.14 8.39564099e+00 2.51869230e-01 
408 1130.81 7.88242938e+00 2.36472882e-01 
407 1132.48 7.63616193e+00 2.29084858e-01 
406 1134.15 7.48526221e+00 2.24557866e-01 
405 1135.81 7.93761517e+00 2.38128455e-01 
404 1137.48 8.66464408e+00 2.59939323e-01 
403 1139.14 9.02281910e+00 2.70684573e-01 
402 1140.80 8.73717253e+00 2.62115176e-01 
401 1142.46 8.57751355e+00 2.57325406e-01 
400 1144.12 8.23173683e+00 2.46952105e-01 
399 1145.77 8.23813650e+00 2.47144095e-01 
398 1147.43 8.28847961e+00 2.48654388e-01 
397 1149.08 8.56002277e+00 2.56800683e-01 
396 1150.73 8.56157889e+00 2.56847367e-01 
395 1152.38 8.84912721e+00 2.65473816e-01 
394 1154.02 8.90930490e+00 2.67279147e-01 
393 1155.67 9.22433539e+00 2.76730062e-01 
392 1157.31 9.18382968e+00 2.75514891e-01 
391 1158.95 9.35368722e+00 2.80610616e-01 
390 1160.59 9.36651340e+00 2.80995402e-01 
389 1162.23 9.57089348e+00 2.87126804e-01 
388 1163.87 9.52848437e+00 2.85854531e-01 
387 1165.50 9.61259191e+00 2.88377757e-01 
386 1167.13 9.50173503e+00 2.85052051e-01 
385 1168.76 9.61088396e+00 2.88326519e-01 
384 1170.39 9.46466658e+00 2.83939997e-01 
383 1172.02 9.44606992e+00 2.83382098e-01 
382 1173.65 9.28068687e+00 2.78420606e-01 
381 1175.27 9.26860140e+00 2.78058042e-01 
380 1176.90 9.14835723e+00 2.74450717e-01 
379 1178.52 9.06543459e+00 2.71963038e-01 
378 1180.14 8.80687071e+00 2.64206121e-01 
377 1181.75 8.75457377e+00 2.62637213e-01 
376 1183.37 8.56105411e+00 2.56831623e-01 
375 1184.99 8.56245680e+00 2.56873704e-01 
374 1186.60 8.43765318e+00 2.53129595e-01 
373 1188.21 8.42342058e+00 2.52702617e-01 
372 1189.82 8.35390048e+00 2.50617015e-01 
371 1191.43 8.57197748e+00 2.57159324e-01 
370 1193.04 8.47535670e+00 2.54260701e-01 
369 1194.64 8.44791455e+00 2.53437436e-01 
368 1196.24 8.24312158e+00 2.47293647e-01 
367 1197.85 8.30841059e+00 2.49252318e-01 
366 1199.45 8.21894459e+00 2.46568338e-01 
365 1201.05 8.29784747e+00 2.48935424e-01 
364 1202.64 8.22441129e+00 2.46732339e-01 
363 1204.24 8.28281798e+00 2.48484540e-01 
362 1205.83 8.23309497e+00 2.46992849e-01 
361 1207.43 8.23883285e+00 2.47164985e-01 
360 1209.02 8.17591727e+00 2.45277518e-01 
359 1210.61 8.28976930e+00 2.48693079e-01 
358 1212.19 8.29630794e+00 2.48889238e-01 
357 1213.78 8.46899439e+00 2.54069832e-01 
356 1215.37 8.41063134e+00 2.52318940e-01 
355 1216.95 8.48245574e+00 2.54473672e-01 
354 1218.53 8.45531235e+00 2.53659370e-01 
353 1220.11 8.53707718e+00 2.56112315e-01 
352 1221.69 8.49430390e+00 2.54829117e-01 
351 1223.27 8.54157371e+00 2.56247211e-01 
350 1224.84 8.53496883e+00 2.56049065e-01 
349 1226.42 8.59956121e+00 2.57986836e-01 
348 1227.99 8.58414631e+00 2.57524389e-01 
347 1229.56 8.71362880e+00 2.61408864e-01 
346 1231.13 8.64651317e+00 2.59395395e-01 
345 1232.70 8.72402921e+00 2.61720876e-01 
344 1234.27 8.70312026e+00 2.61093608e-01 
343 1235.84 8.72158534e+00 2.61647560e-01 
342 1237.40 8.63982246e+00 2.59194674e-01 
341 1238.96 8.60602840e+00 2.58180852e-01 
340 1240.52 8.44622217e+00 2.53386665e-01 
339 1242.08 8.54606550e+00 2.56381965e-01 
338 1243.64 8.51683852e+00 2.55505156e-01 
337 1245.20 8.55879046e+00 2.56763714e-01 
336 1246.75 8.54135288e+00 2.56240586e-01 
335 1248.31 8.61126147e+00 2.58337844e-01 
334 1249.86 8.57307607e+00 2.57192282e-01 
333 1251.41 8.64549944e+00 2.59364983e-01 
332 1252.96 8.58399662e+00 2.57519899e-01 
331 1254.51 8.59456983e+00 2.57837095e-01 
330 1256.06 8.52035822e+00 2.55610747e-01 
329 1257.61 8.50362322e+00 2.55108697e-01 
328 1259.15 8.39705826e+00 2.51911748e-01 
327 1260.69 8.34417715e+00 2.50325315e-01 
326 1262.23 8.19361958e+00 2.45808588e-01 
