% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20160109starsun_wFORJcorr.mat and recorded on 2016-01-29 19:55:03.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.77167939e+00 1.43150382e-01 
510 949.79 4.94642662e+00 1.48392799e-01 
509 951.68 5.33972903e+00 1.60191871e-01 
508 953.57 5.40677685e+00 1.62203305e-01 
507 955.46 5.88910256e+00 1.76673077e-01 
506 957.34 6.01544009e+00 1.80463203e-01 
505 959.22 6.51637380e+00 1.95491214e-01 
504 961.10 6.64070558e+00 1.99221167e-01 
503 962.98 7.12292959e+00 2.13687888e-01 
502 964.85 7.15866216e+00 2.14759865e-01 
501 966.72 7.72203935e+00 2.31661181e-01 
500 968.59 7.79114346e+00 2.33734304e-01 
499 970.45 8.21046709e+00 2.46314013e-01 
498 972.32 8.16227568e+00 2.44868270e-01 
497 974.18 8.50299464e+00 2.55089839e-01 
496 976.04 8.42266286e+00 2.52679886e-01 
495 977.89 8.79017100e+00 2.63705130e-01 
494 979.74 8.72564692e+00 2.61769408e-01 
493 981.59 9.01952346e+00 2.70585704e-01 
492 983.44 8.95168590e+00 2.68550577e-01 
491 985.29 9.20236063e+00 2.76070819e-01 
490 987.13 9.01097252e+00 2.70329175e-01 
489 988.97 9.25069093e+00 2.77520728e-01 
488 990.81 9.05899979e+00 2.71769994e-01 
487 992.65 9.24583991e+00 2.77375197e-01 
486 994.48 9.05608076e+00 2.71682423e-01 
485 996.31 9.19367689e+00 2.75810307e-01 
484 998.14 8.95324718e+00 2.68597416e-01 
483 999.97 9.09308537e+00 2.72792561e-01 
482 1001.79 8.82349849e+00 2.64704955e-01 
481 1003.62 8.89115775e+00 2.66734732e-01 
480 1005.44 8.68922070e+00 2.60676621e-01 
479 1007.25 8.94385109e+00 2.68315533e-01 
478 1009.07 8.76795760e+00 2.63038728e-01 
477 1010.88 8.91805312e+00 2.67541594e-01 
476 1012.69 8.67729976e+00 2.60318993e-01 
475 1014.50 8.79562242e+00 2.63868673e-01 
474 1016.31 8.57798735e+00 2.57339621e-01 
473 1018.11 8.71522310e+00 2.61456693e-01 
472 1019.91 8.48806065e+00 2.54641820e-01 
471 1021.71 8.61559411e+00 2.58467823e-01 
470 1023.51 8.38541850e+00 2.51562555e-01 
469 1025.30 8.53360553e+00 2.56008166e-01 
468 1027.09 8.43596910e+00 2.53079073e-01 
467 1028.88 8.58415377e+00 2.57524613e-01 
466 1030.67 8.44469783e+00 2.53340935e-01 
465 1032.46 8.60948360e+00 2.58284508e-01 
464 1034.24 8.46439616e+00 2.53931885e-01 
463 1036.02 8.63564521e+00 2.59069356e-01 
462 1037.80 8.52478341e+00 2.55743502e-01 
461 1039.58 8.72869691e+00 2.61860907e-01 
460 1041.35 8.60605815e+00 2.58181744e-01 
459 1043.12 8.78307511e+00 2.63492253e-01 
458 1044.89 8.69711522e+00 2.60913456e-01 
457 1046.66 8.90989074e+00 2.67296722e-01 
456 1048.43 8.83569258e+00 2.65070778e-01 
455 1050.19 9.06228500e+00 2.71868550e-01 
454 1051.95 8.93093385e+00 2.67928016e-01 
453 1053.71 9.20032951e+00 2.76009885e-01 
452 1055.47 9.05260090e+00 2.71578027e-01 
451 1057.23 9.18472887e+00 2.75541866e-01 
450 1058.98 9.04277136e+00 2.71283141e-01 
449 1060.73 9.21518280e+00 2.76455484e-01 
448 1062.48 9.04921541e+00 2.71476462e-01 
447 1064.23 9.17179719e+00 2.75153916e-01 
446 1065.97 8.91363341e+00 2.67409002e-01 
445 1067.71 8.96692769e+00 2.69007831e-01 
444 1069.46 8.73676713e+00 2.62103014e-01 
443 1071.19 8.83527514e+00 2.65058254e-01 
442 1072.93 8.67249031e+00 2.60174709e-01 
441 1074.67 8.75045703e+00 2.62513711e-01 
440 1076.40 8.55411223e+00 2.56623367e-01 
