% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160109starsun.mat and recorded on 2016-01-09 23:29:46.
% Modified Langley processed for 0.8823-0.9945 micron region
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 3.75846519e+02 -1.00000000e+00 
2 174.77 8.58475054e+02 -1.00000000e+00 
3 175.56 9.87018948e+02 -1.00000000e+00 
4 176.36 5.35523260e+04 -1.00000000e+00 
5 177.15 6.51177464e+04 -1.00000000e+00 
6 177.94 7.63010618e+04 -1.00000000e+00 
7 178.74 8.91187669e+04 -1.00000000e+00 
8 179.53 1.06495200e+05 -1.00000000e+00 
9 180.33 1.24257237e+05 -1.00000000e+00 
10 181.12 1.42233687e+05 -1.00000000e+00 
11 181.92 1.68484434e+05 -1.00000000e+00 
12 182.71 1.99704324e+05 -1.00000000e+00 
13 183.51 2.31649859e+05 -1.00000000e+00 
14 184.30 2.61543533e+05 -1.00000000e+00 
15 185.10 3.14113676e+05 -1.00000000e+00 
16 185.89 3.70911826e+05 -1.00000000e+00 
17 186.69 4.35028050e+05 -1.00000000e+00 
18 187.49 5.31124119e+05 -1.00000000e+00 
19 188.28 6.32925424e+05 -1.00000000e+00 
20 189.08 7.85970258e+05 -1.00000000e+00 
21 189.88 9.74420937e+05 -1.00000000e+00 
22 190.67 1.20894709e+06 -1.00000000e+00 
23 191.47 1.52045582e+06 -1.00000000e+00 
24 192.27 1.90615561e+06 -1.00000000e+00 
25 193.07 2.33382339e+06 -1.00000000e+00 
26 193.86 2.80883174e+06 -1.00000000e+00 
27 194.66 3.57370476e+06 -1.00000000e+00 
28 195.46 4.52928682e+06 -1.00000000e+00 
29 196.26 5.95702245e+06 -1.00000000e+00 
30 197.05 8.17325746e+06 -1.00000000e+00 
31 197.85 1.11645651e+07 -1.00000000e+00 
32 198.65 1.35689750e+07 -1.00000000e+00 
33 199.45 1.92119271e+07 -1.00000000e+00 
34 200.25 2.71525907e+07 -1.00000000e+00 
35 201.05 3.82924138e+07 -1.00000000e+00 
36 201.85 3.44742171e+07 -1.00000000e+00 
37 202.64 2.46856664e+07 -1.00000000e+00 
38 203.44 1.72150267e+07 -1.00000000e+00 
39 204.24 1.22044317e+07 -1.00000000e+00 
40 205.04 8.76751223e+06 -1.00000000e+00 
41 205.84 6.20378140e+06 -1.00000000e+00 
42 206.64 4.39699260e+06 -1.00000000e+00 
43 207.44 3.13421882e+06 -1.00000000e+00 
44 208.24 2.26229483e+06 -1.00000000e+00 
45 209.04 1.60525528e+06 -1.00000000e+00 
46 209.84 1.13738546e+06 -1.00000000e+00 
47 210.64 8.19136774e+05 -1.00000000e+00 
48 211.44 5.81304568e+05 -1.00000000e+00 
49 212.24 4.10416921e+05 -1.00000000e+00 
50 213.05 2.93846970e+05 -1.00000000e+00 
51 213.85 2.09036199e+05 -1.00000000e+00 
52 214.65 1.48225441e+05 -1.00000000e+00 
53 215.45 1.04479022e+05 -1.00000000e+00 
54 216.25 7.46408769e+04 -1.00000000e+00 
55 217.05 5.42361207e+04 -1.00000000e+00 
56 217.85 3.78769249e+04 -1.00000000e+00 
57 218.65 2.72705782e+04 -1.00000000e+00 
58 219.46 1.93062913e+04 -1.00000000e+00 
59 220.26 1.37258869e+04 -1.00000000e+00 
60 221.06 9.61435095e+03 -1.00000000e+00 
61 221.86 7.02422456e+03 -1.00000000e+00 
62 222.66 4.92595670e+03 -1.00000000e+00 
63 223.47 3.53564346e+03 -1.00000000e+00 
64 224.27 2.54485752e+03 -1.00000000e+00 
65 225.07 1.81022673e+03 -1.00000000e+00 
66 225.87 1.31412278e+03 -1.00000000e+00 
67 226.68 9.11562119e+02 -1.00000000e+00 
68 227.48 6.74798703e+02 -1.00000000e+00 
69 228.28 4.88107601e+02 -1.00000000e+00 
70 229.09 3.81371855e+02 -1.00000000e+00 
71 229.89 3.28961428e+02 -1.00000000e+00 
72 230.69 3.26909092e+02 -1.00000000e+00 
73 231.49 3.81366064e+02 -1.00000000e+00 
74 232.30 4.92808185e+02 -1.00000000e+00 
75 233.10 6.93912317e+02 -1.00000000e+00 
76 233.91 1.00475160e+03 -1.00000000e+00 
77 234.71 1.47777600e+03 -1.00000000e+00 
78 235.51 2.21552170e+03 -1.00000000e+00 
79 236.32 3.25611703e+03 -1.00000000e+00 
80 237.12 4.90216213e+03 -1.00000000e+00 
81 237.92 7.40420469e+03 -1.00000000e+00 
82 238.73 1.10662229e+04 -1.00000000e+00 
83 239.53 1.65768364e+04 -1.00000000e+00 
84 240.34 2.43460308e+04 -1.00000000e+00 
85 241.14 3.55617320e+04 -1.00000000e+00 
86 241.94 5.19673573e+04 -1.00000000e+00 
87 242.75 7.51809959e+04 -1.00000000e+00 
88 243.55 1.06383790e+05 -1.00000000e+00 
89 244.36 1.48615879e+05 -1.00000000e+00 
90 245.16 2.01500228e+05 -1.00000000e+00 
91 245.97 2.70847447e+05 -1.00000000e+00 
92 246.77 3.61389019e+05 -1.00000000e+00 
93 247.58 4.66560200e+05 -1.00000000e+00 
94 248.38 5.89180451e+05 -1.00000000e+00 
95 249.19 7.44266906e+05 -1.00000000e+00 
96 249.99 8.84081899e+05 -1.00000000e+00 
97 250.80 1.04047613e+06 -1.00000000e+00 
98 251.60 1.15007270e+06 -1.00000000e+00 
99 252.41 1.29690989e+06 -1.00000000e+00 
100 253.21 1.40073554e+06 -1.00000000e+00 
101 254.02 1.47136882e+06 -1.00000000e+00 
102 254.83 1.53753807e+06 -1.00000000e+00 
103 255.63 1.52921654e+06 -1.00000000e+00 
104 256.44 1.42191208e+06 -1.00000000e+00 
105 257.24 1.30764205e+06 -1.00000000e+00 
106 258.05 1.19146532e+06 -1.00000000e+00 
107 258.85 1.05507867e+06 -1.00000000e+00 
108 259.66 8.91204493e+05 -1.00000000e+00 
109 260.46 6.99105559e+05 -1.00000000e+00 
110 261.27 5.55640884e+05 -1.00000000e+00 
111 262.08 4.30023657e+05 -1.00000000e+00 
112 262.88 3.27323511e+05 -1.00000000e+00 
113 263.69 2.37614780e+05 -1.00000000e+00 
114 264.50 1.80096649e+05 -1.00000000e+00 
115 265.30 1.30034199e+05 -1.00000000e+00 
116 266.11 9.16240322e+04 -1.00000000e+00 
117 266.91 6.21869060e+04 -1.00000000e+00 
118 267.72 4.19670736e+04 -1.00000000e+00 
119 268.53 2.73678493e+04 -1.00000000e+00 
120 269.33 1.76738771e+04 -1.00000000e+00 
121 270.14 1.21233014e+04 -1.00000000e+00 
122 270.95 8.13868732e+03 -1.00000000e+00 
123 271.75 5.27232695e+03 -1.00000000e+00 
124 272.56 3.45600002e+03 -1.00000000e+00 
125 273.37 2.21735133e+03 -1.00000000e+00 
126 274.17 1.41131332e+03 -1.00000000e+00 
127 274.98 9.22782836e+02 -1.00000000e+00 
128 275.79 6.09731472e+02 -1.00000000e+00 
129 276.59 4.11535180e+02 -1.00000000e+00 
130 277.40 2.82179137e+02 -1.00000000e+00 
131 278.21 1.89533022e+02 -1.00000000e+00 
132 279.01 1.30557382e+02 -1.00000000e+00 
133 279.82 8.93008590e+01 -1.00000000e+00 
134 280.63 6.08279980e+01 -1.00000000e+00 
135 281.44 4.34441608e+01 -1.00000000e+00 
136 282.24 3.05711395e+01 -1.00000000e+00 
137 283.05 2.27310808e+01 -1.00000000e+00 
138 283.86 1.70262974e+01 -1.00000000e+00 
139 284.66 1.31177533e+01 -1.00000000e+00 
140 285.47 9.61871463e+00 -1.00000000e+00 
141 286.28 7.67334330e+00 -1.00000000e+00 
142 287.09 6.06574008e+00 -1.00000000e+00 
143 287.89 4.87305801e+00 -1.00000000e+00 
144 288.70 3.97038128e+00 -1.00000000e+00 
145 289.51 3.30293940e+00 -1.00000000e+00 
146 290.32 2.77357284e+00 -1.00000000e+00 
147 291.12 2.39002593e+00 -1.00000000e+00 
148 291.93 2.03777822e+00 -1.00000000e+00 
149 292.74 1.80054029e+00 -1.00000000e+00 
150 293.55 1.54674712e+00 -1.00000000e+00 
151 294.35 1.37258451e+00 -1.00000000e+00 
152 295.16 1.24906749e+00 -1.00000000e+00 
153 295.97 1.14198080e+00 -1.00000000e+00 
154 296.78 1.03557720e+00 -1.00000000e+00 
155 297.58 9.58736797e-01 -1.00000000e+00 
156 298.39 9.00186189e-01 -1.00000000e+00 
157 299.20 8.43386551e-01 -1.00000000e+00 
158 300.01 7.93439719e-01 -1.00000000e+00 
159 300.81 7.58984460e-01 -1.00000000e+00 
160 301.62 7.23340383e-01 -1.00000000e+00 
161 302.43 6.95088211e-01 -1.00000000e+00 
162 303.24 6.70872063e-01 -1.00000000e+00 
163 304.05 6.60120590e-01 -1.00000000e+00 
164 304.85 6.35243256e-01 -1.00000000e+00 
165 305.66 6.07780044e-01 -1.00000000e+00 
166 306.47 6.13661142e-01 -1.00000000e+00 
167 307.28 5.93277195e-01 -1.00000000e+00 
168 308.08 5.93906166e-01 -1.00000000e+00 
169 308.89 5.80390334e-01 -1.00000000e+00 
170 309.70 5.72872078e-01 -1.00000000e+00 
171 310.51 5.67716391e-01 -1.00000000e+00 
172 311.32 5.77034908e-01 -1.00000000e+00 
173 312.12 5.68390087e-01 -1.00000000e+00 
174 312.93 5.71457669e-01 -1.00000000e+00 
175 313.74 5.74040545e-01 -1.00000000e+00 
176 314.55 5.72585258e-01 -1.00000000e+00 
177 315.36 5.74135342e-01 -1.00000000e+00 
178 316.16 5.83802178e-01 -1.00000000e+00 
179 316.97 5.90757980e-01 -1.00000000e+00 
180 317.78 5.97501695e-01 -1.00000000e+00 
181 318.59 5.94575268e-01 -1.00000000e+00 
182 319.39 6.15523461e-01 -1.00000000e+00 
183 320.20 6.32795759e-01 -1.00000000e+00 
184 321.01 6.38091782e-01 -1.00000000e+00 
185 321.82 6.49315338e-01 -1.00000000e+00 
