% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160109-20160113 and recorded on 2016-01-28 15:27:57.
% Refined Langley processed excluding "bump" region at ~2.5 airmass for each of the days (20160109-20160113)
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.97 5.78014750e+11 8.02540877e+11 
2 174.77 8.26958136e+11 7.63323323e+11 
3 175.56 7.70230670e+12 1.78306377e+13 
4 176.36 6.81786313e+13 9.15681586e+13 
5 177.15 9.77849421e+13 1.31455629e+14 
6 177.94 1.36906157e+14 1.82340203e+14 
7 178.74 1.79759789e+14 2.48199658e+14 
8 179.53 2.81520940e+14 4.06147517e+14 
9 180.33 4.12834451e+14 6.16429535e+14 
10 181.12 5.58773813e+14 8.02458498e+14 
11 181.92 7.71362645e+14 1.15882802e+15 
12 182.71 1.14101829e+15 1.81233961e+15 
13 183.51 1.44443228e+15 2.26535030e+15 
14 184.30 1.92890176e+15 3.01249274e+15 
15 185.10 1.88531381e+15 2.65931769e+15 
16 185.89 3.11094564e+15 4.75327239e+15 
17 186.69 5.23823936e+15 8.36929775e+15 
18 187.49 7.71025010e+15 1.26728359e+16 
19 188.28 9.63470643e+15 1.47827007e+16 
20 189.08 1.41181382e+16 2.15571907e+16 
21 189.88 1.71599296e+16 2.32242264e+16 
22 190.67 2.36324454e+16 3.06739451e+16 
23 191.47 3.34363150e+16 4.14064379e+16 
24 192.27 5.49113466e+16 7.54160972e+16 
25 193.07 6.25749114e+16 7.91169544e+16 
26 193.86 9.26506657e+16 1.16339749e+17 
27 194.66 1.59253526e+17 2.30832718e+17 
28 195.46 1.89661350e+17 2.53586037e+17 
29 196.26 2.02449265e+17 2.16863481e+17 
30 197.05 2.24719583e+17 2.11936111e+17 
31 197.85 2.50907394e+17 2.30258474e+17 
32 198.65 3.12665627e+17 2.34575224e+17 
33 199.45 3.95574550e+17 3.09975745e+17 
34 200.25 5.89637430e+17 7.73184401e+17 
35 201.05 7.98819930e+17 1.48334286e+18 
36 201.85 1.60087363e+18 3.40892940e+18 
37 202.64 3.76556410e+18 8.32682674e+18 
38 203.44 1.00854854e+19 2.24998860e+19 
39 204.24 1.28572735e+19 2.87216517e+19 
40 205.04 3.51008110e+19 7.84747851e+19 
41 205.84 1.00388686e+20 2.24468700e+20 
42 206.64 1.84932909e+20 4.13519219e+20 
43 207.44 4.33197137e+20 9.68656667e+20 
44 208.24 1.20454601e+21 2.69344603e+21 
45 209.04 5.86494850e+21 1.31144232e+22 
46 209.84 3.74635167e+22 8.37709698e+22 
47 210.64 1.06682867e+22 2.38550142e+22 
48 211.44 3.05548677e+21 6.83227609e+21 
49 212.24 8.57852030e+20 1.91821544e+21 
50 213.05 2.44828319e+20 5.47452756e+20 
51 213.85 7.19703354e+19 1.60930559e+20 
52 214.65 2.02373874e+19 4.52521722e+19 
53 215.45 5.86673631e+18 1.31184204e+19 
54 216.25 1.63469655e+18 3.65529226e+18 
55 217.05 4.81633640e+17 1.07696539e+18 
56 217.85 1.39045356e+17 3.10914790e+17 
57 218.65 3.86725905e+16 8.64745052e+16 
58 219.46 1.11695189e+16 2.49757867e+16 
59 220.26 3.16420027e+15 7.07535904e+15 
60 221.06 9.17839837e+14 2.05234863e+15 
61 221.86 2.60863790e+14 5.83307407e+14 
62 222.66 7.64786266e+13 1.71010581e+14 
63 223.47 2.15356401e+13 4.81547742e+13 
64 224.27 6.10522785e+12 1.36515243e+13 
65 225.07 1.76657803e+12 3.95010540e+12 
66 225.87 5.20710300e+11 1.16430383e+12 
67 226.68 1.47906000e+11 3.30709450e+11 
68 227.48 4.58225125e+10 1.02453185e+11 
69 228.28 1.44641163e+10 3.23382161e+10 
70 229.09 5.78119623e+09 1.29245561e+10 
71 229.89 3.34737177e+09 7.48303450e+09 
72 230.69 3.29692408e+09 7.37031627e+09 
73 231.49 5.61895422e+09 1.25617176e+10 
74 232.30 1.61391334e+10 3.60834070e+10 
75 233.10 5.67793566e+10 1.26952217e+11 
76 233.91 2.31552877e+11 5.17744486e+11 
77 234.71 9.81820803e+11 2.19536042e+12 
78 235.51 4.41436323e+12 9.87067144e+12 
79 236.32 1.88998636e+13 4.22610429e+13 
80 237.12 8.19687062e+13 1.83286715e+14 
81 237.92 3.68612548e+14 8.24240568e+14 
82 238.73 1.70253728e+15 3.80698376e+15 
83 239.53 7.74149832e+15 1.73105033e+16 
84 240.34 3.48577524e+16 7.79442704e+16 
85 241.14 1.43227084e+17 3.20265417e+17 
86 241.94 5.76215856e+17 1.28845764e+18 
87 242.75 2.28419271e+18 5.10760975e+18 
88 243.55 8.28895261e+18 1.85346606e+19 
89 244.36 2.85778879e+19 6.39020980e+19 
90 245.16 9.36055245e+19 2.09308312e+20 
91 245.97 2.96323381e+20 6.62599215e+20 
92 246.77 8.17667313e+20 1.82835968e+21 
93 247.58 2.16429071e+21 4.83950112e+21 
94 248.38 5.42656560e+21 1.21341695e+22 
95 249.19 1.24705208e+22 2.78849321e+22 
96 249.99 2.42945412e+22 5.43242456e+22 
97 250.80 4.05542455e+22 9.06820495e+22 
98 251.60 6.37781165e+22 1.42612204e+23 
99 252.41 1.00122035e+23 2.23879675e+23 
100 253.21 1.33626756e+23 2.98798510e+23 
101 254.02 1.58518939e+23 3.54459124e+23 
102 254.83 1.61033244e+23 3.60081279e+23 
103 255.63 1.67041621e+23 3.73516420e+23 
104 256.44 1.38962376e+23 3.10729319e+23 
105 257.24 9.82019753e+22 2.19586292e+23 
106 258.05 7.28238701e+22 1.62839124e+23 
107 258.85 4.60024895e+22 1.02864693e+23 
108 259.66 2.19901114e+22 4.91713839e+22 
109 260.46 1.04011997e+22 2.32577895e+22 
110 261.27 4.43804559e+21 9.92377160e+21 
111 262.08 1.65786610e+21 3.70710128e+21 
112 262.88 5.61000018e+20 1.25443416e+21 
113 263.69 1.86841972e+20 4.17791344e+20 
114 264.50 5.98487917e+19 1.33825964e+20 
115 265.30 1.86480652e+19 4.16983399e+19 
116 266.11 5.06268000e+18 1.13204960e+19 
117 266.91 1.18344968e+18 2.64627364e+18 
118 267.72 2.70773721e+17 6.05468332e+17 
119 268.53 5.34816740e+16 1.19588613e+17 
120 269.33 1.09995353e+16 2.45956919e+16 
121 270.14 2.66755444e+15 5.96482596e+15 
122 270.95 6.01036121e+14 1.34395479e+15 
123 271.75 1.23900945e+14 2.77049817e+14 
124 272.56 2.55627309e+13 5.71595906e+13 
125 273.37 4.70806548e+12 1.05274014e+13 
126 274.17 8.54651951e+11 1.91100579e+12 
127 274.98 1.73536660e+11 3.88019110e+11 
128 275.79 3.75946604e+10 8.40559378e+10 
129 276.59 8.91406044e+09 1.99290733e+10 
130 277.40 2.03725223e+09 4.55401249e+09 
131 278.21 4.82688650e+08 1.07873466e+09 
132 279.01 1.15582730e+08 2.58198538e+08 
133 279.82 2.96044785e+07 6.60861797e+07 
134 280.63 7.35179294e+06 1.63927167e+07 
135 281.44 1.87316110e+06 4.16801173e+06 
136 282.24 5.26884902e+05 1.16870978e+06 
137 283.05 1.69007724e+05 3.73116536e+05 
