% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160109-20160113 and recorded on 2016-02-01 09:28:37.
% Refined Langley processed excluding "bump" region at ~2.5 airmass for each of the days (20160109-20160113, excluding 20160111) with FORJ correction
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.97 5.83046555e+12 1.09694503e+13 
2 174.77 4.11870317e+12 5.57609097e+12 
3 175.56 1.83925980e+13 3.51031841e+13 
4 176.36 1.89942422e+14 2.59282463e+14 
5 177.15 3.01165965e+14 4.24913623e+14 
6 177.94 3.98759278e+14 5.52381012e+14 
7 178.74 5.49381916e+14 7.71237604e+14 
8 179.53 8.32787556e+14 1.20697963e+15 
9 180.33 1.13541617e+15 1.63136902e+15 
10 181.12 1.34111705e+15 1.84241703e+15 
11 181.92 1.82937489e+15 2.55073075e+15 
12 182.71 2.30128164e+15 3.12040228e+15 
13 183.51 3.28996559e+15 4.53368549e+15 
14 184.30 5.28040162e+15 7.83877134e+15 
15 185.10 7.08238371e+15 1.05606186e+16 
16 185.89 9.15744727e+15 1.33881891e+16 
17 186.69 1.44124665e+16 2.18783362e+16 
18 187.49 1.47526595e+16 1.94165159e+16 
19 188.28 1.92946585e+16 2.39928554e+16 
20 189.08 2.90919832e+16 3.49484191e+16 
21 189.88 4.43743838e+16 5.11932088e+16 
22 190.67 6.69203812e+16 8.10775125e+16 
23 191.47 8.64936556e+16 9.35189216e+16 
24 192.27 1.31188989e+17 1.66223346e+17 
25 193.07 1.73979762e+17 2.14625905e+17 
26 193.86 1.99273218e+17 2.15863567e+17 
27 194.66 2.17959679e+17 1.80291797e+17 
28 195.46 2.84251920e+17 1.72203587e+17 
29 196.26 3.85047791e+17 2.04362276e+17 
30 197.05 5.44618145e+17 3.61457830e+17 
31 197.85 6.11813609e+17 6.21029201e+17 
32 198.65 1.15688803e+18 1.63047491e+18 
33 199.45 2.29946992e+18 3.95474451e+18 
34 200.25 3.81870201e+18 7.30521925e+18 
35 201.05 7.70022002e+18 1.52079990e+19 
36 201.85 8.60222291e+18 1.70942676e+19 
37 202.64 2.70704946e+19 5.40789271e+19 
38 203.44 5.18018287e+19 1.03575135e+20 
39 204.24 6.97084682e+19 1.39403346e+20 
40 205.04 1.94591922e+20 3.89177234e+20 
41 205.84 4.05857486e+20 8.11711836e+20 
42 206.64 1.05130701e+21 2.10261255e+21 
43 207.44 4.12466074e+21 8.24932078e+21 
44 208.24 1.62138776e+21 3.24277519e+21 
45 209.04 4.97368946e+20 9.94737729e+20 
46 209.84 1.69541133e+20 3.39082189e+20 
47 210.64 5.49535069e+19 1.09906977e+20 
48 211.44 1.78893640e+19 3.57787104e+19 
49 212.24 5.72523099e+18 1.14504535e+19 
50 213.05 1.85897662e+18 3.71794923e+18 
51 213.85 6.22200987e+17 1.24440008e+18 
52 214.65 1.99077811e+17 3.98154694e+17 
53 215.45 6.58849277e+16 1.31769424e+17 
54 216.25 2.07977560e+16 4.15953060e+16 
55 217.05 6.98635371e+15 1.39726057e+16 
56 217.85 2.29810453e+15 4.59616026e+15 
57 218.65 7.26279842e+14 1.45253652e+15 
58 219.46 2.38906171e+14 4.77801558e+14 
59 220.26 7.71270665e+13 1.54248964e+14 
60 221.06 2.54047218e+13 5.08069794e+13 
61 221.86 8.21629919e+12 1.64313941e+13 
62 222.66 2.74770510e+12 5.49483033e+12 
63 223.47 8.79541629e+11 1.75880973e+12 
64 224.27 2.83315933e+11 5.66500871e+11 
65 225.07 9.34655914e+10 1.86869418e+11 
66 225.87 3.13538927e+10 6.26771443e+10 
67 226.68 1.01179765e+10 2.02216556e+10 
68 227.48 3.55328913e+09 7.09931236e+09 
69 228.28 1.26148600e+09 2.51930833e+09 
70 229.09 5.54024079e+08 1.10590232e+09 
