% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160110starsun.mat and recorded on 2016-01-10 21:02:57.
% Modified Langley processed for 0.8823-0.9945 micron region
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 1.22580806e+03 -1.00000000e+00 
2 174.77 4.72673109e+02 -1.00000000e+00 
3 175.56 1.71645928e+03 -1.00000000e+00 
4 176.36 1.01676719e+05 -1.00000000e+00 
5 177.15 1.24066509e+05 -1.00000000e+00 
6 177.94 1.37656062e+05 -1.00000000e+00 
7 178.74 1.56296835e+05 -1.00000000e+00 
8 179.53 1.76643065e+05 -1.00000000e+00 
9 180.33 2.05276964e+05 -1.00000000e+00 
10 181.12 2.35881451e+05 -1.00000000e+00 
11 181.92 2.69716169e+05 -1.00000000e+00 
12 182.71 3.18037007e+05 -1.00000000e+00 
13 183.51 3.72621629e+05 -1.00000000e+00 
14 184.30 4.32846417e+05 -1.00000000e+00 
15 185.10 5.15199551e+05 -1.00000000e+00 
16 185.89 6.06210016e+05 -1.00000000e+00 
17 186.69 7.25825433e+05 -1.00000000e+00 
18 187.49 8.50224503e+05 -1.00000000e+00 
19 188.28 1.01672942e+06 -1.00000000e+00 
20 189.08 1.23660102e+06 -1.00000000e+00 
21 189.88 1.50647222e+06 -1.00000000e+00 
22 190.67 1.88438616e+06 -1.00000000e+00 
23 191.47 2.32503183e+06 -1.00000000e+00 
24 192.27 2.87889603e+06 -1.00000000e+00 
25 193.07 3.63606976e+06 -1.00000000e+00 
26 193.86 4.34664020e+06 -1.00000000e+00 
27 194.66 5.69930321e+06 -1.00000000e+00 
28 195.46 7.05552077e+06 -1.00000000e+00 
29 196.26 9.72968462e+06 -1.00000000e+00 
30 197.05 1.29966118e+07 -1.00000000e+00 
31 197.85 1.70562749e+07 -1.00000000e+00 
32 198.65 2.41438380e+07 -1.00000000e+00 
33 199.45 3.41789546e+07 -1.00000000e+00 
34 200.25 4.74534442e+07 -1.00000000e+00 
35 201.05 6.93360170e+07 -1.00000000e+00 
36 201.85 1.03040698e+08 -1.00000000e+00 
37 202.64 1.36986496e+08 -1.00000000e+00 
38 203.44 2.06277391e+08 -1.00000000e+00 
39 204.24 2.98254671e+08 -1.00000000e+00 
40 205.04 4.89896749e+08 -1.00000000e+00 
41 205.84 7.86943042e+08 -1.00000000e+00 
42 206.64 1.15751708e+09 -1.00000000e+00 
43 207.44 1.09792336e+09 -1.00000000e+00 
44 208.24 8.52938669e+08 -1.00000000e+00 
45 209.04 6.36664811e+08 -1.00000000e+00 
46 209.84 3.92788388e+08 -1.00000000e+00 
47 210.64 2.46866003e+08 -1.00000000e+00 
48 211.44 1.52269376e+08 -1.00000000e+00 
49 212.24 9.41406687e+07 -1.00000000e+00 
50 213.05 5.88349321e+07 -1.00000000e+00 
51 213.85 3.65693385e+07 -1.00000000e+00 
52 214.65 2.26889054e+07 -1.00000000e+00 
53 215.45 1.40666030e+07 -1.00000000e+00 
54 216.25 8.78428625e+06 -1.00000000e+00 
55 217.05 5.52054557e+06 -1.00000000e+00 
56 217.85 3.45207811e+06 -1.00000000e+00 
57 218.65 2.11915821e+06 -1.00000000e+00 
58 219.46 1.31574484e+06 -1.00000000e+00 
59 220.26 8.14844589e+05 -1.00000000e+00 
60 221.06 5.12080613e+05 -1.00000000e+00 
61 221.86 3.18154305e+05 -1.00000000e+00 
62 222.66 1.99789079e+05 -1.00000000e+00 
63 223.47 1.22402401e+05 -1.00000000e+00 
64 224.27 7.62252601e+04 -1.00000000e+00 
65 225.07 4.71595455e+04 -1.00000000e+00 
66 225.87 2.97886132e+04 -1.00000000e+00 
67 226.68 1.88283141e+04 -1.00000000e+00 
68 227.48 1.18357462e+04 -1.00000000e+00 
69 228.28 7.71365816e+03 -1.00000000e+00 
70 229.09 5.48344249e+03 -1.00000000e+00 
71 229.89 4.41172885e+03 -1.00000000e+00 
72 230.69 4.40177920e+03 -1.00000000e+00 
73 231.49 5.38291243e+03 -1.00000000e+00 
74 232.30 7.76777588e+03 -1.00000000e+00 
75 233.10 1.24949454e+04 -1.00000000e+00 
76 233.91 2.11150893e+04 -1.00000000e+00 
77 234.71 3.67276771e+04 -1.00000000e+00 
78 235.51 6.44179275e+04 -1.00000000e+00 
79 236.32 1.10522362e+05 -1.00000000e+00 
80 237.12 1.93253174e+05 -1.00000000e+00 
81 237.92 3.42595184e+05 -1.00000000e+00 
82 238.73 6.05873525e+05 -1.00000000e+00 
83 239.53 1.05785310e+06 -1.00000000e+00 
84 240.34 1.83301782e+06 -1.00000000e+00 
85 241.14 3.16239182e+06 -1.00000000e+00 
86 241.94 5.34786895e+06 -1.00000000e+00 
87 242.75 8.91186481e+06 -1.00000000e+00 
88 243.55 1.44068892e+07 -1.00000000e+00 
89 244.36 2.32438616e+07 -1.00000000e+00 
90 245.16 3.55285183e+07 -1.00000000e+00 
91 245.97 5.43561565e+07 -1.00000000e+00 
92 246.77 7.98211363e+07 -1.00000000e+00 
93 247.58 1.14432266e+08 -1.00000000e+00 
94 248.38 1.62298442e+08 -1.00000000e+00 
95 249.19 2.22862358e+08 -1.00000000e+00 
96 249.99 2.87114520e+08 -1.00000000e+00 
97 250.80 3.49897683e+08 -1.00000000e+00 
98 251.60 4.08827946e+08 -1.00000000e+00 
99 252.41 4.80853241e+08 -1.00000000e+00 
100 253.21 5.35629810e+08 -1.00000000e+00 
101 254.02 5.73362499e+08 -1.00000000e+00 
102 254.83 5.92468187e+08 -1.00000000e+00 
103 255.63 5.97576930e+08 -1.00000000e+00 
104 256.44 5.46703992e+08 -1.00000000e+00 
105 257.24 4.78487578e+08 -1.00000000e+00 
106 258.05 4.23680049e+08 -1.00000000e+00 
107 258.85 3.59993118e+08 -1.00000000e+00 
108 259.66 2.79181122e+08 -1.00000000e+00 
109 260.46 2.04685935e+08 -1.00000000e+00 
110 261.27 1.50623194e+08 -1.00000000e+00 
111 262.08 1.02777679e+08 -1.00000000e+00 
112 262.88 6.89149318e+07 -1.00000000e+00 
113 263.69 4.52658015e+07 -1.00000000e+00 
114 264.50 3.00811065e+07 -1.00000000e+00 
115 265.30 1.94007767e+07 -1.00000000e+00 
116 266.11 1.15722922e+07 -1.00000000e+00 
117 266.91 6.84314222e+06 -1.00000000e+00 
118 267.72 3.85479681e+06 -1.00000000e+00 
119 268.53 2.16022702e+06 -1.00000000e+00 
120 269.33 1.18674100e+06 -1.00000000e+00 
121 270.14 6.86454865e+05 -1.00000000e+00 
122 270.95 3.90501017e+05 -1.00000000e+00 
123 271.75 2.18001057e+05 -1.00000000e+00 
124 272.56 1.18574824e+05 -1.00000000e+00 
125 273.37 6.36980775e+04 -1.00000000e+00 
126 274.17 3.29748859e+04 -1.00000000e+00 
127 274.98 1.83076471e+04 -1.00000000e+00 
128 275.79 1.02066030e+04 -1.00000000e+00 
129 276.59 5.93677661e+03 -1.00000000e+00 
130 277.40 3.43540559e+03 -1.00000000e+00 
131 278.21 1.96286001e+03 -1.00000000e+00 
132 279.01 1.16492308e+03 -1.00000000e+00 
133 279.82 7.02560627e+02 -1.00000000e+00 
134 280.63 4.10926491e+02 -1.00000000e+00 
135 281.44 2.43280027e+02 -1.00000000e+00 
136 282.24 1.51439960e+02 -1.00000000e+00 
137 283.05 1.00778295e+02 -1.00000000e+00 
138 283.86 6.80007956e+01 -1.00000000e+00 
139 284.66 4.48840109e+01 -1.00000000e+00 
140 285.47 3.03490174e+01 -1.00000000e+00 
141 286.28 2.20254549e+01 -1.00000000e+00 
142 287.09 1.58304207e+01 -1.00000000e+00 
143 287.89 1.16669048e+01 -1.00000000e+00 
144 288.70 8.66298322e+00 -1.00000000e+00 
145 289.51 6.74053186e+00 -1.00000000e+00 
146 290.32 5.32650812e+00 -1.00000000e+00 
147 291.12 4.18863334e+00 -1.00000000e+00 
148 291.93 3.37268564e+00 -1.00000000e+00 
149 292.74 2.81938356e+00 -1.00000000e+00 
150 293.55 2.34360842e+00 -1.00000000e+00 
151 294.35 1.98925335e+00 -1.00000000e+00 
152 295.16 1.76601000e+00 -1.00000000e+00 
153 295.97 1.49876228e+00 -1.00000000e+00 
154 296.78 1.31027081e+00 -1.00000000e+00 
155 297.58 1.16880863e+00 -1.00000000e+00 
156 298.39 1.06278330e+00 -1.00000000e+00 
157 299.20 9.75771275e-01 -1.00000000e+00 
158 300.01 8.97726484e-01 -1.00000000e+00 
159 300.81 8.51542759e-01 -1.00000000e+00 
160 301.62 7.86408168e-01 -1.00000000e+00 
161 302.43 7.36434814e-01 -1.00000000e+00 
162 303.24 6.99496825e-01 -1.00000000e+00 
163 304.05 6.79591314e-01 -1.00000000e+00 
164 304.85 6.48516437e-01 -1.00000000e+00 
165 305.66 6.33261223e-01 -1.00000000e+00 
166 306.47 6.10497155e-01 -1.00000000e+00 
167 307.28 5.97325888e-01 -1.00000000e+00 
168 308.08 5.85671408e-01 -1.00000000e+00 
169 308.89 5.79138963e-01 -1.00000000e+00 
170 309.70 5.63146627e-01 -1.00000000e+00 
171 310.51 5.56260840e-01 -1.00000000e+00 
172 311.32 5.43949807e-01 -1.00000000e+00 
173 312.12 5.37687909e-01 -1.00000000e+00 
174 312.93 5.39485399e-01 -1.00000000e+00 
175 313.74 5.34760934e-01 -1.00000000e+00 
176 314.55 5.33708628e-01 -1.00000000e+00 
177 315.36 5.29085188e-01 -1.00000000e+00 
178 316.16 5.41798040e-01 -1.00000000e+00 
179 316.97 5.50761702e-01 -1.00000000e+00 
180 317.78 5.55517052e-01 -1.00000000e+00 
181 318.59 5.61365549e-01 -1.00000000e+00 
182 319.39 5.58080822e-01 -1.00000000e+00 
183 320.20 5.70524912e-01 -1.00000000e+00 
184 321.01 5.90030514e-01 -1.00000000e+00 
185 321.82 6.01001358e-01 -1.00000000e+00 
186 322.63 6.11621169e-01 -1.00000000e+00 
187 323.43 6.28248618e-01 -1.00000000e+00 
188 324.24 6.48808655e-01 -1.00000000e+00 
189 325.05 6.47520386e-01 -1.00000000e+00 
190 325.86 6.74481640e-01 -1.00000000e+00 
191 326.67 6.98251401e-01 -1.00000000e+00 
192 327.48 7.22627912e-01 -1.00000000e+00 
193 328.28 7.46082929e-01 -1.00000000e+00 
194 329.09 7.74480664e-01 -1.00000000e+00 
195 329.90 8.08764769e-01 -1.00000000e+00 
196 330.71 8.41927377e-01 -1.00000000e+00 
197 331.51 8.98309917e-01 -1.00000000e+00 
198 332.32 9.87680481e-01 -1.00000000e+00 
199 333.13 1.15779353e+00 -1.00000000e+00 
200 333.94 1.47835166e+00 -1.00000000e+00 
201 334.75 2.03247383e+00 -1.00000000e+00 
202 335.56 2.84661921e+00 -1.00000000e+00 
203 336.36 4.02371052e+00 -1.00000000e+00 
204 337.17 6.02603230e+00 -1.00000000e+00 
205 337.98 8.95792668e+00 -1.00000000e+00 
206 338.79 1.26044223e+01 -1.00000000e+00 
207 339.59 1.68276069e+01 -1.00000000e+00 
208 340.40 2.06960641e+01 -1.00000000e+00 
209 341.21 2.39517604e+01 -1.00000000e+00 
210 342.02 2.77687373e+01 -1.00000000e+00 
211 342.83 3.13872509e+01 -1.00000000e+00 
212 343.64 3.25336793e+01 -1.00000000e+00 
213 344.44 3.36632850e+01 -1.00000000e+00 
214 345.25 3.75246854e+01 -1.00000000e+00 
215 346.06 4.14550836e+01 -1.00000000e+00 
216 346.87 4.40483217e+01 -1.00000000e+00 
217 347.67 4.59725348e+01 -1.00000000e+00 
218 348.48 4.75936656e+01 -1.00000000e+00 
219 349.29 5.03292471e+01 -1.00000000e+00 
220 350.10 5.53056089e+01 -1.00000000e+00 
221 350.91 5.91770933e+01 -1.00000000e+00 
222 351.71 5.96898213e+01 -1.00000000e+00 
223 352.52 6.04929657e+01 -1.00000000e+00 
224 353.33 6.57966858e+01 -1.00000000e+00 
225 354.14 7.29497970e+01 -1.00000000e+00 
226 354.94 7.66106818e+01 -1.00000000e+00 
227 355.75 7.57689670e+01 -1.00000000e+00 
228 356.56 7.16184349e+01 -1.00000000e+00 
229 357.37 6.72738563e+01 -1.00000000e+00 
230 358.18 6.59560347e+01 -1.00000000e+00 
231 358.98 7.32477647e+01 -1.00000000e+00 
232 359.79 8.53517640e+01 -1.00000000e+00 
233 360.60 8.79422125e+01 -1.00000000e+00 
234 361.41 8.62998445e+01 -1.00000000e+00 
235 362.21 9.06213165e+01 -1.00000000e+00 
236 363.02 9.63410953e+01 -1.00000000e+00 
237 363.83 9.97407805e+01 -1.00000000e+00 
238 364.64 1.04275556e+02 -1.00000000e+00 
239 365.44 1.13436927e+02 -1.00000000e+00 
240 366.25 1.22294754e+02 -1.00000000e+00 
241 367.06 1.24095029e+02 -1.00000000e+00 
242 367.87 1.22211673e+02 -1.00000000e+00 
243 368.67 1.23486408e+02 -1.00000000e+00 
244 369.48 1.28979999e+02 -1.00000000e+00 
245 370.29 1.30839594e+02 -1.00000000e+00 
246 371.10 1.29476741e+02 -1.00000000e+00 
247 371.90 1.26513634e+02 -1.00000000e+00 
248 372.71 1.19853661e+02 -1.00000000e+00 
249 373.52 1.13012131e+02 -1.00000000e+00 
250 374.33 1.11681291e+02 -1.00000000e+00 
251 375.13 1.18943307e+02 -1.00000000e+00 
252 375.94 1.29768080e+02 -1.00000000e+00 
253 376.75 1.41102849e+02 -1.00000000e+00 
254 377.55 1.54720140e+02 -1.00000000e+00 
255 378.36 1.60006572e+02 -1.00000000e+00 
256 379.17 1.52527274e+02 -1.00000000e+00 
257 379.98 1.48283260e+02 -1.00000000e+00 
258 380.78 1.48683579e+02 -1.00000000e+00 
259 381.59 1.37353705e+02 -1.00000000e+00 
260 382.40 1.17201511e+02 -1.00000000e+00 
261 383.21 1.06244957e+02 -1.00000000e+00 
262 384.01 1.13647244e+02 -1.00000000e+00 
263 384.82 1.29251974e+02 -1.00000000e+00 
264 385.63 1.36904002e+02 -1.00000000e+00 
265 386.43 1.38466708e+02 -1.00000000e+00 
266 387.24 1.39672536e+02 -1.00000000e+00 
267 388.05 1.41742738e+02 -1.00000000e+00 
268 388.85 1.49647010e+02 -1.00000000e+00 
269 389.66 1.63723141e+02 -1.00000000e+00 
270 390.47 1.75920438e+02 -1.00000000e+00 
271 391.27 1.78706628e+02 -1.00000000e+00 
272 392.08 1.62218029e+02 -1.00000000e+00 
273 392.89 1.32377398e+02 -1.00000000e+00 
274 393.69 1.22136667e+02 -1.00000000e+00 
275 394.50 1.44375754e+02 -1.00000000e+00 
276 395.31 1.64806246e+02 -1.00000000e+00 
277 396.11 1.56357945e+02 -1.00000000e+00 
278 396.92 1.46069065e+02 -1.00000000e+00 
279 397.73 1.69443211e+02 -1.00000000e+00 
280 398.53 2.10938969e+02 -1.00000000e+00 
281 399.34 2.39129795e+02 -1.00000000e+00 
282 400.15 2.52873013e+02 -1.00000000e+00 
283 400.95 2.62029744e+02 -1.00000000e+00 
284 401.76 2.69586703e+02 -1.00000000e+00 
285 402.57 2.72348280e+02 -1.00000000e+00 
286 403.37 2.71061986e+02 -1.00000000e+00 
287 404.18 2.69784430e+02 -1.00000000e+00 
288 404.98 2.68659152e+02 -1.00000000e+00 
289 405.79 2.67332511e+02 -1.00000000e+00 
290 406.60 2.67726435e+02 -1.00000000e+00 
291 407.40 2.73586392e+02 -1.00000000e+00 
292 408.21 2.83822887e+02 -1.00000000e+00 
293 409.02 2.88805083e+02 -1.00000000e+00 
294 409.82 2.85746716e+02 -1.00000000e+00 
295 410.63 2.87862567e+02 -1.00000000e+00 
296 411.44 3.00007102e+02 -1.00000000e+00 
297 412.24 3.09489480e+02 -1.00000000e+00 
298 413.05 3.11190965e+02 -1.00000000e+00 
299 413.85 3.11192860e+02 -1.00000000e+00 
300 414.66 3.11869419e+02 -1.00000000e+00 
301 415.46 3.13204586e+02 -1.00000000e+00 
302 416.27 3.13956327e+02 -1.00000000e+00 
303 417.08 3.10765333e+02 -1.00000000e+00 
304 417.88 3.05781932e+02 -1.00000000e+00 
305 418.69 3.03717398e+02 -1.00000000e+00 
306 419.49 3.04837264e+02 -1.00000000e+00 
307 420.30 3.09027779e+02 -1.00000000e+00 
308 421.11 3.13282694e+02 -1.00000000e+00 
309 421.91 3.11795804e+02 -1.00000000e+00 
310 422.72 3.06527074e+02 -1.00000000e+00 
311 423.52 3.05593410e+02 -1.00000000e+00 
312 424.33 3.08836500e+02 -1.00000000e+00 
313 425.13 3.11048170e+02 -1.00000000e+00 
314 425.94 3.10994564e+02 -1.00000000e+00 
315 426.74 3.09913776e+02 -1.00000000e+00 
316 427.55 3.08475617e+02 -1.00000000e+00 
317 428.35 3.04097792e+02 -1.00000000e+00 
318 429.16 2.91859476e+02 -1.00000000e+00 
319 429.96 2.77032131e+02 -1.00000000e+00 
320 430.77 2.79774965e+02 -1.00000000e+00 
321 431.58 3.05907795e+02 -1.00000000e+00 
322 432.38 3.35858904e+02 -1.00000000e+00 
323 433.19 3.50574403e+02 -1.00000000e+00 
324 433.99 3.56523619e+02 -1.00000000e+00 
325 434.80 3.67935573e+02 -1.00000000e+00 
326 435.60 3.85728993e+02 -1.00000000e+00 
327 436.41 3.98629700e+02 -1.00000000e+00 
328 437.21 3.98306390e+02 -1.00000000e+00 
329 438.02 3.91273999e+02 -1.00000000e+00 
330 438.82 3.90383684e+02 -1.00000000e+00 
331 439.63 3.99562804e+02 -1.00000000e+00 
332 440.43 4.14964080e+02 -1.00000000e+00 
