% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160112starsun_wstraylightcorr.mat and recorded on 2016-01-27 09:44:50.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -4.07447239e+12 -1.22234172e+11 
1 173.97 -4.70124028e+12 -1.41037209e+11 
2 174.77 -6.74294871e+12 -2.02288461e+11 
3 175.56 -8.35253558e+12 -2.50576067e+11 
4 176.36 4.58697795e+12 1.37609339e+11 
5 177.15 7.24011309e+12 2.17203393e+11 
6 177.94 8.82150907e+12 2.64645272e+11 
7 178.74 1.06421985e+13 3.19265955e+11 
8 179.53 1.27069565e+13 3.81208694e+11 
9 180.33 1.82624827e+13 5.47874482e+11 
10 181.12 2.43121385e+13 7.29364154e+11 
11 181.92 2.88922614e+13 8.66767843e+11 
12 182.71 3.11131770e+13 9.33395311e+11 
13 183.51 4.47502407e+13 1.34250722e+12 
14 184.30 5.46512911e+13 1.63953873e+12 
15 185.10 9.75422952e+13 2.92626886e+12 
16 185.89 1.40428159e+14 4.21284476e+12 
17 186.69 1.89234535e+14 5.67703604e+12 
18 187.49 2.84544159e+14 8.53632477e+12 
19 188.28 4.24522232e+14 1.27356670e+13 
20 189.08 4.33728427e+14 1.30118528e+13 
21 189.88 6.73816393e+14 2.02144918e+13 
22 190.67 1.14226338e+15 3.42679015e+13 
23 191.47 1.52476183e+15 4.57428548e+13 
24 192.27 2.43745973e+15 7.31237920e+13 
25 193.07 4.26758445e+15 1.28027533e+14 
26 193.86 5.64969518e+15 1.69490855e+14 
27 194.66 8.36535232e+15 2.50960570e+14 
28 195.46 1.26769797e+16 3.80309392e+14 
29 196.26 1.62279579e+16 4.86838737e+14 
30 197.05 2.68668395e+16 8.06005184e+14 
31 197.85 3.59499660e+16 1.07849898e+15 
32 198.65 5.99647756e+16 1.79894327e+15 
33 199.45 1.37445049e+17 4.12335147e+15 
34 200.25 2.82850742e+17 8.48552226e+15 
35 201.05 5.05104174e+17 1.51531252e+16 
36 201.85 6.52421541e+17 1.95726462e+16 
37 202.64 2.63764246e+18 7.91292739e+16 
38 203.44 5.86547015e+18 1.75964104e+17 
39 204.24 5.66598823e+18 1.69979647e+17 
40 205.04 2.41476292e+19 7.24428877e+17 
41 205.84 6.41341047e+19 1.92402314e+18 
42 206.64 9.21323507e+19 2.76397052e+18 
43 207.44 3.00037867e+20 9.00113602e+18 
44 208.24 6.43974096e+20 1.93192229e+19 
45 209.04 2.04934866e+21 6.14804597e+19 
46 209.84 1.47908992e+22 4.43726976e+20 
47 210.64 4.04717578e+21 1.21415273e+20 
48 211.44 1.20647565e+21 3.61942696e+19 
49 212.24 2.56549518e+20 7.69648555e+18 
50 213.05 6.78833768e+19 2.03650130e+18 
51 213.85 2.81031600e+19 8.43094801e+17 
52 214.65 6.06058058e+18 1.81817418e+17 
53 215.45 1.92097749e+18 5.76293247e+16 
54 216.25 3.54715083e+17 1.06414525e+16 
55 217.05 1.44438428e+17 4.33315285e+15 
56 217.85 4.57247989e+16 1.37174397e+15 
57 218.65 8.11928173e+15 2.43578452e+14 
58 219.46 2.42694812e+15 7.28084437e+13 
59 220.26 5.44691725e+14 1.63407518e+13 
60 221.06 1.95544089e+14 5.86632268e+12 
61 221.86 3.72460617e+13 1.11738185e+12 
62 222.66 1.54416386e+13 4.63249159e+11 
63 223.47 2.78295883e+12 8.34887649e+10 
64 224.27 4.91769825e+11 1.47530948e+10 
65 225.07 1.60164415e+11 4.80493246e+09 
66 225.87 8.00364504e+10 2.40109351e+09 
67 226.68 1.25657457e+10 3.76972371e+08 
68 227.48 6.39631746e+09 1.91889524e+08 
69 228.28 1.08793661e+09 3.26380982e+07 
70 229.09 4.05395893e+08 1.21618768e+07 
71 229.89 1.51243809e+08 4.53731427e+06 
72 230.69 1.23595400e+08 3.70786200e+06 
73 231.49 -8.33084650e+07 -2.49925395e+06 
74 232.30 1.72679415e+09 5.18038244e+07 
75 233.10 2.89967851e+09 8.69903553e+07 
76 233.91 1.35772025e+10 4.07316076e+08 
77 234.71 4.39993615e+10 1.31998085e+09 
78 235.51 3.95300743e+11 1.18590223e+10 
79 236.32 6.15425705e+11 1.84627711e+10 
80 237.12 -3.44745567e+12 -1.03423670e+11 
81 237.92 -7.14812388e+12 -2.14443716e+11 
82 238.73 3.07710524e+13 9.23131573e+11 
83 239.53 9.04932027e+13 2.71479608e+12 
84 240.34 1.04649321e+15 3.13947963e+13 
85 241.14 -6.14475595e+15 -1.84342679e+14 
86 241.94 -3.22084896e+16 -9.66254689e+14 
87 242.75 7.73660657e+15 2.32098197e+14 
88 243.55 -1.89192371e+17 -5.67577114e+15 
89 244.36 -1.38403022e+18 -4.15209067e+16 
90 245.16 -5.70216207e+18 -1.71064862e+17 
91 245.97 4.08260978e+18 1.22478293e+17 
92 246.77 -1.86263818e+19 -5.58791455e+17 
93 247.58 -2.36602864e+19 -7.09808592e+17 
94 248.38 -1.28699088e+20 -3.86097264e+18 
95 249.19 -5.41553318e+20 -1.62465995e+19 
96 249.99 -1.25091803e+21 -3.75275408e+19 
97 250.80 -2.32192397e+21 -6.96577192e+19 
98 251.60 -6.21295852e+21 -1.86388756e+20 
