% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20160113starsunFORJcorrected.mat and recorded on 2016-01-22 13:28:42.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.98582017e+00 1.49574605e-01 
510 949.79 5.15575273e+00 1.54672582e-01 
509 951.68 5.55131802e+00 1.66539541e-01 
508 953.57 5.61882131e+00 1.68564639e-01 
507 955.46 6.10251822e+00 1.83075547e-01 
506 957.34 6.21717236e+00 1.86515171e-01 
505 959.22 6.72260824e+00 2.01678247e-01 
504 961.10 6.81989699e+00 2.04596910e-01 
503 962.98 7.28368032e+00 2.18510410e-01 
502 964.85 7.31093348e+00 2.19328004e-01 
501 966.72 7.85685353e+00 2.35705606e-01 
500 968.59 7.90903239e+00 2.37270972e-01 
499 970.45 8.31555638e+00 2.49466692e-01 
498 972.32 8.25716744e+00 2.47715023e-01 
497 974.18 8.58684611e+00 2.57605383e-01 
496 976.04 8.50651730e+00 2.55195519e-01 
495 977.89 8.85281618e+00 2.65584486e-01 
494 979.74 8.77861547e+00 2.63358464e-01 
493 981.59 9.06308035e+00 2.71892411e-01 
492 983.44 8.95850310e+00 2.68755093e-01 
491 985.29 9.21178832e+00 2.76353650e-01 
490 987.13 9.01497144e+00 2.70449143e-01 
489 988.97 9.26463200e+00 2.77938960e-01 
488 990.81 9.06658818e+00 2.71997646e-01 
487 992.65 9.23517966e+00 2.77055390e-01 
486 994.48 9.04386183e+00 2.71315855e-01 
485 996.31 9.20104236e+00 2.76031271e-01 
484 998.14 8.96010811e+00 2.68803243e-01 
483 999.97 9.11460899e+00 2.73438270e-01 
482 1001.79 8.83357104e+00 2.65007131e-01 
481 1003.62 8.90555391e+00 2.67166617e-01 
480 1005.44 8.69100538e+00 2.60730161e-01 
479 1007.25 8.93316276e+00 2.67994883e-01 
478 1009.07 8.74300880e+00 2.62290264e-01 
477 1010.88 8.90231199e+00 2.67069360e-01 
476 1012.69 8.64032722e+00 2.59209817e-01 
475 1014.50 8.74975056e+00 2.62492517e-01 
474 1016.31 8.52738900e+00 2.55821670e-01 
473 1018.11 8.65683389e+00 2.59705017e-01 
472 1019.91 8.41465487e+00 2.52439646e-01 
471 1021.71 8.55994952e+00 2.56798486e-01 
470 1023.51 8.34308884e+00 2.50292665e-01 
469 1025.30 8.51880214e+00 2.55564064e-01 
468 1027.09 8.41996622e+00 2.52598987e-01 
467 1028.88 8.57492965e+00 2.57247890e-01 
466 1030.67 8.42540302e+00 2.52762091e-01 
465 1032.46 8.59254978e+00 2.57776493e-01 
464 1034.24 8.45852448e+00 2.53755734e-01 
463 1036.02 8.64664583e+00 2.59399375e-01 
462 1037.80 8.53694076e+00 2.56108223e-01 
461 1039.58 8.75174622e+00 2.62552386e-01 
460 1041.35 8.61740782e+00 2.58522235e-01 
459 1043.12 8.77420041e+00 2.63226012e-01 
458 1044.89 8.68616332e+00 2.60584900e-01 
457 1046.66 8.89879666e+00 2.66963900e-01 
456 1048.43 8.83161893e+00 2.64948568e-01 
455 1050.19 9.05618078e+00 2.71685423e-01 
454 1051.95 8.93264763e+00 2.67979429e-01 
453 1053.71 9.18297970e+00 2.75489391e-01 
452 1055.47 9.01628036e+00 2.70488411e-01 
451 1057.23 9.14640306e+00 2.74392092e-01 
450 1058.98 9.00985111e+00 2.70295533e-01 
449 1060.73 9.19877346e+00 2.75963204e-01 
448 1062.48 9.00845370e+00 2.70253611e-01 
447 1064.23 9.15300775e+00 2.74590233e-01 
446 1065.97 8.88085870e+00 2.66425761e-01 
445 1067.71 8.94224822e+00 2.68267446e-01 
444 1069.46 8.72688308e+00 2.61806492e-01 
443 1071.19 8.83001463e+00 2.64900439e-01 
442 1072.93 8.65904083e+00 2.59771225e-01 
441 1074.67 8.72872598e+00 2.61861779e-01 
440 1076.40 8.54099125e+00 2.56229737e-01 
439 1078.13 8.60435460e+00 2.58130638e-01 
438 1079.86 8.36271974e+00 2.50881592e-01 
437 1081.58 8.45010814e+00 2.53503244e-01 
436 1083.31 8.35650105e+00 2.50695031e-01 
435 1085.03 8.54909556e+00 2.56472867e-01 
434 1086.75 8.47919217e+00 2.54375765e-01 
433 1088.47 8.61832268e+00 2.58549680e-01 
432 1090.19 8.50321541e+00 2.55096462e-01 
431 1091.90 8.59847220e+00 2.57954166e-01 
430 1093.61 8.45745239e+00 2.53723572e-01 
429 1095.33 8.67733634e+00 2.60320090e-01 
428 1097.03 8.70993580e+00 2.61298074e-01 
427 1098.74 8.94318588e+00 2.68295576e-01 
426 1100.45 8.94884762e+00 2.68465429e-01 
425 1102.15 9.22702310e+00 2.76810693e-01 
424 1103.85 9.20009539e+00 2.76002862e-01 
423 1105.55 9.42234111e+00 2.82670233e-01 
422 1107.25 9.31076528e+00 2.79322958e-01 
421 1108.94 9.39936055e+00 2.81980816e-01 
420 1110.64 9.12879918e+00 2.73863975e-01 
419 1112.33 9.00091806e+00 2.70027542e-01 
418 1114.02 8.48993082e+00 2.54697925e-01 
417 1115.70 8.34259568e+00 2.50277871e-01 
416 1117.39 8.01762425e+00 2.40528728e-01 
415 1119.07 7.91920529e+00 2.37576159e-01 
414 1120.76 7.71341298e+00 2.31402390e-01 
413 1122.44 7.69149212e+00 2.30744764e-01 
412 1124.12 7.66040076e+00 2.29812023e-01 
411 1125.79 7.95601736e+00 2.38680521e-01 
410 1127.47 8.21174137e+00 2.46352241e-01 
409 1129.14 8.62524826e+00 2.58757448e-01 
408 1130.81 8.11597306e+00 2.43479192e-01 
407 1132.48 7.88983245e+00 2.36694974e-01 
