% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20160113starsunFORJcorrected1.mat and recorded on 2016-01-22 14:28:58.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.97390913e+00 1.49217274e-01 
510 949.79 5.14375250e+00 1.54312575e-01 
509 951.68 5.53869429e+00 1.66160829e-01 
508 953.57 5.60632572e+00 1.68189772e-01 
507 955.46 6.08925111e+00 1.82677533e-01 
506 957.34 6.20388826e+00 1.86116648e-01 
505 959.22 6.70871764e+00 2.01261529e-01 
504 961.10 6.80630408e+00 2.04189122e-01 
503 962.98 7.26982144e+00 2.18094643e-01 
502 964.85 7.29756153e+00 2.18926846e-01 
501 966.72 7.84337626e+00 2.35301288e-01 
500 968.59 7.89593077e+00 2.36877923e-01 
499 970.45 8.30206046e+00 2.49061814e-01 
498 972.32 8.24365294e+00 2.47309588e-01 
497 974.18 8.57281651e+00 2.57184495e-01 
496 976.04 8.49267566e+00 2.54780270e-01 
495 977.89 8.83882209e+00 2.65164663e-01 
494 979.74 8.76496862e+00 2.62949059e-01 
493 981.59 9.04938646e+00 2.71481594e-01 
492 983.44 8.94524830e+00 2.68357449e-01 
491 985.29 9.19829657e+00 2.75948897e-01 
490 987.13 9.00191039e+00 2.70057312e-01 
489 988.97 9.25137073e+00 2.77541122e-01 
488 990.81 9.05357800e+00 2.71607340e-01 
487 992.65 9.22191291e+00 2.76657387e-01 
486 994.48 9.03082417e+00 2.70924725e-01 
485 996.31 9.18783498e+00 2.75635050e-01 
484 998.14 8.94719614e+00 2.68415884e-01 
483 999.97 9.10167385e+00 2.73050216e-01 
482 1001.79 8.82098853e+00 2.64629656e-01 
481 1003.62 8.89291063e+00 2.66787319e-01 
480 1005.44 8.67865099e+00 2.60359530e-01 
479 1007.25 8.92052058e+00 2.67615617e-01 
478 1009.07 8.73068159e+00 2.61920448e-01 
477 1010.88 8.88965590e+00 2.66689677e-01 
476 1012.69 8.62803299e+00 2.58840990e-01 
475 1014.50 8.73731344e+00 2.62119403e-01 
474 1016.31 8.51527883e+00 2.55458365e-01 
473 1018.11 8.64456767e+00 2.59337030e-01 
472 1019.91 8.40268724e+00 2.52080617e-01 
471 1021.71 8.54768120e+00 2.56430436e-01 
470 1023.51 8.33109295e+00 2.49932789e-01 
469 1025.30 8.50658458e+00 2.55197537e-01 
468 1027.09 8.40801229e+00 2.52240369e-01 
467 1028.88 8.56264355e+00 2.56879306e-01 
