% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160113starsun.mat and recorded on 2016-01-13 19:38:30.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 1.94129518e+12 5.82388553e+10 
2 174.77 1.21345307e+12 3.64035921e+10 
3 175.56 3.95023505e+13 1.18507051e+12 
4 176.36 2.11465525e+14 6.34396574e+12 
5 177.15 3.04290532e+14 9.12871595e+12 
6 177.94 4.17357628e+14 1.25207288e+13 
7 178.74 5.77905763e+14 1.73371729e+13 
8 179.53 9.49169691e+14 2.84750907e+13 
9 180.33 1.44928308e+15 4.34784925e+13 
10 181.12 1.87291416e+15 5.61874247e+13 
11 181.92 2.72623640e+15 8.17870921e+13 
12 182.71 4.25393234e+15 1.27617970e+14 
13 183.51 5.32911288e+15 1.59873386e+14 
14 184.30 7.09105189e+15 2.12731557e+14 
15 185.10 6.28277013e+15 1.88483104e+14 
16 185.89 1.12566215e+16 3.37698646e+14 
17 186.69 1.97569775e+16 5.92709326e+14 
18 187.49 2.98617042e+16 8.95851126e+14 
19 188.28 3.50287900e+16 1.05086370e+15 
20 189.08 5.10031281e+16 1.53009384e+15 
21 189.88 5.39587913e+16 1.61876374e+15 
22 190.67 7.00065388e+16 2.10019616e+15 
23 191.47 9.04842198e+16 2.71452659e+15 
24 192.27 1.77568479e+17 5.32705437e+15 
25 193.07 1.86382491e+17 5.59147473e+15 
26 193.86 2.74262678e+17 8.22788033e+15 
27 194.66 5.56966106e+17 1.67089832e+16 
28 195.46 6.18456174e+17 1.85536852e+16 
29 196.26 5.28449667e+17 1.58534900e+16 
30 197.05 5.24670493e+17 1.57401148e+16 
31 197.85 6.16585691e+17 1.84975707e+16 
32 198.65 6.31971732e+17 1.89591520e+16 
33 199.45 4.51157109e+17 1.35347133e+16 
34 200.25 3.50985290e+17 1.05295587e+16 
35 201.05 1.87774280e+17 5.63322841e+15 
36 201.85 9.92601630e+16 2.97780489e+15 
37 202.64 5.99064368e+16 1.79719311e+15 
38 203.44 4.33343043e+16 1.30002913e+15 
39 204.24 2.71128155e+16 8.13384464e+14 
40 205.04 1.20633057e+16 3.61899170e+14 
41 205.84 7.67653551e+15 2.30296065e+14 
42 206.64 3.54149189e+15 1.06244757e+14 
43 207.44 1.68602307e+15 5.05806922e+13 
44 208.24 7.55827474e+14 2.26748242e+13 
45 209.04 3.42728134e+14 1.02818440e+13 
46 209.84 1.60489395e+14 4.81468185e+12 
47 210.64 7.14796429e+13 2.14438929e+12 
48 211.44 3.28831331e+13 9.86493994e+11 
49 212.24 1.59219645e+13 4.77658936e+11 
50 213.05 7.00462760e+12 2.10138828e+11 
51 213.85 3.15077940e+12 9.45233820e+10 
52 214.65 1.53889320e+12 4.61667959e+10 
53 215.45 6.71659063e+11 2.01497719e+10 
54 216.25 3.17125333e+11 9.51376000e+09 
55 217.05 1.49168638e+11 4.47505913e+09 
56 217.85 6.83055639e+10 2.04916692e+09 
57 218.65 2.96894832e+10 8.90684496e+08 
58 219.46 1.46574701e+10 4.39724104e+08 
59 220.26 6.62552850e+09 1.98765855e+08 
60 221.06 3.01513247e+09 9.04539742e+07 
