% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160113starsun_wFORJcorr.mat and recorded on 2016-01-29 20:28:42.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 2.22798297e+13 6.68394891e+11 
2 174.77 1.23285484e+13 3.69856451e+11 
3 175.56 7.09660416e+13 2.12898125e+12 
4 176.36 5.69335251e+14 1.70800575e+13 
5 177.15 9.26311494e+14 2.77893448e+13 
6 177.94 1.20906632e+15 3.62719896e+13 
7 178.74 1.68187321e+15 5.04561962e+13 
8 179.53 2.61226033e+15 7.83678100e+13 
9 180.33 3.53822655e+15 1.06146796e+14 
10 181.12 4.03199358e+15 1.20959808e+14 
11 181.92 5.57152257e+15 1.67145677e+14 
12 182.71 6.86849135e+15 2.06054741e+14 
13 183.51 9.93820759e+15 2.98146228e+14 
14 184.30 1.68958181e+16 5.06874543e+14 
15 185.10 2.27720199e+16 6.83160596e+14 
16 185.89 2.90032616e+16 8.70097847e+14 
17 186.69 4.69172340e+16 1.40751702e+15 
18 187.49 4.31314262e+16 1.29394279e+15 
19 188.28 5.39859082e+16 1.61957724e+15 
20 189.08 7.88457861e+16 2.36537358e+15 
21 189.88 1.15800436e+17 3.47401309e+15 
22 190.67 1.82571989e+17 5.47715967e+15 
23 191.47 2.14632150e+17 6.43896450e+15 
24 192.27 3.73349516e+17 1.12004855e+16 
25 193.07 4.87546880e+17 1.46264064e+16 
26 193.86 5.07090740e+17 1.52127222e+16 
27 194.66 4.62819161e+17 1.38845748e+16 
28 195.46 4.81997746e+17 1.44599324e+16 
29 196.26 5.86079652e+17 1.75823896e+16 
30 197.05 5.76271855e+17 1.72881557e+16 
31 197.85 3.67755879e+17 1.10326764e+16 
32 198.65 2.81903735e+17 8.45711204e+15 
33 199.45 1.61295781e+17 4.83887342e+15 
34 200.25 8.70287843e+16 2.61086353e+15 
35 201.05 5.05413279e+16 1.51623984e+15 
36 201.85 2.91825356e+16 8.75476069e+14 
37 202.64 1.93491240e+16 5.80473719e+14 
38 203.44 8.18366339e+15 2.45509902e+14 
39 204.24 4.23158653e+15 1.26947596e+14 
40 205.04 1.95123561e+15 5.85370684e+13 
41 205.84 9.46040454e+14 2.83812136e+13 
42 206.64 4.56387829e+14 1.36916349e+13 
43 207.44 2.26710381e+14 6.80131144e+12 
44 208.24 1.05991096e+14 3.17973289e+12 
45 209.04 5.02614410e+13 1.50784323e+12 
46 209.84 2.45703254e+13 7.37109763e+11 
47 210.64 1.14026132e+13 3.42078395e+11 
48 211.44 5.47841434e+12 1.64352430e+11 
49 212.24 2.77259270e+12 8.31777809e+10 
50 213.05 1.27299963e+12 3.81899890e+10 
51 213.85 5.98659213e+11 1.79597764e+10 
52 214.65 3.04946895e+11 9.14840684e+09 
53 215.45 1.38950717e+11 4.16852150e+09 
54 216.25 6.85644804e+10 2.05693441e+09 
55 217.05 3.36945547e+10 1.01083664e+09 
56 217.85 1.60885157e+10 4.82655470e+08 
57 218.65 7.29730012e+09 2.18919004e+08 
58 219.46 3.76877712e+09 1.13063314e+08 
59 220.26 1.77784641e+09 5.33353923e+07 
60 221.06 8.43956335e+08 2.53186901e+07 
61 221.86 4.25448411e+08 1.27634523e+07 
62 222.66 2.04533770e+08 6.13601309e+06 
63 223.47 9.56795633e+07 2.87038690e+06 
64 224.27 4.76123829e+07 1.42837149e+06 
65 225.07 2.24344460e+07 6.73033379e+05 
66 225.87 1.06662336e+07 3.19987008e+05 
67 226.68 5.26236632e+06 1.57870990e+05 
68 227.48 2.54311116e+06 7.62933349e+04 
69 228.28 1.36224506e+06 4.08673517e+04 
70 229.09 7.63639321e+05 2.29091796e+04 
71 229.89 6.02208874e+05 1.80662662e+04 
72 230.69 5.38196687e+05 1.61459006e+04 
73 231.49 8.00983229e+05 2.40294969e+04 
74 232.30 1.42297262e+06 4.26891785e+04 
75 233.10 2.91020067e+06 8.73060201e+04 
76 233.91 6.60577334e+06 1.98173200e+05 
77 234.71 1.51963803e+07 4.55891409e+05 
78 235.51 3.76901466e+07 1.13070440e+06 
79 236.32 8.28797330e+07 2.48639199e+06 
80 237.12 2.14802233e+08 6.44406699e+06 
81 237.92 4.97720551e+08 1.49316165e+07 
82 238.73 1.15190249e+09 3.45570747e+07 
83 239.53 2.86037621e+09 8.58112862e+07 
84 240.34 7.10885755e+09 2.13265727e+08 
85 241.14 1.56743419e+10 4.70230256e+08 
86 241.94 3.68111472e+10 1.10433442e+09 
87 242.75 8.04743198e+10 2.41422960e+09 
88 243.55 1.63917666e+11 4.91752999e+09 
89 244.36 3.45890156e+11 1.03767047e+10 
90 245.16 7.27556627e+11 2.18266988e+10 
91 245.97 1.34198951e+12 4.02596852e+10 
92 246.77 2.45402141e+12 7.36206423e+10 
93 247.58 4.45285247e+12 1.33585574e+11 
94 248.38 6.84180129e+12 2.05254039e+11 
95 249.19 1.11924129e+13 3.35772387e+11 
96 249.99 1.76923698e+13 5.30771093e+11 
97 250.80 2.32102254e+13 6.96306761e+11 
98 251.60 3.04845075e+13 9.14535224e+11 
99 252.41 4.05022955e+13 1.21506886e+12 
100 253.21 4.55384832e+13 1.36615450e+12 
101 254.02 5.03240320e+13 1.50972096e+12 
102 254.83 6.04332868e+13 1.81299860e+12 
103 255.63 5.48239229e+13 1.64471769e+12 
104 256.44 4.70021916e+13 1.41006575e+12 
105 257.24 4.02871553e+13 1.20861466e+12 
106 258.05 3.40353563e+13 1.02106069e+12 
107 258.85 2.49202646e+13 7.47607937e+11 
108 259.66 1.71880491e+13 5.15641472e+11 
109 260.46 1.06905911e+13 3.20717732e+11 
110 261.27 6.41740796e+12 1.92522239e+11 
111 262.08 3.86537298e+12 1.15961189e+11 
112 262.88 2.05528021e+12 6.16584062e+10 
113 263.69 9.43645074e+11 2.83093522e+10 
114 264.50 5.48338689e+11 1.64501607e+10 
115 265.30 2.57515788e+11 7.72547364e+09 
116 266.11 1.21405462e+11 3.64216387e+09 
117 266.91 5.24928052e+10 1.57478416e+09 
118 267.72 2.22772887e+10 6.68318660e+08 
119 268.53 8.95080153e+09 2.68524046e+08 
120 269.33 3.41212438e+09 1.02363731e+08 
121 270.14 1.51922243e+09 4.55766729e+07 
122 270.95 6.20292085e+08 1.86087626e+07 
123 271.75 2.63829597e+08 7.91488791e+06 
124 272.56 1.00567237e+08 3.01701712e+06 
125 273.37 3.65197033e+07 1.09559110e+06 
126 274.17 1.35414177e+07 4.06242530e+05 
127 274.98 5.59186045e+06 1.67755814e+05 
128 275.79 2.23013378e+06 6.69040134e+04 
129 276.59 9.86575936e+05 2.95972781e+04 
130 277.40 4.25817367e+05 1.27745210e+04 
131 278.21 1.86541510e+05 5.59624531e+03 
132 279.01 7.90561261e+04 2.37168378e+03 
133 279.82 3.64799445e+04 1.09439833e+03 
134 280.63 1.55584081e+04 4.66752242e+02 
135 281.44 6.61923822e+03 1.98577146e+02 
136 282.24 3.39371773e+03 1.01811532e+02 
137 283.05 1.69449061e+03 5.08347184e+01 
138 283.86 8.25077604e+02 2.47523281e+01 
