% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160113starsun.mat and recorded on 2016-01-13 19:24:53.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 1.71862570e+02 5.15587711e+00 
2 174.77 2.65116198e+02 7.95348593e+00 
3 175.56 3.62832191e+02 1.08849657e+01 
4 176.36 3.40406127e+04 1.02121838e+03 
5 177.15 4.04593519e+04 1.21378056e+03 
6 177.94 4.59832688e+04 1.37949806e+03 
7 178.74 5.11978537e+04 1.53593561e+03 
8 179.53 5.80381510e+04 1.74114453e+03 
9 180.33 6.51979429e+04 1.95593829e+03 
10 181.12 7.45802531e+04 2.23740759e+03 
11 181.92 8.46438834e+04 2.53931650e+03 
12 182.71 9.82202668e+04 2.94660800e+03 
13 183.51 1.09805638e+05 3.29416913e+03 
14 184.30 1.28476528e+05 3.85429583e+03 
15 185.10 1.47896034e+05 4.43688102e+03 
16 185.89 1.74206796e+05 5.22620387e+03 
17 186.69 2.01441412e+05 6.04324237e+03 
18 187.49 2.37047509e+05 7.11142528e+03 
19 188.28 2.66988014e+05 8.00964043e+03 
20 189.08 3.19507790e+05 9.58523371e+03 
21 189.88 3.82592931e+05 1.14777879e+04 
22 190.67 4.63245254e+05 1.38973576e+04 
23 191.47 5.59871143e+05 1.67961343e+04 
24 192.27 6.94333279e+05 2.08299984e+04 
25 193.07 8.47741207e+05 2.54322362e+04 
26 193.86 1.04198986e+06 3.12596959e+04 
27 194.66 1.33870946e+06 4.01612839e+04 
28 195.46 1.64965789e+06 4.94897367e+04 
29 196.26 2.15598204e+06 6.46794611e+04 
30 197.05 2.81228672e+06 8.43686015e+04 
31 197.85 3.70448372e+06 1.11134512e+05 
32 198.65 4.89155360e+06 1.46746608e+05 
33 199.45 6.68496833e+06 2.00549050e+05 
34 200.25 9.09401359e+06 2.72820408e+05 
35 201.05 1.23737392e+07 3.71212176e+05 
36 201.85 1.80752322e+07 5.42256965e+05 
37 202.64 2.60753047e+07 7.82259141e+05 
38 203.44 3.91777274e+07 1.17533182e+06 
39 204.24 5.93269366e+07 1.77980810e+06 
40 205.04 9.27610259e+07 2.78283078e+06 
41 205.84 1.48456500e+08 4.45369500e+06 
42 206.64 2.31284736e+08 6.93854207e+06 
43 207.44 3.96666795e+08 1.19000039e+07 
44 208.24 7.37730089e+08 2.21319027e+07 
45 209.04 1.38885520e+09 4.16656560e+07 
46 209.84 2.83083293e+09 8.49249880e+07 
47 210.64 1.98579677e+09 5.95739031e+07 
48 211.44 1.16164940e+09 3.48494819e+07 
49 212.24 6.95557112e+08 2.08667134e+07 
50 213.05 4.06275532e+08 1.21882660e+07 
51 213.85 2.40418445e+08 7.21255336e+06 
52 214.65 1.42741014e+08 4.28223042e+06 
53 215.45 8.39246661e+07 2.51773998e+06 
54 216.25 4.97424856e+07 1.49227457e+06 
55 217.05 2.94674054e+07 8.84022162e+05 
56 217.85 1.74043850e+07 5.22131550e+05 
57 218.65 1.02229563e+07 3.06688690e+05 
58 219.46 6.10638025e+06 1.83191407e+05 
59 220.26 3.57314346e+06 1.07194304e+05 
60 221.06 2.11372928e+06 6.34118784e+04 
61 221.86 1.25599599e+06 3.76798798e+04 
62 222.66 7.46175109e+05 2.23852533e+04 
63 223.47 4.35042652e+05 1.30512796e+04 
64 224.27 2.61253654e+05 7.83760962e+03 
65 225.07 1.52928765e+05 4.58786296e+03 
66 225.87 9.16164689e+04 2.74849407e+03 
67 226.68 5.42325773e+04 1.62697732e+03 
68 227.48 3.25472135e+04 9.76416406e+02 
69 228.28 2.01787011e+04 6.05361033e+02 
70 229.09 1.37182824e+04 4.11548471e+02 
71 229.89 1.09764416e+04 3.29293248e+02 
72 230.69 1.06463048e+04 3.19389144e+02 
73 231.49 1.35494465e+04 4.06483396e+02 
74 232.30 2.07931013e+04 6.23793038e+02 
75 233.10 3.53890288e+04 1.06167086e+03 
76 233.91 6.31490833e+04 1.89447250e+03 
77 234.71 1.16201982e+05 3.48605946e+03 
78 235.51 2.17355156e+05 6.52065467e+03 
79 236.32 4.02626694e+05 1.20788008e+04 
80 237.12 7.51772091e+05 2.25531627e+04 
