% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160113starsunFORJcorrected1.mat and recorded on 2016-01-22 14:28:58.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 1.73676461e+02 5.21029382e+00 
2 174.77 2.66939741e+02 8.00819223e+00 
3 175.56 3.65690394e+02 1.09707118e+01 
4 176.36 3.43870044e+04 1.03161013e+03 
5 177.15 4.08765371e+04 1.22629611e+03 
6 177.94 4.64608031e+04 1.39382409e+03 
7 178.74 5.17348331e+04 1.55204499e+03 
8 179.53 5.86540244e+04 1.75962073e+03 
9 180.33 6.58973600e+04 1.97692080e+03 
10 181.12 7.53867391e+04 2.26160217e+03 
11 181.92 8.55740781e+04 2.56722234e+03 
12 182.71 9.93055264e+04 2.97916579e+03 
13 183.51 1.11029778e+05 3.33089333e+03 
14 184.30 1.29914399e+05 3.89743196e+03 
15 185.10 1.49572544e+05 4.48717632e+03 
16 185.89 1.76215185e+05 5.28645555e+03 
17 186.69 2.03780684e+05 6.11342051e+03 
18 187.49 2.39870675e+05 7.19612025e+03 
19 188.28 2.70180537e+05 8.10541612e+03 
20 189.08 3.23401441e+05 9.70204322e+03 
21 189.88 3.87294055e+05 1.16188216e+04 
22 190.67 4.69022684e+05 1.40706805e+04 
23 191.47 5.66953930e+05 1.70086179e+04 
24 192.27 7.03265072e+05 2.10979521e+04 
25 193.07 8.58757222e+05 2.57627167e+04 
26 193.86 1.05580910e+06 3.16742730e+04 
27 194.66 1.35668950e+06 4.07006850e+04 
28 195.46 1.67234428e+06 5.01703284e+04 
29 196.26 2.18584381e+06 6.55753144e+04 
30 197.05 2.85213124e+06 8.55639372e+04 
31 197.85 3.75815607e+06 1.12744682e+05 
32 198.65 4.96325640e+06 1.48897692e+05 
33 199.45 6.78483945e+06 2.03545183e+05 
34 200.25 9.23323812e+06 2.76997144e+05 
35 201.05 1.25655686e+07 3.76967058e+05 
36 201.85 1.83618231e+07 5.50854693e+05 
37 202.64 2.64958875e+07 7.94876625e+05 
38 203.44 3.98281348e+07 1.19484405e+06 
39 204.24 6.03296534e+07 1.80988960e+06 
40 205.04 9.43623975e+07 2.83087192e+06 
41 205.84 1.51089088e+08 4.53267263e+06 
42 206.64 2.35484741e+08 7.06454222e+06 
43 207.44 4.04050302e+08 1.21215091e+07 
44 208.24 7.51887675e+08 2.25566302e+07 
45 209.04 1.41639200e+09 4.24917601e+07 
46 209.84 2.88874970e+09 8.66624911e+07 
47 210.64 2.02580395e+09 6.07741185e+07 
48 211.44 1.18454516e+09 3.55363547e+07 
49 212.24 7.08978767e+08 2.12693630e+07 
50 213.05 4.13981550e+08 1.24194465e+07 
51 213.85 2.44861622e+08 7.34584867e+06 
52 214.65 1.45323378e+08 4.35970133e+06 
53 215.45 8.54077617e+07 2.56223285e+06 
54 216.25 5.05984988e+07 1.51795496e+06 
55 217.05 2.99639487e+07 8.98918460e+05 
56 217.85 1.76911145e+07 5.30733435e+05 
57 218.65 1.03864354e+07 3.11593062e+05 
58 219.46 6.20164338e+06 1.86049301e+05 
59 220.26 3.62756100e+06 1.08826830e+05 
60 221.06 2.14499247e+06 6.43497740e+04 
61 221.86 1.27408213e+06 3.82224638e+04 
62 222.66 7.56594096e+05 2.26978229e+04 
63 223.47 4.40940075e+05 1.32282022e+04 
64 224.27 2.64687821e+05 7.94063463e+03 
65 225.07 1.54878249e+05 4.64634746e+03 
66 225.87 9.27514823e+04 2.78254447e+03 
67 226.68 5.48824825e+04 1.64647448e+03 
68 227.48 3.29254006e+04 9.87762017e+02 
69 228.28 2.04038366e+04 6.12115099e+02 
70 229.09 1.38675677e+04 4.16027030e+02 
71 229.89 1.10938771e+04 3.32816312e+02 
72 230.69 1.07602209e+04 3.22806628e+02 
73 231.49 1.36964852e+04 4.10894556e+02 
74 232.30 2.10238610e+04 6.30715830e+02 
75 233.10 3.57983408e+04 1.07395022e+03 
76 233.91 6.39140207e+04 1.91742062e+03 
77 234.71 1.17661062e+05 3.52983186e+03 
78 235.51 2.20203279e+05 6.60609838e+03 
79 236.32 4.08088804e+05 1.22426641e+04 
80 237.12 7.62267603e+05 2.28680281e+04 
81 237.92 1.43072404e+06 4.29217213e+04 
82 238.73 2.67877366e+06 8.03632098e+04 
