% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20160114starsun_wFORJcorr_meanc0.mat and recorded on 2016-02-01 11:52:13.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.51535059e+00 1.35460518e-01 
510 949.79 4.84090944e+00 1.45227283e-01 
509 951.68 5.25142310e+00 1.57542693e-01 
508 953.57 5.29929851e+00 1.58978955e-01 
507 955.46 5.76323901e+00 1.72897170e-01 
506 957.34 5.86610826e+00 1.75983248e-01 
505 959.22 6.38359968e+00 1.91507990e-01 
504 961.10 6.48636421e+00 1.94590926e-01 
503 962.98 6.98195660e+00 2.09458698e-01 
502 964.85 7.02154018e+00 2.10646205e-01 
501 966.72 7.58560481e+00 2.27568144e-01 
500 968.59 7.65582118e+00 2.29674635e-01 
499 970.45 8.09150289e+00 2.42745087e-01 
498 972.32 8.02499389e+00 2.40749817e-01 
497 974.18 8.35369025e+00 2.50610707e-01 
496 976.04 8.27528001e+00 2.48258400e-01 
495 977.89 8.63531046e+00 2.59059314e-01 
494 979.74 8.58129888e+00 2.57438966e-01 
493 981.59 8.88545269e+00 2.66563581e-01 
492 983.44 8.79000325e+00 2.63700098e-01 
491 985.29 9.07495437e+00 2.72248631e-01 
490 987.13 8.87739611e+00 2.66321883e-01 
489 988.97 9.11408390e+00 2.73422517e-01 
488 990.81 8.92624884e+00 2.67787465e-01 
487 992.65 9.08435444e+00 2.72530633e-01 
486 994.48 8.88432941e+00 2.66529882e-01 
485 996.31 9.04691950e+00 2.71407585e-01 
484 998.14 8.79439437e+00 2.63831831e-01 
483 999.97 8.93529310e+00 2.68058793e-01 
482 1001.79 8.65023718e+00 2.59507115e-01 
481 1003.62 8.71530373e+00 2.61459112e-01 
480 1005.44 8.50993896e+00 2.55298169e-01 
479 1007.25 8.73822063e+00 2.62146619e-01 
478 1009.07 8.56093886e+00 2.56828166e-01 
477 1010.88 8.73606277e+00 2.62081883e-01 
476 1012.69 8.49665462e+00 2.54899639e-01 
475 1014.50 8.61777929e+00 2.58533379e-01 
474 1016.31 8.39188458e+00 2.51756537e-01 
473 1018.11 8.54444418e+00 2.56333326e-01 
