% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160115starsun.mat and recorded on 2016-01-16 08:22:01.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 3.22789717e+03 9.68369150e+01 
2 174.77 3.10530274e+03 9.31590823e+01 
3 175.56 2.86526774e+03 8.59580323e+01 
4 176.36 1.56324162e+05 4.68972486e+03 
5 177.15 1.87779505e+05 5.63338515e+03 
6 177.94 2.07832720e+05 6.23498161e+03 
7 178.74 2.34969330e+05 7.04907989e+03 
8 179.53 2.69008596e+05 8.07025789e+03 
9 180.33 3.06862095e+05 9.20586284e+03 
10 181.12 3.47976818e+05 1.04393045e+04 
11 181.92 4.00734567e+05 1.20220370e+04 
12 182.71 4.65602322e+05 1.39680697e+04 
13 183.51 5.44587343e+05 1.63376203e+04 
14 184.30 6.33649559e+05 1.90094868e+04 
15 185.10 7.44138809e+05 2.23241643e+04 
16 185.89 8.82683511e+05 2.64805053e+04 
17 186.69 1.03423373e+06 3.10270119e+04 
18 187.49 1.25430911e+06 3.76292734e+04 
19 188.28 1.49817284e+06 4.49451853e+04 
20 189.08 1.81988349e+06 5.45965048e+04 
21 189.88 2.18678627e+06 6.56035882e+04 
22 190.67 2.68853083e+06 8.06559250e+04 
23 191.47 3.35272783e+06 1.00581835e+05 
24 192.27 4.18622520e+06 1.25586756e+05 
25 193.07 5.27235954e+06 1.58170786e+05 
26 193.86 6.86431268e+06 2.05929380e+05 
27 194.66 8.16885640e+06 2.45065692e+05 
28 195.46 1.08207667e+07 3.24623002e+05 
29 196.26 1.40970578e+07 4.22911735e+05 
30 197.05 1.85160109e+07 5.55480328e+05 
31 197.85 2.46938897e+07 7.40816690e+05 
32 198.65 3.41443397e+07 1.02433019e+06 
33 199.45 4.79659437e+07 1.43897831e+06 
34 200.25 6.41598352e+07 1.92479506e+06 
35 201.05 8.91616012e+07 2.67484804e+06 
36 201.85 1.28844035e+08 3.86532104e+06 
37 202.64 1.97531846e+08 5.92595538e+06 
38 203.44 2.33563776e+08 7.00691328e+06 
39 204.24 2.84559619e+08 8.53678857e+06 
40 205.04 2.85614439e+08 8.56843316e+06 
41 205.84 4.45580946e+08 1.33674284e+07 
42 206.64 5.70547755e+08 1.71164326e+07 
43 207.44 6.29530536e+08 1.88859161e+07 
44 208.24 4.32191991e+08 1.29657597e+07 
45 209.04 3.26265475e+08 9.78796425e+06 
46 209.84 3.51966937e+08 1.05590081e+07 
47 210.64 2.21403624e+08 6.64210872e+06 
48 211.44 1.37601151e+08 4.12803453e+06 
49 212.24 8.50328744e+07 2.55098623e+06 
50 213.05 5.30400562e+07 1.59120169e+06 
51 213.85 3.28396299e+07 9.85188897e+05 
52 214.65 2.04053307e+07 6.12159920e+05 
53 215.45 1.26707328e+07 3.80121985e+05 
54 216.25 7.86873818e+06 2.36062145e+05 
55 217.05 4.91552500e+06 1.47465750e+05 
56 217.85 3.06331525e+06 9.18994575e+04 
57 218.65 1.91700846e+06 5.75102537e+04 
58 219.46 1.18128238e+06 3.54384715e+04 
59 220.26 7.32836608e+05 2.19850982e+04 
60 221.06 4.53763826e+05 1.36129148e+04 
61 221.86 2.84981513e+05 8.54944539e+03 
62 222.66 1.76903221e+05 5.30709664e+03 
63 223.47 1.11986852e+05 3.35960557e+03 
64 224.27 6.89944521e+04 2.06983356e+03 
65 225.07 4.27004693e+04 1.28101408e+03 
66 225.87 2.65530756e+04 7.96592269e+02 
67 226.68 1.66969493e+04 5.00908479e+02 
68 227.48 1.05600495e+04 3.16801485e+02 
69 228.28 6.83511351e+03 2.05053405e+02 
70 229.09 4.83906933e+03 1.45172080e+02 
71 229.89 3.92624123e+03 1.17787237e+02 
72 230.69 3.88183801e+03 1.16455140e+02 
73 231.49 4.81669439e+03 1.44500832e+02 
74 232.30 6.98711966e+03 2.09613590e+02 
75 233.10 1.12465230e+04 3.37395689e+02 
76 233.91 1.91742260e+04 5.75226781e+02 
77 234.71 3.34125798e+04 1.00237739e+03 
78 235.51 5.77558018e+04 1.73267405e+03 
79 236.32 1.01070468e+05 3.03211404e+03 
80 237.12 1.79721607e+05 5.39164820e+03 
81 237.92 3.11946807e+05 9.35840421e+03 
82 238.73 5.61074170e+05 1.68322251e+04 
83 239.53 1.00799436e+06 3.02398308e+04 
84 240.34 1.72776251e+06 5.18328753e+04 
85 241.14 3.02711227e+06 9.08133681e+04 
86 241.94 5.10550659e+06 1.53165198e+05 
87 242.75 8.69658480e+06 2.60897544e+05 
88 243.55 1.41173404e+07 4.23520213e+05 
89 244.36 2.23782878e+07 6.71348634e+05 
90 245.16 3.51611808e+07 1.05483542e+06 
91 245.97 5.32693528e+07 1.59808058e+06 
92 246.77 7.76644032e+07 2.32993210e+06 
93 247.58 1.12325851e+08 3.36977552e+06 
94 248.38 1.60498350e+08 4.81495050e+06 
95 249.19 2.23955757e+08 6.71867270e+06 
96 249.99 2.79667537e+08 8.39002612e+06 
97 250.80 3.42431843e+08 1.02729553e+07 
98 251.60 4.11349228e+08 1.23404768e+07 
99 252.41 4.82256176e+08 1.44676853e+07 
100 253.21 5.29926380e+08 1.58977914e+07 
101 254.02 5.70364622e+08 1.71109387e+07 
102 254.83 6.12276413e+08 1.83682924e+07 
103 255.63 6.04582400e+08 1.81374720e+07 
104 256.44 5.46703350e+08 1.64011005e+07 
105 257.24 4.87423280e+08 1.46226984e+07 
106 258.05 4.31108150e+08 1.29332445e+07 
107 258.85 3.60524548e+08 1.08157364e+07 
108 259.66 2.83461256e+08 8.50383767e+06 
109 260.46 2.09147272e+08 6.27441816e+06 
110 261.27 1.49393345e+08 4.48180035e+06 
111 262.08 1.04327065e+08 3.12981196e+06 
112 262.88 6.95702873e+07 2.08710862e+06 
113 263.69 4.60452102e+07 1.38135631e+06 
114 264.50 3.01515471e+07 9.04546414e+05 
115 265.30 1.91602294e+07 5.74806881e+05 
116 266.11 1.14874290e+07 3.44622869e+05 
117 266.91 6.74955571e+06 2.02486671e+05 
118 267.72 3.80258370e+06 1.14077511e+05 
119 268.53 2.10133552e+06 6.30400657e+04 
120 269.33 1.16259099e+06 3.48777298e+04 
121 270.14 6.75435935e+05 2.02630781e+04 
122 270.95 3.80228594e+05 1.14068578e+04 
123 271.75 2.12340996e+05 6.37022989e+03 
124 272.56 1.16214649e+05 3.48643947e+03 
125 273.37 6.15480459e+04 1.84644138e+03 
126 274.17 3.20369565e+04 9.61108694e+02 
127 274.98 1.74236747e+04 5.22710242e+02 
128 275.79 9.96172350e+03 2.98851705e+02 
129 276.59 5.71835713e+03 1.71550714e+02 
130 277.40 3.30933175e+03 9.92799526e+01 
131 278.21 1.91096497e+03 5.73289491e+01 
132 279.01 1.10628899e+03 3.31886698e+01 
133 279.82 6.50945311e+02 1.95283593e+01 
134 280.63 3.91087058e+02 1.17326117e+01 
135 281.44 2.30582215e+02 6.91746645e+00 
136 282.24 1.45907474e+02 4.37722422e+00 
137 283.05 9.47695581e+01 2.84308674e+00 
138 283.86 6.32458251e+01 1.89737475e+00 
139 284.66 4.22375557e+01 1.26712667e+00 
140 285.47 2.90659999e+01 8.71979998e-01 
141 286.28 2.08139755e+01 6.24419265e-01 
142 287.09 1.52176837e+01 4.56530511e-01 
143 287.89 1.10817910e+01 3.32453730e-01 
144 288.70 7.99236214e+00 2.39770864e-01 
145 289.51 6.29571379e+00 1.88871414e-01 
146 290.32 4.92864075e+00 1.47859222e-01 
147 291.12 3.94301101e+00 1.18290330e-01 
148 291.93 3.19138819e+00 9.57416456e-02 
149 292.74 2.62048931e+00 7.86146792e-02 
150 293.55 2.22184480e+00 6.66553439e-02 
151 294.35 1.84390070e+00 5.53170209e-02 
152 295.16 1.61255260e+00 4.83765780e-02 
153 295.97 1.39369141e+00 4.18107423e-02 
154 296.78 1.23847487e+00 3.71542461e-02 
155 297.58 1.11978480e+00 3.35935439e-02 
