% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160115starsun_wFORJcorr_meanc0.mat and recorded on 2016-02-01 22:26:50.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 6.29987559e+03 1.88996268e+02 
2 174.77 5.46219357e+03 1.63865807e+02 
3 175.56 5.00752813e+03 1.50225844e+02 
4 176.36 3.45804923e+05 1.03741477e+04 
5 177.15 4.23161722e+05 1.26948517e+04 
6 177.94 4.84166262e+05 1.45249879e+04 
7 178.74 5.58034427e+05 1.67410328e+04 
8 179.53 6.64217921e+05 1.99265376e+04 
9 180.33 7.64562200e+05 2.29368660e+04 
10 181.12 9.03862461e+05 2.71158738e+04 
11 181.92 1.06495714e+06 3.19487142e+04 
12 182.71 1.25389629e+06 3.76168887e+04 
13 183.51 1.51323168e+06 4.53969505e+04 
14 184.30 1.78909083e+06 5.36727249e+04 
15 185.10 2.17080726e+06 6.51242179e+04 
16 185.89 2.63584875e+06 7.90754625e+04 
17 186.69 3.17716279e+06 9.53148836e+04 
18 187.49 3.96947643e+06 1.19084293e+05 
19 188.28 4.87914833e+06 1.46374450e+05 
20 189.08 6.09210478e+06 1.82763143e+05 
21 189.88 7.64843414e+06 2.29453024e+05 
22 190.67 9.26285409e+06 2.77885623e+05 
23 191.47 1.18393087e+07 3.55179261e+05 
24 192.27 1.53576520e+07 4.60729559e+05 
25 193.07 1.99009639e+07 5.97028916e+05 
26 193.86 2.53126859e+07 7.59380576e+05 
27 194.66 3.43017717e+07 1.02905315e+06 
28 195.46 4.55495824e+07 1.36648747e+06 
29 196.26 6.19710187e+07 1.85913056e+06 
30 197.05 7.96760504e+07 2.39028151e+06 
31 197.85 1.08459697e+08 3.25379091e+06 
32 198.65 1.46979956e+08 4.40939869e+06 
33 199.45 1.74470115e+08 5.23410345e+06 
34 200.25 1.80375429e+08 5.41126288e+06 
35 201.05 1.55731772e+08 4.67195315e+06 
36 201.85 1.60634037e+08 4.81902110e+06 
37 202.64 1.92909885e+08 5.78729656e+06 
38 203.44 2.15982686e+08 6.47948057e+06 
39 204.24 1.58160252e+08 4.74480756e+06 
40 205.04 1.10094866e+08 3.30284597e+06 
41 205.84 7.33418607e+07 2.20025582e+06 
42 206.64 7.83169989e+07 2.34950997e+06 
43 207.44 5.12060677e+07 1.53618203e+06 
44 208.24 3.44061005e+07 1.03218301e+06 
45 209.04 2.32326005e+07 6.96978016e+05 
46 209.84 1.52418051e+07 4.57254152e+05 
47 210.64 1.03099594e+07 3.09298781e+05 
48 211.44 6.89294249e+06 2.06788275e+05 
49 212.24 4.57393651e+06 1.37218095e+05 
50 213.05 3.06728260e+06 9.20184779e+04 
51 213.85 2.03953090e+06 6.11859271e+04 
52 214.65 1.36297445e+06 4.08892336e+04 
53 215.45 9.09901164e+05 2.72970349e+04 
54 216.25 6.07925316e+05 1.82377595e+04 
55 217.05 4.07952520e+05 1.22385756e+04 
56 217.85 2.73358417e+05 8.20075252e+03 
57 218.65 1.83975950e+05 5.51927850e+03 
58 219.46 1.21849070e+05 3.65547211e+03 
59 220.26 8.11584250e+04 2.43475275e+03 
60 221.06 5.39852234e+04 1.61955670e+03 
61 221.86 3.64719188e+04 1.09415757e+03 
62 222.66 2.43405876e+04 7.30217628e+02 
63 223.47 1.65581270e+04 4.96743810e+02 
64 224.27 1.09680803e+04 3.29042408e+02 
65 225.07 7.29329494e+03 2.18798848e+02 
66 225.87 4.87468251e+03 1.46240475e+02 
67 226.68 3.29211405e+03 9.87634214e+01 
68 227.48 2.23423532e+03 6.70270596e+01 
69 228.28 1.54140344e+03 4.62421033e+01 
70 229.09 1.15229471e+03 3.45688414e+01 
71 229.89 9.64170632e+02 2.89251190e+01 
72 230.69 9.53060635e+02 2.85918191e+01 
73 231.49 1.14494590e+03 3.43483771e+01 
74 232.30 1.56451339e+03 4.69354016e+01 
75 233.10 2.33696414e+03 7.01089243e+01 
76 233.91 3.67199699e+03 1.10159910e+02 
77 234.71 5.88116259e+03 1.76434878e+02 
78 235.51 9.32333068e+03 2.79699920e+02 
79 236.32 1.49487324e+04 4.48461972e+02 
