% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20160117starsun.mat and recorded on 2016-01-18 06:37:45.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.75620668e+00 1.42686200e-01 
510 949.79 4.96787157e+00 1.49036147e-01 
509 951.68 5.36302079e+00 1.60890624e-01 
508 953.57 5.41945173e+00 1.62583552e-01 
507 955.46 5.88363007e+00 1.76508902e-01 
506 957.34 6.00389996e+00 1.80116999e-01 
505 959.22 6.49865788e+00 1.94959737e-01 
504 961.10 6.60694365e+00 1.98208309e-01 
503 962.98 7.07529255e+00 2.12258777e-01 
502 964.85 7.10983235e+00 2.13294970e-01 
501 966.72 7.66855529e+00 2.30056659e-01 
500 968.59 7.73753610e+00 2.32126083e-01 
499 970.45 8.14125991e+00 2.44237797e-01 
498 972.32 8.07124742e+00 2.42137423e-01 
497 974.18 8.40810530e+00 2.52243159e-01 
496 976.04 8.32377193e+00 2.49713158e-01 
495 977.89 8.67277385e+00 2.60183216e-01 
494 979.74 8.61247661e+00 2.58374298e-01 
493 981.59 8.90659431e+00 2.67197829e-01 
492 983.44 8.82157209e+00 2.64647163e-01 
491 985.29 9.07787928e+00 2.72336378e-01 
490 987.13 8.87108828e+00 2.66132648e-01 
489 988.97 9.11122668e+00 2.73336800e-01 
488 990.81 8.91344521e+00 2.67403356e-01 
487 992.65 9.06770624e+00 2.72031187e-01 
486 994.48 8.88119316e+00 2.66435795e-01 
485 996.31 9.03241112e+00 2.70972334e-01 
484 998.14 8.80950636e+00 2.64285191e-01 
483 999.97 8.94750740e+00 2.68425222e-01 
482 1001.79 8.67228344e+00 2.60168503e-01 
481 1003.62 8.73383005e+00 2.62014901e-01 
480 1005.44 8.54274473e+00 2.56282342e-01 
479 1007.25 8.76996496e+00 2.63098949e-01 
478 1009.07 8.58727352e+00 2.57618205e-01 
477 1010.88 8.74490238e+00 2.62347071e-01 
476 1012.69 8.49954375e+00 2.54986312e-01 
475 1014.50 8.60524447e+00 2.58157334e-01 
474 1016.31 8.38344285e+00 2.51503285e-01 
473 1018.11 8.51000958e+00 2.55300287e-01 
472 1019.91 8.27698035e+00 2.48309410e-01 
471 1021.71 8.42552503e+00 2.52765751e-01 
470 1023.51 8.20983438e+00 2.46295031e-01 
469 1025.30 8.39366888e+00 2.51810066e-01 
468 1027.09 8.29274002e+00 2.48782201e-01 
467 1028.88 8.43269259e+00 2.52980778e-01 
466 1030.67 8.28659265e+00 2.48597780e-01 
465 1032.46 8.45679771e+00 2.53703931e-01 
464 1034.24 8.31322389e+00 2.49396717e-01 
463 1036.02 8.50914410e+00 2.55274323e-01 
462 1037.80 8.38650522e+00 2.51595157e-01 
461 1039.58 8.59286072e+00 2.57785822e-01 
460 1041.35 8.46780277e+00 2.54034083e-01 
459 1043.12 8.61536009e+00 2.58460803e-01 
458 1044.89 8.53258053e+00 2.55977416e-01 
457 1046.66 8.74447168e+00 2.62334150e-01 
456 1048.43 8.66345919e+00 2.59903776e-01 
455 1050.19 8.89170446e+00 2.66751134e-01 
454 1051.95 8.77768329e+00 2.63330499e-01 
453 1053.71 9.02275388e+00 2.70682617e-01 
452 1055.47 8.86988818e+00 2.66096645e-01 
451 1057.23 8.98596286e+00 2.69578886e-01 
450 1058.98 8.86417873e+00 2.65925362e-01 
449 1060.73 9.04716694e+00 2.71415008e-01 
448 1062.48 8.87768493e+00 2.66330548e-01 
447 1064.23 9.01988192e+00 2.70596458e-01 
446 1065.97 8.74169753e+00 2.62250926e-01 
445 1067.71 8.79280938e+00 2.63784282e-01 
444 1069.46 8.58614530e+00 2.57584359e-01 
443 1071.19 8.68738986e+00 2.60621696e-01 
442 1072.93 8.53012335e+00 2.55903700e-01 
441 1074.67 8.60434223e+00 2.58130267e-01 
440 1076.40 8.41413625e+00 2.52424088e-01 
439 1078.13 8.46217111e+00 2.53865133e-01 
438 1079.86 8.22461882e+00 2.46738565e-01 
437 1081.58 8.29081542e+00 2.48724463e-01 
436 1083.31 8.18932361e+00 2.45679708e-01 
435 1085.03 8.39476342e+00 2.51842903e-01 
434 1086.75 8.31296592e+00 2.49388978e-01 
433 1088.47 8.45198257e+00 2.53559477e-01 
432 1090.19 8.32972959e+00 2.49891888e-01 
431 1091.90 8.42346586e+00 2.52703976e-01 
430 1093.61 8.27990489e+00 2.48397147e-01 
429 1095.33 8.51442984e+00 2.55432895e-01 
428 1097.03 8.54018638e+00 2.56205591e-01 
427 1098.74 8.78160829e+00 2.63448249e-01 
426 1100.45 8.78318448e+00 2.63495534e-01 
425 1102.15 9.05592158e+00 2.71677647e-01 
424 1103.85 9.03186370e+00 2.70955911e-01 
423 1105.55 9.25318761e+00 2.77595628e-01 
422 1107.25 9.13508128e+00 2.74052439e-01 
421 1108.94 9.19792946e+00 2.75937884e-01 
420 1110.64 8.89829303e+00 2.66948791e-01 
419 1112.33 8.71278130e+00 2.61383439e-01 
418 1114.02 8.14699079e+00 2.44409724e-01 
417 1115.70 7.98753403e+00 2.39626021e-01 
416 1117.39 7.66316918e+00 2.29895075e-01 
415 1119.07 7.55463496e+00 2.26639049e-01 
414 1120.76 7.34933025e+00 2.20479908e-01 
413 1122.44 7.29721551e+00 2.18916465e-01 
412 1124.12 7.27320024e+00 2.18196007e-01 
411 1125.79 7.60734404e+00 2.28220321e-01 
410 1127.47 7.85013969e+00 2.35504191e-01 
409 1129.14 8.29157148e+00 2.48747144e-01 
408 1130.81 7.71328258e+00 2.31398478e-01 
407 1132.48 7.43971854e+00 2.23191556e-01 
406 1134.15 7.28083862e+00 2.18425158e-01 
405 1135.81 7.76629200e+00 2.32988760e-01 
404 1137.48 8.54773544e+00 2.56432063e-01 
403 1139.14 8.90917999e+00 2.67275400e-01 
402 1140.80 8.61019714e+00 2.58305914e-01 
401 1142.46 8.44540842e+00 2.53362253e-01 
400 1144.12 8.09027057e+00 2.42708117e-01 
399 1145.77 8.07399042e+00 2.42219713e-01 
398 1147.43 8.09081122e+00 2.42724337e-01 
397 1149.08 8.32959000e+00 2.49887700e-01 
396 1150.73 8.34274362e+00 2.50282308e-01 
395 1152.38 8.63912075e+00 2.59173622e-01 
394 1154.02 8.68177709e+00 2.60453313e-01 
393 1155.67 8.98631520e+00 2.69589456e-01 
392 1157.31 8.92077037e+00 2.67623111e-01 
391 1158.95 9.07054624e+00 2.72116387e-01 
390 1160.59 9.08284543e+00 2.72485363e-01 
389 1162.23 9.30590217e+00 2.79177065e-01 
388 1163.87 9.25636061e+00 2.77690818e-01 
387 1165.50 9.34995959e+00 2.80498788e-01 
386 1167.13 9.24683270e+00 2.77404981e-01 
385 1168.76 9.35459197e+00 2.80637759e-01 
384 1170.39 9.22695180e+00 2.76808554e-01 
383 1172.02 9.20768121e+00 2.76230436e-01 
382 1173.65 9.04649562e+00 2.71394869e-01 
381 1175.27 9.04085939e+00 2.71225782e-01 
380 1176.90 8.92743214e+00 2.67822964e-01 
379 1178.52 8.83591567e+00 2.65077470e-01 
378 1180.14 8.60079700e+00 2.58023910e-01 
377 1181.75 8.57063354e+00 2.57119006e-01 
376 1183.37 8.38733877e+00 2.51620163e-01 
375 1184.99 8.41027783e+00 2.52308335e-01 
374 1186.60 8.28523120e+00 2.48556936e-01 
373 1188.21 8.27179961e+00 2.48153988e-01 
372 1189.82 8.19578698e+00 2.45873609e-01 
371 1191.43 8.41937499e+00 2.52581250e-01 
370 1193.04 8.31049208e+00 2.49314762e-01 
369 1194.64 8.27471671e+00 2.48241501e-01 
368 1196.24 8.08091872e+00 2.42427561e-01 
367 1197.85 8.13159485e+00 2.43947846e-01 
366 1199.45 8.04175185e+00 2.41252556e-01 
365 1201.05 8.10573919e+00 2.43172176e-01 
364 1202.64 8.03283124e+00 2.40984937e-01 
363 1204.24 8.07270330e+00 2.42181099e-01 
362 1205.83 8.01347193e+00 2.40404158e-01 
361 1207.43 8.02774321e+00 2.40832296e-01 
360 1209.02 7.96643402e+00 2.38993020e-01 
359 1210.61 8.06394752e+00 2.41918426e-01 
358 1212.19 8.06658421e+00 2.41997526e-01 
357 1213.78 8.24323840e+00 2.47297152e-01 
356 1215.37 8.17525339e+00 2.45257602e-01 
355 1216.95 8.24830508e+00 2.47449152e-01 
354 1218.53 8.21080263e+00 2.46324079e-01 
353 1220.11 8.29705313e+00 2.48911594e-01 
352 1221.69 8.26159795e+00 2.47847939e-01 
351 1223.27 8.30528747e+00 2.49158624e-01 
350 1224.84 8.29972999e+00 2.48991900e-01 
349 1226.42 8.34927127e+00 2.50478138e-01 
348 1227.99 8.34755191e+00 2.50426557e-01 
347 1229.56 8.48312812e+00 2.54493844e-01 
346 1231.13 8.41698104e+00 2.52509431e-01 
345 1232.70 8.49955468e+00 2.54986640e-01 
344 1234.27 8.49748508e+00 2.54924553e-01 
343 1235.84 8.52508335e+00 2.55752500e-01 
342 1237.40 8.46767276e+00 2.54030183e-01 
341 1238.96 8.46711864e+00 2.54013559e-01 
340 1240.52 8.29260390e+00 2.48778117e-01 
339 1242.08 8.38514859e+00 2.51554458e-01 
338 1243.64 8.36655929e+00 2.50996779e-01 
337 1245.20 8.40225101e+00 2.52067530e-01 
336 1246.75 8.36739061e+00 2.51021718e-01 
335 1248.31 8.43186352e+00 2.52955906e-01 
334 1249.86 8.37459582e+00 2.51237875e-01 
333 1251.41 8.43556349e+00 2.53066905e-01 
332 1252.96 8.38135070e+00 2.51440521e-01 
331 1254.51 8.39561800e+00 2.51868540e-01 
330 1256.06 8.31022306e+00 2.49306692e-01 
329 1257.61 8.29075247e+00 2.48722574e-01 
328 1259.15 8.20473906e+00 2.46142172e-01 
327 1260.69 8.17441206e+00 2.45232362e-01 
326 1262.23 8.03534097e+00 2.41060229e-01 
325 1263.77 7.96855675e+00 2.39056703e-01 
324 1265.31 7.79327850e+00 2.33798355e-01 
323 1266.85 7.79447446e+00 2.33834234e-01 
322 1268.39 7.82362728e+00 2.34708818e-01 
321 1269.92 7.89503933e+00 2.36851180e-01 
320 1271.46 8.04527557e+00 2.41358267e-01 
319 1272.99 8.10806053e+00 2.43241816e-01 
318 1274.52 8.09377833e+00 2.42813350e-01 
317 1276.05 8.15434557e+00 2.44630367e-01 
316 1277.58 8.03603635e+00 2.41081090e-01 
315 1279.10 7.87570998e+00 2.36271299e-01 
314 1280.63 7.79136596e+00 2.33740979e-01 
313 1282.15 7.75739227e+00 2.32721768e-01 
312 1283.68 7.83161229e+00 2.34948369e-01 
311 1285.20 8.02094242e+00 2.40628273e-01 
310 1286.72 8.00569317e+00 2.40170795e-01 
309 1288.24 8.03054642e+00 2.40916393e-01 
308 1289.75 7.94076158e+00 2.38222847e-01 
307 1291.27 7.98484311e+00 2.39545293e-01 
306 1292.78 8.00778136e+00 2.40233441e-01 
305 1294.30 8.00650548e+00 2.40195165e-01 
304 1295.81 7.92303860e+00 2.37691158e-01 
303 1297.32 7.92217820e+00 2.37665346e-01 
