% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160117starsun.mat and recorded on 2016-01-18 06:37:45.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 3.23778623e+03 9.71335870e+01 
2 174.77 2.90109910e+03 8.70329731e+01 
3 175.56 4.54257413e+03 1.36277224e+02 
4 176.36 1.73975347e+05 5.21926041e+03 
5 177.15 2.16790096e+05 6.50370287e+03 
6 177.94 2.53340989e+05 7.60022968e+03 
7 178.74 2.99246848e+05 8.97740545e+03 
8 179.53 3.38566290e+05 1.01569887e+04 
9 180.33 3.80259276e+05 1.14077783e+04 
10 181.12 4.18996902e+05 1.25699071e+04 
11 181.92 4.92032535e+05 1.47609760e+04 
12 182.71 5.13617505e+05 1.54085252e+04 
13 183.51 5.38361095e+05 1.61508329e+04 
14 184.30 5.45866465e+05 1.63759940e+04 
15 185.10 5.95041549e+05 1.78512465e+04 
16 185.89 5.72814263e+05 1.71844279e+04 
17 186.69 5.40361759e+05 1.62108528e+04 
18 187.49 5.56769311e+05 1.67030793e+04 
19 188.28 5.32089693e+05 1.59626908e+04 
20 189.08 4.84237712e+05 1.45271313e+04 
21 189.88 4.33395075e+05 1.30018522e+04 
22 190.67 3.62288563e+05 1.08686569e+04 
23 191.47 2.95285611e+05 8.85856834e+03 
24 192.27 2.38744640e+05 7.16233920e+03 
25 193.07 1.96128526e+05 5.88385577e+03 
26 193.86 1.64358354e+05 4.93075062e+03 
27 194.66 1.42466051e+05 4.27398152e+03 
28 195.46 1.14888873e+05 3.44666620e+03 
29 196.26 9.32574079e+04 2.79772224e+03 
30 197.05 7.57055840e+04 2.27116752e+03 
31 197.85 6.08102867e+04 1.82430860e+03 
32 198.65 4.93464501e+04 1.48039350e+03 
33 199.45 4.01770312e+04 1.20531094e+03 
34 200.25 3.28474905e+04 9.85424716e+02 
35 201.05 2.66084751e+04 7.98254254e+02 
36 201.85 2.15712221e+04 6.47136663e+02 
37 202.64 1.73478104e+04 5.20434313e+02 
38 203.44 1.42813662e+04 4.28440985e+02 
39 204.24 1.15863089e+04 3.47589266e+02 
40 205.04 9.43944498e+03 2.83183349e+02 
41 205.84 7.64320914e+03 2.29296274e+02 
42 206.64 6.23169212e+03 1.86950764e+02 
43 207.44 5.12351724e+03 1.53705517e+02 
44 208.24 4.12607386e+03 1.23782216e+02 
45 209.04 3.33226010e+03 9.99678029e+01 
46 209.84 2.71083299e+03 8.13249896e+01 
47 210.64 2.21048900e+03 6.63146701e+01 
48 211.44 1.83139727e+03 5.49419182e+01 
49 212.24 1.48403997e+03 4.45211992e+01 
50 213.05 1.22002033e+03 3.66006100e+01 
51 213.85 9.83919507e+02 2.95175852e+01 
52 214.65 7.76048750e+02 2.32814625e+01 
53 215.45 6.45048054e+02 1.93514416e+01 
54 216.25 5.25595696e+02 1.57678709e+01 
55 217.05 4.26969108e+02 1.28090732e+01 
56 217.85 3.51809079e+02 1.05542724e+01 
57 218.65 2.86298876e+02 8.58896627e+00 
58 219.46 2.33136649e+02 6.99409946e+00 
59 220.26 1.88843403e+02 5.66530210e+00 
60 221.06 1.54031027e+02 4.62093081e+00 
61 221.86 1.24872168e+02 3.74616505e+00 
62 222.66 1.01621035e+02 3.04863104e+00 
63 223.47 8.40251592e+01 2.52075477e+00 
64 224.27 6.78852208e+01 2.03655662e+00 
65 225.07 5.43997566e+01 1.63199270e+00 
66 225.87 4.54308806e+01 1.36292642e+00 
67 226.68 3.64915979e+01 1.09474794e+00 
68 227.48 2.98998548e+01 8.96995643e-01 
69 228.28 2.44573775e+01 7.33721326e-01 
70 229.09 2.16081959e+01 6.48245876e-01 
71 229.89 1.97215999e+01 5.91647996e-01 
72 230.69 1.93143981e+01 5.79431942e-01 
73 231.49 2.11161251e+01 6.33483752e-01 
74 232.30 2.46968849e+01 7.40906546e-01 
75 233.10 3.00938343e+01 9.02815030e-01 
76 233.91 3.88993950e+01 1.16698185e+00 
77 234.71 4.91746866e+01 1.47524060e+00 
78 235.51 6.28777359e+01 1.88633208e+00 
79 236.32 7.91201633e+01 2.37360490e+00 
80 237.12 9.99094602e+01 2.99728381e+00 
81 237.92 1.27930101e+02 3.83790302e+00 
82 238.73 1.61937543e+02 4.85812628e+00 
83 239.53 2.09557916e+02 6.28673749e+00 
84 240.34 2.61662090e+02 7.84986270e+00 
85 241.14 3.36411903e+02 1.00923571e+01 
86 241.94 4.17848242e+02 1.25354473e+01 
87 242.75 5.24884419e+02 1.57465326e+01 
88 243.55 6.32633308e+02 1.89789992e+01 
89 244.36 7.95251633e+02 2.38575490e+01 
90 245.16 9.56518169e+02 2.86955451e+01 
91 245.97 1.15505697e+03 3.46517091e+01 
92 246.77 1.34401066e+03 4.03203197e+01 
93 247.58 1.56053421e+03 4.68160263e+01 
94 248.38 1.83947030e+03 5.51841090e+01 
95 249.19 2.10485447e+03 6.31456342e+01 
96 249.99 2.30248851e+03 6.90746554e+01 
97 250.80 2.55466290e+03 7.66398870e+01 
98 251.60 2.72080779e+03 8.16242336e+01 
99 252.41 2.86656074e+03 8.59968222e+01 
100 253.21 3.06445133e+03 9.19335400e+01 
101 254.02 3.13252040e+03 9.39756120e+01 
102 254.83 3.20711898e+03 9.62135695e+01 
103 255.63 3.25918250e+03 9.77754749e+01 
104 256.44 3.07285054e+03 9.21855162e+01 
105 257.24 2.95239589e+03 8.85718767e+01 
106 258.05 2.78435499e+03 8.35306496e+01 
107 258.85 2.60897074e+03 7.82691223e+01 
108 259.66 2.32375408e+03 6.97126224e+01 
109 260.46 2.03265774e+03 6.09797323e+01 
110 261.27 1.77242137e+03 5.31726410e+01 
111 262.08 1.51694939e+03 4.55084818e+01 
112 262.88 1.28524074e+03 3.85572222e+01 
113 263.69 1.07948279e+03 3.23844837e+01 
114 264.50 9.06072906e+02 2.71821872e+01 
115 265.30 7.42633717e+02 2.22790115e+01 
116 266.11 5.98895012e+02 1.79668504e+01 
117 266.91 4.72051628e+02 1.41615488e+01 
118 267.72 3.65987165e+02 1.09796149e+01 
119 268.53 2.84295153e+02 8.52885460e+00 
120 269.33 2.24072532e+02 6.72217595e+00 
121 270.14 1.75236932e+02 5.25710796e+00 
122 270.95 1.35900265e+02 4.07700794e+00 
123 271.75 1.07658278e+02 3.22974835e+00 
124 272.56 8.19281149e+01 2.45784345e+00 
125 273.37 6.25023976e+01 1.87507193e+00 
126 274.17 4.78501585e+01 1.43550476e+00 
127 274.98 3.74501072e+01 1.12350322e+00 
128 275.79 2.88609943e+01 8.65829828e-01 
129 276.59 2.28093601e+01 6.84280803e-01 
130 277.40 1.86232323e+01 5.58696970e-01 
