% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20160118starsun.mat and recorded on 2016-01-18 14:08:16.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 3.94390318e+00 1.18317095e-01 
510 949.79 4.65633178e+00 1.39689953e-01 
509 951.68 5.04460781e+00 1.51338234e-01 
508 953.57 5.11497697e+00 1.53449309e-01 
507 955.46 5.56783532e+00 1.67035060e-01 
506 957.34 5.67042191e+00 1.70112657e-01 
505 959.22 6.18546688e+00 1.85564006e-01 
504 961.10 6.31576110e+00 1.89472833e-01 
503 962.98 6.81482660e+00 2.04444798e-01 
502 964.85 6.87335695e+00 2.06200709e-01 
501 966.72 7.46193578e+00 2.23858073e-01 
500 968.59 7.55874812e+00 2.26762444e-01 
499 970.45 7.98203445e+00 2.39461034e-01 
498 972.32 7.93395224e+00 2.38018567e-01 
497 974.18 8.24174241e+00 2.47252272e-01 
496 976.04 8.17513430e+00 2.45254029e-01 
495 977.89 8.54223157e+00 2.56266947e-01 
494 979.74 8.49912042e+00 2.54973613e-01 
493 981.59 8.80619396e+00 2.64185819e-01 
492 983.44 8.72857354e+00 2.61857206e-01 
491 985.29 9.00019431e+00 2.70005829e-01 
490 987.13 8.80610317e+00 2.64183095e-01 
489 988.97 9.04803807e+00 2.71441142e-01 
488 990.81 8.84794904e+00 2.65438471e-01 
487 992.65 9.01376541e+00 2.70412962e-01 
486 994.48 8.81494941e+00 2.64448482e-01 
485 996.31 8.97453589e+00 2.69236077e-01 
484 998.14 8.71279141e+00 2.61383742e-01 
483 999.97 8.86937671e+00 2.66081301e-01 
482 1001.79 8.57980233e+00 2.57394070e-01 
481 1003.62 8.65194977e+00 2.59558493e-01 
480 1005.44 8.45293165e+00 2.53587950e-01 
479 1007.25 8.68421706e+00 2.60526512e-01 
478 1009.07 8.50517559e+00 2.55155268e-01 
477 1010.88 8.69939025e+00 2.60981707e-01 
476 1012.69 8.44429471e+00 2.53328841e-01 
475 1014.50 8.58516208e+00 2.57554862e-01 
474 1016.31 8.35004221e+00 2.50501266e-01 
473 1018.11 8.51822536e+00 2.55546761e-01 
472 1019.91 8.26253392e+00 2.47876018e-01 
471 1021.71 8.41427701e+00 2.52428310e-01 
470 1023.51 8.19431948e+00 2.45829584e-01 
469 1025.30 8.35850098e+00 2.50755029e-01 
468 1027.09 8.24629012e+00 2.47388704e-01 
467 1028.88 8.40497137e+00 2.52149141e-01 
466 1030.67 8.24811997e+00 2.47443599e-01 
465 1032.46 8.41701793e+00 2.52510538e-01 
464 1034.24 8.27649927e+00 2.48294978e-01 
463 1036.02 8.46102440e+00 2.53830732e-01 
462 1037.80 8.31650601e+00 2.49495180e-01 
461 1039.58 8.53827889e+00 2.56148367e-01 
460 1041.35 8.39507220e+00 2.51852166e-01 
459 1043.12 8.55392833e+00 2.56617850e-01 
458 1044.89 8.46864108e+00 2.54059232e-01 
457 1046.66 8.69356784e+00 2.60807035e-01 
456 1048.43 8.62306160e+00 2.58691848e-01 
455 1050.19 8.84392543e+00 2.65317763e-01 
454 1051.95 8.71711987e+00 2.61513596e-01 
453 1053.71 8.97549756e+00 2.69264927e-01 
452 1055.47 8.82450264e+00 2.64735079e-01 
451 1057.23 8.96703955e+00 2.69011186e-01 
450 1058.98 8.83561650e+00 2.65068495e-01 
449 1060.73 9.01584957e+00 2.70475487e-01 
448 1062.48 8.83696044e+00 2.65108813e-01 
447 1064.23 8.99645013e+00 2.69893504e-01 
446 1065.97 8.73363001e+00 2.62008900e-01 
445 1067.71 8.78239161e+00 2.63471748e-01 
444 1069.46 8.56274532e+00 2.56882360e-01 
443 1071.19 8.66606632e+00 2.59981989e-01 
442 1072.93 8.48948035e+00 2.54684410e-01 
441 1074.67 8.57000568e+00 2.57100170e-01 
440 1076.40 8.36422924e+00 2.50926877e-01 
439 1078.13 8.41852802e+00 2.52555841e-01 
438 1079.86 8.17703280e+00 2.45310984e-01 
437 1081.58 8.25072965e+00 2.47521890e-01 
436 1083.31 8.13963029e+00 2.44188909e-01 
435 1085.03 8.30352363e+00 2.49105709e-01 
434 1086.75 8.20631050e+00 2.46189315e-01 
433 1088.47 8.33771655e+00 2.50131496e-01 
432 1090.19 8.21633550e+00 2.46490065e-01 
431 1091.90 8.30371815e+00 2.49111545e-01 
430 1093.61 8.14827305e+00 2.44448192e-01 
429 1095.33 8.35697638e+00 2.50709291e-01 
428 1097.03 8.37194380e+00 2.51158314e-01 
427 1098.74 8.61285743e+00 2.58385723e-01 
426 1100.45 8.59707076e+00 2.57912123e-01 
425 1102.15 8.88073375e+00 2.66422013e-01 
424 1103.85 8.82959430e+00 2.64887829e-01 
423 1105.55 9.01627606e+00 2.70488282e-01 
422 1107.25 8.85696713e+00 2.65709014e-01 
421 1108.94 8.88981730e+00 2.66694519e-01 
420 1110.64 8.47861849e+00 2.54358555e-01 
419 1112.33 8.20851270e+00 2.46255381e-01 
418 1114.02 7.50737051e+00 2.25221115e-01 
417 1115.70 7.30787942e+00 2.19236383e-01 
416 1117.39 6.98055081e+00 2.09416524e-01 
415 1119.07 6.85504709e+00 2.05651413e-01 
414 1120.76 6.62131005e+00 1.98639301e-01 
413 1122.44 6.56775153e+00 1.97032546e-01 
412 1124.12 6.51928154e+00 1.95578446e-01 
411 1125.79 6.83885000e+00 2.05165500e-01 
410 1127.47 7.09435766e+00 2.12830730e-01 
409 1129.14 7.61719757e+00 2.28515927e-01 
408 1130.81 6.99785848e+00 2.09935754e-01 
407 1132.48 6.75246988e+00 2.02574096e-01 
406 1134.15 6.61681458e+00 1.98504438e-01 
405 1135.81 7.17755877e+00 2.15326763e-01 
404 1137.48 8.05598623e+00 2.41679587e-01 
403 1139.14 8.47582449e+00 2.54274735e-01 
402 1140.80 8.10086384e+00 2.43025915e-01 
401 1142.46 7.87786848e+00 2.36336054e-01 
400 1144.12 7.43399413e+00 2.23019824e-01 
399 1145.77 7.39069203e+00 2.21720761e-01 
398 1147.43 7.45573602e+00 2.23672081e-01 
397 1149.08 7.80131320e+00 2.34039396e-01 
396 1150.73 7.80852352e+00 2.34255706e-01 
395 1152.38 8.17061997e+00 2.45118599e-01 
394 1154.02 8.22525187e+00 2.46757556e-01 
393 1155.67 8.59366804e+00 2.57810041e-01 
392 1157.31 8.56735910e+00 2.57020773e-01 
391 1158.95 8.74923379e+00 2.62477014e-01 
390 1160.59 8.80262182e+00 2.64078655e-01 
389 1162.23 9.05421866e+00 2.71626560e-01 
388 1163.87 9.04236083e+00 2.71270825e-01 
387 1165.50 9.15078371e+00 2.74523511e-01 
386 1167.13 9.04764939e+00 2.71429482e-01 
385 1168.76 9.19037061e+00 2.75711118e-01 
384 1170.39 9.02580198e+00 2.70774059e-01 
383 1172.02 8.99229803e+00 2.69768941e-01 
382 1173.65 8.83260228e+00 2.64978068e-01 
381 1175.27 8.81895941e+00 2.64568782e-01 
380 1176.90 8.72876940e+00 2.61863082e-01 
379 1178.52 8.63072251e+00 2.58921675e-01 
378 1180.14 8.40873263e+00 2.52261979e-01 
377 1181.75 8.36641632e+00 2.50992490e-01 
376 1183.37 8.19669318e+00 2.45900795e-01 
375 1184.99 8.20568469e+00 2.46170541e-01 
374 1186.60 8.10139867e+00 2.43041960e-01 
373 1188.21 8.10136847e+00 2.43041054e-01 
372 1189.82 8.04549821e+00 2.41364946e-01 
371 1191.43 8.26467216e+00 2.47940165e-01 
370 1193.04 8.18002499e+00 2.45400750e-01 
369 1194.64 8.14971929e+00 2.44491579e-01 
368 1196.24 7.92922431e+00 2.37876729e-01 
367 1197.85 8.00076346e+00 2.40022904e-01 
366 1199.45 7.87688383e+00 2.36306515e-01 
365 1201.05 7.92706383e+00 2.37811915e-01 
364 1202.64 7.84169705e+00 2.35250911e-01 
363 1204.24 7.91080148e+00 2.37324044e-01 
362 1205.83 7.86392717e+00 2.35917815e-01 
361 1207.43 7.89995203e+00 2.36998561e-01 
360 1209.02 7.85218724e+00 2.35565617e-01 
359 1210.61 7.99910770e+00 2.39973231e-01 
358 1212.19 8.00795973e+00 2.40238792e-01 
357 1213.78 8.19924503e+00 2.45977351e-01 
356 1215.37 8.13544981e+00 2.44063494e-01 
355 1216.95 8.19282659e+00 2.45784798e-01 
354 1218.53 8.15059626e+00 2.44517888e-01 
353 1220.11 8.22533650e+00 2.46760095e-01 
352 1221.69 8.16988761e+00 2.45096628e-01 
351 1223.27 8.22697157e+00 2.46809147e-01 
350 1224.84 8.23568190e+00 2.47070457e-01 
349 1226.42 8.27694294e+00 2.48308288e-01 
348 1227.99 8.26730274e+00 2.48019082e-01 
347 1229.56 8.41138276e+00 2.52341483e-01 
346 1231.13 8.34748587e+00 2.50424576e-01 
345 1232.70 8.43508600e+00 2.53052580e-01 
344 1234.27 8.41118614e+00 2.52335584e-01 
343 1235.84 8.43304406e+00 2.52991322e-01 
342 1237.40 8.35456848e+00 2.50637054e-01 
341 1238.96 8.34947031e+00 2.50484109e-01 
340 1240.52 8.18706288e+00 2.45611887e-01 
339 1242.08 8.29660216e+00 2.48898065e-01 
338 1243.64 8.28550821e+00 2.48565246e-01 
337 1245.20 8.34946072e+00 2.50483822e-01 
336 1246.75 8.30558545e+00 2.49167564e-01 
335 1248.31 8.38332989e+00 2.51499897e-01 
334 1249.86 8.31645885e+00 2.49493766e-01 
333 1251.41 8.37134466e+00 2.51140340e-01 
332 1252.96 8.29356344e+00 2.48806903e-01 
331 1254.51 8.30101059e+00 2.49030318e-01 
330 1256.06 8.19389489e+00 2.45816847e-01 
329 1257.61 8.14464686e+00 2.44339406e-01 
328 1259.15 7.99609447e+00 2.39882834e-01 
327 1260.69 7.91875255e+00 2.37562577e-01 
326 1262.23 7.73454812e+00 2.32036444e-01 
325 1263.77 7.66351495e+00 2.29905448e-01 
324 1265.31 7.39614107e+00 2.21884232e-01 
323 1266.85 7.40073681e+00 2.22022104e-01 
322 1268.39 7.46758383e+00 2.24027515e-01 
321 1269.92 7.64076247e+00 2.29222874e-01 
320 1271.46 7.91534911e+00 2.37460473e-01 
319 1272.99 8.03589187e+00 2.41076756e-01 
318 1274.52 8.03052593e+00 2.40915778e-01 
317 1276.05 8.10324164e+00 2.43097249e-01 
316 1277.58 7.95609251e+00 2.38682775e-01 
315 1279.10 7.79518258e+00 2.33855477e-01 
314 1280.63 7.72859154e+00 2.31857746e-01 
313 1282.15 7.73731352e+00 2.32119406e-01 
312 1283.68 7.82756998e+00 2.34827100e-01 
311 1285.20 8.04566369e+00 2.41369911e-01 
310 1286.72 8.01973328e+00 2.40591998e-01 
309 1288.24 8.03618237e+00 2.41085471e-01 
308 1289.75 7.95226945e+00 2.38568083e-01 
307 1291.27 7.99335695e+00 2.39800709e-01 
306 1292.78 8.03771159e+00 2.41131348e-01 
305 1294.30 8.04032112e+00 2.41209634e-01 
304 1295.81 7.94486671e+00 2.38346001e-01 
303 1297.32 7.92472123e+00 2.37741637e-01 
302 1298.83 7.85011227e+00 2.35503368e-01 
301 1300.34 7.75159329e+00 2.32547799e-01 
300 1301.85 7.65785259e+00 2.29735578e-01 
299 1303.35 7.56456526e+00 2.26936958e-01 
298 1304.86 7.47142971e+00 2.24142891e-01 
297 1306.36 7.46044237e+00 2.23813271e-01 
296 1307.86 7.40083155e+00 2.22024947e-01 
295 1309.36 7.31685152e+00 2.19505546e-01 
294 1310.86 7.16473678e+00 2.14942103e-01 
293 1312.36 7.09713218e+00 2.12913965e-01 
292 1313.86 7.04707936e+00 2.11412381e-01 
291 1315.36 7.06759342e+00 2.12027803e-01 
290 1316.85 7.00200389e+00 2.10060117e-01 
289 1318.34 6.97572939e+00 2.09271882e-01 
288 1319.84 6.84961339e+00 2.05488402e-01 
287 1321.33 6.86279852e+00 2.05883956e-01 
286 1322.82 6.79905762e+00 2.03971729e-01 
285 1324.30 6.74222962e+00 2.02266888e-01 
284 1325.79 6.54035488e+00 1.96210646e-01 
283 1327.28 6.34225792e+00 1.90267738e-01 
282 1328.76 6.02309693e+00 1.80692908e-01 
281 1330.25 5.90055905e+00 1.77016771e-01 
280 1331.73 5.84415157e+00 1.75324547e-01 
279 1333.21 5.83604492e+00 1.75081348e-01 
278 1334.69 5.84851834e+00 1.75455550e-01 
277 1336.17 5.81953241e+00 1.74585972e-01 
