% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 20160118starsun.mat and recorded on 2016-01-18 14:06:22.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.67660538e+00 1.40298162e-01 
510 949.79 4.89389296e+00 1.46816789e-01 
509 951.68 5.28557785e+00 1.58567336e-01 
508 953.57 5.34734851e+00 1.60420455e-01 
507 955.46 5.82053485e+00 1.74616045e-01 
506 957.34 5.93788383e+00 1.78136515e-01 
505 959.22 6.43865893e+00 1.93159768e-01 
504 961.10 6.55633139e+00 1.96689942e-01 
503 962.98 7.03375674e+00 2.11012702e-01 
502 964.85 7.07565875e+00 2.12269763e-01 
501 966.72 7.63880278e+00 2.29164083e-01 
500 968.59 7.71690287e+00 2.31507086e-01 
499 970.45 8.12628164e+00 2.43788449e-01 
498 972.32 8.05996334e+00 2.41798900e-01 
497 974.18 8.37394072e+00 2.51218222e-01 
496 976.04 8.29665928e+00 2.48899778e-01 
495 977.89 8.64823419e+00 2.59447026e-01 
494 979.74 8.59454328e+00 2.57836298e-01 
493 981.59 8.89895463e+00 2.66968639e-01 
492 983.44 8.81608265e+00 2.64482479e-01 
491 985.29 9.07229319e+00 2.72168796e-01 
490 987.13 8.87983183e+00 2.66394955e-01 
489 988.97 9.10178617e+00 2.73053585e-01 
488 990.81 8.92423811e+00 2.67727143e-01 
487 992.65 9.06735206e+00 2.72020562e-01 
486 994.48 8.88497359e+00 2.66549208e-01 
485 996.31 9.04335671e+00 2.71300701e-01 
484 998.14 8.80575394e+00 2.64172618e-01 
483 999.97 8.95169341e+00 2.68550802e-01 
482 1001.79 8.68796568e+00 2.60638971e-01 
481 1003.62 8.74637667e+00 2.62391300e-01 
480 1005.44 8.56096355e+00 2.56828907e-01 
479 1007.25 8.78496258e+00 2.63548877e-01 
478 1009.07 8.59735925e+00 2.57920778e-01 
477 1010.88 8.75268066e+00 2.62580420e-01 
476 1012.69 8.50204943e+00 2.55061483e-01 
475 1014.50 8.61743293e+00 2.58522988e-01 
474 1016.31 8.39272089e+00 2.51781627e-01 
473 1018.11 8.52741793e+00 2.55822538e-01 
472 1019.91 8.28800828e+00 2.48640248e-01 
471 1021.71 8.43112482e+00 2.52933745e-01 
470 1023.51 8.21941103e+00 2.46582331e-01 
469 1025.30 8.39574482e+00 2.51872345e-01 
468 1027.09 8.30065218e+00 2.49019565e-01 
467 1028.88 8.44401234e+00 2.53320370e-01 
466 1030.67 8.28952978e+00 2.48685893e-01 
465 1032.46 8.45960936e+00 2.53788281e-01 
464 1034.24 8.31909990e+00 2.49572997e-01 
463 1036.02 8.51992730e+00 2.55597819e-01 
462 1037.80 8.38633843e+00 2.51590153e-01 
461 1039.58 8.60219668e+00 2.58065900e-01 
460 1041.35 8.47290260e+00 2.54187078e-01 
459 1043.12 8.63469131e+00 2.59040739e-01 
458 1044.89 8.54702805e+00 2.56410841e-01 
457 1046.66 8.76618348e+00 2.62985505e-01 
456 1048.43 8.68279582e+00 2.60483875e-01 
455 1050.19 8.90698291e+00 2.67209487e-01 
454 1051.95 8.78794349e+00 2.63638305e-01 
453 1053.71 9.04083943e+00 2.71225183e-01 
452 1055.47 8.88459270e+00 2.66537781e-01 
451 1057.23 9.00700750e+00 2.70210225e-01 
450 1058.98 8.88981744e+00 2.66694523e-01 
449 1060.73 9.07401732e+00 2.72220520e-01 
448 1062.48 8.88711964e+00 2.66613589e-01 
447 1064.23 9.03566227e+00 2.71069868e-01 
446 1065.97 8.74664828e+00 2.62399448e-01 
445 1067.71 8.79008956e+00 2.63702687e-01 
444 1069.46 8.59531550e+00 2.57859465e-01 
443 1071.19 8.69831424e+00 2.60949427e-01 
442 1072.93 8.53808814e+00 2.56142644e-01 
441 1074.67 8.60639069e+00 2.58191721e-01 
