% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160118starsun.mat and recorded on 2016-01-18 13:36:06.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 3.81893194e+01 1.14567958e+00 
2 174.77 5.87181749e+01 1.76154525e+00 
3 175.56 2.78148007e+02 8.34444021e+00 
4 176.36 4.03980265e+04 1.21194080e+03 
5 177.15 8.47025234e+04 2.54107570e+03 
6 177.94 1.20115146e+05 3.60345439e+03 
7 178.74 2.09502684e+05 6.28508053e+03 
8 179.53 3.03675713e+05 9.11027139e+03 
9 180.33 5.28492259e+05 1.58547678e+04 
10 181.12 1.23371373e+06 3.70114120e+04 
11 181.92 2.55371685e+06 7.66115054e+04 
12 182.71 3.43879170e+06 1.03163751e+05 
13 183.51 6.01075640e+06 1.80322692e+05 
14 184.30 1.13936436e+07 3.41809309e+05 
15 185.10 1.90833699e+07 5.72501097e+05 
16 185.89 3.12551550e+07 9.37654650e+05 
17 186.69 4.89444123e+07 1.46833237e+06 
18 187.49 7.10459795e+07 2.13137939e+06 
19 188.28 1.04914833e+08 3.14744499e+06 
20 189.08 1.50385591e+08 4.51156774e+06 
21 189.88 2.13936480e+08 6.41809441e+06 
22 190.67 2.97103438e+08 8.91310313e+06 
23 191.47 4.16625082e+08 1.24987525e+07 
24 192.27 5.61184022e+08 1.68355206e+07 
25 193.07 7.63697323e+08 2.29109197e+07 
26 193.86 1.03153706e+09 3.09461119e+07 
27 194.66 1.38821546e+09 4.16464638e+07 
28 195.46 1.90381282e+09 5.71143847e+07 
29 196.26 2.32594892e+09 6.97784675e+07 
30 197.05 3.15248341e+09 9.45745024e+07 
31 197.85 4.26850979e+09 1.28055294e+08 
32 198.65 5.87572836e+09 1.76271851e+08 
33 199.45 8.15780068e+09 2.44734020e+08 
34 200.25 1.09180051e+10 3.27540154e+08 
35 201.05 1.47571966e+10 4.42715897e+08 
36 201.85 1.88855375e+10 5.66566126e+08 
37 202.64 2.32188078e+10 6.96564234e+08 
38 203.44 3.43098017e+10 1.02929405e+09 
39 204.24 5.44254368e+10 1.63276310e+09 
40 205.04 5.68590105e+10 1.70577032e+09 
41 205.84 4.29029684e+10 1.28708905e+09 
42 206.64 2.66279269e+10 7.98837807e+08 
43 207.44 3.25668253e+10 9.77004759e+08 
44 208.24 1.89180629e+10 5.67541887e+08 
45 209.04 1.09692243e+10 3.29076728e+08 
46 209.84 6.31075587e+09 1.89322676e+08 
47 210.64 3.67508122e+09 1.10252437e+08 
48 211.44 2.15543342e+09 6.46630026e+07 
49 212.24 1.23461412e+09 3.70384235e+07 
50 213.05 7.34464970e+08 2.20339491e+07 
51 213.85 4.22636224e+08 1.26790867e+07 
52 214.65 2.40735241e+08 7.22205722e+06 
53 215.45 1.42344426e+08 4.27033278e+06 
54 216.25 8.27720280e+07 2.48316084e+06 
55 217.05 4.72242393e+07 1.41672718e+06 
56 217.85 2.79160490e+07 8.37481470e+05 
57 218.65 1.63444717e+07 4.90334151e+05 
58 219.46 9.39399968e+06 2.81819990e+05 
59 220.26 5.55638867e+06 1.66691660e+05 
60 221.06 3.21423084e+06 9.64269253e+04 
61 221.86 1.86392516e+06 5.59177548e+04 
62 222.66 1.08842714e+06 3.26528141e+04 
63 223.47 6.44575238e+05 1.93372571e+04 
64 224.27 3.77731944e+05 1.13319583e+04 
65 225.07 2.12012374e+05 6.36037122e+03 
66 225.87 1.26812428e+05 3.80437284e+03 
67 226.68 7.36367091e+04 2.20910127e+03 
68 227.48 4.37503059e+04 1.31250918e+03 
69 228.28 2.70758156e+04 8.12274467e+02 
70 229.09 1.77535950e+04 5.32607849e+02 
71 229.89 1.42211967e+04 4.26635901e+02 
72 230.69 1.38493678e+04 4.15481033e+02 
73 231.49 1.74921135e+04 5.24763405e+02 
74 232.30 2.79430850e+04 8.38292551e+02 
75 233.10 4.79658912e+04 1.43897674e+03 
76 233.91 8.83559249e+04 2.65067775e+03 
77 234.71 1.64526926e+05 4.93580777e+03 
78 235.51 3.08017618e+05 9.24052855e+03 
79 236.32 5.93587443e+05 1.78076233e+04 
80 237.12 1.09931210e+06 3.29793630e+04 
81 237.92 2.13391333e+06 6.40173998e+04 
82 238.73 4.08835996e+06 1.22650799e+05 
83 239.53 7.70232700e+06 2.31069810e+05 
84 240.34 1.49461429e+07 4.48384287e+05 
85 241.14 2.74937283e+07 8.24811848e+05 
86 241.94 5.09670321e+07 1.52901096e+06 
87 242.75 8.98254091e+07 2.69476227e+06 
88 243.55 1.60220089e+08 4.80660267e+06 
89 244.36 2.73488103e+08 8.20464308e+06 
90 245.16 4.50366734e+08 1.35110020e+07 
91 245.97 7.28027469e+08 2.18408241e+07 
92 246.77 1.12067383e+09 3.36202150e+07 
93 247.58 1.72476252e+09 5.17428755e+07 
94 248.38 2.55065659e+09 7.65196976e+07 
95 249.19 3.68309064e+09 1.10492719e+08 
96 249.99 4.92833996e+09 1.47850199e+08 
97 250.80 6.06257537e+09 1.81877261e+08 
98 251.60 7.73330361e+09 2.31999108e+08 
99 252.41 9.13574488e+09 2.74072346e+08 
100 253.21 1.01149527e+10 3.03448581e+08 
101 254.02 1.12993121e+10 3.38979362e+08 
102 254.83 1.18562426e+10 3.55687279e+08 
103 255.63 1.14792719e+10 3.44378158e+08 
104 256.44 1.03493198e+10 3.10479593e+08 
105 257.24 9.01845272e+09 2.70553582e+08 
106 258.05 7.73179836e+09 2.31953951e+08 
107 258.85 6.46345585e+09 1.93903675e+08 
108 259.66 4.70479918e+09 1.41143975e+08 
109 260.46 3.46120518e+09 1.03836155e+08 
110 261.27 2.42584286e+09 7.27752858e+07 
111 262.08 1.57380216e+09 4.72140649e+07 
112 262.88 9.61415255e+08 2.88424576e+07 
113 263.69 6.00471483e+08 1.80141445e+07 
114 264.50 3.71470757e+08 1.11441227e+07 
115 265.30 2.26334331e+08 6.79002993e+06 
116 266.11 1.24627219e+08 3.73881657e+06 
117 266.91 6.84657578e+07 2.05397273e+06 
118 267.72 3.57948691e+07 1.07384607e+06 
119 268.53 1.82703142e+07 5.48109425e+05 
120 269.33 9.44218296e+06 2.83265489e+05 
121 270.14 4.87812812e+06 1.46343844e+05 
122 270.95 2.61795071e+06 7.85385214e+04 
123 271.75 1.30444056e+06 3.91332167e+04 
124 272.56 6.72834241e+05 2.01850272e+04 
125 273.37 3.17730730e+05 9.53192191e+03 
126 274.17 1.54833383e+05 4.64500150e+03 
127 274.98 7.67035392e+04 2.30110618e+03 
128 275.79 3.99288663e+04 1.19786599e+03 
129 276.59 2.17040633e+04 6.51121899e+02 
130 277.40 1.16864454e+04 3.50593363e+02 
131 278.21 6.16021281e+03 1.84806384e+02 
132 279.01 3.44959427e+03 1.03487828e+02 
133 279.82 1.83301448e+03 5.49904345e+01 
134 280.63 9.98232408e+02 2.99469722e+01 
135 281.44 5.65972121e+02 1.69791636e+01 
136 282.24 3.29145767e+02 9.87437301e+00 
137 283.05 2.00899719e+02 6.02699157e+00 
138 283.86 1.25744409e+02 3.77233228e+00 
139 284.66 7.90317797e+01 2.37095339e+00 
140 285.47 5.23127190e+01 1.56938157e+00 
141 286.28 3.55300316e+01 1.06590095e+00 
142 287.09 2.47063469e+01 7.41190408e-01 
143 287.89 1.69117750e+01 5.07353249e-01 
144 288.70 1.21120491e+01 3.63361473e-01 
145 289.51 9.00640087e+00 2.70192026e-01 
146 290.32 6.93756154e+00 2.08126846e-01 
147 291.12 5.30152314e+00 1.59045694e-01 
148 291.93 4.19689852e+00 1.25906956e-01 
149 292.74 3.28174018e+00 9.84522054e-02 
150 293.55 2.70926894e+00 8.12780683e-02 
151 294.35 2.24467989e+00 6.73403966e-02 
152 295.16 1.91532889e+00 5.74598668e-02 
153 295.97 1.66033030e+00 4.98099089e-02 
154 296.78 1.43116960e+00 4.29350880e-02 
155 297.58 1.26491049e+00 3.79473146e-02 
156 298.39 1.11399892e+00 3.34199675e-02 
157 299.20 1.01851681e+00 3.05555042e-02 
158 300.01 9.21713757e-01 2.76514127e-02 
159 300.81 8.55091129e-01 2.56527339e-02 
160 301.62 7.94215613e-01 2.38264684e-02 
161 302.43 7.41446772e-01 2.22434032e-02 
162 303.24 7.07682550e-01 2.12304765e-02 
163 304.05 6.73373424e-01 2.02012027e-02 
164 304.85 6.40055422e-01 1.92016627e-02 
165 305.66 6.08350632e-01 1.82505190e-02 
166 306.47 5.89344566e-01 1.76803370e-02 
167 307.28 5.81061305e-01 1.74318391e-02 
168 308.08 5.66609321e-01 1.69982796e-02 
169 308.89 5.49793888e-01 1.64938167e-02 
170 309.70 5.34003220e-01 1.60200966e-02 
171 310.51 5.30868485e-01 1.59260546e-02 
172 311.32 5.18019678e-01 1.55405903e-02 
173 312.12 5.15777162e-01 1.54733149e-02 
174 312.93 5.22632513e-01 1.56789754e-02 
175 313.74 5.08037043e-01 1.52411113e-02 
176 314.55 5.03123227e-01 1.50936968e-02 
177 315.36 5.16749178e-01 1.55024753e-02 
178 316.16 5.12306073e-01 1.53691822e-02 
179 316.97 5.18679402e-01 1.55603821e-02 
180 317.78 5.16464192e-01 1.54939258e-02 
181 318.59 5.28039824e-01 1.58411947e-02 
182 319.39 5.31256154e-01 1.59376846e-02 
183 320.20 5.40616338e-01 1.62184902e-02 
184 321.01 5.47533951e-01 1.64260185e-02 
185 321.82 5.47962293e-01 1.64388688e-02 
186 322.63 5.77185046e-01 1.73155514e-02 
187 323.43 5.85205212e-01 1.75561564e-02 
188 324.24 5.89265486e-01 1.76779646e-02 
189 325.05 6.19587187e-01 1.85876156e-02 
190 325.86 6.24707006e-01 1.87412102e-02 
191 326.67 6.51527890e-01 1.95458367e-02 
192 327.48 6.57257418e-01 1.97177225e-02 
193 328.28 6.90460385e-01 2.07138115e-02 
194 329.09 7.21283574e-01 2.16385072e-02 
195 329.90 7.30654329e-01 2.19196299e-02 
196 330.71 7.70058582e-01 2.31017575e-02 
197 331.51 8.28157357e-01 2.48447207e-02 
198 332.32 9.00278451e-01 2.70083535e-02 
199 333.13 1.06732165e+00 3.20196495e-02 
200 333.94 1.34683733e+00 4.04051199e-02 
201 334.75 1.84685253e+00 5.54055759e-02 
202 335.56 2.62023188e+00 7.86069563e-02 
203 336.36 3.74980292e+00 1.12494087e-01 
204 337.17 5.57214661e+00 1.67164398e-01 
205 337.98 8.29271940e+00 2.48781582e-01 
206 338.79 1.17607202e+01 3.52821605e-01 
207 339.59 1.56120154e+01 4.68360461e-01 
208 340.40 1.92976109e+01 5.78928328e-01 
209 341.21 2.23036009e+01 6.69108027e-01 
210 342.02 2.59377449e+01 7.78132348e-01 
211 342.83 2.92924577e+01 8.78773731e-01 
212 343.64 3.02827854e+01 9.08483563e-01 
213 344.44 3.15086946e+01 9.45260838e-01 
214 345.25 3.52156118e+01 1.05646835e+00 
215 346.06 3.88781699e+01 1.16634510e+00 
216 346.87 4.13154032e+01 1.23946210e+00 
217 347.67 4.30693516e+01 1.29208055e+00 
218 348.48 4.46251560e+01 1.33875468e+00 
219 349.29 4.73092706e+01 1.41927812e+00 
220 350.10 5.21174888e+01 1.56352466e+00 
221 350.91 5.56945877e+01 1.67083763e+00 
222 351.71 5.60085459e+01 1.68025638e+00 
223 352.52 5.70102124e+01 1.71030637e+00 
224 353.33 6.21763360e+01 1.86529008e+00 
225 354.14 6.88648132e+01 2.06594440e+00 
226 354.94 7.21421276e+01 2.16426383e+00 
227 355.75 7.11860175e+01 2.13558053e+00 
228 356.56 6.72550018e+01 2.01765005e+00 
229 357.37 6.32088982e+01 1.89626694e+00 
230 358.18 6.22307037e+01 1.86692111e+00 
231 358.98 6.96377789e+01 2.08913337e+00 
232 359.79 8.08485623e+01 2.42545687e+00 
233 360.60 8.29131194e+01 2.48739358e+00 
234 361.41 8.15912658e+01 2.44773798e+00 
235 362.21 8.58740157e+01 2.57622047e+00 
236 363.02 9.12081190e+01 2.73624357e+00 
237 363.83 9.44118996e+01 2.83235699e+00 
238 364.64 9.88689051e+01 2.96606715e+00 
239 365.44 1.07735491e+02 3.23206473e+00 
240 366.25 1.15960500e+02 3.47881499e+00 
241 367.06 1.17354965e+02 3.52064895e+00 
242 367.87 1.15559241e+02 3.46677722e+00 
243 368.67 1.17041137e+02 3.51123412e+00 
244 369.48 1.22193511e+02 3.66580533e+00 
245 370.29 1.23637069e+02 3.70911207e+00 
246 371.10 1.22342636e+02 3.67027909e+00 
247 371.90 1.19449144e+02 3.58347432e+00 
248 372.71 1.13033541e+02 3.39100624e+00 
249 373.52 1.06689956e+02 3.20069867e+00 
250 374.33 1.05783209e+02 3.17349626e+00 
251 375.13 1.12952902e+02 3.38858707e+00 
252 375.94 1.23176909e+02 3.69530727e+00 
253 376.75 1.34169935e+02 4.02509806e+00 
254 377.55 1.46955828e+02 4.40867483e+00 
255 378.36 1.51272328e+02 4.53816984e+00 
256 379.17 1.43957163e+02 4.31871489e+00 
257 379.98 1.40320641e+02 4.20961922e+00 
258 380.78 1.40329035e+02 4.20987106e+00 
259 381.59 1.28900631e+02 3.86701892e+00 
260 382.40 1.10013420e+02 3.30040260e+00 
261 383.21 1.00514938e+02 3.01544814e+00 
262 384.01 1.08389914e+02 3.25169742e+00 
263 384.82 1.22942737e+02 3.68828210e+00 
264 385.63 1.29641004e+02 3.88923011e+00 
265 386.43 1.30985107e+02 3.92955321e+00 
266 387.24 1.32106619e+02 3.96319856e+00 
267 388.05 1.34297933e+02 4.02893798e+00 
268 388.85 1.42335331e+02 4.27005994e+00 
269 389.66 1.55787687e+02 4.67363061e+00 
270 390.47 1.67064344e+02 5.01193033e+00 
271 391.27 1.68828750e+02 5.06486251e+00 
272 392.08 1.52022530e+02 4.56067589e+00 
273 392.89 1.24049511e+02 3.72148533e+00 
274 393.69 1.16158363e+02 3.48475089e+00 
275 394.50 1.38028737e+02 4.14086211e+00 
276 395.31 1.55990560e+02 4.67971680e+00 
277 396.11 1.47081856e+02 4.41245569e+00 
278 396.92 1.38719017e+02 4.16157051e+00 
279 397.73 1.62272491e+02 4.86817472e+00 
280 398.53 2.01100018e+02 6.03300055e+00 
281 399.34 2.26824988e+02 6.80474964e+00 
282 400.15 2.39482097e+02 7.18446290e+00 
283 400.95 2.48219046e+02 7.44657138e+00 
284 401.76 2.55292478e+02 7.65877433e+00 
285 402.57 2.57802139e+02 7.73406417e+00 
286 403.37 2.56511465e+02 7.69534396e+00 
287 404.18 2.55224641e+02 7.65673923e+00 
288 404.98 2.54002071e+02 7.62006214e+00 
289 405.79 2.52683734e+02 7.58051203e+00 
290 406.60 2.53325629e+02 7.59976888e+00 
291 407.40 2.59392153e+02 7.78176459e+00 
292 408.21 2.69273588e+02 8.07820763e+00 
293 409.02 2.73695955e+02 8.21087864e+00 
294 409.82 2.70883860e+02 8.12651581e+00 
295 410.63 2.73395609e+02 8.20186826e+00 
296 411.44 2.84715985e+02 8.54147954e+00 
297 412.24 2.93035901e+02 8.79107704e+00 
298 413.05 2.94323604e+02 8.82970811e+00 
299 413.85 2.94351667e+02 8.83055001e+00 
300 414.66 2.95181251e+02 8.85543754e+00 
301 415.46 2.96673487e+02 8.90020461e+00 
302 416.27 2.97267668e+02 8.91803003e+00 
303 417.08 2.93986405e+02 8.81959215e+00 
304 417.88 2.89018523e+02 8.67055568e+00 
305 418.69 2.86759457e+02 8.60278372e+00 
306 419.49 2.87578295e+02 8.62734886e+00 
307 420.30 2.91410121e+02 8.74230362e+00 
308 421.11 2.95049981e+02 8.85149942e+00 
309 421.91 2.93481822e+02 8.80445467e+00 
310 422.72 2.88912014e+02 8.66736041e+00 
311 423.52 2.88438048e+02 8.65314144e+00 
312 424.33 2.91414712e+02 8.74244135e+00 
313 425.13 2.93200434e+02 8.79601302e+00 
314 425.94 2.92764890e+02 8.78294670e+00 
315 426.74 2.91524991e+02 8.74574972e+00 
316 427.55 2.90119449e+02 8.70358348e+00 
317 428.35 2.85773807e+02 8.57321421e+00 
318 429.16 2.74188273e+02 8.22564820e+00 
319 429.96 2.61334384e+02 7.84003152e+00 
320 430.77 2.65896252e+02 7.97688755e+00 
321 431.58 2.91636440e+02 8.74909321e+00 
