% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160118starsun.mat and recorded on 2016-01-18 14:10:05.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 3.59415499e+21 1.07824650e+20 
2 174.77 1.35219765e+30 4.05659295e+28 
3 175.56 1.59812748e+29 4.79438245e+27 
4 176.36 2.42195512e+29 7.26586535e+27 
5 177.15 5.27245214e+29 1.58173564e+28 
6 177.94 1.90859985e+30 5.72579955e+28 
7 178.74 5.55439250e+30 1.66631775e+29 
8 179.53 9.13631385e+30 2.74089416e+29 
9 180.33 1.74303437e+31 5.22910311e+29 
10 181.12 2.01356629e+31 6.04069886e+29 
11 181.92 3.85719937e+31 1.15715981e+30 
12 182.71 4.90532128e+31 1.47159638e+30 
13 183.51 7.85656070e+31 2.35696821e+30 
14 184.30 1.42792362e+32 4.28377086e+30 
15 185.10 2.00263027e+32 6.00789080e+30 
16 185.89 3.75804711e+32 1.12741413e+31 
17 186.69 6.54197941e+32 1.96259382e+31 
18 187.49 9.63968170e+32 2.89190451e+31 
19 188.28 1.83171905e+33 5.49515715e+31 
20 189.08 3.53732411e+33 1.06119723e+32 
21 189.88 6.35664727e+33 1.90699418e+32 
22 190.67 1.16175074e+34 3.48525222e+32 
23 191.47 2.73057579e+34 8.19172736e+32 
24 192.27 5.31524896e+34 1.59457469e+33 
25 193.07 1.30881976e+35 3.92645928e+33 
26 193.86 3.09514267e+35 9.28542801e+33 
27 194.66 9.10950147e+35 2.73285044e+34 
28 195.46 1.57803600e+36 4.73410799e+34 
29 196.26 2.38894709e+36 7.16684126e+34 
30 197.05 5.35511436e+36 1.60653431e+35 
31 197.85 1.57632114e+37 4.72896343e+35 
32 198.65 3.76741744e+37 1.13022523e+36 
33 199.45 7.46168200e+37 2.23850460e+36 
34 200.25 2.27268738e+38 6.81806214e+36 
35 201.05 5.88774010e+38 1.76632203e+37 
36 201.85 1.43776160e+39 4.31328480e+37 
37 202.64 3.71239792e+39 1.11371938e+38 
38 203.44 1.90254739e+39 5.70764217e+37 
39 204.24 2.84993737e+39 8.54981212e+37 
40 205.04 2.49450933e+40 7.48352800e+38 
41 205.84 2.75965234e+41 8.27895701e+39 
42 206.64 2.14775723e+42 6.44327169e+40 
43 207.44 1.73209985e+42 5.19629954e+40 
44 208.24 1.98368402e+41 5.95105205e+39 
45 209.04 2.42830108e+40 7.28490325e+38 
46 209.84 3.02306340e+39 9.06919019e+37 
47 210.64 3.59334958e+38 1.07800488e+37 
48 211.44 4.23928755e+37 1.27178626e+36 
49 212.24 5.17389293e+36 1.55216788e+35 
50 213.05 6.43609923e+35 1.93082977e+34 
51 213.85 7.67813133e+34 2.30343940e+33 
52 214.65 9.62158758e+33 2.88647627e+32 
53 215.45 1.11591164e+33 3.34773491e+31 
54 216.25 1.40957609e+32 4.22872827e+30 
55 217.05 1.73489214e+31 5.20467643e+29 
56 217.85 2.08089648e+30 6.24268944e+28 
57 218.65 2.55283526e+29 7.65850579e+27 
58 219.46 3.21035117e+28 9.63105350e+26 
59 220.26 3.82304457e+27 1.14691337e+26 
60 221.06 4.75052338e+26 1.42515701e+25 
61 221.86 5.71035702e+25 1.71310711e+24 
62 222.66 7.16030804e+24 2.14809241e+23 
63 223.47 8.52702223e+23 2.55810667e+22 
64 224.27 1.05019675e+23 3.15059026e+21 
65 225.07 1.32314768e+22 3.96944304e+20 
66 225.87 1.59886794e+21 4.79660381e+19 
67 226.68 2.03283965e+20 6.09851896e+18 
68 227.48 2.63225844e+19 7.89677533e+17 
69 228.28 3.78045937e+18 1.13413781e+17 
70 229.09 8.15898330e+17 2.44769499e+16 
71 229.89 3.41475503e+17 1.02442651e+16 
72 230.69 3.29071022e+17 9.87213067e+15 
73 231.49 8.15901493e+17 2.44770448e+16 
74 232.30 4.36665211e+18 1.30999563e+17 
75 233.10 3.98729810e+19 1.19618943e+18 
76 233.91 4.18350228e+20 1.25505068e+19 
77 234.71 4.96329639e+21 1.48898892e+20 
78 235.51 5.72310347e+22 1.71693104e+21 
79 236.32 6.81676124e+23 2.04502837e+22 
80 237.12 8.90147340e+24 2.67044202e+23 
81 237.92 1.08534728e+26 3.25604185e+24 
82 238.73 1.37492346e+27 4.12477037e+25 
83 239.53 1.82879089e+28 5.48637267e+26 
84 240.34 2.28951054e+29 6.86853162e+27 
85 241.14 2.53726409e+30 7.61179226e+28 
86 241.94 2.67842572e+31 8.03527717e+29 
87 242.75 2.68296380e+32 8.04889141e+30 
88 243.55 2.33236883e+33 6.99710650e+31 
89 244.36 1.90600742e+34 5.71802225e+32 
90 245.16 1.42928563e+35 4.28785689e+33 
91 245.97 9.13883929e+35 2.74165179e+34 
92 246.77 5.40218314e+36 1.62065494e+35 
93 247.58 2.55022668e+37 7.65068005e+35 
94 248.38 1.24310343e+38 3.72931029e+36 
95 249.19 5.10690309e+38 1.53207093e+37 
96 249.99 1.56197670e+39 4.68593010e+37 
97 250.80 3.68523256e+39 1.10556977e+38 
98 251.60 7.79872553e+39 2.33961766e+38 
99 252.41 1.55613949e+40 4.66841848e+38 
100 253.21 2.58961433e+40 7.76884299e+38 
101 254.02 3.63616634e+40 1.09084990e+39 
102 254.83 4.47509040e+40 1.34252712e+39 
103 255.63 4.47139129e+40 1.34141739e+39 
104 256.44 2.84363883e+40 8.53091648e+38 
105 257.24 1.54299976e+40 4.62899928e+38 
106 258.05 1.00348018e+40 3.01044053e+38 
107 258.85 4.47944997e+39 1.34383499e+38 
108 259.66 1.45618681e+39 4.36856043e+37 
109 260.46 3.57211450e+38 1.07163435e+37 
110 261.27 8.88775901e+37 2.66632770e+36 
111 262.08 1.75348488e+37 5.26045464e+35 
112 262.88 2.83667394e+36 8.51002183e+34 
113 263.69 4.39208262e+35 1.31762479e+34 
114 264.50 6.48500829e+34 1.94550249e+33 
115 265.30 9.39307961e+33 2.81792388e+32 
116 266.11 9.16269881e+32 2.74880964e+31 
117 266.91 8.49865735e+31 2.54959721e+30 
118 267.72 6.74228603e+30 2.02268581e+29 
119 268.53 4.35250845e+29 1.30575254e+28 
120 269.33 3.49142926e+28 1.04742878e+27 
121 270.14 2.80443364e+27 8.41330091e+25 
122 270.95 2.37971607e+26 7.13914820e+24 
123 271.75 1.63510778e+25 4.90532335e+23 
124 272.56 1.16262612e+24 3.48787836e+22 
125 273.37 6.30059608e+22 1.89017882e+21 
126 274.17 3.82118584e+21 1.14635575e+20 
127 274.98 2.62163656e+20 7.86490968e+18 
128 275.79 2.05722232e+19 6.17166695e+17 
129 276.59 1.75964064e+18 5.27892192e+16 
130 277.40 1.45890738e+17 4.37672213e+15 
131 278.21 1.31956619e+16 3.95869856e+14 
132 279.01 1.12726496e+15 3.38179487e+13 
133 279.82 1.14182702e+14 3.42548106e+12 
134 280.63 1.02702012e+13 3.08106036e+11 
135 281.44 1.03181715e+12 3.09545145e+10 
136 282.24 1.29210774e+11 3.87632323e+09 
137 283.05 1.99582148e+10 5.98746445e+08 
138 283.86 3.14259904e+09 9.42779713e+07 
139 284.66 4.91695238e+08 1.47508571e+07 
140 285.47 1.00403413e+08 3.01210238e+06 
141 286.28 2.28881483e+07 6.86644448e+05 
142 287.09 4.92390039e+06 1.47717012e+05 
143 287.89 1.24639002e+06 3.73917006e+04 
144 288.70 3.52173677e+05 1.05652103e+04 
145 289.51 1.07638032e+05 3.22914095e+03 
146 290.32 3.54982123e+04 1.06494637e+03 
147 291.12 1.25998893e+04 3.77996680e+02 
148 291.93 4.89506422e+03 1.46851926e+02 
149 292.74 1.87178730e+03 5.61536189e+01 
150 293.55 8.72450140e+02 2.61735042e+01 
151 294.35 4.29846080e+02 1.28953824e+01 
152 295.16 2.22708001e+02 6.68124004e+00 
153 295.97 1.21371713e+02 3.64115138e+00 
154 296.78 6.50824637e+01 1.95247391e+00 
155 297.58 4.13132055e+01 1.23939617e+00 
156 298.39 2.64784568e+01 7.94353705e-01 
157 299.20 1.89242166e+01 5.67726498e-01 
158 300.01 1.20829258e+01 3.62487774e-01 
159 300.81 9.05199527e+00 2.71559858e-01 
160 301.62 6.29836671e+00 1.88951001e-01 
161 302.43 5.09948109e+00 1.52984433e-01 
162 303.24 4.14367578e+00 1.24310273e-01 
163 304.05 3.48539217e+00 1.04561765e-01 
164 304.85 2.79743961e+00 8.39231884e-02 
165 305.66 2.25212922e+00 6.75638766e-02 
166 306.47 2.19312660e+00 6.57937981e-02 
167 307.28 1.69882594e+00 5.09647783e-02 
168 308.08 1.56147095e+00 4.68441284e-02 
169 308.89 1.39802933e+00 4.19408799e-02 
170 309.70 1.27611032e+00 3.82833097e-02 
171 310.51 1.15529095e+00 3.46587285e-02 
172 311.32 1.05068839e+00 3.15206517e-02 
173 312.12 9.32200581e-01 2.79660174e-02 
174 312.93 9.06373103e-01 2.71911931e-02 
175 313.74 8.59540300e-01 2.57862090e-02 
176 314.55 8.12621174e-01 2.43786352e-02 
177 315.36 7.72622729e-01 2.31786819e-02 
178 316.16 7.17583044e-01 2.15274913e-02 
179 316.97 7.38065756e-01 2.21419727e-02 
180 317.78 7.42849674e-01 2.22854902e-02 
181 318.59 7.64141582e-01 2.29242475e-02 
182 319.39 6.80624583e-01 2.04187375e-02 
183 320.20 6.96058684e-01 2.08817605e-02 
184 321.01 7.09184177e-01 2.12755253e-02 
185 321.82 7.03451188e-01 2.11035356e-02 
186 322.63 7.13171521e-01 2.13951456e-02 
187 323.43 6.48860687e-01 1.94658206e-02 
188 324.24 7.04404808e-01 2.11321443e-02 
189 325.05 6.73386379e-01 2.02015914e-02 
190 325.86 7.03424341e-01 2.11027302e-02 
191 326.67 7.03053490e-01 2.10916047e-02 
192 327.48 7.04591278e-01 2.11377383e-02 
193 328.28 7.42704370e-01 2.22811311e-02 
194 329.09 7.15841386e-01 2.14752416e-02 
195 329.90 7.62350335e-01 2.28705101e-02 
196 330.71 7.45790518e-01 2.23737155e-02 
197 331.51 8.04728175e-01 2.41418453e-02 
198 332.32 8.11935326e-01 2.43580598e-02 
199 333.13 8.75566205e-01 2.62669862e-02 
200 333.94 1.00382503e+00 3.01147509e-02 
201 334.75 1.27197929e+00 3.81593787e-02 
202 335.56 1.77694323e+00 5.33082970e-02 
203 336.36 2.44894912e+00 7.34684735e-02 
204 337.17 3.63216228e+00 1.08964868e-01 
205 337.98 5.63676397e+00 1.69102919e-01 
206 338.79 8.36825398e+00 2.51047619e-01 
207 339.59 1.13409262e+01 3.40227787e-01 
208 340.40 1.48633849e+01 4.45901546e-01 
209 341.21 1.73641740e+01 5.20925220e-01 
210 342.02 2.07798839e+01 6.23396518e-01 
211 342.83 2.42445640e+01 7.27336921e-01 
212 343.64 2.51882505e+01 7.55647515e-01 
213 344.44 2.65561615e+01 7.96684844e-01 
214 345.25 3.03244652e+01 9.09733955e-01 
215 346.06 3.38501340e+01 1.01550402e+00 
216 346.87 3.61257438e+01 1.08377231e+00 
217 347.67 3.81830652e+01 1.14549196e+00 
218 348.48 3.97287805e+01 1.19186341e+00 
219 349.29 4.20417844e+01 1.26125353e+00 
220 350.10 4.70221086e+01 1.41066326e+00 
221 350.91 5.07876696e+01 1.52363009e+00 
222 351.71 5.12153075e+01 1.53645922e+00 
223 352.52 5.23110096e+01 1.56933029e+00 
