% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160118starsun.mat and recorded on 2016-01-18 14:06:22.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 8.23454765e+01 2.47036429e+00 
2 174.77 1.67357322e+02 5.02071967e+00 
3 175.56 9.31703854e+02 2.79511156e+01 
4 176.36 1.46874349e+05 4.40623047e+03 
5 177.15 3.04234872e+05 9.12704617e+03 
6 177.94 4.87275528e+05 1.46182658e+04 
7 178.74 9.18799083e+05 2.75639725e+04 
8 179.53 1.29651616e+06 3.88954848e+04 
9 180.33 2.21182152e+06 6.63546457e+04 
10 181.12 4.00600637e+06 1.20180191e+05 
11 181.92 6.48820289e+06 1.94646087e+05 
12 182.71 8.68242793e+06 2.60472838e+05 
13 183.51 1.27238322e+07 3.81714965e+05 
14 184.30 1.81239905e+07 5.43719716e+05 
15 185.10 2.38212031e+07 7.14636094e+05 
16 185.89 3.19284552e+07 9.57853655e+05 
17 186.69 4.11874017e+07 1.23562205e+06 
18 187.49 5.29661570e+07 1.58898471e+06 
19 188.28 6.33171191e+07 1.89951357e+06 
20 189.08 7.58351980e+07 2.27505594e+06 
21 189.88 7.68965877e+07 2.30689763e+06 
22 190.67 8.31633421e+07 2.49490026e+06 
23 191.47 8.00642153e+07 2.40192646e+06 
24 192.27 6.99280128e+07 2.09784038e+06 
25 193.07 6.36468921e+07 1.90940676e+06 
26 193.86 5.21199396e+07 1.56359819e+06 
27 194.66 3.93347112e+07 1.18004134e+06 
28 195.46 3.40078645e+07 1.02023594e+06 
29 196.26 2.53427043e+07 7.60281128e+05 
30 197.05 1.96627625e+07 5.89882876e+05 
31 197.85 1.43389733e+07 4.30169199e+05 
32 198.65 1.11196352e+07 3.33589055e+05 
33 199.45 8.24948939e+06 2.47484682e+05 
34 200.25 5.96061787e+06 1.78818536e+05 
35 201.05 4.48622952e+06 1.34586886e+05 
36 201.85 3.21745685e+06 9.65237056e+04 
37 202.64 2.39169683e+06 7.17509050e+04 
38 203.44 1.78103579e+06 5.34310738e+04 
39 204.24 1.29738088e+06 3.89214263e+04 
40 205.04 9.79160129e+05 2.93748039e+04 
41 205.84 7.28846301e+05 2.18653890e+04 
42 206.64 5.28372984e+05 1.58511895e+04 
43 207.44 5.90705658e+05 1.77211697e+04 
44 208.24 4.36026252e+05 1.30807876e+04 
45 209.04 3.20265414e+05 9.60796242e+03 
46 209.84 2.31524508e+05 6.94573525e+03 
47 210.64 1.73225984e+05 5.19677953e+03 
48 211.44 1.27117125e+05 3.81351374e+03 
49 212.24 9.21258774e+04 2.76377632e+03 
50 213.05 6.92279071e+04 2.07683721e+03 
51 213.85 5.05041418e+04 1.51512425e+03 
52 214.65 3.61630944e+04 1.08489283e+03 
53 215.45 2.71567758e+04 8.14703274e+02 
54 216.25 1.98869418e+04 5.96608255e+02 
55 217.05 1.43363784e+04 4.30091353e+02 
56 217.85 1.05721888e+04 3.17165664e+02 
57 218.65 8.00974102e+03 2.40292231e+02 
58 219.46 5.73730965e+03 1.72119290e+02 
59 220.26 4.30069728e+03 1.29020918e+02 
60 221.06 3.13529236e+03 9.40587709e+01 
61 221.86 2.26356350e+03 6.79069050e+01 
62 222.66 1.69690835e+03 5.09072505e+01 
63 223.47 1.26304293e+03 3.78912878e+01 
64 224.27 9.41503238e+02 2.82450972e+01 
65 225.07 6.61182803e+02 1.98354841e+01 
66 225.87 5.04784394e+02 1.51435318e+01 
67 226.68 3.64998821e+02 1.09499646e+01 
68 227.48 2.72872465e+02 8.18617395e+00 
69 228.28 2.10297665e+02 6.30892995e+00 
70 229.09 1.64666748e+02 4.94000244e+00 
71 229.89 1.43400567e+02 4.30201700e+00 
72 230.69 1.40224129e+02 4.20672387e+00 
73 231.49 1.62091140e+02 4.86273420e+00 
74 232.30 2.14129617e+02 6.42388852e+00 
75 233.10 2.85459045e+02 8.56377134e+00 
76 233.91 4.08679749e+02 1.22603925e+01 
77 234.71 5.74892774e+02 1.72467832e+01 
78 235.51 8.20283011e+02 2.46084903e+01 
79 236.32 1.19477212e+03 3.58431637e+01 
80 237.12 1.66778233e+03 5.00334700e+01 
81 237.92 2.45428506e+03 7.36285519e+01 
82 238.73 3.55410437e+03 1.06623131e+02 
83 239.53 5.03879539e+03 1.51163862e+02 
84 240.34 7.22814312e+03 2.16844294e+02 
85 241.14 1.02959086e+04 3.08877259e+02 
86 241.94 1.47350172e+04 4.42050517e+02 
87 242.75 1.98895068e+04 5.96685203e+02 
88 243.55 2.80548197e+04 8.41644591e+02 
89 244.36 3.78857160e+04 1.13657148e+03 
90 245.16 4.96665829e+04 1.48999749e+03 
91 245.97 6.57984055e+04 1.97395217e+03 
92 246.77 8.25107308e+04 2.47532192e+03 
93 247.58 1.06992146e+05 3.20976438e+03 
94 248.38 1.30769501e+05 3.92308502e+03 
95 249.19 1.63916667e+05 4.91750001e+03 
96 249.99 1.92740223e+05 5.78220670e+03 
97 250.80 2.16179687e+05 6.48539060e+03 
98 251.60 2.53387724e+05 7.60163172e+03 
99 252.41 2.75462996e+05 8.26388989e+03 
100 253.21 2.92273787e+05 8.76821362e+03 
101 254.02 3.13260512e+05 9.39781537e+03 
102 254.83 3.20677076e+05 9.62031229e+03 
103 255.63 3.11341097e+05 9.34023291e+03 
104 256.44 2.96666353e+05 8.89999059e+03 
105 257.24 2.76148088e+05 8.28444265e+03 
106 258.05 2.44864036e+05 7.34592109e+03 
107 258.85 2.25241305e+05 6.75723914e+03 
108 259.66 1.86644686e+05 5.59934058e+03 
109 260.46 1.60657056e+05 4.81971167e+03 
110 261.27 1.31308097e+05 3.93924291e+03 
111 262.08 1.02522824e+05 3.07568471e+03 
112 262.88 7.64386296e+04 2.29315889e+03 
113 263.69 5.80541518e+04 1.74162455e+03 
114 264.50 4.50038614e+04 1.35011584e+03 
115 265.30 3.40271927e+04 1.02081578e+03 
116 266.11 2.40783468e+04 7.22350405e+02 
117 266.91 1.74505735e+04 5.23517205e+02 
118 267.72 1.19352364e+04 3.58057093e+02 
119 268.53 8.31278253e+03 2.49383476e+02 
120 269.33 5.71909803e+03 1.71572941e+02 
121 270.14 3.90401927e+03 1.17120578e+02 
122 270.95 2.78058709e+03 8.34176126e+01 
123 271.75 1.84755073e+03 5.54265219e+01 
124 272.56 1.28463183e+03 3.85389550e+01 
125 273.37 8.36026626e+02 2.50807988e+01 
126 274.17 5.55487758e+02 1.66646327e+01 
127 274.98 3.70650162e+02 1.11195049e+01 
128 275.79 2.58785506e+02 7.76356517e+00 
129 276.59 1.82678829e+02 5.48036486e+00 
130 277.40 1.30616206e+02 3.91848618e+00 
131 278.21 9.00724919e+01 2.70217476e+00 
132 279.01 6.59653635e+01 1.97896090e+00 
133 279.82 4.56928775e+01 1.37078632e+00 
134 280.63 3.22412236e+01 9.67236709e-01 
135 281.44 2.38488311e+01 7.15464934e-01 
136 282.24 1.72695957e+01 5.18087872e-01 
137 283.05 1.29850743e+01 3.89552228e-01 
138 283.86 9.96785010e+00 2.99035503e-01 
139 284.66 7.74136018e+00 2.32240805e-01 
140 285.47 6.13447731e+00 1.84034319e-01 
141 286.28 4.89448760e+00 1.46834628e-01 
142 287.09 4.05444093e+00 1.21633228e-01 
143 287.89 3.25194232e+00 9.75582695e-02 
144 288.70 2.68252175e+00 8.04756524e-02 
145 289.51 2.27320969e+00 6.81962907e-02 
146 290.32 1.97554768e+00 5.92664304e-02 
147 291.12 1.70822198e+00 5.12466595e-02 
148 291.93 1.49347875e+00 4.48043626e-02 
149 292.74 1.30395434e+00 3.91186301e-02 
150 293.55 1.17636676e+00 3.52910029e-02 
151 294.35 1.02951784e+00 3.08855353e-02 
152 295.16 9.67381231e-01 2.90214369e-02 
153 295.97 8.89431552e-01 2.66829466e-02 
154 296.78 8.21243080e-01 2.46372924e-02 
155 297.58 7.66545334e-01 2.29963600e-02 
156 298.39 7.08617616e-01 2.12585285e-02 
157 299.20 6.75478734e-01 2.02643620e-02 
158 300.01 6.36287753e-01 1.90886326e-02 
159 300.81 6.17584733e-01 1.85275420e-02 
160 301.62 5.95047453e-01 1.78514236e-02 
161 302.43 5.69056785e-01 1.70717036e-02 
162 303.24 5.64873795e-01 1.69462138e-02 
163 304.05 5.44024288e-01 1.63207286e-02 
164 304.85 5.23181533e-01 1.56954460e-02 
165 305.66 5.17476089e-01 1.55242827e-02 
166 306.47 4.98780367e-01 1.49634110e-02 
167 307.28 5.02752854e-01 1.50825856e-02 
168 308.08 5.03334046e-01 1.51000214e-02 
169 308.89 4.90328551e-01 1.47098565e-02 
170 309.70 4.77779839e-01 1.43333952e-02 
171 310.51 4.88938430e-01 1.46681529e-02 
172 311.32 4.77577526e-01 1.43273258e-02 
173 312.12 4.84569039e-01 1.45370712e-02 
174 312.93 4.92187974e-01 1.47656392e-02 
175 313.74 4.85008035e-01 1.45502410e-02 
176 314.55 4.79876279e-01 1.43962884e-02 
177 315.36 4.99103836e-01 1.49731151e-02 
