% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160426starsun.mat and recorded on 2016-04-30 23:11:25.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 9.79286602e+08 2.93785981e+07 
2 174.77 8.62415478e+08 2.58724644e+07 
3 175.56 1.72760592e+09 5.18281776e+07 
4 176.36 1.10224467e+11 3.30673402e+09 
5 177.15 1.19643505e+11 3.58930515e+09 
6 177.94 1.25829612e+11 3.77488837e+09 
7 178.74 1.26569453e+11 3.79708359e+09 
8 179.53 1.27979989e+11 3.83939968e+09 
9 180.33 1.07723328e+11 3.23169983e+09 
10 181.12 5.59532799e+10 1.67859840e+09 
11 181.92 2.11419043e+10 6.34257129e+08 
12 182.71 9.76020225e+09 2.92806067e+08 
13 183.51 5.04374410e+09 1.51312323e+08 
14 184.30 3.38495742e+09 1.01548723e+08 
15 185.10 2.36020500e+09 7.08061499e+07 
16 185.89 1.74740046e+09 5.24220137e+07 
17 186.69 1.47782349e+09 4.43347048e+07 
18 187.49 1.36690901e+09 4.10072703e+07 
19 188.28 1.32836593e+09 3.98509778e+07 
20 189.08 1.28451040e+09 3.85353120e+07 
21 189.88 1.41093190e+09 4.23279569e+07 
22 190.67 1.52998746e+09 4.58996238e+07 
23 191.47 1.77979328e+09 5.33937984e+07 
24 192.27 2.12063282e+09 6.36189847e+07 
25 193.07 2.51460922e+09 7.54382766e+07 
26 193.86 3.06251507e+09 9.18754522e+07 
27 194.66 3.93013594e+09 1.17904078e+08 
28 195.46 5.11148949e+09 1.53344685e+08 
29 196.26 6.62088719e+09 1.98626616e+08 
30 197.05 8.51305459e+09 2.55391638e+08 
31 197.85 1.20763745e+10 3.62291235e+08 
32 198.65 1.10531621e+10 3.31594862e+08 
33 199.45 1.47129639e+10 4.41388916e+08 
34 200.25 2.14980858e+10 6.44942573e+08 
35 201.05 3.07002258e+10 9.21006775e+08 
36 201.85 3.35650819e+10 1.00695246e+09 
37 202.64 3.34263470e+10 1.00279041e+09 
38 203.44 2.11354526e+10 6.34063578e+08 
39 204.24 1.26375114e+10 3.79125341e+08 
40 205.04 8.20866424e+09 2.46259927e+08 
41 205.84 5.17739021e+09 1.55321706e+08 
42 206.64 3.18446251e+09 9.55338754e+07 
43 207.44 1.93268340e+09 5.79805019e+07 
44 208.24 1.22053890e+09 3.66161671e+07 
45 209.04 7.29686230e+08 2.18905869e+07 
46 209.84 4.39325229e+08 1.31797569e+07 
47 210.64 2.81947919e+08 8.45843757e+06 
48 211.44 1.73204176e+08 5.19612528e+06 
49 212.24 1.09108837e+08 3.27326512e+06 
50 213.05 6.52394628e+07 1.95718388e+06 
51 213.85 4.04113500e+07 1.21234050e+06 
52 214.65 2.53230579e+07 7.59691738e+05 
53 215.45 1.58493286e+07 4.75479859e+05 
54 216.25 1.00233798e+07 3.00701393e+05 
55 217.05 5.98127408e+06 1.79438222e+05 
56 217.85 3.70790413e+06 1.11237124e+05 
57 218.65 2.29151970e+06 6.87455910e+04 
58 219.46 1.39140492e+06 4.17421475e+04 
59 220.26 8.63241308e+05 2.58972392e+04 
60 221.06 5.54821226e+05 1.66446368e+04 
61 221.86 3.32598422e+05 9.97795267e+03 
62 222.66 2.05370668e+05 6.16112003e+03 
63 223.47 1.29338195e+05 3.88014586e+03 
64 224.27 7.71852312e+04 2.31555693e+03 
65 225.07 4.83506666e+04 1.45052000e+03 
66 225.87 2.97242944e+04 8.91728833e+02 
67 226.68 1.90245338e+04 5.70736013e+02 
68 227.48 1.12592810e+04 3.37778430e+02 
69 228.28 7.57862586e+03 2.27358776e+02 
70 229.09 5.16075383e+03 1.54822615e+02 
71 229.89 4.24166176e+03 1.27249853e+02 
72 230.69 4.24787044e+03 1.27436113e+02 
73 231.49 5.29991518e+03 1.58997455e+02 
74 232.30 7.95632888e+03 2.38689866e+02 
75 233.10 1.29072648e+04 3.87217943e+02 
76 233.91 2.36680598e+04 7.10041794e+02 
77 234.71 4.08367805e+04 1.22510341e+03 
78 235.51 7.54637533e+04 2.26391260e+03 
79 236.32 1.33975472e+05 4.01926417e+03 
80 237.12 2.41758865e+05 7.25276594e+03 
81 237.92 4.33817738e+05 1.30145321e+04 
82 238.73 7.97354733e+05 2.39206420e+04 
83 239.53 1.41374651e+06 4.24123953e+04 
84 240.34 2.54837819e+06 7.64513456e+04 
85 241.14 4.61366262e+06 1.38409879e+05 
86 241.94 7.81003648e+06 2.34301094e+05 
87 242.75 1.34387932e+07 4.03163797e+05 
88 243.55 2.29228249e+07 6.87684747e+05 
89 244.36 3.68310888e+07 1.10493267e+06 
90 245.16 5.89850393e+07 1.76955118e+06 
91 245.97 9.74487319e+07 2.92346196e+06 
92 246.77 1.67110197e+08 5.01330590e+06 
93 247.58 2.11447718e+08 6.34343153e+06 
94 248.38 2.89363634e+08 8.68090902e+06 
95 249.19 4.24445489e+08 1.27333647e+07 
96 249.99 5.26970552e+08 1.58091166e+07 
97 250.80 6.68474609e+08 2.00542383e+07 
98 251.60 8.09132543e+08 2.42739763e+07 
99 252.41 9.41095273e+08 2.82328582e+07 
100 253.21 1.04187332e+09 3.12561995e+07 
101 254.02 1.18507218e+09 3.55521654e+07 
102 254.83 1.25531926e+09 3.76595779e+07 
103 255.63 1.25052439e+09 3.75157317e+07 
104 256.44 1.11001529e+09 3.33004588e+07 
105 257.24 9.75752617e+08 2.92725785e+07 
106 258.05 8.53699310e+08 2.56109793e+07 
107 258.85 7.12535035e+08 2.13760510e+07 
108 259.66 5.51930111e+08 1.65579033e+07 
109 260.46 4.17727296e+08 1.25318189e+07 
110 261.27 2.94460520e+08 8.83381560e+06 
111 262.08 2.11932505e+08 6.35797515e+06 
112 262.88 1.31329695e+08 3.93989086e+06 
113 263.69 8.88566384e+07 2.66569915e+06 
114 264.50 5.72361925e+07 1.71708577e+06 
115 265.30 3.54609198e+07 1.06382759e+06 
116 266.11 2.12201345e+07 6.36604035e+05 
117 266.91 1.20509798e+07 3.61529393e+05 
118 267.72 6.74296604e+06 2.02288981e+05 
119 268.53 3.64291027e+06 1.09287308e+05 
120 269.33 1.99970411e+06 5.99911234e+04 
121 270.14 1.13317588e+06 3.39952764e+04 
122 270.95 6.12788358e+05 1.83836507e+04 
123 271.75 3.41112665e+05 1.02333800e+04 
124 272.56 1.81604528e+05 5.44813583e+03 
125 273.37 9.30220571e+04 2.79066171e+03 
126 274.17 4.89952778e+04 1.46985833e+03 
127 274.98 2.63802913e+04 7.91408740e+02 
128 275.79 1.45067612e+04 4.35202837e+02 
129 276.59 8.50311608e+03 2.55093482e+02 
130 277.40 4.58048720e+03 1.37414616e+02 
131 278.21 2.65133695e+03 7.95401085e+01 
132 279.01 1.52880252e+03 4.58640755e+01 
133 279.82 8.73315995e+02 2.61994799e+01 
134 280.63 5.16409564e+02 1.54922869e+01 
135 281.44 2.97818784e+02 8.93456353e+00 
136 282.24 1.86878063e+02 5.60634190e+00 
137 283.05 1.21737638e+02 3.65212913e+00 
138 283.86 7.94444974e+01 2.38333492e+00 
139 284.66 5.09942494e+01 1.52982748e+00 
140 285.47 3.42997515e+01 1.02899254e+00 
141 286.28 2.42609127e+01 7.27827380e-01 
142 287.09 1.69887342e+01 5.09662025e-01 
143 287.89 1.23750639e+01 3.71251918e-01 
144 288.70 9.24351278e+00 2.77305384e-01 
145 289.51 7.38734078e+00 2.21620223e-01 
146 290.32 5.74399693e+00 1.72319908e-01 
147 291.12 4.43354463e+00 1.33006339e-01 
148 291.93 3.67302223e+00 1.10190667e-01 
149 292.74 2.99057964e+00 8.97173893e-02 
150 293.55 2.41555347e+00 7.24666042e-02 
151 294.35 2.13968714e+00 6.41906141e-02 
152 295.16 1.81084705e+00 5.43254115e-02 
153 295.97 1.63699029e+00 4.91097086e-02 
154 296.78 1.35244608e+00 4.05733823e-02 
155 297.58 1.21101021e+00 3.63303062e-02 
156 298.39 1.12328771e+00 3.36986313e-02 
157 299.20 1.00770427e+00 3.02311281e-02 
158 300.01 9.16421717e-01 2.74926515e-02 
159 300.81 8.68583428e-01 2.60575028e-02 
160 301.62 8.04933481e-01 2.41480044e-02 
161 302.43 7.91435740e-01 2.37430722e-02 
162 303.24 7.19677373e-01 2.15903212e-02 
163 304.05 6.97680689e-01 2.09304207e-02 
164 304.85 6.69126545e-01 2.00737964e-02 
165 305.66 6.61169496e-01 1.98350849e-02 
166 306.47 6.31097767e-01 1.89329330e-02 
167 307.28 6.30027890e-01 1.89008367e-02 
168 308.08 6.12080998e-01 1.83624299e-02 
169 308.89 5.86444087e-01 1.75933226e-02 
170 309.70 5.87619755e-01 1.76285927e-02 
171 310.51 5.81881316e-01 1.74564395e-02 
172 311.32 5.81604702e-01 1.74481411e-02 
173 312.12 5.88488541e-01 1.76546562e-02 
174 312.93 5.76001486e-01 1.72800446e-02 
175 313.74 5.81260208e-01 1.74378062e-02 
176 314.55 5.84277651e-01 1.75283295e-02 
177 315.36 5.81902691e-01 1.74570807e-02 
178 316.16 5.94971583e-01 1.78491475e-02 
179 316.97 6.18603789e-01 1.85581137e-02 
180 317.78 6.10511446e-01 1.83153434e-02 
181 318.59 6.35550088e-01 1.90665026e-02 
182 319.39 6.38391108e-01 1.91517332e-02 
183 320.20 6.45592640e-01 1.93677792e-02 
184 321.01 6.92306382e-01 2.07691914e-02 
185 321.82 7.07248628e-01 2.12174588e-02 
186 322.63 7.18647629e-01 2.15594289e-02 
187 323.43 7.25124967e-01 2.17537490e-02 
188 324.24 7.55694073e-01 2.26708222e-02 
189 325.05 7.95811530e-01 2.38743459e-02 
190 325.86 8.29672968e-01 2.48901890e-02 
191 326.67 8.32897841e-01 2.49869352e-02 
192 327.48 8.80395747e-01 2.64118724e-02 
193 328.28 9.07822728e-01 2.72346818e-02 
194 329.09 9.46872821e-01 2.84061846e-02 
195 329.90 9.75991328e-01 2.92797399e-02 
196 330.71 1.08137738e+00 3.24413213e-02 
197 331.51 1.20909930e+00 3.62729791e-02 
198 332.32 1.41608214e+00 4.24824641e-02 
199 333.13 1.80884612e+00 5.42653835e-02 
200 333.94 2.47886813e+00 7.43660439e-02 
201 334.75 3.57713455e+00 1.07314036e-01 
202 335.56 5.07499056e+00 1.52249717e-01 
203 336.36 7.08310449e+00 2.12493135e-01 
204 337.17 1.01041268e+01 3.03123803e-01 
205 337.98 1.42842548e+01 4.28527645e-01 
206 338.79 1.90804941e+01 5.72414824e-01 
207 339.59 2.43015135e+01 7.29045404e-01 
208 340.40 2.88265221e+01 8.64795664e-01 
209 341.21 3.24812304e+01 9.74436911e-01 
210 342.02 3.67927693e+01 1.10378308e+00 
211 342.83 4.05199879e+01 1.21559964e+00 
212 343.64 4.12161115e+01 1.23648334e+00 
213 344.44 4.24207744e+01 1.27262323e+00 
214 345.25 4.68972291e+01 1.40691687e+00 
215 346.06 5.11107777e+01 1.53332333e+00 
216 346.87 5.37667323e+01 1.61300197e+00 
217 347.67 5.55936836e+01 1.66781051e+00 
218 348.48 5.72566319e+01 1.71769896e+00 
219 349.29 6.05169519e+01 1.81550856e+00 
220 350.10 6.62293275e+01 1.98687982e+00 
221 350.91 7.00948915e+01 2.10284675e+00 
222 351.71 7.01740235e+01 2.10522070e+00 
223 352.52 7.13801143e+01 2.14140343e+00 
224 353.33 7.76608439e+01 2.32982532e+00 
225 354.14 8.54247599e+01 2.56274280e+00 
226 354.94 8.87801150e+01 2.66340345e+00 
227 355.75 8.70871469e+01 2.61261441e+00 
228 356.56 8.18769913e+01 2.45630974e+00 
229 357.37 7.67967556e+01 2.30390267e+00 
230 358.18 7.57495189e+01 2.27248557e+00 
231 358.98 8.49133964e+01 2.54740189e+00 
232 359.79 9.77036957e+01 2.93111087e+00 
233 360.60 9.93355012e+01 2.98006504e+00 
234 361.41 9.78284824e+01 2.93485447e+00 
235 362.21 1.02975272e+02 3.08925817e+00 
236 363.02 1.08971701e+02 3.26915102e+00 
237 363.83 1.12545406e+02 3.37636219e+00 
238 364.64 1.17968985e+02 3.53906955e+00 
239 365.44 1.28369374e+02 3.85108123e+00 
240 366.25 1.37341117e+02 4.12023351e+00 
241 367.06 1.38521748e+02 4.15565243e+00 
242 367.87 1.36369126e+02 4.09107379e+00 
243 368.67 1.38310792e+02 4.14932375e+00 
244 369.48 1.44069181e+02 4.32207543e+00 
245 370.29 1.45417238e+02 4.36251715e+00 
246 371.10 1.43653240e+02 4.30959720e+00 
247 371.90 1.39791583e+02 4.19374749e+00 
248 372.71 1.31989493e+02 3.95968480e+00 
249 373.52 1.24764733e+02 3.74294200e+00 
250 374.33 1.24246801e+02 3.72740402e+00 
251 375.13 1.32842701e+02 3.98528103e+00 
252 375.94 1.44650061e+02 4.33950182e+00 
253 376.75 1.57390258e+02 4.72170773e+00 
254 377.55 1.71781924e+02 5.15345772e+00 
255 378.36 1.75694829e+02 5.27084487e+00 
256 379.17 1.67144129e+02 5.01432387e+00 
257 379.98 1.63327468e+02 4.89982403e+00 
258 380.78 1.62698071e+02 4.88094213e+00 
259 381.59 1.48497570e+02 4.45492709e+00 
260 382.40 1.26813295e+02 3.80439885e+00 
261 383.21 1.16892960e+02 3.50678881e+00 
262 384.01 1.26520136e+02 3.79560409e+00 
263 384.82 1.42820706e+02 4.28462119e+00 
264 385.63 1.50078665e+02 4.50235996e+00 
265 386.43 1.51544575e+02 4.54633725e+00 
266 387.24 1.52762320e+02 4.58286961e+00 
267 388.05 1.55491364e+02 4.66474093e+00 
268 388.85 1.65045286e+02 4.95135857e+00 
269 389.66 1.80398377e+02 5.41195130e+00 
270 390.47 1.92670973e+02 5.78012918e+00 
271 391.27 1.93378552e+02 5.80135655e+00 
272 392.08 1.72735071e+02 5.18205214e+00 
273 392.89 1.41212119e+02 4.23636358e+00 
274 393.69 1.34124946e+02 4.02374838e+00 
