% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160426starsun.mat and recorded on 2016-05-03 14:49:03.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 2.33296225e+06 6.99888675e+04 
2 174.77 2.77710329e+06 8.33130988e+04 
3 175.56 1.84078812e+06 5.52236436e+04 
4 176.36 1.29328990e+08 3.87986970e+06 
5 177.15 1.41216146e+08 4.23648437e+06 
6 177.94 1.54774981e+08 4.64324944e+06 
7 178.74 1.64157991e+08 4.92473972e+06 
8 179.53 1.82775314e+08 5.48325941e+06 
9 180.33 2.08891932e+08 6.26675796e+06 
10 181.12 2.10965012e+08 6.32895037e+06 
11 181.92 1.97623309e+08 5.92869926e+06 
12 182.71 1.05177202e+08 3.15531605e+06 
13 183.51 3.01514048e+07 9.04542144e+05 
14 184.30 1.09551662e+07 3.28654986e+05 
15 185.10 4.67337031e+06 1.40201109e+05 
16 185.89 2.49105769e+06 7.47317308e+04 
17 186.69 1.56614912e+06 4.69844736e+04 
18 187.49 1.14022318e+06 3.42066954e+04 
19 188.28 9.30506814e+05 2.79152044e+04 
20 189.08 7.94500521e+05 2.38350156e+04 
21 189.88 7.56033808e+05 2.26810142e+04 
22 190.67 7.53595726e+05 2.26078718e+04 
23 191.47 8.66513773e+05 2.59954132e+04 
24 192.27 1.06122585e+06 3.18367755e+04 
25 193.07 1.29716292e+06 3.89148875e+04 
26 193.86 1.83718888e+06 5.51156664e+04 
27 194.66 2.75797409e+06 8.27392227e+04 
28 195.46 4.26806624e+06 1.28041987e+05 
29 196.26 6.88650871e+06 2.06595261e+05 
30 197.05 9.06943273e+06 2.72082982e+05 
31 197.85 1.41066743e+07 4.23200229e+05 
32 198.65 2.07716483e+07 6.23149448e+05 
33 199.45 3.07733030e+07 9.23199091e+05 
34 200.25 3.70582271e+07 1.11174681e+06 
35 201.05 5.62043551e+07 1.68613065e+06 
36 201.85 1.13841388e+08 3.41524165e+06 
37 202.64 2.04811045e+08 6.14433136e+06 
38 203.44 1.79984740e+08 5.39954219e+06 
39 204.24 1.21764900e+08 3.65294699e+06 
40 205.04 8.54018473e+07 2.56205542e+06 
41 205.84 5.89890663e+07 1.76967199e+06 
42 206.64 4.03079346e+07 1.20923804e+06 
43 207.44 2.69621695e+07 8.08865084e+05 
44 208.24 1.83489752e+07 5.50469257e+05 
45 209.04 1.21985018e+07 3.65955054e+05 
46 209.84 8.04176366e+06 2.41252910e+05 
47 210.64 5.66958221e+06 1.70087466e+05 
48 211.44 3.84210989e+06 1.15263297e+05 
49 212.24 2.61309581e+06 7.83928744e+04 
50 213.05 1.73459280e+06 5.20377840e+04 
51 213.85 1.17343626e+06 3.52030877e+04 
52 214.65 8.06488473e+05 2.41946542e+04 
53 215.45 5.53774940e+05 1.66132482e+04 
54 216.25 3.81667186e+05 1.14500156e+04 
55 217.05 2.51840823e+05 7.55522468e+03 
56 217.85 1.69725987e+05 5.09177962e+03 
57 218.65 1.17305264e+05 3.51915792e+03 
58 219.46 7.79358796e+04 2.33807639e+03 
59 220.26 5.28284876e+04 1.58485463e+03 
60 221.06 3.69738774e+04 1.10921632e+03 
61 221.86 2.44833828e+04 7.34501485e+02 
62 222.66 1.66149113e+04 4.98447338e+02 
63 223.47 1.12648775e+04 3.37946326e+02 
64 224.27 7.42900980e+03 2.22870294e+02 
65 225.07 5.16703069e+03 1.55010921e+02 
66 225.87 3.44566771e+03 1.03370031e+02 
67 226.68 2.42736255e+03 7.28208765e+01 
68 227.48 1.56604303e+03 4.69812908e+01 
69 228.28 1.14093553e+03 3.42280658e+01 
70 229.09 8.34517446e+02 2.50355234e+01 
71 229.89 7.07518309e+02 2.12255493e+01 
72 230.69 7.15068090e+02 2.14520427e+01 
73 231.49 8.59101217e+02 2.57730365e+01 
74 232.30 1.17390977e+03 3.52172930e+01 
75 233.10 1.72170866e+03 5.16512597e+01 
76 233.91 2.90406734e+03 8.71220203e+01 
77 234.71 4.48466337e+03 1.34539901e+02 
78 235.51 7.33159245e+03 2.19947774e+02 
79 236.32 1.17892565e+04 3.53677695e+02 
80 237.12 1.88957025e+04 5.66871076e+02 
81 237.92 3.04649925e+04 9.13949776e+02 
82 238.73 5.03482497e+04 1.51044749e+03 
83 239.53 7.85222944e+04 2.35566883e+03 
84 240.34 1.26471175e+05 3.79413526e+03 
85 241.14 2.05383129e+05 6.16149388e+03 
86 241.94 3.13487810e+05 9.40463431e+03 
87 242.75 4.86552765e+05 1.45965829e+04 
88 243.55 7.50283923e+05 2.25085177e+04 
89 244.36 1.10153559e+06 3.30460677e+04 
90 245.16 1.59067551e+06 4.77202653e+04 
91 245.97 2.43378886e+06 7.30136657e+04 
92 246.77 3.85193394e+06 1.15558018e+05 
93 247.58 4.52369981e+06 1.35710994e+05 
94 248.38 5.76836724e+06 1.73051017e+05 
95 249.19 7.83038816e+06 2.34911645e+05 
96 249.99 9.38455209e+06 2.81536563e+05 
97 250.80 1.12938297e+07 3.38814892e+05 
98 251.60 1.34214400e+07 4.02643201e+05 
99 252.41 1.50023410e+07 4.50070231e+05 
100 253.21 1.63078609e+07 4.89235826e+05 
101 254.02 1.82431495e+07 5.47294485e+05 
102 254.83 1.92344802e+07 5.77034406e+05 
103 255.63 1.88872838e+07 5.66618514e+05 
104 256.44 1.71197897e+07 5.13593691e+05 
105 257.24 1.57312369e+07 4.71937108e+05 
106 258.05 1.40549412e+07 4.21648235e+05 
107 258.85 1.19150134e+07 3.57450401e+05 
108 259.66 9.89324320e+06 2.96797296e+05 
109 260.46 7.89527985e+06 2.36858396e+05 
110 261.27 5.91068737e+06 1.77320621e+05 
111 262.08 4.55841713e+06 1.36752514e+05 
112 262.88 3.03895029e+06 9.11685088e+04 
113 263.69 2.26474304e+06 6.79422911e+04 
114 264.50 1.57975699e+06 4.73927098e+04 
115 265.30 1.07392198e+06 3.22176595e+04 
116 266.11 7.11152793e+05 2.13345838e+04 
117 266.91 4.48100525e+05 1.34430157e+04 
118 267.72 2.78620270e+05 8.35860810e+03 
119 268.53 1.69127860e+05 5.07383580e+03 
120 269.33 1.05251303e+05 3.15753909e+03 
121 270.14 6.65416031e+04 1.99624809e+03 
122 270.95 4.03898427e+04 1.21169528e+03 
123 271.75 2.52168510e+04 7.56505531e+02 
124 272.56 1.50690928e+04 4.52072785e+02 
125 273.37 8.78345764e+03 2.63503729e+02 
126 274.17 5.23922316e+03 1.57176695e+02 
127 274.98 3.16919086e+03 9.50757258e+01 
128 275.79 1.93775326e+03 5.81325978e+01 
129 276.59 1.26585530e+03 3.79756591e+01 
130 277.40 7.69440996e+02 2.30832299e+01 
131 278.21 4.97438763e+02 1.49231629e+01 
132 279.01 3.16475220e+02 9.49425659e+00 
133 279.82 2.02119648e+02 6.06358944e+00 
134 280.63 1.33123625e+02 3.99370874e+00 
135 281.44 8.56146907e+01 2.56844072e+00 
136 282.24 5.85612581e+01 1.75683774e+00 
137 283.05 4.13089935e+01 1.23926981e+00 
138 283.86 2.95869761e+01 8.87609284e-01 
139 284.66 2.04516032e+01 6.13548095e-01 
140 285.47 1.47656721e+01 4.42970164e-01 
141 286.28 1.11972712e+01 3.35918136e-01 
142 287.09 8.36108874e+00 2.50832662e-01 
143 287.89 6.51716855e+00 1.95515057e-01 
144 288.70 5.12893450e+00 1.53868035e-01 
145 289.51 4.31545260e+00 1.29463578e-01 
146 290.32 3.50688903e+00 1.05206671e-01 
147 291.12 2.86282692e+00 8.58848075e-02 
148 291.93 2.42354830e+00 7.27064490e-02 
149 292.74 2.06799903e+00 6.20399709e-02 
150 293.55 1.75843350e+00 5.27530051e-02 
151 294.35 1.59086794e+00 4.77260381e-02 
152 295.16 1.38559344e+00 4.15678031e-02 
153 295.97 1.28201340e+00 3.84604021e-02 
154 296.78 1.08465886e+00 3.25397659e-02 
155 297.58 9.86407258e-01 2.95922177e-02 
156 298.39 9.39151899e-01 2.81745570e-02 
157 299.20 8.64710091e-01 2.59413027e-02 
158 300.01 7.94559815e-01 2.38367944e-02 
159 300.81 7.69357427e-01 2.30807228e-02 
160 301.62 7.22878021e-01 2.16863406e-02 
161 302.43 7.12042680e-01 2.13612804e-02 
162 303.24 6.58678162e-01 1.97603449e-02 
163 304.05 6.41391174e-01 1.92417352e-02 
164 304.85 6.20567665e-01 1.86170300e-02 
165 305.66 6.26393081e-01 1.87917924e-02 
166 306.47 5.95011349e-01 1.78503405e-02 
167 307.28 5.92364947e-01 1.77709484e-02 
168 308.08 5.82694847e-01 1.74808454e-02 
169 308.89 5.64491221e-01 1.69347366e-02 
170 309.70 5.69488963e-01 1.70846689e-02 
171 310.51 5.63663748e-01 1.69099124e-02 
172 311.32 5.64959971e-01 1.69487991e-02 
173 312.12 5.73879270e-01 1.72163781e-02 
174 312.93 5.68614936e-01 1.70584481e-02 
175 313.74 5.74299075e-01 1.72289723e-02 
176 314.55 5.67533576e-01 1.70260073e-02 
177 315.36 5.76114502e-01 1.72834351e-02 
178 316.16 5.85283495e-01 1.75585048e-02 
179 316.97 6.12358665e-01 1.83707600e-02 
180 317.78 6.06400755e-01 1.81920226e-02 
181 318.59 6.28538210e-01 1.88561463e-02 
182 319.39 6.37795915e-01 1.91338774e-02 
183 320.20 6.45129891e-01 1.93538967e-02 
184 321.01 6.87223210e-01 2.06166963e-02 
185 321.82 6.99941184e-01 2.09982355e-02 
186 322.63 7.17677877e-01 2.15303363e-02 
187 323.43 7.23015644e-01 2.16904693e-02 
188 324.24 7.49867546e-01 2.24960264e-02 
189 325.05 7.99267284e-01 2.39780185e-02 
190 325.86 8.24670041e-01 2.47401012e-02 
191 326.67 8.34697569e-01 2.50409271e-02 
192 327.48 8.79933410e-01 2.63980023e-02 
193 328.28 9.08266364e-01 2.72479909e-02 
194 329.09 9.47564197e-01 2.84269259e-02 
195 329.90 9.76460840e-01 2.92938252e-02 
196 330.71 1.08587522e+00 3.25762567e-02 
197 331.51 1.20879432e+00 3.62638295e-02 
198 332.32 1.41784162e+00 4.25352487e-02 
199 333.13 1.80204897e+00 5.40614690e-02 
200 333.94 2.48157442e+00 7.44472325e-02 
201 334.75 3.58214293e+00 1.07464288e-01 
202 335.56 5.07549736e+00 1.52264921e-01 
203 336.36 7.08516329e+00 2.12554899e-01 
204 337.17 1.01230976e+01 3.03692929e-01 
205 337.98 1.43033202e+01 4.29099607e-01 
206 338.79 1.91065536e+01 5.73196607e-01 
207 339.59 2.43508506e+01 7.30525517e-01 
208 340.40 2.88916397e+01 8.66749191e-01 
