% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-14 01:10:09.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, infl-ig-ht. See the list of files below
% 20160825_NIR_C0_refined_Langley_ORACLES_transit2.dat
% 20160824_NIR_C0_refined_langley_4STAR.dat
Pix Wavelength C0 C0err
511 949.79 4.74572921e+00 1.07607917e+00 
510 949.79 4.94080734e+00 1.01602092e+00 
509 951.68 5.31855448e+00 1.04290534e+00 
508 953.57 5.39041285e+00 9.93502437e-01 
507 955.46 5.86174040e+00 1.00802287e+00 
506 957.34 5.98144349e+00 9.55082780e-01 
505 959.22 6.48455931e+00 9.02531622e-01 
504 961.10 6.62229448e+00 7.98665994e-01 
503 962.98 7.10413357e+00 7.11611391e-01 
502 964.85 7.17428199e+00 5.65776465e-01 
501 966.72 7.75012886e+00 4.53753137e-01 
500 968.59 7.84575563e+00 3.21302696e-01 
499 970.45 8.25776983e+00 2.90898568e-01 
498 972.32 8.18249241e+00 3.34690695e-01 
497 974.18 8.50563002e+00 3.58340610e-01 
496 976.04 8.44886670e+00 3.15755889e-01 
495 977.89 8.82960582e+00 2.38496878e-01 
494 979.74 8.79519253e+00 1.31147229e-01 
493 981.59 9.12986586e+00 4.53449194e-02 
492 983.44 9.06275212e+00 3.82108554e-02 
491 985.29 9.32236145e+00 7.19146830e-02 
490 987.13 9.15550295e+00 1.17647479e-01 
489 988.97 9.40240709e+00 1.38775179e-01 
488 990.81 9.21275836e+00 1.37471140e-01 
487 992.65 9.41001815e+00 1.69164373e-01 
486 994.48 9.20633373e+00 1.52720498e-01 
485 996.31 9.35973483e+00 1.36812972e-01 
484 998.14 9.10604366e+00 1.46293619e-01 
483 999.97 9.25970434e+00 1.51252905e-01 
482 1001.79 8.98094741e+00 1.45416856e-01 
481 1003.62 9.03483437e+00 1.35345364e-01 
480 1005.44 8.83344536e+00 1.53609006e-01 
479 1007.25 9.06938086e+00 1.58608223e-01 
478 1009.07 8.86285890e+00 1.58516476e-01 
477 1010.88 9.03958781e+00 1.45211979e-01 
476 1012.69 8.76718290e+00 1.56046418e-01 
475 1014.50 8.88462503e+00 1.45444292e-01 
474 1016.31 8.65836545e+00 1.25231821e-01 
473 1018.11 8.81732008e+00 1.37534638e-01 
472 1019.91 8.56753192e+00 1.42508476e-01 
471 1021.71 8.73741294e+00 1.46106596e-01 
470 1023.51 8.50948538e+00 1.46312089e-01 
469 1025.30 8.67020328e+00 1.40866143e-01 
468 1027.09 8.55851016e+00 1.41542809e-01 
467 1028.88 8.71823275e+00 1.55974872e-01 
466 1030.67 8.56449202e+00 1.53382442e-01 
465 1032.46 8.74561993e+00 1.73356179e-01 
464 1034.24 8.57382228e+00 1.42801254e-01 
463 1036.02 8.77443724e+00 1.48202758e-01 
462 1037.80 8.64893984e+00 1.65816172e-01 
461 1039.58 8.86784555e+00 1.70561863e-01 
460 1041.35 8.70422363e+00 1.78422126e-01 
459 1043.12 8.85844576e+00 1.73735896e-01 
458 1044.89 8.78698015e+00 1.83822979e-01 
457 1046.66 9.01094221e+00 1.84097782e-01 
456 1048.43 8.93885889e+00 1.77463317e-01 
455 1050.19 9.16295686e+00 1.67793483e-01 
454 1051.95 9.04628401e+00 1.76371686e-01 
453 1053.71 9.30425104e+00 1.81587044e-01 
452 1055.47 9.13940222e+00 1.79584920e-01 
451 1057.23 9.25839353e+00 1.58287048e-01 
450 1058.98 9.10823050e+00 1.46123595e-01 
449 1060.73 9.27768435e+00 1.50463392e-01 
448 1062.48 9.07197381e+00 1.32003903e-01 
447 1064.23 9.20654076e+00 1.31843857e-01 
446 1065.97 8.91624731e+00 1.37978743e-01 
445 1067.71 8.96710614e+00 1.48685606e-01 
444 1069.46 8.76264056e+00 1.52027286e-01 
443 1071.19 8.87363640e+00 1.44854119e-01 
442 1072.93 8.73229551e+00 1.51272117e-01 
441 1074.67 8.79347994e+00 1.25458668e-01 
440 1076.40 8.57954032e+00 1.12786219e-01 
439 1078.13 8.60794197e+00 1.03597140e-01 
438 1079.86 8.34979505e+00 6.95312594e-02 
437 1081.58 8.41948222e+00 6.82698091e-02 
436 1083.31 8.29784236e+00 5.14537492e-02 
435 1085.03 8.47191587e+00 3.38366293e-02 
434 1086.75 8.39462223e+00 9.62782451e-03 
433 1088.47 8.54924983e+00 8.13104916e-03 
432 1090.19 8.43756206e+00 2.28416704e-02 
431 1091.90 8.53926405e+00 4.66371288e-02 
430 1093.61 8.39455784e+00 5.23253220e-02 
429 1095.33 8.59467770e+00 7.98130021e-02 
428 1097.03 8.58251587e+00 1.59127833e-01 
427 1098.74 8.79219345e+00 2.53830630e-01 
426 1100.45 8.79838983e+00 3.12455043e-01 
425 1102.15 9.05302235e+00 3.77889262e-01 
424 1103.85 9.05321344e+00 4.12272160e-01 
423 1105.55 9.28881100e+00 4.94738297e-01 
422 1107.25 9.16290143e+00 6.22468525e-01 
421 1108.94 9.22085338e+00 8.08730655e-01 
420 1110.64 8.88858628e+00 1.10732818e+00 
419 1112.33 8.65568295e+00 1.59396805e+00 
418 1114.02 8.04582942e+00 2.09867249e+00 
417 1115.70 7.84503680e+00 2.43918284e+00 
416 1117.39 7.48581998e+00 2.64577977e+00 
415 1119.07 7.36995890e+00 2.83473300e+00 
414 1120.76 7.17525204e+00 2.92305129e+00 
413 1122.44 7.13741416e+00 3.12094944e+00 
412 1124.12 7.08298986e+00 3.08795821e+00 
