% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20160825starsun.mat and recorded on 2016-09-05 06:05:42.
% Modified Langley processed for 0.8823-0.9945 micron region
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 3.27585191e+02 -1.00000000e+00 
2 174.77 3.60326132e+02 -1.00000000e+00 
3 175.56 1.24615985e+03 -1.00000000e+00 
4 176.36 3.85673439e+04 -1.00000000e+00 
5 177.15 4.70606940e+04 -1.00000000e+00 
6 177.94 5.58547077e+04 -1.00000000e+00 
7 178.74 6.48868920e+04 -1.00000000e+00 
8 179.53 7.22956942e+04 -1.00000000e+00 
9 180.33 8.20010841e+04 -1.00000000e+00 
10 181.12 9.53586753e+04 -1.00000000e+00 
11 181.92 1.11759778e+05 -1.00000000e+00 
12 182.71 1.33221191e+05 -1.00000000e+00 
13 183.51 1.54379978e+05 -1.00000000e+00 
14 184.30 1.85299623e+05 -1.00000000e+00 
15 185.10 2.20504463e+05 -1.00000000e+00 
16 185.89 2.68381291e+05 -1.00000000e+00 
17 186.69 3.18398668e+05 -1.00000000e+00 
18 187.49 3.61388279e+05 -1.00000000e+00 
19 188.28 4.43364189e+05 -1.00000000e+00 
20 189.08 5.48133816e+05 -1.00000000e+00 
21 189.88 6.69687124e+05 -1.00000000e+00 
22 190.67 8.72462830e+05 -1.00000000e+00 
23 191.47 1.07682398e+06 -1.00000000e+00 
24 192.27 1.29127942e+06 -1.00000000e+00 
25 193.07 1.66334105e+06 -1.00000000e+00 
26 193.86 2.12803134e+06 -1.00000000e+00 
27 194.66 2.72994648e+06 -1.00000000e+00 
28 195.46 3.53455687e+06 -1.00000000e+00 
29 196.26 4.69553902e+06 -1.00000000e+00 
30 197.05 6.34074057e+06 -1.00000000e+00 
31 197.85 8.76970888e+06 -1.00000000e+00 
32 198.65 1.19619089e+07 -1.00000000e+00 
33 199.45 1.69098656e+07 -1.00000000e+00 
34 200.25 2.46728567e+07 -1.00000000e+00 
35 201.05 2.98273513e+07 -1.00000000e+00 
36 201.85 3.44703459e+07 -1.00000000e+00 
37 202.64 3.20158678e+07 -1.00000000e+00 
38 203.44 4.18538106e+07 -1.00000000e+00 
39 204.24 3.33465179e+07 -1.00000000e+00 
40 205.04 2.32081122e+07 -1.00000000e+00 
41 205.84 1.61062572e+07 -1.00000000e+00 
42 206.64 1.13459186e+07 -1.00000000e+00 
43 207.44 7.80836243e+06 -1.00000000e+00 
44 208.24 5.43617481e+06 -1.00000000e+00 
45 209.04 3.81291788e+06 -1.00000000e+00 
46 209.84 2.65831331e+06 -1.00000000e+00 
47 210.64 1.85022303e+06 -1.00000000e+00 
48 211.44 1.30451694e+06 -1.00000000e+00 
49 212.24 8.85390413e+05 -1.00000000e+00 
50 213.05 6.19310201e+05 -1.00000000e+00 
51 213.85 4.42686564e+05 -1.00000000e+00 
52 214.65 3.03105294e+05 -1.00000000e+00 
53 215.45 2.09840286e+05 -1.00000000e+00 
54 216.25 1.45724690e+05 -1.00000000e+00 
55 217.05 1.02728105e+05 -1.00000000e+00 
56 217.85 7.07809484e+04 -1.00000000e+00 
57 218.65 4.90242973e+04 -1.00000000e+00 
58 219.46 3.50161252e+04 -1.00000000e+00 
59 220.26 2.44357972e+04 -1.00000000e+00 
60 221.06 1.68252771e+04 -1.00000000e+00 
61 221.86 1.15778621e+04 -1.00000000e+00 
62 222.66 8.28814195e+03 -1.00000000e+00 
63 223.47 5.76707430e+03 -1.00000000e+00 
64 224.27 4.00093265e+03 -1.00000000e+00 
65 225.07 2.78537740e+03 -1.00000000e+00 
66 225.87 1.95088277e+03 -1.00000000e+00 
67 226.68 1.35552267e+03 -1.00000000e+00 
68 227.48 9.32473911e+02 -1.00000000e+00 
69 228.28 6.88161842e+02 -1.00000000e+00 
70 229.09 5.32193450e+02 -1.00000000e+00 
71 229.89 4.47448972e+02 -1.00000000e+00 
72 230.69 4.44272866e+02 -1.00000000e+00 
73 231.49 5.18615189e+02 -1.00000000e+00 
74 232.30 7.00794561e+02 -1.00000000e+00 
75 233.10 1.00607188e+03 -1.00000000e+00 
76 233.91 1.48897424e+03 -1.00000000e+00 
77 234.71 2.29329742e+03 -1.00000000e+00 
78 235.51 3.49528085e+03 -1.00000000e+00 
79 236.32 5.32755238e+03 -1.00000000e+00 
80 237.12 8.24694543e+03 -1.00000000e+00 
81 237.92 1.26672537e+04 -1.00000000e+00 
82 238.73 1.96541588e+04 -1.00000000e+00 
83 239.53 3.04958720e+04 -1.00000000e+00 
84 240.34 4.70535711e+04 -1.00000000e+00 
85 241.14 7.00059553e+04 -1.00000000e+00 
86 241.94 1.06952516e+05 -1.00000000e+00 
87 242.75 1.55033541e+05 -1.00000000e+00 
88 243.55 2.28437112e+05 -1.00000000e+00 
89 244.36 3.33746854e+05 -1.00000000e+00 
90 245.16 4.66228610e+05 -1.00000000e+00 
91 245.97 6.44142956e+05 -1.00000000e+00 
92 246.77 8.54108408e+05 -1.00000000e+00 
93 247.58 1.12586773e+06 -1.00000000e+00 
94 248.38 1.43964251e+06 -1.00000000e+00 
95 249.19 1.87919847e+06 -1.00000000e+00 
96 249.99 2.27519558e+06 -1.00000000e+00 
97 250.80 2.65498404e+06 -1.00000000e+00 
98 251.60 3.01363096e+06 -1.00000000e+00 
99 252.41 3.35199402e+06 -1.00000000e+00 
100 253.21 3.72046890e+06 -1.00000000e+00 
101 254.02 3.90672574e+06 -1.00000000e+00 
102 254.83 4.08064733e+06 -1.00000000e+00 
103 255.63 4.06117579e+06 -1.00000000e+00 
104 256.44 3.78598217e+06 -1.00000000e+00 
105 257.24 3.38713867e+06 -1.00000000e+00 
106 258.05 3.10619533e+06 -1.00000000e+00 
107 258.85 2.76572929e+06 -1.00000000e+00 
108 259.66 2.26928531e+06 -1.00000000e+00 
109 260.46 1.80860647e+06 -1.00000000e+00 
110 261.27 1.40347897e+06 -1.00000000e+00 
111 262.08 1.07493022e+06 -1.00000000e+00 
112 262.88 7.87935118e+05 -1.00000000e+00 
113 263.69 5.80540124e+05 -1.00000000e+00 
114 264.50 4.10545675e+05 -1.00000000e+00 
115 265.30 2.93390193e+05 -1.00000000e+00 
116 266.11 2.00231574e+05 -1.00000000e+00 
117 266.91 1.34240546e+05 -1.00000000e+00 
118 267.72 8.59920180e+04 -1.00000000e+00 
119 268.53 5.55416271e+04 -1.00000000e+00 
120 269.33 3.53958520e+04 -1.00000000e+00 
121 270.14 2.28128672e+04 -1.00000000e+00 
122 270.95 1.50762330e+04 -1.00000000e+00 
123 271.75 9.40074630e+03 -1.00000000e+00 
124 272.56 6.03067934e+03 -1.00000000e+00 
125 273.37 3.73386845e+03 -1.00000000e+00 
126 274.17 2.29927676e+03 -1.00000000e+00 
