% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 20160825starsun.mat and recorded on 2016-10-21 17:31:38.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 3.12194893e+01 9.36584678e-01 
2 174.77 2.16100988e+01 6.48302965e-01 
3 175.56 1.46661725e+02 4.39985176e+00 
4 176.36 5.90780443e+03 1.77234133e+02 
5 177.15 7.12618111e+03 2.13785433e+02 
6 177.94 8.24071096e+03 2.47221329e+02 
7 178.74 9.44596989e+03 2.83379097e+02 
8 179.53 1.04469435e+04 3.13408305e+02 
9 180.33 1.15573793e+04 3.46721380e+02 
10 181.12 1.28293642e+04 3.84880926e+02 
11 181.92 1.41908692e+04 4.25726077e+02 
12 182.71 1.65702592e+04 4.97107777e+02 
13 183.51 1.89690916e+04 5.69072748e+02 
14 184.30 2.15538674e+04 6.46616021e+02 
15 185.10 2.42991431e+04 7.28974294e+02 
16 185.89 2.84616663e+04 8.53849988e+02 
17 186.69 3.32563672e+04 9.97691016e+02 
18 187.49 3.76320187e+04 1.12896056e+03 
19 188.28 4.50652984e+04 1.35195895e+03 
20 189.08 4.94705116e+04 1.48411535e+03 
21 189.88 5.56647077e+04 1.66994123e+03 
22 190.67 6.70320495e+04 2.01096148e+03 
23 191.47 8.01312355e+04 2.40393706e+03 
24 192.27 9.39720545e+04 2.81916163e+03 
25 193.07 1.14274661e+05 3.42823984e+03 
26 193.86 1.30159689e+05 3.90479066e+03 
27 194.66 1.63799055e+05 4.91397164e+03 
28 195.46 2.06850890e+05 6.20552670e+03 
29 196.26 2.47951287e+05 7.43853862e+03 
30 197.05 3.15605145e+05 9.46815436e+03 
31 197.85 4.10055400e+05 1.23016620e+04 
32 198.65 5.38719866e+05 1.61615960e+04 
33 199.45 7.16744007e+05 2.15023202e+04 
34 200.25 9.54688903e+05 2.86406671e+04 
35 201.05 1.27809388e+06 3.83428165e+04 
36 201.85 1.73220345e+06 5.19661034e+04 
37 202.64 1.82954869e+06 5.48864606e+04 
38 203.44 1.64561600e+06 4.93684801e+04 
39 204.24 1.72613611e+06 5.17840834e+04 
40 205.04 1.47550432e+06 4.42651297e+04 
41 205.84 1.08417808e+06 3.25253425e+04 
42 206.64 8.03481252e+05 2.41044376e+04 
43 207.44 5.89129353e+05 1.76738806e+04 
44 208.24 4.35703647e+05 1.30711094e+04 
45 209.04 3.20274348e+05 9.60823043e+03 
46 209.84 2.37869068e+05 7.13607204e+03 
47 210.64 1.74571352e+05 5.23714055e+03 
48 211.44 1.29475791e+05 3.88427374e+03 
49 212.24 9.29348893e+04 2.78804668e+03 
50 213.05 6.88326125e+04 2.06497838e+03 
51 213.85 5.24526966e+04 1.57358090e+03 
52 214.65 3.76186186e+04 1.12855856e+03 
53 215.45 2.74552482e+04 8.23657447e+02 
54 216.25 2.01756717e+04 6.05270151e+02 
55 217.05 1.50509482e+04 4.51528445e+02 
56 217.85 1.09887043e+04 3.29661128e+02 
57 218.65 8.03444170e+03 2.41033251e+02 
58 219.46 6.05884938e+03 1.81765481e+02 
59 220.26 4.44727960e+03 1.33418388e+02 
60 221.06 3.25773909e+03 9.77321728e+01 
61 221.86 2.36337755e+03 7.09013264e+01 
62 222.66 1.79034579e+03 5.37103738e+01 
63 223.47 1.30625454e+03 3.91876361e+01 
64 224.27 9.60509920e+02 2.88152976e+01 
65 225.07 7.14153319e+02 2.14245996e+01 
66 225.87 5.23076389e+02 1.56922917e+01 
67 226.68 3.83430184e+02 1.15029055e+01 
68 227.48 2.80249675e+02 8.40749026e+00 
69 228.28 2.16791601e+02 6.50374802e+00 
70 229.09 1.73346909e+02 5.20040728e+00 
71 229.89 1.50713096e+02 4.52139287e+00 
72 230.69 1.49246283e+02 4.47738850e+00 
73 231.49 1.71331010e+02 5.13993029e+00 
74 232.30 2.21809656e+02 6.65428968e+00 
75 233.10 2.96895802e+02 8.90687406e+00 
76 233.91 4.17419752e+02 1.25225926e+01 
77 234.71 5.97682502e+02 1.79304750e+01 
78 235.51 8.56751605e+02 2.57025482e+01 
79 236.32 1.22986101e+03 3.68958303e+01 
80 237.12 1.75862429e+03 5.27587288e+01 
81 237.92 2.54547690e+03 7.63643071e+01 
82 238.73 3.66549876e+03 1.09964963e+02 
83 239.53 5.32164141e+03 1.59649242e+02 
84 240.34 7.68752109e+03 2.30625633e+02 
85 241.14 1.08155197e+04 3.24465591e+02 
86 241.94 1.55307331e+04 4.65921993e+02 
87 242.75 2.10710141e+04 6.32130424e+02 
88 243.55 2.92954574e+04 8.78863722e+02 
89 244.36 4.04063671e+04 1.21219101e+03 
90 245.16 5.37825736e+04 1.61347721e+03 
91 245.97 7.07912954e+04 2.12373886e+03 
92 246.77 8.93928922e+04 2.68178677e+03 
93 247.58 1.13156197e+05 3.39468592e+03 
94 248.38 1.38069619e+05 4.14208858e+03 
95 249.19 1.73957913e+05 5.21873738e+03 
96 249.99 2.04813236e+05 6.14439708e+03 
97 250.80 2.32807012e+05 6.98421037e+03 
98 251.60 2.60656936e+05 7.81970809e+03 
99 252.41 2.82584244e+05 8.47752732e+03 
100 253.21 3.10498771e+05 9.31496314e+03 
101 254.02 3.20583755e+05 9.61751266e+03 
102 254.83 3.36672596e+05 1.01001779e+04 
103 255.63 3.35413244e+05 1.00623973e+04 
104 256.44 3.15621670e+05 9.46865011e+03 
105 257.24 2.87719679e+05 8.63159038e+03 
106 258.05 2.66041118e+05 7.98123355e+03 
107 258.85 2.41461997e+05 7.24385990e+03 
108 259.66 2.04367701e+05 6.13103103e+03 
109 260.46 1.69059475e+05 5.07178425e+03 
110 261.27 1.36148581e+05 4.08445742e+03 
111 262.08 1.08888740e+05 3.26666221e+03 
112 262.88 8.27563783e+04 2.48269135e+03 
113 263.69 6.45636288e+04 1.93690886e+03 
114 264.50 4.85122693e+04 1.45536808e+03 
115 265.30 3.62198948e+04 1.08659685e+03 
116 266.11 2.64301355e+04 7.92904066e+02 
117 266.91 1.87343769e+04 5.62031307e+02 
118 267.72 1.28570030e+04 3.85710090e+02 
119 268.53 8.89691946e+03 2.66907584e+02 
120 269.33 6.10226443e+03 1.83067933e+02 
121 270.14 4.22717085e+03 1.26815125e+02 
122 270.95 2.94416762e+03 8.83250287e+01 
123 271.75 1.97622727e+03 5.92868180e+01 
124 272.56 1.35354522e+03 4.06063565e+01 
125 273.37 9.09282542e+02 2.72784763e+01 
126 274.17 6.05055926e+02 1.81516778e+01 
127 274.98 4.11852878e+02 1.23555864e+01 
128 275.79 2.83830245e+02 8.51490734e+00 
129 276.59 1.97314784e+02 5.91944351e+00 
130 277.40 1.38638370e+02 4.15915109e+00 
131 278.21 9.69924055e+01 2.90977217e+00 
132 279.01 6.80309642e+01 2.04092893e+00 
133 279.82 4.76433778e+01 1.42930133e+00 
134 280.63 3.44731942e+01 1.03419583e+00 
135 281.44 2.53276590e+01 7.59829770e-01 
136 282.24 1.83445521e+01 5.50336562e-01 
137 283.05 1.40980101e+01 4.22940302e-01 
138 283.86 1.08380425e+01 3.25141274e-01 
139 284.66 8.39708960e+00 2.51912688e-01 
140 285.47 6.62696538e+00 1.98808961e-01 
141 286.28 5.32988155e+00 1.59896447e-01 
142 287.09 4.35292739e+00 1.30587822e-01 
143 287.89 3.52697471e+00 1.05809241e-01 
144 288.70 2.92228598e+00 8.76685795e-02 
145 289.51 2.46286765e+00 7.38860296e-02 
146 290.32 2.12059885e+00 6.36179654e-02 
147 291.12 1.86114536e+00 5.58343609e-02 
148 291.93 1.61207042e+00 4.83621125e-02 
149 292.74 1.38246632e+00 4.14739895e-02 
150 293.55 1.27207469e+00 3.81622408e-02 
151 294.35 1.14878159e+00 3.44634477e-02 
152 295.16 1.03758859e+00 3.11276576e-02 
153 295.97 9.65745430e-01 2.89723629e-02 
154 296.78 8.73475605e-01 2.62042681e-02 
155 297.58 8.10922424e-01 2.43276727e-02 
156 298.39 7.63931781e-01 2.29179534e-02 
157 299.20 7.16574187e-01 2.14972256e-02 
158 300.01 6.87726006e-01 2.06317802e-02 
159 300.81 6.47782146e-01 1.94334644e-02 
160 301.62 6.28287015e-01 1.88486104e-02 
161 302.43 5.97520587e-01 1.79256176e-02 
162 303.24 5.89962098e-01 1.76988629e-02 
163 304.05 5.78995747e-01 1.73698724e-02 
164 304.85 5.65862663e-01 1.69758799e-02 
165 305.66 5.49785960e-01 1.64935788e-02 
166 306.47 5.44643426e-01 1.63393028e-02 
167 307.28 5.37157791e-01 1.61147337e-02 
168 308.08 5.31050334e-01 1.59315100e-02 
169 308.89 5.35608373e-01 1.60682512e-02 
170 309.70 5.10152853e-01 1.53045856e-02 
171 310.51 5.13633749e-01 1.54090125e-02 
172 311.32 5.10945247e-01 1.53283574e-02 
173 312.12 5.09314045e-01 1.52794213e-02 
174 312.93 5.20741942e-01 1.56222582e-02 
175 313.74 5.27229838e-01 1.58168951e-02 
176 314.55 5.25143114e-01 1.57542934e-02 
177 315.36 5.20988606e-01 1.56296582e-02 
178 316.16 5.32163519e-01 1.59649056e-02 
179 316.97 5.34133447e-01 1.60240034e-02 
180 317.78 5.54032777e-01 1.66209833e-02 
181 318.59 5.61738142e-01 1.68521443e-02 
182 319.39 5.74003916e-01 1.72201175e-02 
183 320.20 5.86246369e-01 1.75873911e-02 
184 321.01 6.00651580e-01 1.80195474e-02 
185 321.82 6.21560119e-01 1.86468036e-02 
186 322.63 6.45264007e-01 1.93579202e-02 
187 323.43 6.58121601e-01 1.97436480e-02 
188 324.24 6.77483387e-01 2.03245016e-02 
189 325.05 6.98565814e-01 2.09569744e-02 
190 325.86 7.14796636e-01 2.14438991e-02 
191 326.67 7.48172868e-01 2.24451860e-02 
192 327.48 7.73234261e-01 2.31970278e-02 
193 328.28 8.20957600e-01 2.46287280e-02 
194 329.09 8.42980451e-01 2.52894135e-02 
195 329.90 8.80008433e-01 2.64002530e-02 
196 330.71 9.39810771e-01 2.81943231e-02 
197 331.51 1.02788605e+00 3.08365814e-02 
198 332.32 1.17700189e+00 3.53100567e-02 
199 333.13 1.46748283e+00 4.40244848e-02 
200 333.94 1.98631257e+00 5.95893771e-02 
201 334.75 2.81546204e+00 8.44638612e-02 
202 335.56 3.97094276e+00 1.19128283e-01 
203 336.36 5.52299586e+00 1.65689876e-01 
204 337.17 7.99486053e+00 2.39845816e-01 
205 337.98 1.14008871e+01 3.42026614e-01 
206 338.79 1.54241345e+01 4.62724035e-01 
207 339.59 1.98827374e+01 5.96482123e-01 
208 340.40 2.37981973e+01 7.13945919e-01 
209 341.21 2.70078769e+01 8.10236307e-01 
210 342.02 3.08194527e+01 9.24583581e-01 
211 342.83 3.41974183e+01 1.02592255e+00 
212 343.64 3.50161536e+01 1.05048461e+00 
213 344.44 3.61092755e+01 1.08327827e+00 
214 345.25 4.00268369e+01 1.20080511e+00 
215 346.06 4.37835878e+01 1.31350763e+00 
216 346.87 4.62135894e+01 1.38640768e+00 
217 347.67 4.78757664e+01 1.43627299e+00 
218 348.48 4.94374622e+01 1.48312387e+00 
219 349.29 5.22846606e+01 1.56853982e+00 
220 350.10 5.73177236e+01 1.71953171e+00 
221 350.91 6.08406385e+01 1.82521915e+00 
222 351.71 6.10065528e+01 1.83019658e+00 
223 352.52 6.20040278e+01 1.86012083e+00 
224 353.33 6.73606197e+01 2.02081859e+00 
225 354.14 7.42335257e+01 2.22700577e+00 
226 354.94 7.73570457e+01 2.32071137e+00 
227 355.75 7.59854563e+01 2.27956369e+00 
228 356.56 7.15495995e+01 2.14648799e+00 
229 357.37 6.71470467e+01 2.01441140e+00 
230 358.18 6.60807302e+01 1.98242190e+00 
231 358.98 7.38946260e+01 2.21683878e+00 
232 359.79 8.53156918e+01 2.55947076e+00 
233 360.60 8.69937461e+01 2.60981238e+00 
234 361.41 8.55133186e+01 2.56539956e+00 
235 362.21 9.00003747e+01 2.70001124e+00 
236 363.02 9.53347421e+01 2.86004226e+00 
237 363.83 9.84934043e+01 2.95480213e+00 
