% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-15 00:12:39.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20160825_NIR_C0_refined_Langley_ORACLES_transit2.dat
% 20160902_NIR_C0_refined_high_alt_low_m.dat
% 20160904_NIR_C0_refined_high_alt_low_m.dat
% 20160831_NIR_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
511 949.79 5.42891961e+00 8.53300871e-02 
510 949.79 5.58705425e+00 8.61986232e-02 
509 951.68 5.98930840e+00 7.56312537e-02 
508 953.57 6.03685191e+00 6.84380119e-02 
507 955.46 6.51703694e+00 6.19327544e-02 
506 957.34 6.61112230e+00 5.62235721e-02 
505 959.22 7.08511270e+00 4.82697197e-02 
504 961.10 7.15673962e+00 3.79660016e-02 
503 962.98 7.59197377e+00 2.68763461e-02 
502 964.85 7.56968625e+00 1.85770254e-02 
501 966.72 8.08265513e+00 2.04645783e-02 
500 968.59 8.09046188e+00 2.50471863e-02 
499 970.45 8.48847616e+00 3.05869699e-02 
498 972.32 8.43219812e+00 2.23619981e-02 
497 974.18 8.76447797e+00 1.81305252e-02 
496 976.04 8.67435162e+00 2.47196032e-02 
495 977.89 9.01495683e+00 3.36963196e-02 
494 979.74 8.90416779e+00 3.78738434e-02 
493 981.59 9.19232117e+00 4.91304479e-02 
492 983.44 9.06243032e+00 5.31224061e-02 
491 985.29 9.31506538e+00 5.87059032e-02 
490 987.13 9.10914023e+00 6.11640362e-02 
489 988.97 9.34607573e+00 6.52452906e-02 
488 990.81 9.15057054e+00 6.49534914e-02 
487 992.65 9.33499560e+00 6.95338301e-02 
486 994.48 9.13290791e+00 6.85054178e-02 
485 996.31 9.29029408e+00 6.53352936e-02 
484 998.14 9.03615872e+00 6.25394080e-02 
483 999.97 9.18217337e+00 6.92854089e-02 
482 1001.79 8.90219136e+00 6.42478652e-02 
481 1003.62 8.97887634e+00 6.69041795e-02 
480 1005.44 8.75640621e+00 6.83120223e-02 
479 1007.25 8.99543458e+00 6.88988717e-02 
478 1009.07 8.77349097e+00 6.91768504e-02 
477 1010.88 8.95055476e+00 6.52676831e-02 
476 1012.69 8.67101745e+00 6.51776031e-02 
475 1014.50 8.79905037e+00 6.72235449e-02 
474 1016.31 8.57978187e+00 6.64814177e-02 
473 1018.11 8.72698652e+00 7.07187094e-02 
472 1019.91 8.47156422e+00 6.47093053e-02 
471 1021.71 8.63606548e+00 7.04971759e-02 
470 1023.51 8.40862185e+00 6.37418905e-02 
469 1025.30 8.58339027e+00 6.81745879e-02 
468 1027.09 8.47109692e+00 6.86528108e-02 
467 1028.88 8.62149888e+00 7.35680423e-02 
466 1030.67 8.46796503e+00 7.00121326e-02 
465 1032.46 8.64639052e+00 7.28253514e-02 
464 1034.24 8.48932232e+00 7.81924595e-02 
463 1036.02 8.68995871e+00 7.66665195e-02 
462 1037.80 8.55350243e+00 7.54109732e-02 
461 1039.58 8.76507617e+00 8.41151519e-02 
460 1041.35 8.60506892e+00 7.83091589e-02 
459 1043.12 8.76591355e+00 8.38076245e-02 
458 1044.89 8.68028641e+00 7.95211712e-02 
457 1046.66 8.91453874e+00 8.74313505e-02 
456 1048.43 8.85197468e+00 8.13496248e-02 
455 1050.19 9.08250101e+00 8.06483228e-02 
454 1051.95 8.94423475e+00 7.67831022e-02 
453 1053.71 9.20442359e+00 8.27522536e-02 
452 1055.47 9.03764526e+00 7.98375890e-02 
451 1057.23 9.17622888e+00 7.91265360e-02 
450 1058.98 9.02444573e+00 7.53330527e-02 
449 1060.73 9.18922455e+00 8.09158758e-02 
448 1062.48 8.97988201e+00 7.35428799e-02 
447 1064.23 9.10887942e+00 7.73119722e-02 
446 1065.97 8.81253574e+00 7.15269387e-02 
445 1067.71 8.86961808e+00 7.04157439e-02 
444 1069.46 8.66510109e+00 6.53921010e-02 
443 1071.19 8.78983386e+00 7.17852828e-02 
442 1072.93 8.63892889e+00 7.36554372e-02 
441 1074.67 8.72627569e+00 6.98723357e-02 
440 1076.40 8.52494577e+00 6.85602209e-02 
439 1078.13 8.55989998e+00 6.46570190e-02 
438 1079.86 8.32373104e+00 6.30387267e-02 
437 1081.58 8.40116000e+00 6.18113257e-02 
436 1083.31 8.28268497e+00 5.45106275e-02 
435 1085.03 8.47646506e+00 6.45261509e-02 
434 1086.75 8.41125555e+00 6.63582063e-02 
433 1088.47 8.57887969e+00 6.79497831e-02 
432 1090.19 8.47730783e+00 5.87442194e-02 
431 1091.90 8.59988634e+00 6.19437628e-02 
430 1093.61 8.46846837e+00 5.70252264e-02 
429 1095.33 8.69232429e+00 6.00456614e-02 
428 1097.03 8.72615774e+00 5.20623904e-02 
427 1098.74 8.98800781e+00 3.90079694e-02 
426 1100.45 9.01446386e+00 4.12018602e-02 
425 1102.15 9.31217955e+00 4.05847846e-02 
424 1103.85 9.33134071e+00 3.39896774e-02 
423 1105.55 9.61400499e+00 3.33631142e-02 
422 1107.25 9.56104470e+00 3.49889973e-02 
421 1108.94 9.73976305e+00 3.55476070e-02 
420 1110.64 9.56747925e+00 7.41778590e-02 
419 1112.33 9.61403282e+00 1.39681480e-01 
418 1114.02 9.28293306e+00 2.18312469e-01 
417 1115.70 9.26418807e+00 2.72307051e-01 
416 1117.39 9.00581034e+00 3.11269863e-01 
415 1119.07 8.98038162e+00 3.55404837e-01 
414 1120.76 8.83317439e+00 3.76553562e-01 
413 1122.44 8.91195902e+00 4.15647463e-01 
412 1124.12 8.84897395e+00 4.08991232e-01 
411 1125.79 9.04029061e+00 3.95656369e-01 
410 1127.47 9.16330222e+00 3.32714742e-01 
409 1129.14 9.43728570e+00 2.95170200e-01 
408 1130.81 9.07575066e+00 3.64959659e-01 
407 1132.48 9.01348703e+00 4.00572345e-01 
406 1134.15 8.85488025e+00 3.96969166e-01 
405 1135.81 9.14061655e+00 3.06502466e-01 
404 1137.48 9.48341465e+00 1.87643516e-01 
403 1139.14 9.70059185e+00 1.67454690e-01 
402 1140.80 9.44235791e+00 1.96120095e-01 
401 1142.46 9.42970647e+00 2.42372905e-01 
400 1144.12 9.18989265e+00 2.71595827e-01 
399 1145.77 9.24550093e+00 2.76242845e-01 
398 1147.43 9.21290400e+00 2.42718671e-01 
397 1149.08 9.37159979e+00 2.11874567e-01 
396 1150.73 9.31949084e+00 1.99468084e-01 
395 1152.38 9.54521568e+00 1.79917411e-01 
394 1154.02 9.49052251e+00 1.42852364e-01 
393 1155.67 9.68659109e+00 1.08758042e-01 
392 1157.31 9.51583232e+00 8.72032736e-02 
391 1158.95 9.60099715e+00 7.90875446e-02 
