% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-16 15:35:24.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, high- a-lt, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20160908_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160902_NIR_C0_refined_high_alt_low_m.dat
% 20160904_NIR_C0_refined_high_alt_low_m.dat
% 20160908_NIR_C0_refined_high_alt_low_m.dat
% 20160831_NIR_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
511 949.79 5.38494206e+00 7.00558003e-02 
510 949.79 5.54354610e+00 7.10710942e-02 
509 951.68 5.93926172e+00 6.87691120e-02 
508 953.57 5.99527178e+00 6.25301208e-02 
507 955.46 6.46651154e+00 6.24403291e-02 
506 957.34 6.56425228e+00 6.10100793e-02 
505 959.22 7.03357363e+00 6.43296655e-02 
504 961.10 7.11022320e+00 5.73361589e-02 
503 962.98 7.53882484e+00 6.96152264e-02 
502 964.85 7.52660141e+00 5.91211706e-02 
501 966.72 8.03485756e+00 7.44309704e-02 
500 968.59 8.05077591e+00 6.69337488e-02 
499 970.45 8.45030556e+00 6.95872760e-02 
498 972.32 8.39895458e+00 5.56873622e-02 
497 974.18 8.73025112e+00 5.42647514e-02 
496 976.04 8.64231072e+00 5.29795059e-02 
495 977.89 8.98408184e+00 6.34608166e-02 
494 979.74 8.87935772e+00 5.68507006e-02 
493 981.59 9.16928806e+00 6.63662140e-02 
492 983.44 9.03565102e+00 7.32169858e-02 
491 985.29 9.29409847e+00 7.40408699e-02 
490 987.13 9.08737869e+00 7.45723638e-02 
489 988.97 9.32217560e+00 8.22173781e-02 
488 990.81 9.13443851e+00 7.10008573e-02 
487 992.65 9.31269360e+00 8.41811978e-02 
486 994.48 9.11590233e+00 7.61186934e-02 
485 996.31 9.26508770e+00 8.05198050e-02 
484 998.14 9.02249222e+00 6.92298454e-02 
483 999.97 9.16044388e+00 8.21921782e-02 
482 1001.79 8.88180332e+00 7.39371700e-02 
481 1003.62 8.96088581e+00 7.78859330e-02 
480 1005.44 8.73809948e+00 7.59054368e-02 
479 1007.25 8.97895489e+00 7.48596469e-02 
478 1009.07 8.75667229e+00 7.31233739e-02 
477 1010.88 8.92673683e+00 7.39919660e-02 
476 1012.69 8.64990006e+00 7.15763652e-02 
475 1014.50 8.77326660e+00 7.92220702e-02 
474 1016.31 8.55610542e+00 7.44618334e-02 
473 1018.11 8.69504242e+00 8.30766020e-02 
472 1019.91 8.44327850e+00 7.64643733e-02 
471 1021.71 8.59737835e+00 8.89130096e-02 
470 1023.51 8.37170067e+00 8.28174386e-02 
469 1025.30 8.54547214e+00 9.05183584e-02 
468 1027.09 8.43628158e+00 8.67797994e-02 
467 1028.88 8.58376446e+00 9.39964276e-02 
466 1030.67 8.43039761e+00 8.95132438e-02 
465 1032.46 8.61017285e+00 9.22720110e-02 
464 1034.24 8.44810200e+00 9.97427275e-02 
463 1036.02 8.64581585e+00 1.02913049e-01 
462 1037.80 8.51459255e+00 9.66018972e-02 
461 1039.58 8.71897621e+00 1.09269103e-01 
460 1041.35 8.57212620e+00 9.48409787e-02 
459 1043.12 8.72866268e+00 1.03084778e-01 
458 1044.89 8.64389229e+00 9.64504987e-02 
457 1046.66 8.87375336e+00 1.06558661e-01 
456 1048.43 8.81291237e+00 1.02399244e-01 
455 1050.19 9.04036846e+00 1.05912798e-01 
454 1051.95 8.90017357e+00 1.01092559e-01 
453 1053.71 9.16172829e+00 1.05247317e-01 
452 1055.47 8.99798298e+00 9.85364765e-02 
451 1057.23 9.13687668e+00 1.00716913e-01 
450 1058.98 8.98159027e+00 9.78166566e-02 
449 1060.73 9.14581146e+00 1.01555172e-01 
448 1062.48 8.93521252e+00 9.29271422e-02 
