% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-06-15 00:12:39.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20160825_VIS_C0_refined_Langley_ORACLES_transit2.dat
% 20160902_VIS_C0_refined_high_alt_low_m.dat
% 20160904_VIS_C0_refined_high_alt_low_m.dat
% 20160831_VIS_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
0 173.18 -2.50000000e-01 5.00000000e-01 
1 173.98 8.11462978e+01 1.64292596e+02 
2 174.77 8.93315330e+01 1.80663066e+02 
3 175.56 3.10789963e+02 6.23579925e+02 
4 176.36 9.64108598e+03 1.92841720e+04 
5 177.15 1.17644235e+04 2.35308470e+04 
6 177.94 1.39629269e+04 2.79278539e+04 
7 178.74 1.62209730e+04 3.24439460e+04 
8 179.53 1.80731736e+04 3.61483471e+04 
9 180.33 2.04995210e+04 4.10010420e+04 
10 181.12 2.38389188e+04 4.76798376e+04 
11 181.92 2.79391945e+04 5.58803890e+04 
12 182.71 3.33045477e+04 6.66110955e+04 
13 183.51 3.85942445e+04 7.71904890e+04 
14 184.30 4.63241557e+04 9.26503115e+04 
15 185.10 5.51253657e+04 1.10252731e+05 
16 185.89 6.70945728e+04 1.34191146e+05 
17 186.69 7.95989170e+04 1.59199834e+05 
18 187.49 9.03463197e+04 1.80694639e+05 
19 188.28 1.10840297e+05 2.21682595e+05 
20 189.08 1.37032704e+05 2.74067408e+05 
21 189.88 1.67421031e+05 3.34844062e+05 
22 190.67 2.18114957e+05 4.36231915e+05 
23 191.47 2.69205245e+05 5.38412490e+05 
24 192.27 3.22819105e+05 6.45640210e+05 
25 193.07 4.15834513e+05 8.31671025e+05 
26 193.86 5.32007085e+05 1.06401617e+06 
27 194.66 6.82485870e+05 1.36497374e+06 
28 195.46 8.83638468e+05 1.76727894e+06 
29 196.26 1.17388400e+06 2.34777001e+06 
30 197.05 1.58518439e+06 3.17037079e+06 
31 197.85 2.19242647e+06 4.38485494e+06 
32 198.65 2.99047648e+06 5.98095495e+06 
33 199.45 4.22746565e+06 8.45493330e+06 
34 200.25 6.16821342e+06 1.23364288e+07 
35 201.05 7.45683708e+06 1.49136762e+07 
36 201.85 8.61758572e+06 1.72351734e+07 
37 202.65 8.00396620e+06 1.60079344e+07 
38 203.44 1.04634519e+07 2.09269058e+07 
39 204.24 8.33662872e+06 1.66732594e+07 
40 205.04 5.80202730e+06 1.16040566e+07 
41 205.84 4.02656355e+06 8.05312910e+06 
42 206.64 2.83647890e+06 5.67295980e+06 
43 207.44 1.95208986e+06 3.90418171e+06 
44 208.24 1.35904295e+06 2.71808790e+06 
45 209.04 9.53228720e+05 1.90645944e+06 
46 209.84 4.45545960e+34 8.91091920e+34 
47 210.64 6.70697157e+33 1.34139431e+34 
48 211.44 1.03278367e+33 2.06556733e+33 
49 212.24 1.57124901e+32 3.14249803e+32 
50 213.04 2.10960050e+35 4.21855468e+35 
51 213.85 2.53207977e+34 5.06317800e+34 
52 214.65 3.17637942e+33 6.35124334e+33 
53 215.45 3.84700408e+32 7.69164439e+32 
54 216.25 4.61900043e+31 9.23438926e+31 
55 217.05 5.76130303e+30 1.15169968e+31 
56 217.85 7.06202065e+29 1.41154844e+30 
57 218.65 8.73861396e+28 1.74641805e+29 
58 219.46 1.08803714e+28 2.17401674e+28 
59 220.26 1.33702409e+27 2.67095252e+27 
60 221.06 1.66254014e+26 3.32020369e+26 
61 221.86 2.07277395e+25 4.13791504e+25 
62 222.66 2.56701118e+24 5.12226996e+24 
63 223.47 3.18580433e+23 6.35328821e+23 
64 224.27 3.93409185e+22 7.84000367e+22 
65 225.07 4.85666916e+21 9.66957173e+21 
66 225.87 6.26769369e+20 1.24665411e+21 
67 226.68 4.67652053e+34 9.35304105e+34 
68 227.48 1.41802194e+33 2.83604388e+33 
69 228.28 5.52633698e+31 1.10526739e+32 
70 229.08 4.00392393e+30 8.00784785e+30 
71 229.89 8.43340683e+29 1.68668136e+30 
72 230.69 7.96368928e+29 1.59273785e+30 
73 231.49 3.79899650e+30 7.59799300e+30 
74 232.30 6.56895183e+31 1.31379036e+32 
75 233.10 2.55274393e+33 5.10548785e+33 
76 233.90 1.35114084e+35 2.70228168e+35 
77 234.71 1.40365383e+21 2.79240031e+21 
78 235.51 1.57729192e+22 3.14189310e+22 
79 236.32 1.82138652e+23 3.63159387e+23 
80 237.12 2.09056680e+24 4.17122160e+24 
81 237.92 2.48633289e+25 4.96360207e+25 
82 238.73 2.93042084e+26 5.85251301e+26 
83 239.53 3.48127422e+27 6.95500816e+27 
84 240.34 3.98580162e+28 7.96497164e+28 
85 241.14 4.29699298e+29 8.58842811e+29 
86 241.94 4.15656455e+30 8.30882312e+30 
87 242.75 3.76477816e+31 7.52642082e+31 
88 243.55 3.32361368e+32 6.64511271e+32 
89 244.36 2.53134154e+33 5.06137659e+33 
90 245.16 1.75868428e+34 3.51662535e+34 
91 245.97 1.10607596e+35 2.21176872e+35 
92 246.77 6.60194342e+31 1.32038869e+32 
93 247.58 2.70973548e+32 5.41947095e+32 
94 248.38 1.03364868e+33 2.06729735e+33 
95 249.19 3.50136485e+33 7.00272970e+33 
96 249.99 9.36310998e+33 1.87262199e+34 
97 250.80 1.95169863e+34 3.90339727e+34 
98 251.60 3.89995653e+34 7.79991305e+34 
99 252.41 7.07087780e+34 1.41417556e+35 
100 253.21 1.05154806e+35 2.10309613e+35 
101 254.02 1.42232012e+35 2.84464023e+35 
102 254.82 1.02016108e+06 2.04032416e+06 
103 255.63 1.59549882e+35 3.19099763e+35 
104 256.44 1.12251243e+35 2.24502486e+35 
105 257.24 6.56272818e+34 1.31254564e+35 
106 258.05 4.05557378e+34 8.11114755e+34 
107 258.85 2.13212889e+34 4.26425777e+34 
108 259.66 7.81289338e+33 1.56257868e+34 
109 260.46 2.30260484e+33 4.60520967e+33 
110 261.27 6.57558467e+32 1.31511693e+33 
111 262.08 1.55683030e+32 3.11366059e+32 
112 262.88 2.72106792e+35 5.44128215e+35 
113 263.69 4.14859598e+34 8.29554956e+34 
114 264.49 6.60641972e+33 1.32096743e+34 
115 265.30 8.99808740e+32 1.79907563e+33 
