% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-06-14 23:55:32.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, infl-ig-ht, high- a-lt. See the list of files below
% 20160825_VIS_C0_refined_Langley_ORACLES_transit2.dat
% 20160824_VIS_C0_refined_langley_4STAR.dat
% 20160831_VIS_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
0 173.18 -6.66666667e-01 5.77350269e-01 
1 173.98 1.08528397e+02 1.89708748e+02 
2 174.77 1.19442044e+02 2.08611740e+02 
3 175.56 4.14719950e+02 7.20048075e+02 
4 176.36 1.28551146e+04 2.22674437e+04 
5 177.15 1.56862313e+04 2.71710817e+04 
6 177.94 1.86175692e+04 3.22483079e+04 
7 178.74 2.16282973e+04 3.74630419e+04 
8 179.53 2.40978981e+04 4.17405159e+04 
9 180.33 2.73330280e+04 4.73439253e+04 
10 181.12 3.17855584e+04 5.50559342e+04 
11 181.92 3.72525927e+04 6.45251153e+04 
12 182.71 4.44063970e+04 7.69158678e+04 
13 183.51 5.14593260e+04 8.91318992e+04 
14 184.30 6.17658743e+04 1.06983365e+05 
15 185.10 7.35008210e+04 1.27308888e+05 
16 185.89 8.94597637e+04 1.54950588e+05 
17 186.69 1.06132223e+05 1.83828134e+05 
18 187.49 1.20462093e+05 2.08648198e+05 
19 188.28 1.47787396e+05 2.55977011e+05 
20 189.08 1.82710605e+05 3.16465784e+05 
21 189.88 2.23228375e+05 3.86644619e+05 
22 190.67 2.90820277e+05 5.03717227e+05 
23 191.47 3.58940660e+05 6.21705192e+05 
24 192.27 4.30425807e+05 7.45521098e+05 
25 193.07 5.54446350e+05 9.60330980e+05 
26 193.86 7.09343113e+05 1.22862004e+06 
27 194.66 9.09981493e+05 1.57613591e+06 
28 195.46 1.17818496e+06 2.04067794e+06 
29 196.26 1.56517901e+06 2.71097129e+06 
30 197.05 2.11357952e+06 3.66082885e+06 
