% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-06-16 15:35:24.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, high- a-lt, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20160908_VIS_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160902_VIS_C0_refined_high_alt_low_m.dat
% 20160904_VIS_C0_refined_high_alt_low_m.dat
% 20160908_VIS_C0_refined_high_alt_low_m.dat
% 20160831_VIS_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
0 173.18 -2.00000000e-01 4.47213595e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -8.00000000e-01 4.47213595e-01 
46 209.84 3.56436768e+34 7.97016843e+34 
47 210.64 5.36557726e+33 1.19977955e+34 
48 211.44 8.26226932e+32 1.84749958e+33 
49 212.24 4.67610325e+34 1.04209861e+35 
50 213.04 1.74927768e+35 3.74116497e+35 
51 213.85 2.10709607e+34 4.48663396e+34 
52 214.65 2.64992741e+33 5.62489801e+33 
53 215.45 3.22237626e+32 6.80601533e+32 
54 216.25 3.88529904e+31 8.16376430e+31 
55 217.05 4.86402177e+30 1.01738134e+31 
56 217.85 5.99132190e+29 1.24566109e+30 
57 218.65 7.44812250e+28 1.53972413e+29 
58 219.46 9.31591968e+27 1.91497704e+28 
59 220.26 1.15262295e+27 2.34957644e+27 
60 221.06 1.43777302e+26 2.91897511e+26 
61 221.86 1.80381441e+25 3.63365543e+25 
62 222.66 2.24761929e+24 4.49313845e+24 
63 223.47 2.80697568e+23 5.56693443e+23 
64 224.27 3.50101952e+22 6.85835267e+22 
65 225.07 4.36500652e+21 8.44595310e+21 
66 225.87 5.65281414e+20 1.08835366e+21 
67 226.68 3.74121642e+34 8.36561423e+34 
68 227.48 1.13441755e+33 2.53663476e+33 
69 228.28 4.42106958e+31 9.88581211e+31 
70 229.08 3.20313914e+30 7.16243686e+30 
71 229.89 6.74672546e+29 1.50861368e+30 
72 230.69 6.37095142e+29 1.42458805e+30 
73 231.49 3.03919720e+30 6.79585154e+30 
74 232.30 5.25516146e+31 1.17508983e+32 
75 233.10 2.04219514e+33 4.56648716e+33 
76 233.90 1.08091267e+35 2.41699422e+35 
77 234.71 1.26786633e+21 2.43727632e+21 
78 235.51 1.41132659e+22 2.74615033e+22 
79 236.32 1.61546645e+23 3.17858001e+23 
80 237.12 1.84031090e+24 3.65546950e+24 
81 237.92 2.16924794e+25 4.35668721e+25 
82 238.73 2.54285119e+26 5.14198235e+26 
83 239.53 2.99732344e+27 6.11965242e+27 
84 240.34 3.41899524e+28 7.01333924e+28 
85 241.14 3.66524402e+29 7.57075669e+29 
86 241.94 3.52705148e+30 7.33204199e+30 
87 242.75 3.18798592e+31 6.64444913e+31 
88 243.55 2.79625840e+32 5.87440722e+32 
89 244.36 2.12345221e+33 4.47716632e+33 
90 245.16 1.47269226e+34 3.11190417e+34 
91 245.97 9.23341535e+34 1.95854538e+35 
92 246.77 1.92307588e+34 4.28538126e+34 
93 247.58 8.87319636e+34 1.97805344e+35 
94 248.38 8.26918940e+32 1.84904696e+33 
95 249.19 2.80109188e+33 6.26343185e+33 
96 249.99 7.49048798e+33 1.67492403e+34 
97 250.80 1.56135891e+34 3.49130465e+34 
98 251.60 3.11996522e+34 6.97645432e+34 
99 252.41 5.65670224e+34 1.26487707e+35 
100 253.21 8.41238450e+34 1.88106636e+35 
101 254.02 1.13785609e+35 2.54432357e+35 
102 254.82 1.82126526e+01 4.29607972e+01 
103 255.63 1.27639905e+35 2.85411505e+35 
104 256.44 8.98009944e+34 2.00801128e+35 
105 257.24 5.25018254e+34 1.17397651e+35 
106 258.05 3.24445902e+34 7.25483092e+34 
107 258.85 1.70570311e+34 3.81406810e+34 
108 259.66 6.25031470e+33 1.39761285e+34 
109 260.46 1.84208387e+33 4.11902475e+33 
110 261.27 5.26046774e+32 1.17627635e+33 
111 262.08 5.19074950e+34 1.15720884e+35 
112 262.88 2.27089605e+35 4.81860324e+35 
113 263.69 3.47441464e+34 7.34062050e+34 
114 264.49 5.55016237e+33 1.16811823e+34 
115 265.30 7.59110044e+32 1.58949220e+33 
116 266.11 8.20093759e+31 1.70643563e+32 
117 266.91 7.97372752e+30 1.65495903e+31 
118 267.72 6.72007385e+29 1.38534772e+30 
119 268.53 4.68346374e+28 9.54516729e+28 
120 269.33 3.70382912e+27 7.50395248e+27 
121 270.14 3.32045020e+26 6.64910171e+26 
122 270.95 2.82797024e+25 5.62921671e+25 
123 271.75 2.15539697e+24 4.24310775e+24 
124 272.56 1.51032496e+23 2.93638218e+23 
125 273.37 9.42916357e+21 1.80764368e+22 
126 274.17 5.78448518e+20 1.08959830e+21 
127 274.98 2.95028406e+34 6.59703571e+34 
128 275.79 3.71818354e+32 8.31411115e+32 
129 276.59 5.46292398e+30 1.22154694e+31 
130 277.40 8.70277666e+28 1.94600002e+29 
131 278.21 1.30122719e+27 2.90963245e+27 
132 279.01 2.20357610e+25 4.92734595e+25 
133 279.82 4.13016634e+23 9.23533269e+23 
134 280.63 7.74840984e+21 1.73259711e+22 
135 281.43 1.58900013e+20 3.55311231e+20 
136 282.24 4.43957906e+18 9.92720046e+18 
137 283.05 1.73077361e+17 3.87012728e+17 
138 283.86 7.71580664e+15 1.72530654e+16 
139 284.66 3.53404658e+14 7.90236358e+14 
140 285.47 2.01497364e+13 4.50560875e+13 
141 286.28 1.58207267e+12 3.53760013e+12 
142 287.09 1.35776873e+11 3.03600774e+11 
143 287.89 1.21271495e+10 2.71157401e+10 
144 288.70 1.28033577e+09 2.86251998e+09 
145 289.51 1.76060591e+08 3.93554988e+08 
146 290.32 2.87235233e+07 6.41809919e+07 
147 291.12 5.07250280e+06 1.13249565e+07 
148 291.93 9.60155423e+05 2.14003770e+06 
149 292.74 2.20550873e+05 4.90156777e+05 
150 293.55 5.65327107e+04 1.24994197e+05 
151 294.35 1.68875833e+04 3.70459751e+04 
152 295.16 5.49630373e+03 1.19104644e+04 
153 295.97 1.97857312e+03 4.21238244e+03 
154 296.78 7.70506305e+02 1.59852529e+03 
155 297.58 3.26726073e+02 6.55422890e+02 
156 298.39 1.55474085e+02 2.98795910e+02 
157 299.20 8.10620408e+01 1.47825332e+02 
158 300.01 4.54883276e+01 7.81682020e+01 
159 300.81 2.72343841e+01 4.34600456e+01 
160 301.62 1.77102913e+01 2.63526577e+01 
161 302.43 1.18195950e+01 1.61455395e+01 
162 303.24 8.60614752e+00 1.10131921e+01 
163 304.04 6.40058938e+00 7.44246054e+00 
164 304.85 4.98999475e+00 5.39199786e+00 
165 305.66 3.95514573e+00 3.89685473e+00 
166 306.47 3.22985322e+00 2.92868772e+00 
167 307.28 2.70447348e+00 2.24356046e+00 
168 308.08 2.32611044e+00 1.77748769e+00 
169 308.89 2.06671429e+00 1.48474804e+00 
170 309.70 1.83413678e+00 1.20710428e+00 
171 310.51 1.64169673e+00 9.92795911e-01 
172 311.32 1.48924662e+00 8.15967806e-01 
173 312.12 1.35753487e+00 6.69854412e-01 
174 312.93 1.26213706e+00 5.85675076e-01 
175 313.74 1.19264998e+00 5.27671701e-01 
176 314.55 1.14306527e+00 4.66451917e-01 
177 315.36 1.08271679e+00 4.21500812e-01 
178 316.16 1.06344422e+00 3.81728844e-01 
179 316.97 1.04126638e+00 3.58076885e-01 
180 317.78 1.02278366e+00 3.33532692e-01 
181 318.59 1.00216458e+00 3.10019157e-01 
182 319.40 9.98088457e-01 2.92607404e-01 
183 320.20 9.90991938e-01 2.60948690e-01 
184 321.01 9.78202761e-01 2.55514469e-01 
185 321.82 9.85651504e-01 2.47464921e-01 
186 322.63 9.92321622e-01 2.33991415e-01 
187 323.43 9.94612978e-01 2.12522321e-01 
188 324.24 9.90927946e-01 2.18125545e-01 
189 325.05 1.01682298e+00 2.05229163e-01 
190 325.86 1.03689222e+00 1.88693009e-01 
191 326.67 1.04129846e+00 1.91339506e-01 
192 327.48 1.06672107e+00 1.83319925e-01 
193 328.28 1.08808208e+00 1.79733857e-01 
194 329.09 1.12281973e+00 1.77395405e-01 
195 329.90 1.16093802e+00 1.68134699e-01 
196 330.71 1.22149493e+00 1.72847104e-01 
197 331.52 1.30515628e+00 1.73092802e-01 
198 332.32 1.46411130e+00 1.81194528e-01 
199 333.13 1.74467745e+00 1.81304844e-01 
200 333.94 2.24954381e+00 2.17669742e-01 
201 334.75 3.05334883e+00 2.48225906e-01 
202 335.55 4.14470353e+00 2.56890420e-01 
203 336.36 5.66460447e+00 3.20915182e-01 
204 337.17 8.03442125e+00 3.77957986e-01 
205 337.98 1.13218058e+01 4.49666518e-01 
206 338.79 1.51658237e+01 5.00549486e-01 
207 339.60 1.94720531e+01 5.45707319e-01 
208 340.40 2.33199169e+01 5.76416457e-01 
209 341.21 2.65235954e+01 5.67314434e-01 
210 342.02 3.03303116e+01 5.53893467e-01 
211 342.83 3.36989738e+01 5.58281389e-01 
212 343.63 3.45442192e+01 5.54122850e-01 
213 344.44 3.57625626e+01 5.27313867e-01 
214 345.25 3.96479233e+01 5.53026363e-01 
215 346.06 4.33531067e+01 5.79219829e-01 
216 346.87 4.57631981e+01 5.91621940e-01 
217 347.67 4.74564377e+01 5.78509104e-01 
218 348.48 4.90659439e+01 5.74287151e-01 
219 349.29 5.19494133e+01 5.81756141e-01 
220 350.10 5.69725327e+01 6.29028178e-01 
221 350.90 6.03719574e+01 6.85200025e-01 
222 351.71 6.04688194e+01 6.96518544e-01 
223 352.52 6.15608170e+01 6.70711644e-01 
224 353.33 6.69042618e+01 7.02061794e-01 
225 354.14 7.36208328e+01 7.85391550e-01 
226 354.94 7.65535324e+01 8.42394734e-01 
227 355.75 7.51086487e+01 8.53481700e-01 
228 356.56 7.06472931e+01 8.16952732e-01 
229 357.37 6.63109131e+01 7.36611414e-01 
230 358.18 6.53743881e+01 7.20813429e-01 
231 358.98 7.32955811e+01 7.82665825e-01 
232 359.79 8.44719544e+01 8.71799805e-01 
233 360.60 8.58866623e+01 9.32226350e-01 
234 361.41 8.44770950e+01 9.02898889e-01 
235 362.21 8.90299820e+01 9.52308746e-01 
236 363.02 9.42472855e+01 9.78067808e-01 
237 363.83 9.73559448e+01 9.89202401e-01 
238 364.64 1.02127508e+02 1.02839562e+00 
239 365.44 1.11328049e+02 1.11632350e+00 
240 366.25 1.19368573e+02 1.15341622e+00 
241 367.06 1.20406401e+02 1.17559341e+00 
242 367.87 1.18486815e+02 1.12270943e+00 
243 368.67 1.20248166e+02 1.12433072e+00 
244 369.48 1.25613483e+02 1.13534940e+00 
245 370.29 1.26856407e+02 1.14531698e+00 
246 371.10 1.25527132e+02 1.14682631e+00 
247 371.90 1.22482790e+02 1.18876209e+00 
248 372.71 1.15735712e+02 1.10832558e+00 
249 373.52 1.09431564e+02 1.03989086e+00 
250 374.33 1.08886005e+02 8.72287320e-01 
251 375.13 1.16706986e+02 9.19446164e-01 
252 375.94 1.27316646e+02 1.08759326e+00 
253 376.75 1.38641415e+02 1.12669993e+00 
254 377.56 1.51934579e+02 1.54163612e+00 
255 378.36 1.55650430e+02 1.98031860e+00 
256 379.17 1.47589502e+02 1.65553910e+00 
257 379.98 1.44439719e+02 1.60508228e+00 
258 380.78 1.44462070e+02 2.09446906e+00 
259 381.59 1.31865381e+02 2.12379533e+00 
260 382.40 1.12171245e+02 1.56824005e+00 
261 383.20 1.03089153e+02 1.06578050e+00 
262 384.01 1.12030357e+02 1.20333065e+00 
263 384.82 1.26955838e+02 1.82565128e+00 
264 385.63 1.32972867e+02 1.91892447e+00 
265 386.43 1.34005286e+02 1.87581443e+00 
266 387.24 1.34900281e+02 1.95670096e+00 
267 388.05 1.36806653e+02 1.72629947e+00 
268 388.85 1.44923584e+02 1.74462837e+00 
269 389.66 1.58365894e+02 2.08828989e+00 
270 390.47 1.69003689e+02 2.38794513e+00 
271 391.27 1.69779089e+02 2.89024966e+00 
272 392.08 1.51382788e+02 2.89617577e+00 
273 392.89 1.22236903e+02 1.55854407e+00 
274 393.69 1.15142558e+02 1.11318184e+00 
275 394.50 1.37900720e+02 1.47276806e+00 
276 395.31 1.54502090e+02 2.49645784e+00 
277 396.11 1.43535181e+02 1.95290589e+00 
278 396.92 1.35004154e+02 1.62837235e+00 
279 397.73 1.59523383e+02 1.78680399e+00 
280 398.53 1.97088177e+02 2.22537647e+00 
281 399.34 2.20350919e+02 2.61189098e+00 
282 400.15 2.31329157e+02 2.79433269e+00 
283 400.95 2.39011997e+02 2.95525773e+00 
284 401.76 2.45119644e+02 3.11014268e+00 
285 402.57 2.46745294e+02 3.20934367e+00 
286 403.37 2.44929779e+02 3.32631865e+00 
287 404.18 2.43517337e+02 3.42652590e+00 
288 404.99 2.42201437e+02 3.53293519e+00 
289 405.79 2.40820371e+02 3.62448705e+00 
290 406.60 2.41351596e+02 3.82383081e+00 
291 407.40 2.47216159e+02 4.08186230e+00 
292 408.21 2.56483035e+02 4.17553355e+00 
293 409.02 2.60025653e+02 4.17019114e+00 
294 409.82 2.56470209e+02 4.54565881e+00 
295 410.63 2.59146774e+02 4.83815139e+00 
296 411.43 2.70424201e+02 4.73728454e+00 
297 412.24 2.77700867e+02 4.89759460e+00 
298 413.05 2.78121997e+02 5.11886154e+00 
299 413.85 2.77649475e+02 5.15893083e+00 
300 414.66 2.77916986e+02 5.13673594e+00 
301 415.46 2.78566016e+02 5.23333204e+00 
302 416.27 2.78670770e+02 4.97424625e+00 
303 417.08 2.74736597e+02 5.01145526e+00 
304 417.88 2.69575488e+02 5.00288046e+00 
305 418.69 2.67342651e+02 4.91826490e+00 
306 419.49 2.67784094e+02 4.95652543e+00 
307 420.30 2.71152545e+02 4.87662267e+00 
308 421.11 2.74344946e+02 4.61357687e+00 
309 421.91 2.72190253e+02 4.50617304e+00 
310 422.72 2.67518164e+02 4.54410258e+00 
311 423.52 2.67634418e+02 4.29533400e+00 
312 424.33 2.71077857e+02 4.05087079e+00 
313 425.13 2.73253119e+02 3.97802256e+00 
314 425.94 2.73863159e+02 3.72503317e+00 
