% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20160902starsun.mat and recorded on 2017-06-22 00:54:49.
% Using the MLO from September 2016 high altitude AOD for stratospheric AOD component, calculating the c0 from the AOD at low airmass. 
Pix Wavelength C0 C0err
0 173.18 0.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 0.00000000e+00 
47 210.64 -1.00000000e+00 0.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 8.27624516e+35 -1.00000000e+00 
51 213.85 9.93773103e+34 -1.00000000e+00 
52 214.65 1.24713855e+34 -1.00000000e+00 
53 215.45 1.51100779e+33 -1.00000000e+00 
54 216.25 1.81487290e+32 -1.00000000e+00 
55 217.05 2.26446724e+31 -1.00000000e+00 
56 217.85 2.77658647e+30 -1.00000000e+00 
57 218.65 3.43677890e+29 -1.00000000e+00 
58 219.46 4.28013906e+28 -1.00000000e+00 
59 220.26 5.26079536e+27 -1.00000000e+00 
60 221.06 6.54256354e+26 -1.00000000e+00 
61 221.86 8.15768980e+25 -1.00000000e+00 
62 222.66 1.01031226e+25 -1.00000000e+00 
63 223.47 1.25375184e+24 -1.00000000e+00 
64 224.27 1.54795979e+23 -1.00000000e+00 
65 225.07 1.91030109e+22 -1.00000000e+00 
66 225.87 2.46431455e+21 -1.00000000e+00 
67 226.68 3.11868961e+20 -1.00000000e+00 
68 227.48 4.05953019e+19 -1.00000000e+00 
69 228.28 6.14473123e+18 4.88149628e+17 
70 229.08 1.31622784e+18 1.06638583e+17 
71 229.89 5.30310023e+17 4.29663890e+16 
72 230.69 5.02013335e+17 3.82317201e+16 
73 231.49 1.24323374e+18 1.04235145e+17 
74 232.30 6.44666372e+18 5.57387455e+17 
75 233.10 5.22246209e+19 -1.00000000e+00 
76 233.90 5.13861914e+20 -1.00000000e+00 
77 234.71 5.53818399e+21 -1.00000000e+00 
78 235.51 6.23101606e+22 -1.00000000e+00 
79 236.32 7.20238495e+23 -1.00000000e+00 
80 237.12 8.27330880e+24 -1.00000000e+00 
81 237.92 9.84609077e+25 -1.00000000e+00 
82 238.73 1.16111060e+27 -1.00000000e+00 
83 239.53 1.38005942e+28 -1.00000000e+00 
84 240.34 1.58073974e+29 -1.00000000e+00 
85 241.14 1.70478896e+30 -1.00000000e+00 
86 241.94 1.64960987e+31 -1.00000000e+00 
87 242.75 1.49456752e+32 -1.00000000e+00 
88 243.55 1.31981445e+33 -1.00000000e+00 
89 244.36 1.00545923e+34 -1.00000000e+00 
90 245.16 6.98725347e+34 -1.00000000e+00 
91 245.97 4.39544971e+35 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 0.00000000e+00 
97 250.80 -1.00000000e+00 0.00000000e+00 
98 251.60 -1.00000000e+00 0.00000000e+00 
99 252.41 -1.00000000e+00 0.00000000e+00 
100 253.21 -1.00000000e+00 0.00000000e+00 
101 254.02 -1.00000000e+00 0.00000000e+00 
102 254.82 -1.00000000e+00 0.00000000e+00 
103 255.63 -1.00000000e+00 0.00000000e+00 
104 256.44 -1.00000000e+00 0.00000000e+00 
105 257.24 -1.00000000e+00 0.00000000e+00 
106 258.05 -1.00000000e+00 0.00000000e+00 
107 258.85 -1.00000000e+00 0.00000000e+00 
108 259.66 -1.00000000e+00 0.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 1.08472276e+36 -1.00000000e+00 
113 263.69 1.65390423e+35 -1.00000000e+00 
114 264.49 2.63392392e+34 -1.00000000e+00 
115 265.30 3.58762420e+33 -1.00000000e+00 
116 266.11 3.85611320e+32 -1.00000000e+00 
117 266.91 3.74173881e+31 -1.00000000e+00 
118 267.72 3.13602097e+30 -1.00000000e+00 
119 268.53 2.16499933e+29 -1.00000000e+00 
120 269.33 1.70377705e+28 -1.00000000e+00 
121 270.14 1.51255229e+27 -1.00000000e+00 
122 270.95 1.28181250e+26 -1.00000000e+00 
123 271.75 9.67843361e+24 -1.00000000e+00 
124 272.56 6.71017682e+23 -1.00000000e+00 
125 273.37 4.13896343e+22 -1.00000000e+00 
126 274.17 2.50057612e+21 -1.00000000e+00 
127 274.98 1.80388077e+20 -1.00000000e+00 
128 275.79 1.40914620e+19 1.12575457e+18 
129 276.59 1.26037073e+18 9.37047274e+16 
130 277.40 1.14421803e+17 8.81653277e+15 
131 278.21 1.01728147e+16 6.86460194e+14 
132 279.01 9.66328718e+14 5.84811891e+13 
133 279.82 9.66028406e+13 6.47747548e+12 
134 280.63 9.76551097e+12 6.12201726e+11 
135 281.43 1.02031609e+12 5.96702863e+10 
136 282.24 1.31252470e+11 6.92380928e+09 
137 283.05 1.99229030e+10 1.08015770e+09 
138 283.86 3.32417997e+09 1.75534960e+08 
139 284.66 5.69981056e+08 3.00178900e+07 
140 285.47 1.05751608e+08 5.41197650e+06 
141 286.28 2.42325300e+07 1.31729675e+06 
142 287.09 5.99202000e+06 2.74008750e+05 
143 287.89 1.43527313e+06 7.21381641e+04 
144 288.70 4.03749344e+05 1.93994199e+04 
145 289.51 1.27275688e+05 5.58596777e+03 
146 290.32 4.48087617e+04 2.16348413e+03 
147 291.12 1.61127725e+04 7.52212341e+02 
148 291.93 6.22918408e+03 2.85951904e+02 
149 292.74 2.62245874e+03 1.14287506e+02 
150 293.55 1.21555396e+03 5.37771606e+01 
151 294.35 5.93328674e+02 2.28326626e+01 
152 295.16 3.07254639e+02 1.33998318e+01 
153 295.97 1.68541824e+02 6.87219381e+00 
154 296.78 9.66490173e+01 4.03682947e+00 
155 297.58 5.71264877e+01 2.44427896e+00 
156 298.39 3.65958138e+01 1.52982819e+00 
157 299.20 2.46969414e+01 9.88372147e-01 
158 300.01 1.72952156e+01 7.51860499e-01 
159 300.81 1.25090866e+01 5.06951213e-01 
160 301.62 9.35040951e+00 3.75811011e-01 
161 302.43 7.23176527e+00 2.94561893e-01 
162 303.24 5.64402056e+00 2.38184705e-01 
163 304.04 4.67321396e+00 1.84552297e-01 
164 304.85 3.82400012e+00 1.54254079e-01 
165 305.66 3.22760057e+00 1.31455645e-01 
166 306.47 2.74674034e+00 1.18611440e-01 
167 307.28 2.42997813e+00 8.98649618e-02 
168 308.08 2.12160015e+00 9.23841745e-02 
169 308.89 1.95950389e+00 7.46778101e-02 
170 309.70 1.78064597e+00 6.85889795e-02 
171 310.51 1.60017455e+00 6.64694831e-02 
172 311.32 1.50782967e+00 5.47825061e-02 
173 312.12 1.38066649e+00 5.50580695e-02 
174 312.93 1.30748522e+00 4.38515283e-02 
175 313.74 1.24818599e+00 5.09289503e-02 
176 314.55 1.17268705e+00 4.74643335e-02 
177 315.36 1.14843309e+00 4.32946198e-02 
178 316.16 1.12557280e+00 4.59928587e-02 
179 316.97 1.10040653e+00 4.04537432e-02 
180 317.78 1.08789456e+00 4.21022773e-02 
181 318.59 1.05728257e+00 4.05413322e-02 
182 319.40 1.05402172e+00 3.78851257e-02 
183 320.20 1.05343139e+00 3.46611552e-02 
184 321.01 1.04678416e+00 3.68492417e-02 
185 321.82 1.05523300e+00 3.67680676e-02 
186 322.63 1.06180537e+00 3.72371823e-02 
187 323.43 1.04630756e+00 3.07902042e-02 
188 324.24 1.05376756e+00 3.49164344e-02 
189 325.05 1.07400274e+00 3.11787389e-02 
190 325.86 1.09826326e+00 3.20960991e-02 
191 326.67 1.09906912e+00 3.20447385e-02 
192 327.48 1.12019348e+00 3.37272584e-02 
193 328.28 1.15007675e+00 2.96422951e-02 
194 329.09 1.16797101e+00 3.29588912e-02 
195 329.90 1.20553875e+00 3.31979953e-02 
196 330.71 1.27671111e+00 3.23446877e-02 
197 331.52 1.33808053e+00 3.26762162e-02 
198 332.32 1.50374365e+00 3.23448889e-02 
199 333.13 1.77828693e+00 3.20143476e-02 
200 333.94 2.26752591e+00 3.45766544e-02 
201 334.75 3.04287577e+00 4.24783044e-02 
202 335.55 4.09371805e+00 4.49420586e-02 
203 336.36 5.58230543e+00 4.40582559e-02 
204 337.17 7.91026974e+00 5.23289368e-02 
205 337.98 1.11232758e+01 6.12387918e-02 
206 338.79 1.48821239e+01 7.68837631e-02 
207 339.60 1.91088619e+01 8.42385739e-02 
208 340.40 2.28644981e+01 1.00795582e-01 
209 341.21 2.60202503e+01 9.17271078e-02 
210 342.02 2.97438221e+01 1.04744069e-01 
211 342.83 3.30564003e+01 1.14376210e-01 
212 343.63 3.38471489e+01 1.09141946e-01 
213 344.44 3.51307449e+01 1.10477403e-01 
214 345.25 3.89936600e+01 1.20976619e-01 
215 346.06 4.26097527e+01 1.15915045e-01 
216 346.87 4.49386826e+01 1.18161522e-01 
217 347.67 4.66120300e+01 1.22286044e-01 
218 348.48 4.81963501e+01 1.23833172e-01 
219 349.29 5.10915184e+01 1.40886679e-01 
220 350.10 5.60410728e+01 1.37429431e-01 
221 350.90 5.92928276e+01 1.42322689e-01 
222 351.71 5.93873787e+01 1.35667801e-01 
223 352.52 6.05578575e+01 1.31610796e-01 
224 353.33 6.58967285e+01 1.48065925e-01 
225 354.14 7.24529877e+01 1.62898153e-01 
226 354.94 7.52639313e+01 1.64380834e-01 
227 355.75 7.37894669e+01 1.47706360e-01 
228 356.56 6.94173126e+01 1.52350962e-01 
229 357.37 6.52007599e+01 1.49125427e-01 
230 358.18 6.44675522e+01 1.49424016e-01 
231 358.98 7.24503250e+01 1.46205306e-01 
232 359.79 8.33026352e+01 1.71549976e-01 
233 360.60 8.45409088e+01 1.72186777e-01 
234 361.41 8.33159485e+01 1.66413262e-01 
235 362.21 8.78296890e+01 1.55987144e-01 
236 363.02 9.29428864e+01 1.61831290e-01 
237 363.83 9.60063553e+01 1.83723047e-01 
238 364.64 1.00834709e+02 1.99559048e-01 
239 365.44 1.09879631e+02 2.00142384e-01 
240 366.25 1.17604507e+02 1.94786042e-01 
241 367.06 1.18563629e+02 2.02211052e-01 
242 367.87 1.16766006e+02 1.92434922e-01 
243 368.67 1.18616776e+02 2.08238021e-01 
244 369.48 1.23678978e+02 2.06762999e-01 
245 370.29 1.24830269e+02 2.00760290e-01 
246 371.10 1.23418076e+02 1.88639328e-01 
247 371.90 1.20280518e+02 1.92373216e-01 
248 372.71 1.13613335e+02 1.82590052e-01 
249 373.52 1.07446548e+02 1.81102157e-01 
