% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-22 01:22:51.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20160908_NIR_C0_refined_high_alt_low_m.dat
% 20160904_NIR_C0_refined_high_alt_low_m_fromBonanza.dat
% 20160908_NIR_C0_refined_high_alt_low_m_fromBonanza.dat
Pix Wavelength C0 C0err
511 949.79 5.39618429e+00 1.31991296e-01 
510 949.79 5.56145732e+00 1.30747435e-01 
509 951.68 5.95062002e+00 1.38440353e-01 
508 953.57 6.01071612e+00 1.31872250e-01 
507 955.46 6.48072449e+00 1.39075354e-01 
506 957.34 6.58192444e+00 1.36221807e-01 
505 959.22 7.05534713e+00 1.38046742e-01 
504 961.10 7.12922064e+00 1.30072823e-01 
503 962.98 7.56075748e+00 1.33467949e-01 
502 964.85 7.54576620e+00 1.22313022e-01 
501 966.72 8.06045103e+00 1.26637151e-01 
500 968.59 8.07666016e+00 1.13506893e-01 
499 970.45 8.48005708e+00 1.16579507e-01 
498 972.32 8.43226433e+00 1.12979025e-01 
497 974.18 8.77357483e+00 1.13241761e-01 
496 976.04 8.68673674e+00 1.01932120e-01 
495 977.89 9.03551769e+00 9.91469060e-02 
494 979.74 8.92897256e+00 9.15448767e-02 
493 981.59 9.22246202e+00 8.99263174e-02 
492 983.44 9.08967273e+00 8.77467907e-02 
491 985.29 9.35133775e+00 8.92784202e-02 
490 987.13 9.14155261e+00 8.52152241e-02 
489 988.97 9.38158830e+00 8.83553148e-02 
488 990.81 9.19096152e+00 8.03618056e-02 
487 992.65 9.37462330e+00 8.82217802e-02 
486 994.48 9.17767938e+00 7.86600532e-02 
485 996.31 9.32735761e+00 8.76836473e-02 
484 998.14 9.08918349e+00 7.98250584e-02 
483 999.97 9.22852484e+00 8.20659741e-02 
482 1001.79 8.94375006e+00 8.16404207e-02 
481 1003.62 9.02769375e+00 8.45241219e-02 
480 1005.44 8.79921087e+00 8.17559807e-02 
479 1007.25 9.04068661e+00 8.71704503e-02 
478 1009.07 8.81752523e+00 7.83242957e-02 
477 1010.88 8.98793538e+00 8.78116897e-02 
476 1012.69 8.71043396e+00 8.41666718e-02 
475 1014.50 8.83520985e+00 8.61354441e-02 
474 1016.31 8.61611462e+00 8.01377976e-02 
473 1018.11 8.75059700e+00 8.79244855e-02 
472 1019.91 8.50232379e+00 8.04292578e-02 
471 1021.71 8.65358130e+00 9.09866478e-02 
470 1023.51 8.42755000e+00 9.17583939e-02 
469 1025.30 8.60172876e+00 9.34895881e-02 
468 1027.09 8.49023183e+00 8.95039589e-02 
467 1028.88 8.63881016e+00 8.93565576e-02 
466 1030.67 8.48273818e+00 9.46641425e-02 
465 1032.46 8.66059971e+00 9.94057312e-02 
464 1034.24 8.49801604e+00 9.63043731e-02 
463 1036.02 8.69593652e+00 1.03818852e-01 
462 1037.80 8.56313038e+00 9.68866682e-02 
461 1039.58 8.76828385e+00 9.88720742e-02 
460 1041.35 8.62598101e+00 9.10158165e-02 
459 1043.12 8.77885564e+00 9.43430951e-02 
458 1044.89 8.69231383e+00 9.60252095e-02 
457 1046.66 8.91473262e+00 1.09179013e-01 
456 1048.43 8.85535812e+00 1.09942724e-01 
455 1050.19 9.08647474e+00 1.15043694e-01 
454 1051.95 8.94453557e+00 1.11678311e-01 
453 1053.71 9.20858383e+00 1.12048534e-01 
452 1055.47 9.04305522e+00 1.10169961e-01 
451 1057.23 9.18840503e+00 1.09158042e-01 
450 1058.98 9.02778403e+00 1.12822876e-01 
449 1060.73 9.19289398e+00 1.11240464e-01 
448 1062.48 8.98313745e+00 1.09058865e-01 
447 1064.23 9.11315981e+00 1.05494722e-01 
446 1065.97 8.81862990e+00 1.03612080e-01 
445 1067.71 8.87854640e+00 1.07283547e-01 
444 1069.46 8.67713992e+00 1.03775052e-01 
443 1071.19 8.80088806e+00 1.05318334e-01 
442 1072.93 8.64130465e+00 1.04734956e-01 
441 1074.67 8.73740324e+00 1.07405679e-01 
440 1076.40 8.53432783e+00 1.04652782e-01 
439 1078.13 8.56866169e+00 1.11760434e-01 
438 1079.86 8.32631683e+00 1.12654844e-01 
437 1081.58 8.41031043e+00 1.15325952e-01 
436 1083.31 8.29413223e+00 1.14090449e-01 
435 1085.03 8.48562368e+00 1.12606379e-01 
434 1086.75 8.41752466e+00 1.10788180e-01 
433 1088.47 8.58737151e+00 1.14147644e-01 
432 1090.19 8.48032919e+00 1.21561564e-01 
431 1091.90 8.60919507e+00 1.15895408e-01 
430 1093.61 8.48691463e+00 1.15065496e-01 
429 1095.33 8.71208318e+00 1.16649753e-01 
428 1097.03 8.74832853e+00 1.19037904e-01 
427 1098.74 9.01249917e+00 1.30049571e-01 
426 1100.45 9.02378527e+00 1.34090362e-01 
425 1102.15 9.32826233e+00 1.37411571e-01 
424 1103.85 9.35548274e+00 1.37743875e-01 
423 1105.55 9.63626989e+00 1.47821970e-01 
422 1107.25 9.58340200e+00 1.54176596e-01 
421 1108.94 9.77618154e+00 1.61703330e-01 
420 1110.64 9.60556380e+00 1.72800784e-01 
419 1112.33 9.66586940e+00 2.09761791e-01 
418 1114.02 9.34575176e+00 2.41694978e-01 
417 1115.70 9.33398851e+00 2.65553564e-01 
416 1117.39 9.07137394e+00 2.78110257e-01 
415 1119.07 9.05456289e+00 2.98725414e-01 
414 1120.76 8.91694864e+00 3.03988131e-01 
413 1122.44 9.01030667e+00 3.28604170e-01 
412 1124.12 8.94709778e+00 3.26872748e-01 
411 1125.79 9.14471467e+00 3.25688796e-01 
410 1127.47 9.25371393e+00 2.99531059e-01 
409 1129.14 9.52564049e+00 2.81436986e-01 
408 1130.81 9.17654959e+00 3.03542765e-01 
407 1132.48 9.11571407e+00 3.23298217e-01 
406 1134.15 8.95234871e+00 3.15817585e-01 
405 1135.81 9.22628752e+00 2.88313444e-01 
404 1137.48 9.54547469e+00 2.30551465e-01 
403 1139.14 9.77147072e+00 2.17786624e-01 
402 1140.80 9.52755705e+00 2.28165439e-01 
401 1142.46 9.51545302e+00 2.58389991e-01 
400 1144.12 9.27465598e+00 2.63719198e-01 
399 1145.77 9.33376535e+00 2.77829540e-01 
398 1147.43 9.30280781e+00 2.60352922e-01 
397 1149.08 9.44606368e+00 2.46383054e-01 
396 1150.73 9.38723183e+00 2.32959061e-01 
395 1152.38 9.60653687e+00 2.25758299e-01 
394 1154.02 9.55174605e+00 2.04891272e-01 
393 1155.67 9.74439939e+00 1.91491494e-01 
392 1157.31 9.56979211e+00 1.73007246e-01 
391 1158.95 9.64349969e+00 1.60513687e-01 
390 1160.59 9.53217856e+00 1.46143104e-01 
389 1162.23 9.66211351e+00 1.44526375e-01 
388 1163.87 9.54528618e+00 1.34749671e-01 
387 1165.50 9.60452652e+00 1.33770966e-01 
386 1167.13 9.49448013e+00 1.30751763e-01 
385 1168.76 9.60256895e+00 1.30892250e-01 
384 1170.39 9.48141766e+00 1.25855534e-01 
383 1172.02 9.47290039e+00 1.25513735e-01 
382 1173.65 9.27282079e+00 1.25412488e-01 
381 1175.27 9.26528263e+00 1.26818582e-01 
380 1176.90 9.13440355e+00 1.24241624e-01 
379 1178.52 9.11796888e+00 1.30101003e-01 
378 1180.14 8.89728800e+00 1.23474412e-01 
377 1181.75 8.89487267e+00 1.29934351e-01 
376 1183.37 8.69747257e+00 1.22455055e-01 
375 1184.99 8.72712994e+00 1.23037846e-01 
374 1186.60 8.57733249e+00 1.14075094e-01 
373 1188.21 8.52981059e+00 1.10433319e-01 
372 1189.82 8.43058459e+00 1.06861474e-01 
371 1191.43 8.61579355e+00 1.10246029e-01 
370 1193.04 8.51213169e+00 1.06189301e-01 
369 1194.64 8.50897948e+00 1.08383876e-01 
368 1196.24 8.35077858e+00 1.12180319e-01 
367 1197.85 8.41462294e+00 1.12627143e-01 
366 1199.45 8.28471279e+00 1.04781584e-01 
365 1201.05 8.36588096e+00 1.06321981e-01 
364 1202.64 8.27393977e+00 1.07684193e-01 
363 1204.24 8.28575802e+00 1.08136797e-01 
362 1205.83 8.19174703e+00 1.07044241e-01 
361 1207.43 8.20680046e+00 1.04257732e-01 
360 1209.02 8.16687520e+00 1.10928810e-01 
359 1210.61 8.29884720e+00 1.06274749e-01 
358 1212.19 8.26814938e+00 1.11751998e-01 
357 1213.78 8.40091928e+00 1.09183113e-01 
356 1215.37 8.33826224e+00 1.10827762e-01 
355 1216.95 8.37787628e+00 1.06245081e-01 
354 1218.53 8.31756242e+00 1.06096190e-01 
353 1220.11 8.38943863e+00 1.06561368e-01 
352 1221.69 8.37503115e+00 1.00857053e-01 
351 1223.27 8.42556318e+00 1.03516458e-01 
350 1224.84 8.39733600e+00 9.69014087e-02 
349 1226.42 8.44430478e+00 1.03047864e-01 
348 1227.99 8.41505019e+00 9.40372075e-02 
347 1229.56 8.55113252e+00 9.54982253e-02 
346 1231.13 8.47318554e+00 9.93062038e-02 
345 1232.70 8.54852899e+00 9.62593803e-02 
344 1234.27 8.50656446e+00 9.47820367e-02 
343 1235.84 8.52093283e+00 9.98175082e-02 
