% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20160908starsun.mat and recorded on 2017-05-08 14:34:43.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 5.39900255e+00 1.61970079e-01 
510 949.79 5.54620647e+00 1.66386187e-01 
509 951.68 5.92822790e+00 1.77846834e-01 
508 953.57 5.99136639e+00 1.79740995e-01 
507 955.46 6.44308758e+00 1.93292633e-01 
506 957.34 6.53514338e+00 1.96054295e-01 
505 959.22 6.97993851e+00 2.09398150e-01 
504 961.10 7.06276131e+00 2.11882845e-01 
503 962.98 7.45610523e+00 2.23683164e-01 
502 964.85 7.45992136e+00 2.23797634e-01 
501 966.72 7.93444347e+00 2.38033310e-01 
500 968.59 7.96122265e+00 2.38836676e-01 
499 970.45 8.35630703e+00 2.50689209e-01 
498 972.32 8.32624817e+00 2.49787450e-01 
497 974.18 8.65287209e+00 2.59586155e-01 
496 976.04 8.56723404e+00 2.57017016e-01 
495 977.89 8.88995934e+00 2.66698778e-01 
494 979.74 8.80142307e+00 2.64042705e-01 
493 981.59 9.07855892e+00 2.72356778e-01 
492 983.44 8.93533516e+00 2.68060058e-01 
491 985.29 9.19252586e+00 2.75775790e-01 
490 987.13 8.99082375e+00 2.69724727e-01 
489 988.97 9.21128559e+00 2.76338577e-01 
488 990.81 9.05183887e+00 2.71555156e-01 
487 992.65 9.20157051e+00 2.76047111e-01 
486 994.48 9.02522278e+00 2.70756692e-01 
485 996.31 9.16217709e+00 2.74865299e-01 
484 998.14 8.93880844e+00 2.68164247e-01 
483 999.97 9.05694389e+00 2.71708310e-01 
482 1001.79 8.79335022e+00 2.63800502e-01 
481 1003.62 8.86100101e+00 2.65830040e-01 
480 1005.44 8.64934444e+00 2.59480327e-01 
479 1007.25 8.89200687e+00 2.66760200e-01 
478 1009.07 8.67972469e+00 2.60391742e-01 
477 1010.88 8.84336472e+00 2.65300930e-01 
476 1012.69 8.57235813e+00 2.57170737e-01 
475 1014.50 8.67860508e+00 2.60358155e-01 
474 1016.31 8.47327328e+00 2.54198194e-01 
473 1018.11 8.59968281e+00 2.57990479e-01 
472 1019.91 8.35285759e+00 2.50585735e-01 
471 1021.71 8.48782253e+00 2.54634678e-01 
470 1023.51 8.26734352e+00 2.48020306e-01 
469 1025.30 8.42879486e+00 2.52863854e-01 
468 1027.09 8.32890224e+00 2.49867067e-01 
467 1028.88 8.46579742e+00 2.53973931e-01 
466 1030.67 8.32017136e+00 2.49605134e-01 
465 1032.46 8.49752331e+00 2.54925698e-01 
464 1034.24 8.32583714e+00 2.49775112e-01 
463 1036.02 8.51541138e+00 2.55462348e-01 
462 1037.80 8.39579010e+00 2.51873702e-01 
461 1039.58 8.58328152e+00 2.57498443e-01 
460 1041.35 8.45744324e+00 2.53723294e-01 
459 1043.12 8.60358906e+00 2.58107662e-01 
458 1044.89 8.53107738e+00 2.55932331e-01 
457 1046.66 8.75271511e+00 2.62581468e-01 
456 1048.43 8.69113827e+00 2.60734141e-01 
455 1050.19 8.90945435e+00 2.67283618e-01 
454 1051.95 8.77861786e+00 2.63358533e-01 
453 1053.71 9.03648949e+00 2.71094680e-01 
452 1055.47 8.88567257e+00 2.66570181e-01 
451 1057.23 9.01415634e+00 2.70424694e-01 
450 1058.98 8.86584377e+00 2.65975326e-01 
449 1060.73 9.02845573e+00 2.70853668e-01 
448 1062.48 8.82838726e+00 2.64851630e-01 
447 1064.23 8.95689487e+00 2.68706858e-01 
446 1065.97 8.67136574e+00 2.60140985e-01 
445 1067.71 8.70202160e+00 2.61060655e-01 
444 1069.46 8.50917339e+00 2.55275190e-01 
443 1071.19 8.62080383e+00 2.58624107e-01 
442 1072.93 8.47456169e+00 2.54236847e-01 
441 1074.67 8.56507301e+00 2.56952196e-01 
