% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-16 15:54:47.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, high- a-lt, high- a-lt. See the list of files below
% 20160908_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160904_NIR_C0_refined_high_alt_low_m.dat
% 20160908_NIR_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
511 949.79 5.39792665e+00 8.07327170e-02 
510 949.79 5.55620686e+00 7.91327370e-02 
509 951.68 5.94171874e+00 8.24491083e-02 
508 953.57 6.00033156e+00 7.47086389e-02 
507 955.46 6.46229601e+00 7.78555892e-02 
506 957.34 6.55835025e+00 7.43054101e-02 
505 959.22 7.01903502e+00 7.62846133e-02 
504 961.10 7.09288645e+00 6.49832280e-02 
503 962.98 7.50881704e+00 7.35980768e-02 
502 964.85 7.49693457e+00 5.66871344e-02 
501 966.72 7.99488322e+00 6.89608471e-02 
500 968.59 8.01087030e+00 5.35577584e-02 
499 970.45 8.40841039e+00 5.40088826e-02 
498 972.32 8.36494605e+00 4.20562026e-02 
497 974.18 8.69803588e+00 4.44561196e-02 
496 976.04 8.60886256e+00 3.75841475e-02 
495 977.89 8.94494693e+00 4.77542465e-02 
494 979.74 8.84254614e+00 3.57865981e-02 
493 981.59 9.12711875e+00 4.30331967e-02 
492 983.44 8.99026171e+00 4.88700650e-02 
491 985.29 9.24776872e+00 4.97991883e-02 
490 987.13 9.04039288e+00 4.60421385e-02 
489 988.97 9.27171262e+00 5.52249362e-02 
488 990.81 9.09044393e+00 4.10835482e-02 
487 992.65 9.26194477e+00 5.60462659e-02 
486 994.48 9.07071686e+00 4.80685826e-02 
485 996.31 9.21584384e+00 5.15936950e-02 
484 998.14 8.98223336e+00 4.66898617e-02 
483 999.97 9.11309560e+00 5.61953106e-02 
482 1001.79 8.83691438e+00 4.60051090e-02 
481 1003.62 8.91467825e+00 5.30381887e-02 
480 1005.44 8.69259771e+00 4.56724294e-02 
479 1007.25 8.93300025e+00 4.32829346e-02 
478 1009.07 8.71321869e+00 4.20748679e-02 
477 1010.88 8.88133876e+00 4.11184136e-02 
476 1012.69 8.60731284e+00 3.93391515e-02 
475 1014.50 8.72497177e+00 4.73815598e-02 
474 1016.31 8.51098665e+00 4.30827108e-02 
473 1018.11 8.64295292e+00 4.40018069e-02 
472 1019.91 8.39578374e+00 4.58250206e-02 
471 1021.71 8.54225159e+00 5.09887144e-02 
470 1023.51 8.32007726e+00 4.84754874e-02 
469 1025.30 8.48882325e+00 5.46219847e-02 
468 1027.09 8.38135497e+00 4.92238156e-02 
467 1028.88 8.52471510e+00 5.50998718e-02 
466 1030.67 8.37438711e+00 4.91389871e-02 
465 1032.46 8.55141322e+00 4.83045063e-02 
464 1034.24 8.38655631e+00 5.42437307e-02 
463 1036.02 8.58137131e+00 5.78470196e-02 
462 1037.80 8.45276197e+00 5.11805088e-02 
461 1039.58 8.65061887e+00 6.00310615e-02 
460 1041.35 8.51351547e+00 5.22994455e-02 
459 1043.12 8.66342926e+00 5.49649033e-02 
458 1044.89 8.58257294e+00 4.73512837e-02 
457 1046.66 8.80524127e+00 4.60486919e-02 
456 1048.43 8.74574026e+00 4.76480539e-02 
455 1050.19 8.97153314e+00 5.39194744e-02 
454 1051.95 8.83384196e+00 4.81324439e-02 
453 1053.71 9.09361744e+00 5.01371158e-02 
452 1055.47 8.93401686e+00 4.26041199e-02 
451 1057.23 9.07228406e+00 5.14094902e-02 
450 1058.98 8.91777706e+00 4.53089558e-02 
449 1060.73 9.08031972e+00 4.57584256e-02 
448 1062.48 8.87514210e+00 4.13249397e-02 
447 1064.23 9.00285721e+00 4.18189192e-02 
446 1065.97 8.71345933e+00 3.81119665e-02 
445 1067.71 8.76375898e+00 5.41639755e-02 
444 1069.46 8.56624444e+00 5.03136647e-02 
443 1071.19 8.68515110e+00 5.65330600e-02 
442 1072.93 8.53124046e+00 4.97696732e-02 
441 1074.67 8.62512048e+00 5.24774521e-02 
440 1076.40 8.42361577e+00 5.28765153e-02 
439 1078.13 8.45821889e+00 5.45279538e-02 
438 1079.86 8.22083028e+00 5.17130212e-02 
437 1081.58 8.30288696e+00 5.44767107e-02 
436 1083.31 8.19369062e+00 4.43510401e-02 
435 1085.03 8.37715149e+00 5.30713384e-02 
434 1086.75 8.30901623e+00 5.37149276e-02 
433 1088.47 8.47469966e+00 5.86885477e-02 
432 1090.19 8.37775930e+00 4.77212252e-02 
431 1091.90 8.49989160e+00 5.31003927e-02 
430 1093.61 8.39140924e+00 3.15219342e-02 
429 1095.33 8.60916996e+00 3.99671865e-02 
428 1097.03 8.65183799e+00 2.92219218e-02 
427 1098.74 8.91171328e+00 3.69901660e-02 
426 1100.45 8.92698574e+00 3.29865531e-02 
425 1102.15 9.22342142e+00 4.09684654e-02 
424 1103.85 9.25571156e+00 3.21605354e-02 
423 1105.55 9.53607051e+00 3.38444338e-02 
422 1107.25 9.48270416e+00 4.13151489e-02 
421 1108.94 9.67136828e+00 4.89659176e-02 
420 1110.64 9.51980623e+00 4.21925631e-02 
419 1112.33 9.59490013e+00 7.00256399e-02 
418 1114.02 9.31165346e+00 1.06153527e-01 
417 1115.70 9.31278006e+00 1.29038213e-01 
416 1117.39 9.06788762e+00 1.48983193e-01 
415 1119.07 9.06222280e+00 1.68943556e-01 
414 1120.76 8.94170666e+00 1.85756727e-01 
413 1122.44 9.04509353e+00 2.06828896e-01 
412 1124.12 8.98715623e+00 2.10653580e-01 
411 1125.79 9.18081919e+00 2.06928943e-01 
410 1127.47 9.27927367e+00 1.85576945e-01 
409 1129.14 9.52358882e+00 1.52108326e-01 
408 1130.81 9.19860268e+00 1.83721694e-01 
407 1132.48 9.14584509e+00 2.00358191e-01 
406 1134.15 8.98011653e+00 1.94346900e-01 
405 1135.81 9.22614352e+00 1.57228464e-01 
404 1137.48 9.50194041e+00 9.29571950e-02 
403 1139.14 9.71391932e+00 7.66142145e-02 
402 1140.80 9.48330625e+00 9.10599758e-02 
401 1142.46 9.48885727e+00 1.20812872e-01 
400 1144.12 9.26093705e+00 1.33225677e-01 
399 1145.77 9.32413165e+00 1.44226938e-01 
398 1147.43 9.28389072e+00 1.27500876e-01 
397 1149.08 9.41194566e+00 1.08908794e-01 
396 1150.73 9.34933694e+00 9.82484366e-02 
395 1152.38 9.55721251e+00 8.65863665e-02 
394 1154.02 9.49796708e+00 7.04248192e-02 
393 1155.67 9.67157555e+00 5.28916222e-02 
392 1157.31 9.49079132e+00 3.93675114e-02 
391 1158.95 9.55292543e+00 3.25048865e-02 
390 1160.59 9.43368562e+00 3.12925747e-02 
389 1162.23 9.55601947e+00 3.85411689e-02 
388 1163.87 9.44191424e+00 2.99891091e-02 
387 1165.50 9.49857934e+00 3.23081772e-02 
386 1167.13 9.38950984e+00 3.14525702e-02 
385 1168.76 9.49539757e+00 3.27805255e-02 
