% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20160908starsun.mat and recorded on 2017-05-08 14:34:43.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 2.27447860e-22 6.82343542e-24 
46 209.84 4.44509715e-01 1.33352913e-02 
47 210.64 5.52509546e-01 1.65752862e-02 
48 211.44 7.05560684e-01 2.11668201e-02 
49 212.24 7.86701560e-01 2.36010477e-02 
50 213.04 5.23988247e-01 1.57196466e-02 
51 213.85 7.27707684e-01 2.18312312e-02 
52 214.65 5.69126785e-01 1.70738026e-02 
53 215.45 7.63929725e-01 2.29178909e-02 
54 216.25 5.94277680e-01 1.78283304e-02 
55 217.05 7.32012033e-01 2.19603609e-02 
56 217.85 7.46495247e-01 2.23948583e-02 
57 218.65 7.46295929e-01 2.23888773e-02 
58 219.46 7.66247094e-01 2.29874123e-02 
59 220.26 7.50412464e-01 2.25123744e-02 
60 221.06 7.50715971e-01 2.25214791e-02 
61 221.86 6.90305710e-01 2.07091719e-02 
62 222.66 7.22430348e-01 2.16729101e-02 
63 223.47 6.99557424e-01 2.09867228e-02 
64 224.27 7.32347250e-01 2.19704174e-02 
65 225.07 7.12794542e-01 2.13838369e-02 
66 225.87 6.76941037e-01 2.03082319e-02 
67 226.68 6.78086042e-01 2.03425810e-02 
68 227.48 6.31305933e-01 1.89391784e-02 
69 228.28 6.52111411e-01 1.95633415e-02 
70 229.08 6.39759541e-01 1.91927869e-02 
71 229.89 6.38779223e-01 1.91633776e-02 
72 230.69 6.24925196e-01 1.87477563e-02 
73 231.49 6.21947706e-01 1.86584312e-02 
74 232.30 6.50960684e-01 1.95288211e-02 
75 233.10 6.34253204e-01 1.90275963e-02 
76 233.90 6.53181970e-01 1.95954591e-02 
77 234.71 6.59609556e-01 1.97882876e-02 
78 235.51 6.53962374e-01 1.96188707e-02 
79 236.32 6.82456017e-01 2.04736814e-02 
80 237.12 7.05916047e-01 2.11774819e-02 
81 237.92 6.83148861e-01 2.04944666e-02 
82 238.73 7.14629591e-01 2.14388873e-02 
83 239.53 6.37241006e-01 1.91172305e-02 
84 240.34 7.00459957e-01 2.10137982e-02 
85 241.14 6.60717607e-01 1.98215283e-02 
86 241.94 5.27139902e-01 1.58141963e-02 
87 242.75 6.30788326e-01 1.89236496e-02 
88 243.55 7.34636009e-01 2.20390800e-02 
89 244.36 5.61968684e-01 1.68590602e-02 
90 245.16 6.48205161e-01 1.94461551e-02 
91 245.97 5.26167512e-01 1.57850254e-02 
92 246.77 5.08875251e-01 1.52662573e-02 
93 247.58 4.84055638e-01 1.45216696e-02 
94 248.38 9.04638648e-01 2.71391589e-02 
95 249.19 1.08985460e+00 3.26956362e-02 
96 249.99 1.05012798e+00 3.15038413e-02 
97 250.80 5.76109812e-02 1.72832946e-03 
98 251.60 3.86055321e-01 1.15816593e-02 
99 252.41 3.08992445e-01 9.26977303e-03 
100 253.21 1.41536283e+01 4.24608856e-01 
101 254.02 2.29378021e+02 6.88134050e+00 
102 254.82 9.50632629e+01 2.85189795e+00 
103 255.63 1.31105688e+03 3.93317070e+01 
104 256.44 1.86009026e+01 5.58027089e-01 
105 257.24 7.88161397e-01 2.36448422e-02 
106 258.05 4.45582658e-01 1.33674797e-02 
107 258.85 1.12866558e-01 3.38599668e-03 
108 259.66 3.25612456e-01 9.76837333e-03 
109 260.46 5.61861455e-01 1.68558434e-02 
110 261.27 4.59159136e-01 1.37747740e-02 
111 262.08 8.09052706e-01 2.42715813e-02 
112 262.88 1.03185368e+00 3.09556108e-02 
113 263.69 7.67504990e-01 2.30251495e-02 
114 264.49 5.91721475e-01 1.77516434e-02 
115 265.30 7.03840196e-01 2.11152062e-02 
116 266.11 6.56116307e-01 1.96834896e-02 
117 266.91 4.38049138e-01 1.31414738e-02 
118 267.72 6.15016103e-01 1.84504837e-02 
119 268.53 6.75689816e-01 2.02706940e-02 
120 269.33 7.12908804e-01 2.13872641e-02 
121 270.14 6.89111233e-01 2.06733365e-02 
122 270.95 6.68363154e-01 2.00508945e-02 
123 271.75 6.85540140e-01 2.05662046e-02 
124 272.56 7.22435832e-01 2.16730759e-02 
125 273.37 7.34361410e-01 2.20308416e-02 
126 274.17 7.39598989e-01 2.21879706e-02 
127 274.98 6.89845026e-01 2.06953511e-02 
128 275.79 6.45941675e-01 1.93782505e-02 
129 276.59 6.36514604e-01 1.90954376e-02 
130 277.40 6.19868100e-01 1.85960438e-02 
131 278.21 6.01014495e-01 1.80304348e-02 
132 279.01 5.71650803e-01 1.71495248e-02 
133 279.82 5.77165961e-01 1.73149779e-02 
134 280.63 5.55165231e-01 1.66549571e-02 
135 281.43 5.46016335e-01 1.63804907e-02 
136 282.24 5.32274365e-01 1.59682315e-02 
137 283.05 5.13540864e-01 1.54062258e-02 
138 283.86 5.15688479e-01 1.54706547e-02 
139 284.66 5.09285033e-01 1.52785508e-02 
140 285.47 4.96969610e-01 1.49090886e-02 
141 286.28 4.97301489e-01 1.49190444e-02 
142 287.09 4.93731767e-01 1.48119526e-02 
143 287.89 5.08588016e-01 1.52576407e-02 
144 288.70 4.65778202e-01 1.39733460e-02 
145 289.51 4.60867882e-01 1.38260368e-02 
146 290.32 4.75217223e-01 1.42565165e-02 
147 291.12 4.49211895e-01 1.34763569e-02 
148 291.93 4.54873919e-01 1.36462180e-02 
149 292.74 4.74541068e-01 1.42362323e-02 
150 293.55 4.75859851e-01 1.42757958e-02 
151 294.35 4.54773307e-01 1.36431996e-02 
152 295.16 4.43785816e-01 1.33135747e-02 
153 295.97 4.48504955e-01 1.34551488e-02 
154 296.78 4.45435643e-01 1.33630689e-02 
155 297.58 4.56170678e-01 1.36851203e-02 
156 298.39 4.46257979e-01 1.33877397e-02 
157 299.20 4.42340732e-01 1.32702217e-02 
158 300.01 4.44880575e-01 1.33464169e-02 
159 300.81 4.30326641e-01 1.29097989e-02 
160 301.62 4.48287398e-01 1.34486221e-02 
161 302.43 4.61852223e-01 1.38555663e-02 
162 303.24 4.50410992e-01 1.35123301e-02 
163 304.04 4.56095964e-01 1.36828786e-02 
164 304.85 4.67983931e-01 1.40395183e-02 
165 305.66 4.58771467e-01 1.37631437e-02 
166 306.47 4.68116164e-01 1.40434848e-02 
167 307.28 4.60895002e-01 1.38268499e-02 
168 308.08 4.75582540e-01 1.42674763e-02 
169 308.89 4.63243753e-01 1.38973128e-02 
170 309.70 4.63185936e-01 1.38955778e-02 
171 310.51 4.86302912e-01 1.45890871e-02 
172 311.32 4.79467809e-01 1.43840341e-02 
173 312.12 4.96725947e-01 1.49017787e-02 
174 312.93 4.90717918e-01 1.47215379e-02 
175 313.74 4.97074127e-01 1.49122234e-02 
176 314.55 5.10885894e-01 1.53265772e-02 
177 315.36 4.97693479e-01 1.49308043e-02 
178 316.16 5.25354087e-01 1.57606229e-02 
179 316.97 5.18577754e-01 1.55573329e-02 
180 317.78 5.44753194e-01 1.63425952e-02 
181 318.59 5.46135962e-01 1.63840782e-02 
182 319.40 5.70944607e-01 1.71283390e-02 
183 320.20 5.99422634e-01 1.79826785e-02 
184 321.01 5.90917885e-01 1.77275371e-02 
185 321.82 6.05447292e-01 1.81634184e-02 
186 322.63 6.30280912e-01 1.89084280e-02 
187 323.43 6.75726533e-01 2.02717967e-02 
188 324.24 6.51297688e-01 1.95389315e-02 
189 325.05 6.95765734e-01 2.08729729e-02 
190 325.86 7.39229560e-01 2.21768860e-02 
191 326.67 7.34515071e-01 2.20354516e-02 
192 327.48 7.82913268e-01 2.34873984e-02 
193 328.28 8.00789356e-01 2.40236800e-02 
194 329.09 8.39549780e-01 2.51864940e-02 
195 329.90 8.95575643e-01 2.68672686e-02 
196 330.71 9.48191226e-01 2.84457374e-02 
197 331.52 1.03289282e+00 3.09867840e-02 
198 332.32 1.17574453e+00 3.52723375e-02 
199 333.13 1.46250224e+00 4.38750684e-02 
200 333.94 1.91688943e+00 5.75066842e-02 
201 334.75 2.69056726e+00 8.07170197e-02 
202 335.55 3.79886651e+00 1.13965996e-01 
203 336.36 5.23273373e+00 1.56982005e-01 
204 337.17 7.56666708e+00 2.27000013e-01 
205 337.98 1.07986174e+01 3.23958516e-01 
206 338.79 1.46365108e+01 4.39095318e-01 
207 339.60 1.89458580e+01 5.68375766e-01 
208 340.40 2.28211861e+01 6.84635580e-01 
209 341.21 2.60975780e+01 7.82927334e-01 
210 342.02 3.00205803e+01 9.00617421e-01 
211 342.83 3.34791374e+01 1.00437415e+00 
212 343.63 3.44100990e+01 1.03230298e+00 
213 344.44 3.56007347e+01 1.06802201e+00 
214 345.25 3.94598312e+01 1.18379498e+00 
215 346.06 4.32403030e+01 1.29720914e+00 
216 346.87 4.57432632e+01 1.37229788e+00 
217 347.67 4.75067596e+01 1.42520285e+00 
218 348.48 4.91552544e+01 1.47465765e+00 
219 349.29 5.20474777e+01 1.56142437e+00 
220 350.10 5.71128235e+01 1.71338475e+00 
221 350.90 6.06134605e+01 1.81840384e+00 
222 351.71 6.06782646e+01 1.82034791e+00 
223 352.52 6.17406731e+01 1.85222018e+00 
224 353.33 6.69766998e+01 2.00930095e+00 
225 354.14 7.37665405e+01 2.21299624e+00 
226 354.94 7.67570572e+01 2.30271173e+00 
227 355.75 7.53518372e+01 2.26055503e+00 
228 356.56 7.08480606e+01 2.12544179e+00 
229 357.37 6.64272232e+01 1.99281669e+00 
230 358.18 6.53468628e+01 1.96040583e+00 
231 358.98 7.31890640e+01 2.19567204e+00 
232 359.79 8.45344391e+01 2.53603315e+00 
233 360.60 8.60900421e+01 2.58270121e+00 
234 361.41 8.44877396e+01 2.53463221e+00 
235 362.21 8.90532455e+01 2.67159748e+00 
236 363.02 9.42830887e+01 2.82849264e+00 
237 363.83 9.74141846e+01 2.92242551e+00 
238 364.64 1.02087830e+02 3.06263494e+00 
239 365.44 1.11289650e+02 3.33868957e+00 
240 366.25 1.19572701e+02 3.58718109e+00 
241 367.06 1.20694206e+02 3.62082624e+00 
242 367.87 1.18657738e+02 3.55973220e+00 
243 368.67 1.20377686e+02 3.61133051e+00 
244 369.48 1.25998238e+02 3.77994704e+00 
245 370.29 1.27306633e+02 3.81919909e+00 
246 371.10 1.26029488e+02 3.78088474e+00 
247 371.90 1.23228302e+02 3.69684911e+00 
248 372.71 1.16378670e+02 3.49136019e+00 
249 373.52 1.10109428e+02 3.30328274e+00 
250 374.33 1.09283234e+02 3.27849698e+00 
251 375.13 1.17228203e+02 3.51684618e+00 
252 375.94 1.28083160e+02 3.84249473e+00 
253 376.75 1.39387619e+02 4.18162870e+00 
254 377.56 1.53241684e+02 4.59725046e+00 
255 378.36 1.57427231e+02 4.72281694e+00 
256 379.17 1.48896378e+02 4.46689129e+00 
257 379.98 1.45822189e+02 4.37466574e+00 
258 380.78 1.46370514e+02 4.39111519e+00 
259 381.59 1.33733459e+02 4.01200390e+00 
260 382.40 1.13408638e+02 3.40225911e+00 
261 383.20 1.03805206e+02 3.11415625e+00 
262 384.01 1.13011215e+02 3.39033651e+00 
263 384.82 1.28603043e+02 3.85809135e+00 
264 385.63 1.34599365e+02 4.03798103e+00 
265 386.43 1.35549591e+02 4.06648779e+00 
266 387.24 1.36514313e+02 4.09542942e+00 
267 388.05 1.38082489e+02 4.14247465e+00 
268 388.85 1.46204987e+02 4.38614941e+00 
269 389.66 1.60023590e+02 4.80070782e+00 
270 390.47 1.70907394e+02 5.12722206e+00 
271 391.27 1.72171051e+02 5.16513157e+00 
272 392.08 1.53717667e+02 4.61152983e+00 
273 392.89 1.22981758e+02 3.68945265e+00 
274 393.69 1.14690819e+02 3.44072461e+00 
275 394.50 1.38588226e+02 4.15764666e+00 
276 395.31 1.56307327e+02 4.68921995e+00 
277 396.11 1.44452881e+02 4.33358622e+00 
278 396.92 1.34083893e+02 4.02251673e+00 
279 397.73 1.58822266e+02 4.76466799e+00 
280 398.53 1.97366943e+02 5.92100811e+00 
281 399.34 2.20402496e+02 6.61207485e+00 
282 400.15 2.31008240e+02 6.93024731e+00 
283 400.95 2.38514496e+02 7.15543509e+00 
284 401.76 2.44388062e+02 7.33164167e+00 
285 402.57 2.46111343e+02 7.38334036e+00 
286 403.37 2.43902710e+02 7.31708145e+00 
287 404.18 2.42279556e+02 7.26838684e+00 
288 404.99 2.40829193e+02 7.22487593e+00 
289 405.79 2.39312302e+02 7.17936897e+00 
290 406.60 2.39385910e+02 7.18157721e+00 
291 407.40 2.44921890e+02 7.34765673e+00 
292 408.21 2.54091751e+02 7.62275267e+00 
293 409.02 2.57794952e+02 7.73384857e+00 
294 409.82 2.53461166e+02 7.60383511e+00 
295 410.63 2.55752075e+02 7.67256212e+00 
296 411.43 2.67569733e+02 8.02709198e+00 
297 412.24 2.74848999e+02 8.24547005e+00 
298 413.05 2.74823853e+02 8.24471569e+00 
299 413.85 2.74057251e+02 8.22171783e+00 
300 414.66 2.74515533e+02 8.23546600e+00 
301 415.46 2.74682892e+02 8.24048710e+00 
302 416.27 2.75465546e+02 8.26396656e+00 
303 417.08 2.71118683e+02 8.13356018e+00 
304 417.88 2.65774017e+02 7.97322035e+00 
305 418.69 2.63638977e+02 7.90916920e+00 
306 419.49 2.63847748e+02 7.91543245e+00 
307 420.30 2.67369904e+02 8.02109718e+00 
308 421.11 2.70903778e+02 8.12711334e+00 
309 421.91 2.68722809e+02 8.06168461e+00 
310 422.72 2.63642487e+02 7.90927458e+00 
311 423.52 2.64181366e+02 7.92544079e+00 
312 424.33 2.68101288e+02 8.04303837e+00 
313 425.13 2.70359985e+02 8.11079979e+00 
314 425.94 2.71554596e+02 8.14663792e+00 
315 426.74 2.71781677e+02 8.15345001e+00 
316 427.55 2.71883667e+02 8.15651035e+00 
317 428.36 2.69787292e+02 8.09361839e+00 
318 429.16 2.59509674e+02 7.78529024e+00 
319 429.96 2.47529068e+02 7.42587185e+00 
320 430.77 2.53982361e+02 7.61947060e+00 
321 431.58 2.84375000e+02 8.53125000e+00 
322 432.38 3.15570496e+02 9.46711445e+00 
323 433.19 3.28883453e+02 9.86650372e+00 
324 433.99 3.36268585e+02 1.00880575e+01 
325 434.80 3.49841614e+02 1.04952488e+01 
326 435.60 3.71267212e+02 1.11380167e+01 
327 436.41 3.85915100e+02 1.15774527e+01 
328 437.21 3.87890808e+02 1.16367245e+01 
329 438.02 3.81021149e+02 1.14306345e+01 
330 438.82 3.85227112e+02 1.15568132e+01 
331 439.63 3.96806763e+02 1.19042025e+01 
332 440.43 4.14503143e+02 1.24350939e+01 
333 441.24 4.32711914e+02 1.29813576e+01 
334 442.04 4.50662933e+02 1.35198879e+01 
335 442.85 4.60700043e+02 1.38210011e+01 
336 443.65 4.68578217e+02 1.40573463e+01 
337 444.45 4.72228333e+02 1.41668501e+01 
338 445.26 4.69196869e+02 1.40759058e+01 
339 446.06 4.74418030e+02 1.42325411e+01 
340 446.87 4.84691315e+02 1.45407391e+01 
341 447.67 5.01741608e+02 1.50522480e+01 
342 448.48 5.10719391e+02 1.53215818e+01 
343 449.28 5.21970581e+02 1.56591177e+01 
344 450.09 5.30897522e+02 1.59269257e+01 
345 450.89 5.40794495e+02 1.62238350e+01 
346 451.70 5.32828552e+02 1.59848566e+01 
347 452.50 5.23396240e+02 1.57018871e+01 
348 453.30 5.17959717e+02 1.55387917e+01 
349 454.11 5.18664368e+02 1.55599308e+01 
350 454.91 5.26224792e+02 1.57867441e+01 
351 455.72 5.35827637e+02 1.60748291e+01 
352 456.52 5.43739624e+02 1.63121891e+01 
353 457.32 5.45717041e+02 1.63715115e+01 
354 458.13 5.43149048e+02 1.62944717e+01 
355 458.93 5.41772949e+02 1.62531891e+01 
356 459.74 5.46773560e+02 1.64032059e+01 
357 460.54 5.53845581e+02 1.66153679e+01 
358 461.34 5.61712036e+02 1.68513603e+01 
359 462.15 5.65583923e+02 1.69675179e+01 
360 462.95 5.66199707e+02 1.69859905e+01 
361 463.76 5.61651550e+02 1.68495464e+01 
362 464.56 5.57940125e+02 1.67382030e+01 
363 465.36 5.55261108e+02 1.66578331e+01 
364 466.17 5.52648987e+02 1.65794697e+01 
365 466.97 5.52615784e+02 1.65784740e+01 
366 467.77 5.53412109e+02 1.66023636e+01 
367 468.58 5.60225342e+02 1.68067608e+01 
368 469.38 5.60368530e+02 1.68110561e+01 
369 470.18 5.59200500e+02 1.67760143e+01 
370 470.99 5.63891418e+02 1.69167423e+01 
371 471.79 5.70733521e+02 1.71220055e+01 
372 472.59 5.82473022e+02 1.74741898e+01 
373 473.40 5.87326721e+02 1.76198025e+01 
374 474.20 5.88399231e+02 1.76519775e+01 
375 475.00 5.93464111e+02 1.78039227e+01 
376 475.81 5.91797974e+02 1.77539387e+01 
377 476.61 5.96624146e+02 1.78987236e+01 
378 477.41 6.01249634e+02 1.80374889e+01 
379 478.21 6.10302795e+02 1.83090839e+01 
380 479.02 6.13939026e+02 1.84181709e+01 
381 479.82 6.16421265e+02 1.84926376e+01 
382 480.62 6.20407471e+02 1.86122246e+01 
383 481.43 6.21697205e+02 1.86509171e+01 
384 482.23 6.18845398e+02 1.85653610e+01 
385 483.03 6.18385498e+02 1.85515652e+01 
386 483.84 6.06564819e+02 1.81969452e+01 
387 484.64 5.87093506e+02 1.76128044e+01 
388 485.44 5.62480469e+02 1.68744144e+01 
389 486.24 5.49163330e+02 1.64748993e+01 
390 487.04 5.52778381e+02 1.65833511e+01 
391 487.85 5.71654114e+02 1.71496239e+01 
392 488.65 5.86313232e+02 1.75893974e+01 
393 489.45 6.00794495e+02 1.80238342e+01 
394 490.26 6.08487793e+02 1.82546329e+01 
395 491.06 6.08355225e+02 1.82506561e+01 
396 491.86 6.03697510e+02 1.81109257e+01 
397 492.66 6.02758972e+02 1.80827694e+01 
398 493.46 6.10194519e+02 1.83058357e+01 
399 494.27 6.15813171e+02 1.84743958e+01 
400 495.07 6.20060913e+02 1.86018276e+01 
401 495.87 6.25893921e+02 1.87768173e+01 
402 496.67 6.21819946e+02 1.86545982e+01 
403 497.48 6.14733215e+02 1.84419956e+01 
404 498.28 6.10396240e+02 1.83118877e+01 
405 499.08 6.06843445e+02 1.82053032e+01 
406 499.88 6.03312500e+02 1.80993748e+01 
407 500.68 5.93008728e+02 1.77902622e+01 
408 501.48 5.91403320e+02 1.77420998e+01 
409 502.29 5.93876587e+02 1.78162975e+01 
410 503.09 6.00723206e+02 1.80216961e+01 
411 503.89 6.08222961e+02 1.82466888e+01 
412 504.69 6.14017517e+02 1.84205246e+01 
413 505.49 6.16819397e+02 1.85045815e+01 
414 506.29 6.21594360e+02 1.86478310e+01 
415 507.09 6.17348145e+02 1.85204449e+01 
416 507.90 6.14072876e+02 1.84221859e+01 
417 508.70 6.12486694e+02 1.83746014e+01 
418 509.50 6.13907104e+02 1.84172134e+01 
419 510.30 6.13153809e+02 1.83946152e+01 
420 511.10 6.11070374e+02 1.83321114e+01 
421 511.90 6.11837219e+02 1.83551159e+01 
422 512.71 6.02383423e+02 1.80715027e+01 
423 513.51 5.97881775e+02 1.79364529e+01 
424 514.31 5.90378845e+02 1.77113647e+01 
425 515.11 5.82191711e+02 1.74657516e+01 
426 515.91 5.65975098e+02 1.69792538e+01 
427 516.71 5.49432861e+02 1.64829865e+01 
428 517.51 5.41908875e+02 1.62572670e+01 
429 518.31 5.44571472e+02 1.63371449e+01 
430 519.11 5.58245605e+02 1.67473679e+01 
431 519.91 5.70312683e+02 1.71093807e+01 
432 520.71 5.83310181e+02 1.74993057e+01 
433 521.52 5.88569275e+02 1.76570778e+01 
434 522.32 5.87970093e+02 1.76391029e+01 
435 523.12 5.90065063e+02 1.77019520e+01 
436 523.92 5.94492249e+02 1.78347683e+01 
437 524.72 5.98256531e+02 1.79476967e+01 
438 525.52 5.90688049e+02 1.77206421e+01 
439 526.32 5.75166199e+02 1.72549858e+01 
440 527.12 5.74149048e+02 1.72244720e+01 
441 527.92 5.81362244e+02 1.74408665e+01 
442 528.72 5.96913818e+02 1.79074154e+01 
443 529.52 6.05428955e+02 1.81628685e+01 
444 530.32 6.09494873e+02 1.82848454e+01 
445 531.12 6.08712158e+02 1.82613640e+01 
446 531.92 6.03822205e+02 1.81146660e+01 
447 532.72 5.96974426e+02 1.79092331e+01 
448 533.52 5.91707397e+02 1.77512226e+01 
449 534.32 5.96089844e+02 1.78826962e+01 
450 535.12 6.03706177e+02 1.81111851e+01 
451 535.92 6.06093567e+02 1.81828079e+01 
452 536.72 6.03505859e+02 1.81051750e+01 
453 537.52 6.00409912e+02 1.80122967e+01 
454 538.32 5.96063660e+02 1.78819103e+01 
455 539.12 5.90607239e+02 1.77182178e+01 
456 539.92 5.83587036e+02 1.75076103e+01 
457 540.72 5.81442932e+02 1.74432888e+01 
458 541.52 5.85131531e+02 1.75539455e+01 
459 542.32 5.89651855e+02 1.76895561e+01 
460 543.12 5.91781921e+02 1.77534580e+01 
461 543.92 5.96595398e+02 1.78978615e+01 
462 544.72 5.96928894e+02 1.79078674e+01 
463 545.52 5.95297058e+02 1.78589115e+01 
464 546.32 5.91011230e+02 1.77303371e+01 
465 547.12 5.91053772e+02 1.77316132e+01 
466 547.91 5.89070740e+02 1.76721230e+01 
467 548.71 5.88604370e+02 1.76581306e+01 
468 549.51 5.88500244e+02 1.76550064e+01 
469 550.31 5.89138672e+02 1.76741600e+01 
470 551.11 5.88772217e+02 1.76631660e+01 
471 551.91 5.85917175e+02 1.75775146e+01 
472 552.71 5.84791504e+02 1.75437450e+01 
473 553.51 5.87604065e+02 1.76281223e+01 
474 554.31 5.91855286e+02 1.77556591e+01 
475 555.10 5.86676208e+02 1.76002865e+01 
476 555.90 5.85375427e+02 1.75612621e+01 
477 556.70 5.79923340e+02 1.73976994e+01 
478 557.50 5.72184509e+02 1.71655350e+01 
479 558.30 5.70182678e+02 1.71054802e+01 
480 559.10 5.65287354e+02 1.69586201e+01 
481 559.90 5.69297302e+02 1.70789185e+01 
482 560.70 5.70301514e+02 1.71090450e+01 
483 561.49 5.77633240e+02 1.73289967e+01 
484 562.29 5.78630920e+02 1.73589268e+01 
485 563.09 5.84133545e+02 1.75240059e+01 
486 563.89 5.80953491e+02 1.74286041e+01 
487 564.69 5.83293518e+02 1.74988060e+01 
488 565.49 5.79635315e+02 1.73890591e+01 
489 566.29 5.80331116e+02 1.74099331e+01 
490 567.08 5.83678284e+02 1.75103493e+01 
491 567.88 5.84794861e+02 1.75438461e+01 
