% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-06-22 01:32:26.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, high- a-lt, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20160908_VIS_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160908_VIS_C0_refined_high_alt_low_m.dat
% 20160912_VIS_C0_refined_high_alt_low_m.dat
% 20160904_VIS_C0_refined_high_alt_low_m_fromBonanza.dat
% 20160908_VIS_C0_refined_high_alt_low_m_fromBonanza.dat
Pix Wavelength C0 C0err
0 173.18 -2.00000000e-01 4.47213595e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -8.00000000e-01 4.47213595e-01 
46 209.84 3.51621320e+34 7.86249174e+34 
47 210.64 5.29528752e+33 1.18406229e+34 
48 211.44 8.15737494e+32 1.82404449e+33 
49 212.24 9.38191375e+34 1.28186248e+35 
50 213.04 1.23972137e+34 1.69322202e+34 
51 213.85 2.02207290e+34 4.06833000e+34 
52 214.65 2.52258628e+33 5.03533476e+33 
53 215.45 3.10049171e+32 6.12806705e+32 
54 216.25 3.80030168e+31 7.44142409e+31 
55 217.05 4.73775468e+30 9.17799048e+30 
56 217.85 5.87896537e+29 1.12497578e+30 
57 218.65 7.23730970e+28 1.36487628e+29 
58 219.46 9.06231886e+27 1.68758297e+28 
59 220.26 1.14075695e+27 2.09156197e+27 
60 221.06 1.39671144e+26 2.52717742e+26 
61 221.86 1.75398331e+25 3.11749143e+25 
62 222.66 2.18965123e+24 3.82503088e+24 
63 223.47 2.75962148e+23 4.74482651e+23 
64 224.27 3.46208036e+22 5.79324715e+22 
65 225.07 4.46915258e+21 7.35255403e+21 
66 225.87 5.59325688e+20 8.99243447e+20 
67 226.68 7.08416238e+19 1.12170600e+20 
68 227.48 9.61515216e+18 1.46926451e+19 
69 228.28 1.49931755e+18 2.23137624e+18 
70 229.08 3.25416727e+17 4.72257461e+17 
71 229.89 1.30461154e+17 1.85713971e+17 
72 230.69 1.27651221e+17 1.83933458e+17 
73 231.49 3.13489803e+17 4.59828126e+17 
74 232.30 1.60373546e+18 2.39738542e+18 
75 233.10 1.29853022e+19 2.00489459e+19 
76 233.90 1.27501641e+20 2.05171927e+20 
77 234.71 1.37727121e+21 2.27811224e+21 
78 235.51 1.56213982e+22 2.66507884e+22 
79 236.32 1.75031782e+23 3.03669486e+23 
80 237.12 2.04324942e+24 3.63750442e+24 
81 237.92 2.42656156e+25 4.42441336e+25 
82 238.73 2.90665103e+26 5.39487486e+26 
83 239.53 3.49109305e+27 6.62286434e+27 
84 240.34 4.06668403e+28 7.80864190e+28 
85 241.14 4.44921658e+29 8.67745631e+29 
86 241.94 4.46714333e+30 8.86009644e+30 
87 242.75 4.08568340e+31 8.15030341e+31 
88 243.55 3.54833272e+32 7.16493669e+32 
89 244.36 2.72350022e+33 5.53860671e+33 
90 245.16 1.97347780e+34 4.04415069e+34 
91 245.97 7.79077399e+33 1.06427721e+34 
92 246.77 3.88265387e+34 5.30501790e+34 
93 247.58 1.79191669e+35 2.44898150e+35 
94 248.38 8.26967900e+32 1.84915644e+33 
95 249.19 2.80171234e+33 6.26481925e+33 
96 249.99 7.49333078e+33 1.67555970e+34 
97 250.80 1.56219120e+34 3.49316571e+34 
98 251.60 3.12209370e+34 6.98121375e+34 
99 252.41 5.66138146e+34 1.26592338e+35 
100 253.21 8.42052836e+34 1.88288738e+35 
101 254.02 1.13911305e+35 2.54713421e+35 
102 254.82 1.82126526e+01 4.29607972e+01 
103 255.63 1.27814199e+35 2.85801238e+35 
104 256.44 8.99347870e+34 2.01100297e+35 
105 257.24 5.25863578e+34 1.17586671e+35 
106 258.05 3.25006024e+34 7.26735563e+34 
107 258.85 1.70883936e+34 3.82108097e+34 
108 259.66 6.26248512e+33 1.40033424e+34 
109 260.46 1.84586318e+33 4.12747554e+33 
110 261.27 5.27178994e+32 1.17880807e+33 
111 262.08 1.04957182e+35 1.43451362e+35 
112 262.88 1.90649362e+34 2.60504025e+34 
113 263.69 5.15705166e+34 1.06571898e+35 
114 264.49 8.08965232e+33 1.65999946e+34 
115 265.30 1.13319516e+33 2.31336150e+33 
116 266.11 1.23390170e+32 2.49861732e+32 
117 266.91 1.15025254e+31 2.31035096e+31 
118 267.72 9.55302358e+29 1.89623888e+30 
119 268.53 6.78911207e+28 1.32814715e+29 
120 269.33 5.03196399e+27 9.65968610e+27 
121 270.14 4.59936727e+26 8.69499504e+26 
122 270.95 3.83463253e+25 7.15276744e+25 
123 271.75 2.91627547e+24 5.34024070e+24 
124 272.56 2.03210086e+23 3.64111657e+23 
125 273.37 1.25926140e+22 2.20001246e+22 
126 274.17 7.61259266e+20 1.28515439e+21 
127 274.98 5.52327506e+19 9.16873794e+19 
128 275.79 4.46638449e+18 7.13522429e+18 
129 276.59 3.98935286e+17 6.20928247e+17 
130 277.40 3.62748548e+16 5.46850478e+16 
131 278.21 3.30692647e+15 4.79335457e+15 
132 279.01 3.22731499e+14 4.48206209e+14 
133 279.82 3.31606958e+13 4.42125375e+13 
134 280.63 3.38747232e+12 4.33099684e+12 
135 281.43 3.67650765e+11 4.49196672e+11 
136 282.24 4.79458655e+10 5.59458497e+10 
137 283.05 7.54496366e+09 8.41334616e+09 
138 283.86 1.28945385e+09 1.38444015e+09 
139 284.66 2.22967523e+08 2.29395007e+08 
140 285.47 4.35803617e+07 4.24901019e+07 
141 286.28 1.03626532e+07 9.68669688e+06 
142 287.09 2.60725891e+06 2.33996538e+06 
143 287.89 6.60830039e+05 5.59808421e+05 
144 288.70 1.87360864e+05 1.53604727e+05 
145 289.51 6.07467792e+04 4.83991316e+04 
146 290.32 2.20308028e+04 1.67051170e+04 
147 291.12 8.36289999e+03 6.12387523e+03 
148 291.93 3.31066763e+03 2.35131334e+03 
149 292.74 1.43330223e+03 9.80303701e+02 
150 293.55 6.75043133e+02 4.54104079e+02 
151 294.35 3.41310657e+02 2.21762146e+02 
152 295.16 1.81638461e+02 1.15636707e+02 
153 295.97 1.00646778e+02 6.24867466e+01 
154 296.78 5.92814493e+01 3.60866665e+01 
155 297.58 3.61890766e+01 2.17748988e+01 
156 298.39 2.33622043e+01 1.37254987e+01 
157 299.20 1.60312129e+01 9.26822653e+00 
158 300.01 1.12418701e+01 6.37016556e+00 
159 300.81 8.34361499e+00 4.61108045e+00 
160 301.62 6.41325453e+00 3.48404118e+00 
161 302.43 4.96456159e+00 2.62256353e+00 
162 303.24 3.99178174e+00 2.04864268e+00 
163 304.04 3.34137579e+00 1.66835863e+00 
164 304.85 2.80559883e+00 1.34251824e+00 
165 305.66 2.41354790e+00 1.11834862e+00 
166 306.47 2.09742434e+00 9.30044227e-01 
167 307.28 1.85878805e+00 7.98950733e-01 
168 308.08 1.68195540e+00 6.88425629e-01 
169 308.89 1.52787610e+00 6.06513382e-01 
170 309.70 1.41056178e+00 5.38030879e-01 
171 310.51 1.30713028e+00 4.66255022e-01 
172 311.32 1.22340571e+00 4.21858993e-01 
173 312.12 1.15351136e+00 3.72195552e-01 
174 312.93 1.08349093e+00 3.35443787e-01 
175 313.74 1.04155836e+00 3.12743300e-01 
176 314.55 1.02067171e+00 2.90344791e-01 
177 315.36 9.65765272e-01 2.66608513e-01 
178 316.16 9.59086739e-01 2.45903298e-01 
179 316.97 9.53184449e-01 2.45797991e-01 
180 317.78 9.34633588e-01 2.21675448e-01 
181 318.59 9.29241395e-01 2.17559003e-01 
182 319.40 9.27007247e-01 2.02355283e-01 
183 320.20 9.31224214e-01 1.88525693e-01 
184 321.01 9.21879220e-01 1.88585661e-01 
185 321.82 9.30090534e-01 1.83779727e-01 
186 322.63 9.45587779e-01 1.80034629e-01 
187 323.43 9.50300907e-01 1.57529301e-01 
188 324.24 9.48533665e-01 1.69220738e-01 
189 325.05 9.81281853e-01 1.63238436e-01 
190 325.86 1.00175328e+00 1.49550158e-01 
191 326.67 1.01139080e+00 1.57914999e-01 
192 327.48 1.03581756e+00 1.46450810e-01 
193 328.28 1.06017566e+00 1.49085531e-01 
194 329.09 1.10087624e+00 1.50117739e-01 
195 329.90 1.14048822e+00 1.41788539e-01 
196 330.71 1.19879433e+00 1.45562449e-01 
197 331.52 1.28715627e+00 1.47075146e-01 
198 332.32 1.44732964e+00 1.57169308e-01 
199 333.13 1.73174646e+00 1.58822515e-01 
200 333.94 2.23892245e+00 1.90757776e-01 
201 334.75 3.05198617e+00 2.19980355e-01 
202 335.55 4.16530204e+00 2.38939151e-01 
203 336.36 5.69795094e+00 3.02281685e-01 
204 337.17 8.08779974e+00 3.63049068e-01 
205 337.98 1.14006767e+01 4.34283913e-01 
206 338.79 1.52876764e+01 5.04661947e-01 
207 339.60 1.96397572e+01 5.78461573e-01 
208 340.40 2.35447182e+01 6.46509378e-01 
209 341.21 2.67883942e+01 6.76724123e-01 
210 342.02 3.06254337e+01 6.79158638e-01 
211 342.83 3.40476517e+01 7.32461041e-01 
212 343.63 3.49367523e+01 7.53401900e-01 
213 344.44 3.60960198e+01 7.11567897e-01 
214 345.25 3.99723343e+01 7.43049165e-01 
215 346.06 4.37431793e+01 8.14900652e-01 
216 346.87 4.62004692e+01 8.49025237e-01 
217 347.67 4.79337059e+01 8.74981693e-01 
218 348.48 4.95280945e+01 8.60462102e-01 
219 349.29 5.23782120e+01 8.71381373e-01 
220 350.10 5.74171242e+01 9.37637796e-01 
221 350.90 6.09196312e+01 1.02818404e+00 
222 351.71 6.10191940e+01 1.04801660e+00 
223 352.52 6.20337960e+01 1.01393725e+00 
224 353.33 6.73017670e+01 1.02721018e+00 
225 354.14 7.41044968e+01 1.16077323e+00 
226 354.94 7.71316773e+01 1.26540436e+00 
227 355.75 7.57465637e+01 1.30438101e+00 
228 356.56 7.12366928e+01 1.24373098e+00 
229 357.37 6.68123489e+01 1.12378971e+00 
230 358.18 6.56726807e+01 1.00452986e+00 
231 358.98 7.34380325e+01 1.00268636e+00 
232 359.79 8.47823380e+01 1.21773071e+00 
233 360.60 8.63783218e+01 1.37091984e+00 
234 361.41 8.48016434e+01 1.25368959e+00 
235 362.21 8.93099426e+01 1.28880775e+00 
236 363.02 9.45912369e+01 1.37804105e+00 
237 363.83 9.77132828e+01 1.41637854e+00 
238 364.64 1.02374294e+02 1.40838673e+00 
239 365.44 1.11603061e+02 1.55158700e+00 
240 366.25 1.19856180e+02 1.74371217e+00 
241 367.06 1.21002193e+02 1.83417515e+00 
242 367.87 1.19028642e+02 1.77728997e+00 
243 368.67 1.20674304e+02 1.73819469e+00 
244 369.48 1.26234976e+02 1.87170142e+00 
245 370.29 1.27577930e+02 1.94008243e+00 
246 371.10 1.26330866e+02 1.96742117e+00 
247 371.90 1.23411885e+02 2.00260323e+00 
248 372.71 1.16672290e+02 1.90766569e+00 
249 373.52 1.10319049e+02 1.79470671e+00 
250 374.33 1.09553194e+02 1.63099483e+00 
251 375.13 1.17453619e+02 1.72494037e+00 
252 375.94 1.28248862e+02 1.94050957e+00 
253 376.75 1.39585474e+02 2.08306465e+00 
254 377.56 1.53380673e+02 2.45979929e+00 
255 378.36 1.57602966e+02 2.81865958e+00 
256 379.17 1.49296722e+02 2.58851862e+00 
257 379.98 1.46008887e+02 2.45771558e+00 
258 380.78 1.46564911e+02 2.72944461e+00 
259 381.59 1.34078040e+02 2.68562474e+00 
260 382.40 1.13835028e+02 2.17877898e+00 
261 383.20 1.04155020e+02 1.72638693e+00 
262 384.01 1.13127255e+02 1.82220723e+00 
263 384.82 1.28666025e+02 2.31454812e+00 
264 385.63 1.34844861e+02 2.50667988e+00 
265 386.43 1.35836530e+02 2.51234446e+00 
266 387.24 1.36788998e+02 2.56903614e+00 
267 388.05 1.38457840e+02 2.46220070e+00 
268 388.85 1.46520780e+02 2.51621254e+00 
269 389.66 1.60233557e+02 2.84859472e+00 
270 390.47 1.71155423e+02 3.16582452e+00 
271 391.27 1.72467319e+02 3.54850237e+00 
272 392.08 1.54202420e+02 3.51074289e+00 
273 392.89 1.23687823e+02 2.37895125e+00 
274 393.69 1.15351616e+02 1.57527973e+00 
275 394.50 1.38790338e+02 2.22216148e+00 
276 395.31 1.56634900e+02 3.15854525e+00 
277 396.11 1.45160434e+02 2.80403342e+00 
278 396.92 1.34955347e+02 1.78204202e+00 
279 397.73 1.59438290e+02 2.10673659e+00 
280 398.53 1.97890790e+02 3.06823628e+00 
281 399.34 2.21289697e+02 3.50892935e+00 
282 400.15 2.32056641e+02 3.56546767e+00 
283 400.95 2.39558920e+02 3.57456221e+00 
284 401.76 2.45707807e+02 3.73972727e+00 
285 402.57 2.47200491e+02 3.68682910e+00 
286 403.37 2.45163123e+02 3.58348565e+00 
287 404.18 2.43595480e+02 3.51268775e+00 
288 404.99 2.42139865e+02 3.44029148e+00 
289 405.79 2.40572043e+02 3.30561816e+00 
290 406.60 2.40756952e+02 3.11562042e+00 
291 407.40 2.46336838e+02 3.06411498e+00 
292 408.21 2.55767825e+02 3.29926887e+00 
293 409.02 2.59642279e+02 3.59202601e+00 
294 409.82 2.55503067e+02 3.26398992e+00 
295 410.63 2.57725699e+02 3.01961438e+00 
296 411.43 2.69406714e+02 3.35972381e+00 
297 412.24 2.76784821e+02 3.54979992e+00 
298 413.05 2.76987787e+02 3.47387499e+00 
299 413.85 2.76504187e+02 3.49089594e+00 
300 414.66 2.76708990e+02 3.39431531e+00 
301 415.46 2.77328961e+02 3.45564370e+00 
302 416.27 2.77720697e+02 3.49377052e+00 
303 417.08 2.73765497e+02 3.49113943e+00 
304 417.88 2.68441730e+02 3.30282143e+00 
305 418.69 2.66283288e+02 3.31073456e+00 
306 419.49 2.66601306e+02 3.23601329e+00 
307 420.30 2.69919739e+02 3.12787284e+00 
308 421.11 2.73530103e+02 3.35975480e+00 
309 421.91 2.71421735e+02 3.29939701e+00 
310 422.72 2.66406403e+02 3.01145187e+00 
311 423.52 2.66594763e+02 2.89606047e+00 
312 424.33 2.70281604e+02 2.95713311e+00 
313 425.13 2.72467682e+02 2.92500093e+00 
