% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20160910starsun.mat and recorded on 2016-10-28 10:24:38.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 3.10916011e+00 9.32748032e-02 
510 949.79 3.68560482e+00 1.10568145e-01 
509 951.68 4.14520135e+00 1.24356041e-01 
508 953.57 4.22785827e+00 1.26835748e-01 
507 955.46 4.67618412e+00 1.40285524e-01 
506 957.34 4.82342151e+00 1.44702645e-01 
505 959.22 5.38024309e+00 1.61407293e-01 
504 961.10 5.64366571e+00 1.69309971e-01 
503 962.98 6.29052568e+00 1.88715771e-01 
502 964.85 6.54007620e+00 1.96202286e-01 
501 966.72 7.33469697e+00 2.20040909e-01 
500 968.59 7.64380451e+00 2.29314135e-01 
499 970.45 8.18372606e+00 2.45511782e-01 
498 972.32 8.05869476e+00 2.41760843e-01 
497 974.18 8.34831403e+00 2.50449421e-01 
496 976.04 8.31644413e+00 2.49493324e-01 
495 977.89 8.82298417e+00 2.64689525e-01 
494 979.74 8.90909252e+00 2.67272775e-01 
493 981.59 9.36819441e+00 2.81045832e-01 
492 983.44 9.40019056e+00 2.82005717e-01 
491 985.29 9.79062454e+00 2.93718736e-01 
490 987.13 9.64493414e+00 2.89348024e-01 
489 988.97 9.94459816e+00 2.98337945e-01 
488 990.81 9.74776092e+00 2.92432828e-01 
487 992.65 9.94069199e+00 2.98220760e-01 
486 994.48 9.71605165e+00 2.91481550e-01 
485 996.31 9.87285465e+00 2.96185640e-01 
484 998.14 9.61473375e+00 2.88442012e-01 
483 999.97 9.74855874e+00 2.92456762e-01 
482 1001.79 9.45435195e+00 2.83630559e-01 
481 1003.62 9.53734208e+00 2.86120263e-01 
480 1005.44 9.29824956e+00 2.78947487e-01 
479 1007.25 9.55116260e+00 2.86534878e-01 
478 1009.07 9.31358686e+00 2.79407606e-01 
477 1010.88 9.48276941e+00 2.84483082e-01 
476 1012.69 9.18868662e+00 2.75660598e-01 
475 1014.50 9.31521156e+00 2.79456347e-01 
474 1016.31 9.10210043e+00 2.73063013e-01 
473 1018.11 9.23379484e+00 2.77013845e-01 
472 1019.91 8.97240809e+00 2.69172243e-01 
471 1021.71 9.12611339e+00 2.73783402e-01 
470 1023.51 8.89830878e+00 2.66949263e-01 
469 1025.30 9.07785139e+00 2.72335542e-01 
468 1027.09 8.96671161e+00 2.69001348e-01 
467 1028.88 9.11741737e+00 2.73522521e-01 
466 1030.67 8.94617127e+00 2.68385138e-01 
465 1032.46 9.12226519e+00 2.73667956e-01 
464 1034.24 8.94933144e+00 2.68479943e-01 
463 1036.02 9.15451411e+00 2.74635423e-01 
462 1037.80 9.02571743e+00 2.70771523e-01 
461 1039.58 9.23042491e+00 2.76912747e-01 
460 1041.35 9.06296144e+00 2.71888843e-01 
459 1043.12 9.23366925e+00 2.77010078e-01 
458 1044.89 9.12011683e+00 2.73603505e-01 
457 1046.66 9.36733823e+00 2.81020147e-01 
456 1048.43 9.31921058e+00 2.79576317e-01 
455 1050.19 9.55478682e+00 2.86643605e-01 
454 1051.95 9.39664583e+00 2.81899375e-01 
453 1053.71 9.66533828e+00 2.89960149e-01 
452 1055.47 9.49923496e+00 2.84977049e-01 
451 1057.23 9.64024690e+00 2.89207407e-01 
450 1058.98 9.48333149e+00 2.84499945e-01 
449 1060.73 9.63985887e+00 2.89195766e-01 
448 1062.48 9.42637083e+00 2.82791125e-01 
447 1064.23 9.55310069e+00 2.86593021e-01 
446 1065.97 9.24214030e+00 2.77264209e-01 
445 1067.71 9.30447989e+00 2.79134397e-01 
444 1069.46 9.07763181e+00 2.72328954e-01 
443 1071.19 9.19394282e+00 2.75818284e-01 
442 1072.93 9.02527083e+00 2.70758125e-01 
441 1074.67 9.08999021e+00 2.72699706e-01 
440 1076.40 8.86008645e+00 2.65802594e-01 
439 1078.13 8.87831107e+00 2.66349332e-01 
438 1079.86 8.59461927e+00 2.57838578e-01 
437 1081.58 8.64061345e+00 2.59218404e-01 
436 1083.31 8.43278431e+00 2.52983529e-01 
435 1085.03 8.61867502e+00 2.58560251e-01 
434 1086.75 8.52213310e+00 2.55663993e-01 
433 1088.47 8.69178661e+00 2.60753598e-01 
432 1090.19 8.53944240e+00 2.56183272e-01 
431 1091.90 8.61209824e+00 2.58362947e-01 
430 1093.61 8.44207130e+00 2.53262139e-01 
429 1095.33 8.58220224e+00 2.57466067e-01 
428 1097.03 8.47520726e+00 2.54256218e-01 
427 1098.74 8.60622865e+00 2.58186859e-01 
426 1100.45 8.51008982e+00 2.55302695e-01 
425 1102.15 8.67999398e+00 2.60399819e-01 
424 1103.85 8.55693971e+00 2.56708191e-01 
423 1105.55 8.65279885e+00 2.59583966e-01 
422 1107.25 8.39295209e+00 2.51788563e-01 
421 1108.94 8.24085234e+00 2.47225570e-01 
420 1110.64 7.51386976e+00 2.25416093e-01 
419 1112.33 6.68837025e+00 2.00651107e-01 
418 1114.02 5.53588972e+00 1.66076692e-01 
417 1115.70 4.98182405e+00 1.49454722e-01 
416 1117.39 4.60196182e+00 1.38058855e-01 
415 1119.07 4.27623923e+00 1.28287177e-01 
414 1120.76 2.95498863e+00 8.86496590e-02 
413 1122.44 3.95366303e+00 1.18609891e-01 
412 1124.12 2.89262059e+00 8.67786176e-02 
411 1125.79 3.80663059e+00 1.14198918e-01 
410 1127.47 4.13795506e+00 1.24138652e-01 
409 1129.14 4.85960720e+00 1.45788216e-01 
408 1130.81 4.45065353e+00 1.33519606e-01 
407 1132.48 4.07335602e+00 1.22200681e-01 
406 1134.15 4.39247378e+00 1.31774213e-01 
405 1135.81 5.46716698e+00 1.64015009e-01 
404 1137.48 6.69949678e+00 2.00984903e-01 
403 1139.14 7.22265751e+00 2.16679725e-01 
402 1140.80 6.35338221e+00 1.90601466e-01 
401 1142.46 5.38648277e+00 1.61594483e-01 
400 1144.12 4.51098556e+00 1.35329567e-01 
