% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-13 20:03:53.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt. See the list of files below
% 20160825_NIR_C0_refined_Langley_ORACLES_transit2.dat
% 20160908_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160918_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160908_NIR_C0_refined_high_alt_low_m.dat
% 20160912_NIR_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
511 949.79 5.45151086e+00 1.20769069e-01 
510 949.79 5.60261097e+00 1.10711772e-01 
509 951.68 5.98959726e+00 1.17585145e-01 
508 953.57 6.04289963e+00 1.11640783e-01 
507 955.46 6.49848864e+00 9.97672528e-02 
506 957.34 6.59434551e+00 1.02461226e-01 
505 959.22 7.04427557e+00 8.67980004e-02 
504 961.10 7.11553976e+00 7.85583752e-02 
503 962.98 7.52541722e+00 7.84477333e-02 
502 964.85 7.50218149e+00 5.97496434e-02 
501 966.72 7.98359608e+00 5.65673561e-02 
500 968.59 8.00578301e+00 5.59374287e-02 
499 970.45 8.39155226e+00 5.07246063e-02 
498 972.32 8.35399443e+00 4.62634070e-02 
497 974.18 8.68531723e+00 4.71640300e-02 
496 976.04 8.60597376e+00 4.69883071e-02 
495 977.89 8.93041716e+00 5.01913491e-02 
494 979.74 8.82495662e+00 4.96322206e-02 
493 981.59 9.10869283e+00 4.96865051e-02 
492 983.44 8.97351527e+00 5.39799075e-02 
491 985.29 9.22889575e+00 4.86081612e-02 
490 987.13 9.01441275e+00 5.89435335e-02 
489 988.97 9.24989106e+00 5.74554315e-02 
488 990.81 9.06926529e+00 5.36390978e-02 
487 992.65 9.24385441e+00 5.49639105e-02 
486 994.48 9.04812187e+00 6.31252494e-02 
485 996.31 9.18730023e+00 8.42048253e-02 
484 998.14 8.96013368e+00 6.03052248e-02 
483 999.97 9.10413961e+00 5.41778499e-02 
482 1001.79 8.83346383e+00 4.45529355e-02 
481 1003.62 8.90450629e+00 4.64841378e-02 
480 1005.44 8.68480484e+00 4.42996221e-02 
479 1007.25 8.91835064e+00 4.60983322e-02 
478 1009.07 8.70824933e+00 4.35731069e-02 
477 1010.88 8.87472890e+00 5.17400821e-02 
476 1012.69 8.59393332e+00 5.62622666e-02 
475 1014.50 8.71212867e+00 6.13800349e-02 
474 1016.31 8.49958886e+00 6.08899067e-02 
473 1018.11 8.63546075e+00 6.38262228e-02 
472 1019.91 8.38928598e+00 6.13973636e-02 
471 1021.71 8.52888603e+00 7.86159761e-02 
470 1023.51 8.30730367e+00 7.26545787e-02 
469 1025.30 8.48195670e+00 6.65559106e-02 
468 1027.09 8.38009905e+00 5.93989147e-02 
467 1028.88 8.51399312e+00 7.24776643e-02 
466 1030.67 8.36172821e+00 7.10295412e-02 
465 1032.46 8.52587058e+00 8.36502367e-02 
464 1034.24 8.36747637e+00 8.66604722e-02 
463 1036.02 8.55504753e+00 9.71342958e-02 
462 1037.80 8.43286180e+00 8.32907550e-02 
461 1039.58 8.64187413e+00 8.17658516e-02 
460 1041.35 8.50225391e+00 6.65981548e-02 
459 1043.12 8.65248322e+00 7.07347627e-02 
458 1044.89 8.57038326e+00 6.98097591e-02 
457 1046.66 8.79778890e+00 5.95389649e-02 
456 1048.43 8.73376652e+00 6.00456743e-02 
455 1050.19 8.95582834e+00 6.66060835e-02 
454 1051.95 8.82607471e+00 6.51932428e-02 
453 1053.71 9.07563909e+00 7.38174237e-02 
452 1055.47 8.92143987e+00 6.43337223e-02 
451 1057.23 9.06641245e+00 5.92897469e-02 
450 1058.98 8.90486771e+00 6.92488801e-02 
449 1060.73 9.06756654e+00 7.28395773e-02 
448 1062.48 8.86799603e+00 7.30534149e-02 
447 1064.23 8.98767784e+00 8.99197404e-02 
446 1065.97 8.68909757e+00 1.00140403e-01 
445 1067.71 8.72970897e+00 1.08809891e-01 
444 1069.46 8.54353088e+00 8.51319638e-02 
443 1071.19 8.66605135e+00 7.93062764e-02 
442 1072.93 8.50590343e+00 9.16855199e-02 
441 1074.67 8.60201340e+00 8.03060831e-02 
440 1076.40 8.40362475e+00 7.61050050e-02 
439 1078.13 8.43404707e+00 8.28800753e-02 
438 1079.86 8.20548027e+00 7.06987519e-02 
437 1081.58 8.29005146e+00 6.01679091e-02 
436 1083.31 8.18066820e+00 6.01915024e-02 
435 1085.03 8.36504008e+00 6.30393852e-02 
434 1086.75 8.30210530e+00 6.43528595e-02 
433 1088.47 8.47028072e+00 5.84336259e-02 
432 1090.19 8.36729453e+00 6.79354594e-02 
431 1091.90 8.49690488e+00 5.68030725e-02 
430 1093.61 8.38338924e+00 3.73516607e-02 
429 1095.33 8.60635310e+00 3.48659519e-02 
428 1097.03 8.65155112e+00 3.08456995e-02 
427 1098.74 8.91064760e+00 3.90514839e-02 
426 1100.45 8.94220520e+00 4.95032794e-02 
425 1102.15 9.23928908e+00 5.27625395e-02 
424 1103.85 9.26447709e+00 4.75578502e-02 
423 1105.55 9.55954334e+00 5.98494409e-02 
422 1107.25 9.50873510e+00 6.33567367e-02 
421 1108.94 9.71038553e+00 7.47733030e-02 
420 1110.64 9.59363069e+00 1.12657114e-01 
419 1112.33 9.71670061e+00 1.82009106e-01 
418 1114.02 9.49187169e+00 2.69971367e-01 
417 1115.70 9.55063611e+00 3.52396964e-01 
416 1117.39 9.34488571e+00 4.10708266e-01 
415 1119.07 9.36177207e+00 4.41143217e-01 
414 1120.76 9.24713224e+00 4.52394866e-01 
413 1122.44 9.37973545e+00 5.15418097e-01 
412 1124.12 9.31353928e+00 5.13693210e-01 
411 1125.79 9.48108427e+00 4.73203993e-01 
410 1127.47 9.53401588e+00 4.07075750e-01 
409 1129.14 9.75012344e+00 3.48861284e-01 
408 1130.81 9.49855486e+00 4.56437716e-01 
407 1132.48 9.48887800e+00 5.25412876e-01 
406 1134.15 9.32423393e+00 5.18965419e-01 
405 1135.81 9.50688945e+00 4.33429329e-01 
404 1137.48 9.68206768e+00 2.56664962e-01 
403 1139.14 9.88157924e+00 2.39516844e-01 
402 1140.80 9.66612579e+00 2.69100184e-01 
401 1142.46 9.70543434e+00 3.22344239e-01 
400 1144.12 9.50805827e+00 3.60869604e-01 
399 1145.77 9.56995421e+00 3.67640241e-01 
398 1147.43 9.49946196e+00 3.24750550e-01 
397 1149.08 9.59972372e+00 2.67681636e-01 
396 1150.73 9.51876807e+00 2.30226146e-01 
395 1152.38 9.69630113e+00 1.83000739e-01 
394 1154.02 9.61490450e+00 1.52432492e-01 
393 1155.67 9.77198100e+00 1.29631434e-01 
392 1157.31 9.58375789e+00 1.21223058e-01 
391 1158.95 9.62996516e+00 1.00172962e-01 
390 1160.59 9.50612376e+00 9.41538343e-02 
389 1162.23 9.60480898e+00 7.70042632e-02 
388 1163.87 9.47897422e+00 6.15589148e-02 
387 1165.50 9.52565459e+00 6.05387618e-02 
386 1167.13 9.40460295e+00 5.37786036e-02 
385 1168.76 9.50560089e+00 4.85941616e-02 
384 1170.39 9.39303386e+00 5.25201246e-02 
383 1172.02 9.37714204e+00 5.30913014e-02 
382 1173.65 9.18517088e+00 4.55929225e-02 
381 1175.27 9.16682875e+00 5.40365783e-02 
380 1176.90 9.04046976e+00 4.85989053e-02 
379 1178.52 9.03091564e+00 5.11002141e-02 
378 1180.14 8.81144783e+00 4.28060996e-02 
377 1181.75 8.79939544e+00 6.04623887e-02 
376 1183.37 8.60995784e+00 5.66866820e-02 
375 1184.99 8.64533661e+00 4.98496847e-02 
374 1186.60 8.49510913e+00 5.91917483e-02 
373 1188.21 8.44708718e+00 5.78307991e-02 
372 1189.82 8.33757236e+00 5.31110663e-02 
371 1191.43 8.51975690e+00 5.22453449e-02 
370 1193.04 8.41653794e+00 4.67607689e-02 
369 1194.64 8.41274866e+00 5.17398331e-02 
368 1196.24 8.25913653e+00 3.94416587e-02 
367 1197.85 8.32162972e+00 3.32056668e-02 
366 1199.45 8.20730949e+00 3.80019726e-02 
365 1201.05 8.29461509e+00 3.26339781e-02 
364 1202.64 8.21480325e+00 2.21358612e-02 
363 1204.24 8.23598215e+00 2.90059934e-02 
362 1205.83 8.12260655e+00 4.11701826e-02 
361 1207.43 8.12615574e+00 5.14655026e-02 
360 1209.02 8.08643191e+00 5.03777855e-02 
359 1210.61 8.21853591e+00 4.94566683e-02 
358 1212.19 8.17256784e+00 6.13088806e-02 
357 1213.78 8.30168325e+00 7.17252014e-02 
356 1215.37 8.24311059e+00 5.27518087e-02 
355 1216.95 8.28719858e+00 5.88901627e-02 
354 1218.53 8.24261503e+00 5.26006279e-02 
353 1220.11 8.31858926e+00 5.40135929e-02 
352 1221.69 8.30302817e+00 4.85455541e-02 
351 1223.27 8.34227709e+00 5.08986935e-02 
350 1224.84 8.31652419e+00 4.23565474e-02 
349 1226.42 8.35364847e+00 4.17770825e-02 
348 1227.99 8.30714730e+00 4.90595567e-02 
347 1229.56 8.43194614e+00 6.01612185e-02 
346 1231.13 8.35837669e+00 5.81586385e-02 
345 1232.70 8.43994157e+00 5.80819298e-02 
344 1234.27 8.39102374e+00 7.19607509e-02 
343 1235.84 8.39890008e+00 7.11369764e-02 
342 1237.40 8.32958279e+00 6.41453661e-02 
341 1238.96 8.32480721e+00 6.37914037e-02 
340 1240.52 8.17600159e+00 6.50340262e-02 
339 1242.08 8.28910576e+00 7.61820078e-02 
338 1243.64 8.25130923e+00 8.76957861e-02 
337 1245.20 8.28763155e+00 9.14921885e-02 
336 1246.75 8.27076773e+00 7.98466672e-02 
335 1248.31 8.34435607e+00 6.22364983e-02 
334 1249.86 8.26569811e+00 6.82182549e-02 
333 1251.41 8.30258793e+00 4.10445090e-02 
332 1252.96 8.22039594e+00 3.86729148e-02 
331 1254.51 8.24354885e+00 4.49231630e-02 
330 1256.06 8.17851514e+00 4.02180766e-02 
329 1257.61 8.16178624e+00 4.33088761e-02 
328 1259.15 8.08752638e+00 5.18831820e-02 
327 1260.69 8.06540890e+00 7.37435578e-02 
326 1262.23 7.96928772e+00 9.98852629e-02 
325 1263.77 7.96144891e+00 1.12220734e-01 
324 1265.31 7.84731287e+00 1.46842313e-01 
323 1266.85 7.89941817e+00 1.52357132e-01 
322 1268.39 7.93254670e+00 1.38960881e-01 
321 1269.92 8.02164190e+00 1.09855548e-01 
320 1271.46 8.10816845e+00 7.05425539e-02 
319 1272.99 8.11326096e+00 4.21789925e-02 
318 1274.52 8.07144783e+00 3.86600913e-02 
317 1276.05 8.12487831e+00 3.99760736e-02 
316 1277.58 7.98037193e+00 3.08601757e-02 
315 1279.10 7.81967578e+00 4.49865224e-02 
314 1280.63 7.77850706e+00 4.62773434e-02 
313 1282.15 7.76661512e+00 5.72553708e-02 
312 1283.68 7.86525841e+00 4.22358332e-02 
311 1285.20 8.02923537e+00 4.01614671e-02 
310 1286.72 8.00506143e+00 3.91095432e-02 
309 1288.24 8.02390323e+00 4.76818914e-02 
308 1289.75 7.91656239e+00 4.41224324e-02 
307 1291.27 7.92723102e+00 6.56943516e-02 
306 1292.78 7.98244655e+00 5.55790741e-02 
305 1294.30 7.98590381e+00 7.63424350e-02 
304 1295.81 7.91910848e+00 7.41104726e-02 
303 1297.32 7.92184602e+00 7.21885180e-02 
302 1298.83 7.87577309e+00 7.62701006e-02 
301 1300.34 7.85652032e+00 6.58218197e-02 
300 1301.85 7.81602569e+00 5.62376259e-02 
299 1303.35 7.78707297e+00 5.50207831e-02 
298 1304.86 7.72819775e+00 2.89618562e-02 
297 1306.36 7.72136029e+00 2.25214842e-02 
296 1307.86 7.65712859e+00 2.32747840e-02 
295 1309.36 7.56177686e+00 3.30258068e-02 
294 1310.86 7.49875029e+00 2.76191488e-02 
293 1312.36 7.43192718e+00 3.14517423e-02 
292 1313.86 7.38890524e+00 2.80285039e-02 
291 1315.36 7.39545783e+00 2.10592653e-02 
290 1316.85 7.35074806e+00 3.34098295e-02 
289 1318.34 7.32626595e+00 3.66951108e-02 
288 1319.84 7.30247231e+00 5.78391241e-02 
287 1321.33 7.29633449e+00 5.24316866e-02 
286 1322.82 7.24551413e+00 4.31976414e-02 
285 1324.30 7.26291621e+00 4.56863040e-02 
284 1325.79 7.16702187e+00 5.65063172e-02 
283 1327.28 7.07654654e+00 6.08983938e-02 
282 1328.76 6.96898368e+00 1.15895280e-01 
281 1330.25 6.92497305e+00 1.39954186e-01 
280 1331.73 6.86155748e+00 1.54876855e-01 
279 1333.21 6.86762047e+00 1.46085900e-01 
