% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-13 20:07:58.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt. See the list of files below
% 20160908_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160918_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160908_NIR_C0_refined_high_alt_low_m.dat
% 20160912_NIR_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
511 949.79 5.43773055e+00 1.34836610e-01 
510 949.79 5.58845305e+00 1.22500960e-01 
509 951.68 5.97299659e+00 1.28832480e-01 
508 953.57 6.03039324e+00 1.24801797e-01 
507 955.46 6.47948075e+00 1.04224150e-01 
506 957.34 6.57873464e+00 1.11234324e-01 
505 959.22 7.02465808e+00 8.64843956e-02 
504 961.10 7.09766555e+00 7.80937957e-02 
503 962.98 7.50494182e+00 7.35557588e-02 
502 964.85 7.48414028e+00 5.08932534e-02 
501 966.72 7.96174991e+00 3.29360832e-02 
500 968.59 7.98899103e+00 4.78768206e-02 
499 970.45 8.37357378e+00 3.57184744e-02 
498 972.32 8.33770442e+00 3.29338889e-02 
497 974.18 8.66689277e+00 2.65114038e-02 
496 976.04 8.58943224e+00 3.34622556e-02 
495 977.89 8.91345930e+00 3.79706414e-02 
494 979.74 8.80921388e+00 4.04010988e-02 
493 981.59 9.09538364e+00 4.59431101e-02 
492 983.44 8.95796084e+00 4.76673199e-02 
491 985.29 9.21824217e+00 4.89252358e-02 
490 987.13 8.99993754e+00 5.68821082e-02 
489 988.97 9.23629427e+00 5.62940271e-02 
488 990.81 9.05769372e+00 5.42542947e-02 
487 992.65 9.23221779e+00 5.59044072e-02 
486 994.48 9.03556633e+00 6.52849057e-02 
485 996.31 9.16837692e+00 8.40634296e-02 
484 998.14 8.94951749e+00 6.40125240e-02 
483 999.97 9.09198641e+00 5.41200970e-02 
482 1001.79 8.82229924e+00 4.26102369e-02 
481 1003.62 8.89585018e+00 4.88007335e-02 
480 1005.44 8.67479920e+00 4.41496336e-02 
479 1007.25 8.90863133e+00 4.69429528e-02 
478 1009.07 8.69761896e+00 4.21677821e-02 
477 1010.88 8.85918426e+00 4.42546875e-02 
476 1012.69 8.57820630e+00 5.07115532e-02 
475 1014.50 8.69471574e+00 5.47900026e-02 
474 1016.31 8.48203278e+00 5.37463292e-02 
473 1018.11 8.61430883e+00 4.94876304e-02 
472 1019.91 8.36991668e+00 5.02498568e-02 
471 1021.71 8.50258255e+00 6.02340459e-02 
470 1023.51 8.28262281e+00 5.45645038e-02 
469 1025.30 8.45979691e+00 5.13083113e-02 
468 1027.09 8.36051774e+00 4.63478566e-02 
467 1028.88 8.49050593e+00 5.76746323e-02 
466 1030.67 8.33815169e+00 5.49658777e-02 
465 1032.46 8.50157857e+00 7.34561485e-02 
464 1034.24 8.34113383e+00 7.33974567e-02 
463 1036.02 8.52639889e+00 8.43117276e-02 
462 1037.80 8.40815473e+00 7.19736269e-02 
461 1039.58 8.61553264e+00 6.54857081e-02 
460 1041.35 8.48330235e+00 5.93240485e-02 
459 1043.12 8.63170505e+00 6.15872667e-02 
458 1044.89 8.54872966e+00 5.80690389e-02 
457 1046.66 8.77704477e+00 4.31013348e-02 
456 1048.43 8.71386480e+00 4.65487788e-02 
455 1050.19 8.93370819e+00 5.15087675e-02 
454 1051.95 8.80220080e+00 4.32101666e-02 
453 1053.71 9.05058647e+00 5.55078486e-02 
452 1055.47 8.89869571e+00 4.54949614e-02 
451 1057.23 9.04639864e+00 4.49074818e-02 
450 1058.98 8.87985826e+00 4.71599293e-02 
449 1060.73 9.04163551e+00 5.09053051e-02 
448 1062.48 8.84033680e+00 4.48944794e-02 
447 1064.23 8.95626902e+00 6.48381850e-02 
446 1065.97 8.65670156e+00 7.98381118e-02 
445 1067.71 8.69664383e+00 9.21815192e-02 
444 1069.46 8.51562834e+00 6.68799222e-02 
443 1071.19 8.63976192e+00 6.14688535e-02 
442 1072.93 8.47604680e+00 7.25639176e-02 
441 1074.67 8.57632494e+00 6.48030973e-02 
440 1076.40 8.37958384e+00 6.22055017e-02 
439 1078.13 8.40888691e+00 7.02750548e-02 
438 1079.86 8.18169308e+00 5.37793264e-02 
437 1081.58 8.26976228e+00 4.56351205e-02 
436 1083.31 8.16047048e+00 4.59460336e-02 
435 1085.03 8.34430265e+00 4.93120802e-02 
434 1086.75 8.28067804e+00 4.96071700e-02 
433 1088.47 8.45197582e+00 4.81545051e-02 
432 1090.19 8.34568977e+00 5.51531071e-02 
431 1091.90 8.47807073e+00 4.40145916e-02 
430 1093.61 8.37134719e+00 2.98907320e-02 
429 1095.33 8.59516287e+00 2.80363647e-02 
428 1097.03 8.64067984e+00 2.19251312e-02 
427 1098.74 8.89538980e+00 2.19397876e-02 
426 1100.45 8.92292428e+00 2.80904263e-02 
425 1102.15 9.21905375e+00 3.13377741e-02 
424 1103.85 9.24441290e+00 1.82168132e-02 
423 1105.55 9.53976822e+00 4.65715094e-02 
422 1107.25 9.48515559e+00 4.05645064e-02 
421 1108.94 9.68980384e+00 6.80491597e-02 
420 1110.64 9.57414198e+00 1.19958748e-01 
419 1112.33 9.70017862e+00 2.05790944e-01 
418 1114.02 9.48238588e+00 3.10772446e-01 
417 1115.70 9.54584526e+00 4.06724901e-01 
416 1117.39 9.34193994e+00 4.74184060e-01 
415 1119.07 9.35861062e+00 5.09322903e-01 
414 1120.76 9.24837494e+00 5.22370741e-01 
413 1122.44 9.38860465e+00 5.94712818e-01 
412 1124.12 9.32529759e+00 5.92384363e-01 
411 1125.79 9.49236179e+00 5.45632485e-01 
410 1127.47 9.54254770e+00 4.69534104e-01 
409 1129.14 9.75171924e+00 4.02809239e-01 
408 1130.81 9.50978803e+00 5.26250216e-01 
407 1132.48 9.50462174e+00 6.05331164e-01 
406 1134.15 9.33770418e+00 5.98239494e-01 
405 1135.81 9.51974343e+00 4.99379425e-01 
