% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-12 17:58:15.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, MLO -av-g-, infl-ig-ht, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20160825_NIR_C0_refined_Langley_ORACLES_transit2.dat
% 20161115_NIR_C0_refined_Langley_Nov2016part1.5incl1115_good_mean.dat
% 20160908_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160912_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160918_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160908_NIR_C0_refined_high_alt_low_m.dat
% 20160912_NIR_C0_refined_high_alt_low_m.dat
% 20160918_NIR_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
511 949.79 5.36871377e+00 3.69144641e-01 
510 949.79 5.56988936e+00 2.31502051e-01 
509 951.68 5.95400238e+00 2.28078745e-01 
508 953.57 6.00590112e+00 2.21029906e-01 
507 955.46 6.46310318e+00 2.10913226e-01 
506 957.34 6.56092121e+00 2.00925044e-01 
505 959.22 7.01771367e+00 1.73307096e-01 
504 961.10 7.09304138e+00 1.44616957e-01 
503 962.98 7.51249661e+00 1.21273187e-01 
502 964.85 7.49537092e+00 8.75863883e-02 
501 966.72 7.98804330e+00 6.43382854e-02 
500 968.59 8.01380467e+00 5.20015134e-02 
499 970.45 8.40203612e+00 4.58032757e-02 
498 972.32 8.36539676e+00 4.81928766e-02 
497 974.18 8.69938143e+00 5.12637728e-02 
496 976.04 8.61767874e+00 4.43684535e-02 
495 977.89 8.95084495e+00 5.12914078e-02 
494 979.74 8.84122034e+00 5.07236215e-02 
493 981.59 9.12607474e+00 5.68248973e-02 
492 983.44 8.99706155e+00 7.05280841e-02 
491 985.29 9.25081684e+00 6.96576838e-02 
490 987.13 9.04372090e+00 8.52499922e-02 
489 988.97 9.28375208e+00 9.38923738e-02 
488 990.81 9.09960018e+00 8.73373555e-02 
487 992.65 9.27647622e+00 8.96710725e-02 
486 994.48 9.08038608e+00 9.36273234e-02 
485 996.31 9.22091009e+00 9.91563238e-02 
484 998.14 8.99269805e+00 8.35822407e-02 
483 999.97 9.13530193e+00 8.89978092e-02 
482 1001.79 8.86235770e+00 8.46150532e-02 
481 1003.62 8.93879513e+00 9.83247239e-02 
480 1005.44 8.72328286e+00 1.01765787e-01 
479 1007.25 8.95636557e+00 1.08406256e-01 
478 1009.07 8.74524107e+00 1.06901263e-01 
477 1010.88 8.91063656e+00 1.01891459e-01 
476 1012.69 8.62911902e+00 1.03173341e-01 
475 1014.50 8.74719741e+00 9.96910936e-02 
474 1016.31 8.53066959e+00 9.22977339e-02 
473 1018.11 8.66349852e+00 9.91882871e-02 
472 1019.91 8.41557693e+00 1.00293472e-01 
471 1021.71 8.56221591e+00 1.10898136e-01 
470 1023.51 8.33700031e+00 1.06122351e-01 
469 1025.30 8.50343747e+00 9.74970096e-02 
468 1027.09 8.39816883e+00 8.80824410e-02 
467 1028.88 8.53719117e+00 8.89937783e-02 
466 1030.67 8.38096184e+00 8.48345186e-02 
