% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-13 22:33:30.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20160908_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160918_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160908_NIR_C0_refined_high_alt_low_m.dat
% 20160912_NIR_C0_refined_high_alt_low_m.dat
% 20160918_NIR_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
511 949.79 5.44595385e+00 1.18210814e-01 
510 949.79 5.59022388e+00 1.06162815e-01 
509 951.68 5.97274895e+00 1.11573575e-01 
508 953.57 6.02657366e+00 1.08418460e-01 
507 955.46 6.47848702e+00 9.02881090e-02 
506 957.34 6.57511788e+00 9.66706315e-02 
505 959.22 7.02183456e+00 7.51633175e-02 
504 961.10 7.09489508e+00 6.79143451e-02 
503 962.98 7.50440006e+00 6.37126734e-02 
502 964.85 7.48391504e+00 4.40777277e-02 
501 966.72 7.96450691e+00 2.91820918e-02 
500 968.59 7.98898669e+00 4.14625440e-02 
499 970.45 8.37696667e+00 3.18498899e-02 
498 972.32 8.34017716e+00 2.90525874e-02 
497 974.18 8.67257881e+00 2.62449311e-02 
496 976.04 8.59271374e+00 2.98936960e-02 
495 977.89 8.92003231e+00 3.60187379e-02 
494 979.74 8.81272583e+00 3.58588296e-02 
493 981.59 9.09799748e+00 4.02148926e-02 
492 983.44 8.96165180e+00 4.20980505e-02 
491 985.29 9.22157307e+00 4.30201517e-02 
490 987.13 9.00454598e+00 5.03276196e-02 
489 988.97 9.24225941e+00 5.05438173e-02 
488 990.81 9.06022816e+00 4.73261372e-02 
487 992.65 9.23613072e+00 4.91989025e-02 
486 994.48 9.03806839e+00 5.68145290e-02 
485 996.31 9.17482529e+00 7.42152417e-02 
484 998.14 8.95318508e+00 5.60397947e-02 
483 999.97 9.09398823e+00 4.70826391e-02 
482 1001.79 8.82318897e+00 3.69551391e-02 
481 1003.62 8.89744377e+00 4.24126318e-02 
480 1005.44 8.67576122e+00 3.82951697e-02 
479 1007.25 8.90951500e+00 4.07017816e-02 
478 1009.07 8.69884128e+00 3.66205102e-02 
477 1010.88 8.85967407e+00 3.83413299e-02 
476 1012.69 8.57964115e+00 4.40345341e-02 
475 1014.50 8.69727116e+00 4.77923541e-02 
474 1016.31 8.48508949e+00 4.70448563e-02 
473 1018.11 8.61676064e+00 4.32067797e-02 
472 1019.91 8.37145424e+00 4.36532535e-02 
471 1021.71 8.50863018e+00 5.38885367e-02 
470 1023.51 8.28657131e+00 4.80719975e-02 
469 1025.30 8.46253471e+00 4.48540421e-02 
468 1027.09 8.35844154e+00 4.04060119e-02 
467 1028.88 8.49366646e+00 5.04451882e-02 
466 1030.67 8.34029579e+00 4.78426750e-02 
465 1032.46 8.50566196e+00 6.42668254e-02 
464 1034.24 8.34486046e+00 6.41079455e-02 
463 1036.02 8.53143272e+00 7.38786006e-02 
462 1037.80 8.41007710e+00 6.24790343e-02 
461 1039.58 8.61736622e+00 5.68602989e-02 
460 1041.35 8.48020611e+00 5.18405321e-02 
459 1043.12 8.63209477e+00 5.33432561e-02 
458 1044.89 8.54686794e+00 5.04612711e-02 
457 1046.66 8.77555313e+00 3.74755758e-02 
456 1048.43 8.71391392e+00 4.03125745e-02 
455 1050.19 8.93413887e+00 4.46182953e-02 
454 1051.95 8.80069332e+00 3.75726130e-02 
453 1053.71 9.05069905e+00 4.80718662e-02 
452 1055.47 8.89803562e+00 3.94274296e-02 
451 1057.23 9.04478130e+00 3.90588058e-02 
450 1058.98 8.88157883e+00 4.10225063e-02 
449 1060.73 9.04272079e+00 4.41520299e-02 
448 1062.48 8.84089641e+00 3.88998916e-02 
447 1064.23 8.95805817e+00 5.62938523e-02 
446 1065.97 8.66024132e+00 6.95934074e-02 
445 1067.71 8.70144939e+00 8.05514841e-02 
444 1069.46 8.51748638e+00 5.80685340e-02 
443 1071.19 8.64301967e+00 5.37296909e-02 
442 1072.93 8.47717361e+00 6.28926875e-02 
441 1074.67 8.57803612e+00 5.62514152e-02 
440 1076.40 8.38062096e+00 5.39214376e-02 
439 1078.13 8.41078300e+00 6.10074865e-02 
438 1079.86 8.18315716e+00 4.66891809e-02 
437 1081.58 8.26845799e+00 3.96286396e-02 
436 1083.31 8.16029816e+00 3.97922981e-02 
435 1085.03 8.34451866e+00 4.27082455e-02 
434 1086.75 8.28040219e+00 4.29654973e-02 
433 1088.47 8.45228519e+00 4.17087620e-02 
432 1090.19 8.34771252e+00 4.79776653e-02 
431 1091.90 8.48019810e+00 3.84134290e-02 
430 1093.61 8.37212582e+00 2.59446181e-02 
429 1095.33 8.59516849e+00 2.42802073e-02 
428 1097.03 8.64027806e+00 1.90089633e-02 
427 1098.74 8.89488564e+00 1.90338276e-02 
426 1100.45 8.92399463e+00 2.44444749e-02 
425 1102.15 9.22104855e+00 2.75034219e-02 
424 1103.85 9.24520607e+00 1.58756043e-02 
423 1105.55 9.54131088e+00 4.04793549e-02 
422 1107.25 9.48734265e+00 3.54686561e-02 
421 1108.94 9.69174442e+00 5.90918391e-02 
420 1110.64 9.57463646e+00 1.03893207e-01 
419 1112.33 9.69945068e+00 1.78227618e-01 
418 1114.02 9.47787590e+00 2.69325703e-01 
417 1115.70 9.53754691e+00 3.52722514e-01 
416 1117.39 9.32779160e+00 4.11872272e-01 
415 1119.07 9.34261093e+00 4.42535102e-01 
414 1120.76 9.22994137e+00 4.54260252e-01 
413 1122.44 9.36663971e+00 5.17372973e-01 
412 1124.12 9.30051346e+00 5.16004547e-01 
411 1125.79 9.47219315e+00 4.74678815e-01 
410 1127.47 9.52373256e+00 4.08799160e-01 
409 1129.14 9.73615666e+00 3.50574432e-01 
408 1130.81 9.49022293e+00 4.57841058e-01 
