% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20160918starsun.mat and recorded on 2017-06-26 14:43:58.
% Using the MLO from September 2016 high altitude AOD for stratospheric AOD component, calculating the c0 from the AOD at low airmass. 
Pix Wavelength C0 C0err
511 949.79 5.53758907e+00 2.77936697e-01 
510 949.79 5.65732288e+00 6.06055260e-01 
509 951.68 6.03762817e+00 6.84373379e-01 
508 953.57 6.07944202e+00 6.89915299e-01 
507 955.46 6.54988050e+00 7.58745730e-01 
506 957.34 6.63900185e+00 7.42082655e-01 
505 959.22 7.09635973e+00 8.21560383e-01 
504 961.10 7.17262316e+00 8.28674316e-01 
503 962.98 7.59847832e+00 8.77746463e-01 
502 964.85 7.58116722e+00 8.41143429e-01 
501 966.72 8.08240795e+00 9.23575401e-01 
500 968.59 8.09824848e+00 9.05434728e-01 
499 970.45 8.50760365e+00 9.66807663e-01 
498 972.32 8.46880341e+00 9.78451312e-01 
497 974.18 8.82124329e+00 1.01881742e+00 
496 976.04 8.73266220e+00 1.00935280e+00 
495 977.89 9.08038807e+00 1.02006757e+00 
494 979.74 8.96117687e+00 9.93988514e-01 
493 981.59 9.24927711e+00 1.06868875e+00 
492 983.44 9.11722851e+00 1.02704847e+00 
491 985.29 9.38177681e+00 1.08294415e+00 
490 987.13 9.16837788e+00 1.03641117e+00 
489 988.97 9.41729450e+00 1.06189704e+00 
488 990.81 9.22007942e+00 1.03798497e+00 
487 992.65 9.40616989e+00 1.05923009e+00 
486 994.48 9.20061684e+00 1.06342280e+00 
485 996.31 9.35721302e+00 1.04668391e+00 
484 998.14 9.12183857e+00 1.02196538e+00 
483 999.97 9.25955105e+00 1.05174124e+00 
482 1001.79 8.98067093e+00 1.03371656e+00 
481 1003.62 9.06012154e+00 1.04586101e+00 
480 1005.44 8.83288288e+00 1.02011621e+00 
479 1007.25 9.07126617e+00 1.04729915e+00 
478 1009.07 8.85892200e+00 9.80974674e-01 
477 1010.88 9.02022839e+00 1.04207444e+00 
476 1012.69 8.73948860e+00 1.00549746e+00 
475 1014.50 8.86413574e+00 1.01587093e+00 
474 1016.31 8.65039444e+00 9.95021820e-01 
473 1018.11 8.78207111e+00 1.01419520e+00 
472 1019.91 8.52859211e+00 9.67659354e-01 
471 1021.71 8.68650818e+00 9.66071248e-01 
470 1023.51 8.45180511e+00 9.75797653e-01 
469 1025.30 8.62590885e+00 9.59440053e-01 
468 1027.09 8.50024319e+00 9.81970191e-01 
467 1028.88 8.65912342e+00 9.67319727e-01 
466 1030.67 8.49876022e+00 9.81671453e-01 
465 1032.46 8.67489243e+00 1.00215542e+00 
464 1034.24 8.50965595e+00 9.79097307e-01 
463 1036.02 8.70479488e+00 1.00532341e+00 
462 1037.80 8.56849575e+00 9.88542557e-01 
461 1039.58 8.77903366e+00 1.01392341e+00 
460 1041.35 8.61924648e+00 9.89374697e-01 
459 1043.12 8.78794098e+00 9.81286705e-01 
458 1044.89 8.69192219e+00 9.86321092e-01 
457 1046.66 8.92609215e+00 1.01225758e+00 
456 1048.43 8.86952209e+00 1.02495933e+00 
455 1050.19 9.09511948e+00 1.04982328e+00 
454 1051.95 8.95129871e+00 9.93806422e-01 
453 1053.71 9.21224308e+00 1.06369817e+00 
452 1055.47 9.05360985e+00 1.01232398e+00 
451 1057.23 9.19895840e+00 1.06151581e+00 
450 1058.98 9.04633427e+00 1.04412162e+00 
449 1060.73 9.20764160e+00 1.06387663e+00 
448 1062.48 8.99998665e+00 1.01559520e+00 
447 1064.23 9.12412071e+00 1.03517413e+00 
446 1065.97 8.82804585e+00 1.02029717e+00 
445 1067.71 8.87502861e+00 1.02534246e+00 
444 1069.46 8.67570591e+00 1.00154471e+00 
443 1071.19 8.80904961e+00 9.52064514e-01 
442 1072.93 8.63149166e+00 9.98260975e-01 
441 1074.67 8.73640823e+00 9.94374633e-01 
440 1076.40 8.53266048e+00 9.86718833e-01 
439 1078.13 8.56674480e+00 9.50029492e-01 
438 1079.86 8.33324623e+00 9.43999887e-01 
437 1081.58 8.40867710e+00 9.68051672e-01 
436 1083.31 8.30311871e+00 9.37417090e-01 
435 1085.03 8.49205399e+00 9.79858100e-01 
434 1086.75 8.42470455e+00 9.52491045e-01 
433 1088.47 8.60188103e+00 9.71914113e-01 
432 1090.19 8.50234032e+00 9.82616842e-01 
431 1091.90 8.63746834e+00 9.80590582e-01 
430 1093.61 8.52190495e+00 9.84472513e-01 
429 1095.33 8.74559689e+00 1.00313079e+00 
428 1097.03 8.78972721e+00 9.76695776e-01 
427 1098.74 9.04825687e+00 1.04130113e+00 
426 1100.45 9.08416843e+00 1.04115534e+00 
425 1102.15 9.39005280e+00 1.07566082e+00 
424 1103.85 9.40962219e+00 1.08735371e+00 
423 1105.55 9.71381664e+00 1.06325638e+00 
422 1107.25 9.66140747e+00 1.09431660e+00 
421 1108.94 9.86823845e+00 1.14061844e+00 
420 1110.64 9.74308491e+00 1.06361580e+00 
419 1112.33 9.86496830e+00 1.14273775e+00 
418 1114.02 9.62403107e+00 1.11517227e+00 
417 1115.70 9.66919708e+00 1.11470962e+00 
416 1117.39 9.43187714e+00 1.09747684e+00 
415 1119.07 9.43929768e+00 1.10658789e+00 
414 1120.76 9.31465340e+00 1.06496894e+00 
413 1122.44 9.43922520e+00 1.11166370e+00 
412 1124.12 9.36036396e+00 1.07852948e+00 
